变量名,gateID,_ beizhu,itemMap,count,probability,itemCount
56,10709,( Random drop from common levels in mobile games ) ( Normal 7-09) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
57,10710,( Random drop from ordinary levels in mobile games ) ( Normal 7-10) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
58,10801,( Normal level of mobile game drops randomly ) ( Normal 8-01) ( Normal level ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
59,10802,( Normal levels of mobile games drop randomly ) ( Normal 8-02) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
60,10803,( Normal level of mobile game drops randomly ) ( Normal 8-03) ( Normal level ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
61,10804,( Normal levels of mobile games drop randomly ) ( Normal 8-04) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
62,10805,( Random drop from normal levels in mobile games ) ( Normal 8-05) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
63,10806,( Random drop from normal levels in mobile games ) ( Normal 8-06) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
64,10807,( Random drop from normal levels in mobile games ) ( Normal 8-07) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
65,10808,( Normal levels of mobile games drop randomly ) ( Normal 8-08) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
66,10809,( Normal levels of mobile games drop randomly ) ( Normal 8-09) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
67,10810,( Random drop from ordinary levels in mobile games ) ( Normal 8-10) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
68,10901,( Random drop from normal levels in mobile games ) ( Normal 9-01) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
69,10902,( Random drop from normal levels in mobile games ) ( Normal 9-02) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
70,10903,( Normal level of mobile game drops randomly ) ( Normal 9-03) ( Normal level ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
71,10904,( Normal level of mobile game drops randomly ) ( Normal 9-04) ( Normal level ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
72,10905,( Random drop from normal levels in mobile games ) ( Normal 9-05) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
73,10906,( Random drop from common levels in mobile games ) ( Normal 9-06) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
74,10907,( Random drop from normal levels in mobile games ) ( Normal 9-07) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
75,10908,( Random drop from normal levels in mobile games ) ( Normal 9-08) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
76,10909,( Random drop from ordinary levels in mobile games ) ( Normal 9-09) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
77,10910,( Normal level of mobile game drops randomly ) ( Normal 9-10) ( Normal level ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
78,11001,( Normal level of mobile game drops randomly ) ( Normal 10-01) ( Normal level ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
79,11002,( Random drop from common levels in mobile games ) ( Normal 10-02) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
80,11003,( Random drop from normal levels in mobile games ) ( Normal 10-03) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
81,11004,( Random drop from normal levels in mobile games ) ( Normal 10-04) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
82,11005,( Random drop from common levels in mobile games ) ( Normal 10-05) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
83,11006,( Random drop from common levels in mobile games ) ( Normal 10-06) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
84,11007,( Random drop from common levels in mobile games ) ( Normal 10-07) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
85,11008,( Random drop from common levels in mobile games ) ( Normal 10-08) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
86,11009,( Random drop from ordinary levels in mobile games ) ( Normal 10-09) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
87,11010,( Random drop from common levels in mobile games ) ( Normal 10-10) ( Normal levels ),{11=30.1887;12=7.5472;13=1.8868;510=30.1887;511=15.0943;512=3.7736;5000=11.3208},5,53,
88,11101,( Random drop from common levels in mobile games ) ( Normal 11-01) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
89,11102,( Random drop from common levels in mobile games ) ( Normal 11-02) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
90,11103,( Random drop from common levels in mobile games ) ( Normal 11-03) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
91,11104,( Random drop from common levels in mobile games ) ( Normal 11-04) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
92,11105,( Random drop from normal levels in mobile games ) ( Normal 11-05) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
93,11106,( Random drop from common levels in mobile games ) ( Normal 11-06) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
94,11107,( Random drop from common levels in mobile games ) ( Normal 11-07) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
95,11108,( Normal levels of mobile games drop randomly ) ( Normal 11-08) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
96,11109,( Random drop from common levels in mobile games ) ( Normal 11-09) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
97,11110,( Random drop from normal levels in mobile games ) ( Normal 11-10) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
98,11201,( Normal levels of mobile games drop randomly ) ( Normal 12-01) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
99,11202,( Random drop from normal levels in mobile games ) ( Normal 12-02) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
100,11203,( Random drop from ordinary levels in mobile games ) ( Normal 12-03) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
101,11204,( Random drop from normal levels in mobile games ) ( Normal 12-04) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
102,11205,( Random drop from normal levels in mobile games ) ( Normal 12-05) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
103,11206,( Random drop from common levels in mobile games ) ( Normal 12-06) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
104,11207,( Random drop from common levels in mobile games ) ( Normal 12-07) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
105,11208,( Random drop from common levels in mobile games ) ( Normal 12-08) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
106,11209,( Random drop from common levels in mobile games ) ( Normal 12-09) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
107,11210,( Normal levels of mobile games drop randomly ) ( Normal 12-10) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
108,11301,( Random drop from common levels in mobile games ) ( Normal 13-01) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
109,11302,( Random drop from ordinary levels in mobile games ) ( Normal 13-02) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
110,11303,( Random drop from ordinary levels in mobile games ) ( Normal 13-03) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
111,11304,( Random drop from common levels in mobile games ) ( Normal 13-04) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
112,11305,( Random drop from common levels in mobile games ) ( Normal 13-05) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
113,11306,( Random drop from common levels in mobile games ) ( Normal 13-06) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
114,11307,( Random drop from common levels in mobile games ) ( Normal 13-07) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
115,11308,( Random drop from ordinary levels in mobile games ) ( Normal 13-08) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
116,11309,( Random drop from normal levels in mobile games ) ( Normal 13-09) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
117,11310,( Random drop from ordinary levels in mobile games ) ( Normal 13-10) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
118,11401,( Random drop from common levels in mobile games ) ( Normal 14-01) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
119,11402,( Random drop from normal levels in mobile games ) ( Normal 14-02) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
120,11403,( Random drop from ordinary levels in mobile games ) ( Normal 14-03) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
121,11404,( Random drop from common levels in mobile games ) ( Normal 14-04) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
122,11405,( Random drop from normal levels in mobile games ) ( Normal 14-05) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
123,11406,( Random drop from common levels in mobile games ) ( Normal 14-06) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
124,11407,( Random drop from common levels in mobile games ) ( Normal 14-07) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
125,11408,( Random drop from common levels in mobile games ) ( Normal 14-08) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
126,11409,( Random drop from normal levels in mobile games ) ( Normal 14-09) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
127,11410,( Random drop from ordinary levels in mobile games ) ( Normal 14-10) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
128,11501,( Random drop from normal levels in mobile games ) ( Normal 15-01) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
129,11502,( Random drop from common levels in mobile games ) ( Normal 15-02) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
130,11503,( Random drop from common levels in mobile games ) ( Normal 15-03) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
131,11504,( Random drop from common levels in mobile games ) ( Normal 15-04) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
132,11505,( Random drop from normal levels in mobile games ) ( Normal 15-05) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
133,11506,( Random drop from common levels in mobile games ) ( Normal 15-06) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
134,11507,( Random drop from normal levels in mobile games ) ( Normal 15-07) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
135,11508,( Random drop from ordinary levels in mobile games ) ( Normal 15-08) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
136,11509,( Random drop from normal levels in mobile games ) ( Normal 15-09) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
137,11510,( Random drop from normal levels in mobile games ) ( Normal 15-10) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
138,11601,( Random drop from common levels in mobile games ) ( Normal 16-01) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
139,11602,( Random drop from common levels in mobile games ) ( Normal 16-02) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
140,11603,( Random drop from common levels in mobile games ) ( Normal 16-03) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
141,11604,( Random drop from normal levels in mobile games ) ( Normal 16-04) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
142,11605,( Random drop from normal levels in mobile games ) ( Normal 16-05) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
143,11606,( Random drop from common levels in mobile games ) ( Normal 16-06) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
144,11607,( Random drop from ordinary levels in mobile games ) ( Normal 16-07) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
145,11608,( Random drop from normal levels in mobile games ) ( Normal 16-08) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
146,11609,( Random drop from common levels in mobile games ) ( Normal 16-09) ( Normal levels ),{11=29.7398;12=7.4349;13=1.8587;14=0.7435;510=29.7398;511=14.8699;512=3.7175;513=0.7435;5000=11.1524},5,53.8,
