"﻿变量名",name,name_tw,name_en,name_vn,name_kr,icon,cardID,itemID,roleID,skinID,languages,unlockDesc,unlockDesc_tw,unlockDesc_en,unlockDesc_vn,unlockDesc_kr
,Sycamore,布拉塔諾,Sycamore,404404,플라타느 박사,config/portrait/toptouxiang/img_role_30@.png,,,30,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
31,Alain,艾嵐,Alain,404404,알랭,config/portrait/toptouxiang/img_role_31@.png,,,31,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
,Professor Oak,大木博士,Professor Oak,404404,오박사,config/portrait/toptouxiang/img_role_32@.png,,,32,,,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
33,Lange,,,,,config/portrait/toptouxiang/img_role_33@.png,,,33,,<cn>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
34,Mizuki,,,,,config/portrait/toptouxiang/img_role_34@.png,,,34,,<cn>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
35,Kojiro,,,,,config/portrait/toptouxiang/img_role_35@.png,,,35,,<cn>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
36,Musashi,,,,,config/portrait/toptouxiang/img_role_36@.png,,,36,,<cn>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
37,Ash (Christmas),,,,,config/portrait/toptouxiang/img_role_37@.png,,,37,,<cn>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
38,Xiaoxia (Christmas),,,,,config/portrait/toptouxiang/img_role_38@.png,,,38,,<cn>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
39,Lana’s Token (Summer limited),水蓮(夏日限定),Lana’s Token (Summer limited),,,config/portrait/toptouxiang/img_role_39@.png,,,39,,<cn;tw;en;kr>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
40,Gladio,格拉吉欧,,,,config/portrait/toptouxiang/img_role_40@.png,,,40,,<>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
41,mao,玛奥,,,,config/portrait/toptouxiang/img_role_41@.png,,,41,,<cn>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
42,Lillie,莉莉艾,,,,config/portrait/toptouxiang/img_role_42@.png,,,42,,<cn>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
43,Acerola,阿塞萝拉,,,,config/portrait/toptouxiang/img_role_43@.png,,,43,,<cn>,Can be used after unlocking the avatar,解鎖訓練家形象後可使用,Can be used after unlocking the avatar,404404,트레이너 아바타 개방 시 사용 가능
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
900,Pikachu Christmas version,皮卡丘聖誕版,Pikachu Christmas version,404404,피카츄 크리스마스 버전,config/portrait/toptouxiang/img_pkq.png,,2300,,,,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
901,Dedenne Spring version,電電鼠新春版,Dedenne Spring version,404404,데덴네 설날 버전,config/portrait/toptouxiang/img_dds.png,,2301,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
,Piplup,波加曼,Piplup,404404,팽도리,config/portrait/toptouxiang/icon_sd_bjm.png,,2302,,,,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
,Gengar,耿鬼,Gengar,404404,팬텀,config/portrait/toptouxiang/icon_sd_gs.png,,2303,,,,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
904,Squirtle,傑尼龜,Squirtle,404404,꼬부기,config/portrait/toptouxiang/icon_sd_jng.png,,2304,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
905,Meowth,喵喵,Meowth,404404,냐옹,config/portrait/toptouxiang/icon_sd_mm.png,,2305,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
,Rowlet,木木梟,Rowlet,404404,나몰빼미,config/portrait/toptouxiang/icon_sd_mmx.png,,2306,,,,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
907,Bulbasaur,妙蛙種子,Bulbasaur,Diệu con ếch hạt giống,이상해씨,config/portrait/toptouxiang/icon_sd_mwzz.png,,2307,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
,Pikachu,皮卡丘,Pikachu,404404,피카츄,config/portrait/toptouxiang/icon_sd_pkq.png,,2308,,,,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
909,Charmander,小火龍,Charmander,Tiểu hỏa long,파이리,config/portrait/toptouxiang/icon_sd_xhl.png,,2309,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
910,Eevee,伊布,Eevee,404404,이브이,config/portrait/toptouxiang/icon_sd_yb.png,,2310,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
,Umbreon,月精靈,Umbreon,404404,달의 포켓몬,config/portrait/toptouxiang/icon_sd_yjl.png,,2311,,,,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
912,Marshtomp,沼躍魚,Marshtomp,404404,늪짱이,config/portrait/toptouxiang/icon_sd_zyy.png,,2312,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
913,Snorlax Labor Day Exclusive,卡比獸勞動節限定,Snorlax Labor Day Exclusive,404404,잠만보 노동자의 날 한정,config/portrait/toptouxiang/img_wy.png,,2313,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
914,"Children's Day Exclusive Gothita ",歌德寶寶61限定,"Children's Day Exclusive Gothita ",404404,고디탱 61 한정,config/portrait/toptouxiang/img_ly.png,,2314,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
915,Miao Frog Zongzi,妙蛙粽子,404404,404404,이상해씨 연잎밥,config/portrait/toptouxiang/icon_mwzz_tx.png,,2315,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
916,Eat Cakes,吃餅嘛,Eat Cakes,404404,과자 먹을래,config/portrait/toptouxiang/icon_ddzq.png,,2316,,,<cn;tw;kr>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
917,Comparing,比心,404404,404404,손하트,config/portrait/toptouxiang/icon_pkqgq.png,,2317,,,<cn;tw;kr;en>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
918,camouflage,偽裝,Mask,404404,위장,config/portrait/toptouxiang/icon_wsj.png,,2318,,,<cn;tw;kr;en>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
919,Dressed Bear 2020 Christmas Limited,穿著熊2020聖誕限定,404404,404404,이븐곰 2020 크리스마스 한정,config/portrait/toptouxiang/icon_2021sdtx.png,,2319,,,<cn;kr>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
920,Lucky Egg 2021 New Year's Day Limited,吉利蛋2021元旦限定,404404,404404,럭키 2021 새해 한정,config/portrait/toptouxiang/icon_2021ydtx.png,,2320,,,<cn;kr>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
921,Christmas Phantom·Geometric Snowflakes,聖誕魔影·幾何雪花,404,404,404,config/portrait/speedranktouxiang/img_615_jhxhsd@.png,,,,101,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
922,Ice Princess Tianci,冰雪公主·蒂安希,404,404,404,config/portrait/speedranktouxiang/img_719_daxsd@.png,,,,102,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
923,Master Thief Darkrai,怪盜·達克萊伊,"Master Thief Darkrai ",404,도둑·다크라이,config/portrait/speedranktouxiang/img_491_dklygd@.png,,,,104,<cn;tw;kr;en>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
924,Street Fighter·Flying Mantis,街頭拳手·飛天螳螂,404,404,404,config/portrait/speedranktouxiang/img_212_jqtljtqs@.png,,,,105,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
925,Big Milk Tank 2021,大奶罐·2021,404,404,밀크탱크·2021,config/portrait/toptouxiang/img_dng.png,,2321,,,<cn;kr>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
926,Bring the red envelope,紅包拿來,404,404,보너스를 가져오세요,config/portrait/toptouxiang/icon_2021year@.png,,2322,,,<cn;kr>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
927,Get married · 2021,終成眷屬·2021,404,404,발렌타인데이·2021,config/portrait/toptouxiang/icon_qrj_tx.png,,2323,,,<cn;kr>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
928,Fish and Dragon Night Dance·Xanaiduo,魚龍夜舞·沙奈朵,404,404,어룡야무·가디안,config/portrait/speedranktouxiang/img_282_sndyx@.png,,,,106,<cn;tw>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
929,1st Anniversary Pikachu,1周年·皮卡丘,404,404,,config/portrait/toptouxiang/img_pkq_znq.png,,2324,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404405,프로필 획득 후 사용 가능
930,move brick meow meow,搬磚喵喵,404404,404404,404404,config/portrait/toptouxiang/icon_wy_tx.png,,2325,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404405,프로필 획득 후 사용 가능
931,Six Days Naughty Panda,六一·頑皮熊貓,404404,404404,404404,config/portrait/toptouxiang/img_lyetj.png,,2326,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404406,프로필 획득 후 사용 가능
932,Zongye boy,粽葉童子,404404,404404,404404,config/portrait/toptouxiang/icon_dwj2_tx.png,,2327,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404406,프로필 획득 후 사용 가능
933,Demons of the Western Regions: Punish Hoopa,,404404,404404,404404,config/portrait/speedranktouxiang/img_720_cjhppf@.png,,,,108,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404406,프로필 획득 후 사용 가능
934,Summer Pikachu,夏日·皮卡丘,Summer Pikachu,404404,여름· 피카츄,config/portrait/toptouxiang/img_xrj1@.png,,2328,,,<cn;tw;en;kr>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404406,프로필 획득 후 사용 가능
935,Summer Squirtle,夏日·傑尼龜,Summer Squirtle,404404,여름· 꼬부기,config/portrait/toptouxiang/img_xrj2@.png,,2329,,,<cn;tw;en;kr>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404406,프로필 획득 후 사용 가능
936,Fireball Mouse Mid-Autumn Festival,火球鼠·中秋,,,브케인 · 추석,config/portrait/toptouxiang/icon_zqj_tx.png,,2330,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404406,프로필 획득 후 사용 가능
937,Gala Caracalla,盛典·卡拉卡拉,,,,config/portrait/toptouxiang/icon_21gq_tx.png,,2331,,,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404406,프로필 획득 후 사용 가능
938,Silver Sky Armor,銀霄戰甲,404,404,404,config/portrait/speedranktouxiang/img_384_cjlkzpf@.png,,,,111,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
939,street skateboard,街頭滑板,404,404,404,config/portrait/speedranktouxiang/img_448_lklopf@.png,,,,109,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
940,Time Rogue,時間俠盜,404,404,404,config/portrait/speedranktouxiang/img_251_slbpf@.png,,,,110,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
941,ghost captain,幽灵船长,404,404,404,config/portrait/speedranktouxiang/img_94_ggpf@.png,,,,112,<cn>,Can be used after obtaining the avatar,獲得頭像後可使用,Can be used after obtaining the avatar,404404,프로필 획득 후 사용 가능
,,,,,,,,,,,,,,,,
1001,Bulbasaur,妙蛙種子,Bulbasaur,Diệu con ếch hạt giống,이상해씨,config/portrait/speedranktouxiang/img_1_mwzz@.png,1,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1002,Ivysaur,妙蛙草,Ivysaur,404404,이상해풀,config/portrait/speedranktouxiang/img_2_mwc@.png,2,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1003,Venusaur,妙蛙花,Venusaur,404404,이상해꽃,config/portrait/speedranktouxiang/img_3_mwh@.png,3,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1004,Charmander,小火龍,Charmander,Tiểu hỏa long,파이리,config/portrait/speedranktouxiang/img_4_xhl@.png,11,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1005,Charmeleon,火恐龍,Charmeleon,404404,리자드,config/portrait/speedranktouxiang/img_5_hkl@.png,12,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1006,Charizard,噴火龍,Charizard,404404,리자몽,config/portrait/speedranktouxiang/img_6_phl@.png,13,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1009,Squirtle,傑尼龜,Squirtle,404404,꼬부기,config/portrait/speedranktouxiang/img_7_jng@.png,21,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1010,Wartortle,卡咪龜,Wartortle,404404,어니부기,config/portrait/speedranktouxiang/img_8_kmg@.png,22,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1011,Blastoise,水箭龜,Blastoise,404404,거북왕,config/portrait/speedranktouxiang/img_9_sjg@.png,23,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1012,Caterpie,綠毛蟲,Caterpie,404404,캐터피,config/portrait/speedranktouxiang/img_10_lmc@.png,31,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
,Metapod,鐵甲蛹,Metapod,404404,단데기,config/portrait/speedranktouxiang/img_11_tjy@.png,32,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1014,Butterfree,巴大蝶,Butterfree,404404,버터플,config/portrait/speedranktouxiang/img_12_bdd@.png,33,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
,Weedle,獨角蟲,Weedle,404404,뿔충이,config/portrait/speedranktouxiang/img_13_djc@.png,,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
,Kakuna,鐵殼蛹,Kakuna,404404,딱충이,config/portrait/speedranktouxiang/img_14_tky@.png,,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1017,Beedrill,大針蜂,Beedrill,404404,독침붕,config/portrait/speedranktouxiang/img_15_dzf@.png,41,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1018,Pidgey,波波,Pidgey,404404,구구,config/portrait/speedranktouxiang/img_16_bb@.png,51,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1019,Pidgeotto,比比鳥,Pidgeotto,404404,피죤,config/portrait/speedranktouxiang/img_17_bbn@.png,52,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1020,Pidgeot,大比鳥,Pidgeot,404404,피죤투,config/portrait/speedranktouxiang/img_18_dbn@.png,53,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1021,Rattata,小拉達,Rattata,404404,꼬렛,config/portrait/speedranktouxiang/img_19_xld@.png,61,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1022,Raticate,拉達,Raticate,404404,레트라,config/portrait/speedranktouxiang/img_20_ld@.png,62,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1023,Spearow,烈雀,Spearow,404404,깨비참,config/portrait/speedranktouxiang/img_21_lq@.png,71,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
1024,Fearow,大嘴雀,Fearow,404404,깨비드릴조,config/portrait/speedranktouxiang/img_22_dzq@.png,72,,,,,Unlock the Pokédex to get,解鎖對應精靈圖鑒後獲得,Unlock the Pokédex to get,404404,해당 포켓몬 도감 개방 시 획득
