"﻿变量名",name,languages,name_tw,name_en,name_vn,name_kr,logo,res,resAct,resSpine,crossMineResSpine,qFigureres,qRoleSpine,zOrder,resBack,type,showIdx,pos,actPos,desc,desc_tw,desc_en,desc_kr,unlock,unlockDesc,unlockDesc_tw,unlockDesc_en,unlockDesc_vn,unlockDesc_kr,unavalibleDesc,activeCost,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3,skills,activeLevel,hide,hide_tw,hide_en,hide_vn,hide_kr,overture,offPos,chattext1,chattext1_tw,chattext1_en,chattext1_vn,chattext1_kr,chattext2,chattext2_tw,chattext2_en,chattext2_vn,chattext2_kr,chattext3,chattext3_tw,chattext3_en,chattext3_vn,chattext3_kr,crossArenaPos
8,Viola,<cn;kr;en;tw>,紫羅蘭,Viola,404404,비올라,config/portrait/toptouxiang/img_role_8@.png,config/big_role/show/img_role_8@.png,config/big_role/show/img_role_8@.png,figure/ziluolan/ziluolan.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_8@.png,townqrole/ziluolan.skel,,personal/img_bjt.png,2,400,,,"Gym Leader of Santalune Gym in Kalos region, specialized in Bug-type Pokémons",卡洛斯地區白檀市白檀道館道館館主，專長為蟲屬性寶可夢,"Gym Leader of Santalune Gym in Kalos region, specialized in Bug-type Pokémons","""칼로스지방 백단시티 백단체육관의 관장, 벌레 타입 포켓몬 전문이다.""",{1=1},Get by exchanging in Global Indigo Plateau Conference,跨服石英大會內兌換獲得,Get by exchanging in Global Indigo Plateau Conference,404404,글로벌 석영 대회 내 교환으로 획득,,{2208=1},,15,200,,,,,,,<70014>,<1>,,,,,,,,I like to like to photograph everything worth photographing,我喜歡喜歡拍下一切值得拍攝的東西,I enjoy taking pictures of all things that are worth taking.,404404,나는 모든 기억할만한 것을 사진으로 남기는 걸 좋아해,Let me take a picture of your most shining moment!,就讓我來拍下你最閃亮的一刻吧！,Let me capture your best moments!,404404,너가 가장 빛나는 순간을 찍어 줄게!,The secret to winning? That is full of confidence!,獲勝的秘訣？那就是充滿自信！,What's the secret to victory? Confidence!,404404,승리의 비결? 바로 자신감이지!,{x=-55;y=0}
9,Marlon,<cn;kr;en;tw>,西子伊,Marlon,404404,시즈,config/portrait/toptouxiang/img_role_9@.png,config/big_role/show/img_role_9@.png,config/big_role/act/img_role_9@.png,figure/xiziyi/xiziyi.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt1.png,2,750,,,"Seigaiha Gym Leader, specializes in water-type Pokémons.",青海波道館中的道館館主，專長為水屬性寶可夢。,"Seigaiha Gym Leader, specializes in water-type Pokémons.","""기하체육관의 관장, 물 타입 포켓몬 전문이다.""",{1=1},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2209=1},,9,1%,,10,1%,,,,<70007>,<1>,,,,,,,,"the sea! Oh, this beach is awesome!",大海！哦，這片海灘真棒啊！,"It's the sea! Wow, this sea is awesome!",404404,"""바다다! 아, 정말 멋진 바다야!""",My strength is as vast as the sea. You will be shocked! Facts speak louder than words! let us start!,我的強大就像是大海一樣廣闊。你一定會嚇一跳的！事實勝於雄辯！我們開始吧！,My strength is as vast as the sea. You will definitely be surprised! Actions speak louder than words! Let's begin!,404404,내 강함은 바다처럼 넓지. 너는 분명 놀라게 될 거야! 말보다는 행동! 시작하자!,"You are strong, but you are still too small in front of the sea!",你很強，但在大海面前還是太過渺小！,"Although you're strong, you're merely a small fry in this vast ocean!",404404,"""너는 강하지만, 바다 앞에서는 작아 보일 뿐이야!""",{x=-30;y=0}
10,Roxanne,,杜娟,Roxanne,404404,원규,config/portrait/toptouxiang/img_role_10@.png,config/big_role/show/img_role_10@.png,config/big_role/act/img_role_10@.png,figure/dujuan/dujuan.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_10@.png,townqrole/q_dujuan.skel,,personal/img_bjt.png,1,300,,,"Gym Leader of Kanazumi Gym, a scholar who specializes in Rock-type Pokémons.",卡那茲道館的道館館主，學者，專長為岩石屬性寶可夢,"Gym Leader of Kanazumi Gym, a scholar who specializes in Rock-type Pokémons.","""금탄체육관의 관장, 바위 타입 포켓몬 전문이다.""",{1=65},Attain level 65 to unlock,等級到達65級後可解鎖,Attain level 65 to unlock,404404,65레벨 달성 후 개방 가능,,{rmb=880},,1,1%,,,,,,,<>,<>,,,,,,,,"You ask me which attribute of the elf is the best, so do you still have to ask? Of course it is the rock system!",你問我什麼屬性的精靈最好，那還用問麼？當然是岩石系啊！,"You ask me which is the best Pokémon type? Isn't that obvious? The rock-type, of course!",404404,"""나한테 무슨 타입 포켓몬 가장 좋다 물어보다니, 당연한 거 아니야? 당연히 바위 타입이지!""","It seems that someone called me ""a top student who is obsessed with rock!"" Actually, I am not exaggerating that much",好像有人叫我“醉心于岩石的高材生！”，其實我也沒有那麼誇張啦,"I think some people refer to me as ""the outstanding student who is obsessed with rocks"" , but that is an exaggeration",404404,"""누가 나를 “바위와 사랑에 빠진 우등생!”이라고 부르는 것 같던데, 사실 그 정도까지는 아니야""",Can you tell me which Pokémon you want to use and how to fight?,你要使用哪種寶可夢，如何對戰，可以告訴我嗎？,Which Pokémon are you using? How are you gonna fight? Can you tell me?,404404,무슨 포켓몬으로 어떻게 싸울 건지 알려줄 수 있어?,{x=-40;y=0}
11,Colress,<cn>,阿克羅瑪,Colress,404404,아크로마,config/portrait/toptouxiang/img_role_11@.png,config/big_role/show/img_role_11@.png,config/big_role/show/img_role_11@.png,figure/aklm/aklm.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt1.png,2,160,,,A mysterious man who studies the hidden powers and talents of Pokémons.,專注於研究寶可夢隱藏的力量和才能，是個神秘的男人。,A mysterious man who studies the hidden powers and talents of Pokémons.,포켓몬의 숨겨진 힘과 재능에 대해 연구하는 신비한 남자.,{1=1},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2211=1},,1,1%,,,,,,,<70019>,<1>,,,,,,,,satellitehead? i like being called that because i'm a scientist,404,404,404,404,The stones on Route 10 are said to release mystical energies,404,404,404,404,The bond between trainers and elves is very important,404,404,404,404,{x=-160;y=0}
12,Flannery,,亞莎,Flannery,404404,민지,config/portrait/toptouxiang/img_role_12@.png,config/big_role/show/img_role_12@.png,config/big_role/show/img_role_12@.png,figure/yasha/yasha.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_12@.png,townqrole/yasha.skel,,personal/img_bjt.png,2,550,,,"Gym leader of Lavaridge Gym, the official gym of Lavaridge Town, specialized in Fire-type Pokémons","釜炎鎮的官方道館，釜炎道館的道館館主,專長為火屬性精靈","Gym leader of Lavaridge Gym, the official gym of Lavaridge Town, specialized in Fire-type Pokémons","""용암마을 용암체육관의 관장, 불꽃 타입 포켓몬 전문이다.""",{1=1},Exchange in the guild to get,公會內兌換獲得,Exchange in the guild to get,404404,길드 내 교환으로 획득,,{2212=1},,10,1%,,,,,,,<70013>,<1>,,,,,,,,"Although I am the owner of the new human gymnasium, don't underestimate me",雖然我是新人道館館主，別小看我哦,"I am the new gym leader, but do not underestimate my abilities!",404404,"""비록 나는 입문자 체육관 관장이지만, 얕보지는 말라고""",Forcing to speak in a harsh tone is really not suitable for me,強行用嚴厲口氣說話，還真不太適合我,"I have to force myself to speak in a harsher tone, as it really doesn't suit me.",404404,억지로 강경한 말투로 말하는 건 나한테 어울리지 않아,"After a tiring day, go to a hot spring",一天勞累之後，去泡個溫泉吧,Let's go for hot spring after a hard day.,404404,"""하루 종일 고생했으니, 온천에다 몸을 담고 쉬어""",{x=-30;y=0}
13,Hugh,,修,Hugh,404404,휴이,config/portrait/toptouxiang/img_role_13@.png,config/big_role/show/img_role_13@.png,config/big_role/act/img_role_13@.png,figure/xiu/xiu.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_13@.png,,,personal/img_bjt1.png,2,900,,{x=-200;y=0},"One who is passionate about Pokémon battles and becoming stronger, and a good brother who loves his sister.",熱衷於寶可夢對戰和變強，是個疼愛妹妹的好哥哥。,"One who is passionate about Pokémon battles and becoming stronger, and a good brother who loves his sister.","""포켓몬 대전과 강해지는 것에 집착하며, 여동생을 매우 아낀다.""",{5=15},Unlocks at Vip 15,VIP15級可解鎖,Unlocks at Vip 15,404404,VIP 15레벨 개방 가능,,{2213=1},,7,2%,,8,2%,,,,<70006>,<1>,,,,,,,,"Apart from becoming stronger, is there anything else I need to care about!",除了變強，還有什麼別的東西需要在意麼！,"Apart from becoming stronger, are there nothing else that I have to look out for?",404404,"""강해지는 거 말고는, 신경 써야 할 것이 더 있는가!""","If you have time to care about those girls, why not go to special training!",有時間在意那些女生的話不如去特訓啊！,"If you have time to pay attention to those girls, you might as well go for an intensive training!",404404,저 여자애들 챙길 시간이 있으면 차라리 특훈을 하라고!,do not bother me!,別來煩我！,Stop bothering me!,404404,귀찮게 하지 마!,{x=0;y=0}
14,Roxie,,霍米加,Roxie,404404,보미카,config/portrait/toptouxiang/img_role_14@.png,config/big_role/show/img_role_14@.png,config/big_role/show/img_role_14@.png,figure/huomijia/huomijia.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_14@.png,townqrole/q_huomijia.skel,,personal/img_bjt.png,2,450,,,"Virbank Gym Leader, specializes in Poison-type Pokémons",立湧道館的道館館主，專長為毒屬性寶可夢,"Virbank Gym Leader, specializes in Poison-type Pokémons","""모란만체육관의 관장, 독 타입 포켓몬 전문이다.""",{1=1},Obtain by exchanging in Indigo Plateau Conference,石英大會內兌換獲得,Obtain by exchanging in Indigo Plateau Conference,404404,석영 대회 내 교환으로 획득,,{2214=1},,13,24,,,,,,,<70009>,<1>,,,,,,,,"Poison plays my life, poison plays the stage!",毒奏吾命，毒奏舞臺！,"Poison is my life, poison is my stage!",404404,독은 삶이자 나의 무대이지!,let's go! ! I want to blow your rationality away! !,上吧！！我要打爆你的理性！！,Let's start!! I'mma crush your reasoning!!,404404,가라!! 너의 이성을 터트려 주겠어!!,Wait a moment! Still tuning!,等一下！還在調音！,Wait! I'm still adjusting the sound!,404404,잠깐! 음조절 중이라고!,{x=-100;y=150}
15,Bianca,,白露,Bianca,404404,벨,config/portrait/toptouxiang/img_role_15@.png,config/big_role/show/img_role_15@.png,config/big_role/act/img_role_15@.png,figure/bailu/bailu.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_15@.png,townqrole/q_bailu.skel,,personal/img_bjt.png,2,730,,,A girl who always have her way gets troubled at times because she's uncertain of her dreams.,一個我行我素的女孩，有時會因為看不清自己的夢想而煩惱。,A girl who always have her way gets troubled at times because she's uncertain of her dreams.,"""자유분방한 성격의 소녀, 자신의 꿈에 대해 확신을 갖지 못해 고민하곤 한다.""",{1=1},Put in for Special Event,特殊活動投放,Put in for Special Event,Đặc thù hoạt động tung ra,특수 이벤트 지급,,{2215=1},,1,1%,,8,1%,,,,<70015>,<1>,,,,,,,,"Come on, let's fight!",來吧，對戰吧！,"Well ,let's battle!",404404,"""좋아, 나랑 대결하자!""","Can I win the gymnasium next time, I am uneasy",下次道館賽能不能贏呢，不安,"Can I win, I'm not sure.",404404,"""다음 체육관 대회에서 이길 수 있을까, 불안하네""",Isn't it common sense to wear a hand-knitted sweater for your elf?,要為自己的精靈穿上親手織的毛衣不是常識麼！,It's my duty.,404404,자신의 포켓몬에게 직접 만든 스웨트를 입혀주는 건 상식이지!,{x=0;y=0}
16,Korrina,,可爾妮,Korrina,404404,코르니,config/portrait/toptouxiang/img_role_16@.png,config/big_role/show/img_role_16@.png,config/big_role/act/img_role_16@.png,figure/keerni/keerni.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_16@.png,townqrole/q_keerni.skel,,personal/img_bjt.png,2,850,,,"Gym Leader of the Shalour Gym in Kalos region, specializes in Fighting-typing Pokémons",卡洛斯地區娑羅市道館的道館館主，專長為格鬥屬性寶可夢,"Gym Leader of the Shalour Gym in Kalos region, specializes in Fighting-typing Pokémons","""칼로스지방 사라시티 체육관의 관장, 격투 타입 포켓몬 전문이다.""",{5=11},Unlocks at VIP 11,VIP11級可解鎖,Unlocks at VIP 11,404404,VIP 11레벨 개방 가능,,{2216=1},,1,2%,,,,,,,<70005>,<1>,,,,,,,,Just kidding!,開玩笑的啦！,Just kidding!,404404,장난이야!,Your fetters can exert unprecedented power!,你們的羈絆，可以發揮空前絕後的力量！,Your bonds are strong enough to unleash formidable power!,404404,"""너희의 유대는, 유례 없는 힘을 발휘할 수 있어!""","Give each other courage, care for each other, as long as you have such kindness, you will definitely be able to show a smiling face!",互相給予勇氣，互相關心對方，只要有這樣的善良，就一定能展現出笑臉！,"Encourage each other and care for each other. I'm sure that as long as you show such kindness, you will be able to bring smiles to faces!",404404,"""서로 용기를 불어주고, 서로에게 관심을 주는 그런 선량함만 있다면, 반드시 웃게 만들 수 있어!""",{x=-80;y=50}
17,Dana,<cn;kr;en;tw>,蘭晝妮,Dana,404404,라쥬르네,config/portrait/toptouxiang/img_role_17@.png,config/big_role/show/img_role_17@.png,config/big_role/act/img_role_17@.png,figure/lanzhouni/lanzhouni.skel,crossmine/q_xiaozhi.skel,,,,personal/img_bjt.png,2,280,,,"One of the leaders of the Battle Maison, the second eldest of the Battle Chatelaine.",對戰宅第的對戰女城主之一，四姊妹中的次女,"One of the leaders of the Battle Maison, the second eldest of the Battle Chatelaine.","""배틀하우스의 배틀샤틀레느 중 한 명, 4자매의 차녀.""",{1=1},Obtain in Battle Arena,對戰競技場內獲得,Obtain in Battle Arena,404404,대전 경기장 상점에서 획득 가능,,{2217=1},,8,1%,,,,,,,<70016>,<1>,,,,,,,,Heart fire is ignited,心火被點燃了呢,Fire in my heart is burning right now,404404,마음의 불은 피었네.,My younger sister is too shy to play doubles together,妹妹太靦腆了，一起打雙打對決都沒什麼話,"Evelyn is too shy, she don't speak much even in Double Battle",404404,동생 너무 수줍어서 복식 대결해도 아무 말 없네.,You can't lose against the female castellan of the mansion,對戰宅第女城主是不會輸的,Battle Chatelaine will never lose,404404,저택 여성주에게 질 리가 없죠.,{x=20;y=50}
18,Evelyn,<cn;kr;en;tw>,露夕華,Evelyn,404404,르수아르,config/portrait/toptouxiang/img_role_18@.png,config/big_role/show/img_role_18@.png,config/big_role/act/img_role_18@.png,figure/luxihua/hero_luxihua.skel,crossmine/q_xiaozhi.skel,config/portrait/qbanrenwu/img_role_18@.png,townqrole/luxihua.skel,,personal/img_bjt.png,2,260,,{x=-160;y=0},"One of the leaders of the Battle Maison, the third eldest of the Battle Chatelaine.",對戰宅第的對戰女城主之一，四姊妹中的三女,"One of the leaders of the Battle Maison, the third eldest of the Battle Chatelaine.","""배틀하우스의 배틀샤틀레느 중 한 명, 4자매의 삼녀.""",{1=1},Obtain in Battle Arena,對戰競技場內獲得,Obtain in Battle Arena,404404,대전 경기장 상점에서 획득 가능,,{2218=1},,10,1%,,,,,,,<70017>,<1>,,,,,,,,"I heard that someone won the championship with Patch, do you know the details?",聽說有人用小帕奇贏了冠軍賽，你知道詳情麼,"I heard that some won the final with Pachirisu, did you know that?",404404,"누가 작은 파치로 챔피언 결정전을 이겼다고 하던데, 알고 있어요?","Little Patch is so cute, how could he be called a devil?",小帕奇那麼可愛，怎麼會被叫成惡魔嘛,How could people call Pachirusu demon since it was so cute,404404,파기가 그렇게 귀여운데 어떻게 악마라고 불릴 수 있어?,Let's leave it to the sisters to communicate.,交流的事情還是交給姐姐們吧,Leave the communication to the sisters,404404,교류하는 일은 언니들에게 맡기자.,{x=-40;y=50}
