变量名,_beizhu,_comment,stage,specialName,startSceen,startLevel,startGate,extendCondition,order,service,award,awardChoose,showAward,gotoScene,gotoStep,outDelay,showType,force,useRoleFigure,unitId,offPos,headRes,headPos,roleName,roleName_tw,roleName_en,roleName_kr,talkContent,talkContent_tw,talkContent_en,talkContent_vn,talkContent_kr,bgRes,__tagName,tagName,jumpToNode,animate,animateAngle,animatePos,battleEnter,anyPosCancel,lightSize,chooseDesc1,choose1,chooseDesc2,choose2
113,113,The first battle - guide click on the level interface,11,,,,,,,,,,,,,,,1,,,{x=450;y=250},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,A journey of a thousand miles begins with a single step. Tap here to begin your adventure.,千里之行，始於足下，請點擊這裡開始你的冒險之旅吧,A journey of a thousand miles begins with a single step. Tap here to begin your adventure.,,그럼 여길 눌러서 모험을 시작해 로토.,,主界面关卡,<rightBottomPanel;btnPve>,,effect/shouyindao.skel,150,,,,,,,,
114,114,First battle - guide selection level,11,,,,,,,,,,,,,1,,2,,,{x=0;y=300},login/new_character/img_tjltm@.png,{x=0;y=300},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to select the level.,點擊這裡，選擇將要進入的關卡,Tap here to select the level.,,입장할 스테이지를 선택해 로토.,,1-1关卡,<pageView;page1;gate1>,,effect/shouyindao.skel,,,,,,,,,
,,The first battle - guide level details,11,,,,,,,,,,,,,0.1,,1,,,{x=-200;y=0},login/new_character/img_tjltm@.png,{x=-200;y=0},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,There are many information of the levels here.,這裡有關卡的各種情報哦,There are many information of the levels here.,,여기서 스테이지의 정보를 볼 수 있어 로토.,,,,,,,,,,{width=6240;height=2880},,,,
115,115,First Battle - Guided Tap Challenge,11,,,,,,,,,,,,,0.1,,1,,,{x=100;y=0},login/new_character/img_tjltm@.png,{x=0;y=300},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to prepare for battle.,點擊這裡，讓我們開始為戰鬥準備,Tap here to prepare for battle.,,그럼 여길 터치해 전투 준비를 시작하자 로토.,,挑战,<rightDown;btnChallenge>,,effect/shouyindao.skel,,,{1=0},,,,,,
116,116,The first battle - guide formation,11,,,,,,,,,,,,,0.1,,2,,,{x=-600;y=100},login/new_character/img_tjltm@.png,{x=0;y=100},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,#C0xE77421#Tap#C0x5B545B# the Pokémon avatar icon here to send it out for battle.,#C0xE77421#點擊#C0x5B545B#這裡的精靈頭像圖示，上陣你的精靈吧,#C0xE77421#Tap#C0x5B545B# the Pokémon avatar icon here to send it out for battle.,,여기 있는 포켓몬 프로필을 #C0xE77421#터치#C0x5B545B#해 포켓몬을 출전시켜 봐 로토.,,,<list;item2>,,effect/shouyindao.skel,,,,,,,,,
117,117,First fight - guide to start the fight,11,,,,,,,3,,,,,,,,,,,{x=0;y=150},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Now that you have your line-up, tap here to start the battle.",佈置好你的陣容了，那就點擊這裡開始戰鬥吧。,"Now that you have your line-up, tap here to start the battle.",,라인업 배치를 끝내고 여길 터치해 전투를 시작하자 로토.,,布阵完成后的挑战,<btnChallenge>,,effect/shouyindao.skel,,,{1=92},,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{width=6240;height=2880},,,,
120,120,blank,12,,battle.battle_end.win,2,,finish(11) and not finish(13),,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,121,First Battle - Upgrade Blank Boot,12,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,<back>,,,,,,,,,,,
122,122,First battle - return to level,12,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,<backBtn>,,effect/shouyindao.skel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131,Initial Card Draw - Dialogue,13,,,,,,,,,,,1,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,,,,,There are all sorts of Pokémons in this magical world. Don't you want to catch more of them?,在這個神奇的世界裡，存在著各種各樣的精靈，你想不想擁有更多的精靈呢？,There are all sorts of Pokémons in this magical world. Don't you want to catch more of them?,,이 신비한 세계에서는 다양한 포켓몬이 존재한다 로토. 더 많은 포켓몬을 얻고 싶지 않아 로토?,,,,,,,,,,,,,,
132,132,Initial Card Draw - Dialogue,13,,,,,,,,,,,1,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,,,,,Let's try drawing some cards and summon new Pokémons!,讓我們去試試抽卡召喚新的精靈吧！,Let's try drawing some cards and summon new Pokémons!,,그럼 포켓몬 뽑기로 새로운 포켓몬을 소환해 보자 로토!,,,,,,,,,,,,,,
133,133,Initial card draw - main city,13,,,,,,,,,,,,,0.1,,2,,,{x=-200;y=300},login/new_character/img_tjltm@.png,{x=-200;y=300},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to enter the Card Draw interface.,點擊這裡，進入抽卡介面。,Tap here to enter the Card Draw interface.,,뽑기 메뉴로 들어가 봐 로토.,,抽卡,<centerBottomPanel;actionList;drawCard>,,effect/shouyindao.skel,270,,,,,,,,
134,134,Initial card draw—single draw,13,,,,,,,1,,,,,,0.1,,2,,,{x=-200;y=300},login/new_character/img_tjltm@.png,{x=-200;y=300},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to draw a card!,點擊這裡開始抽卡吧！,Tap here to draw a card!,,터치해서 뽑기를 시작해봐 로토!,,单抽,<drawOnePanel>,,effect/shouyindao.skel,270,,,,,,,,
135,135,blank,13,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,136,blank,13,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,137,Sure,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<baseNode;btnOk>,,effect/shouyindao.skel,270,,,,,,,,
138,138,Initial Card Draw—Story,13,,city.view,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Congratulations on getting a new Pokémon, let's add it to the line-up!",恭喜你獲得了新精靈，讓我們把它加入陣容吧！,"Congratulations on getting a new Pokémon, let's add it to the line-up!",,"""축하해, 새로운 포켓몬을 획득했어 로토. 그럼 어서 라인업에 추가해 보자 로토!""",,,,,,,,,,,,,,
139,139,Main city layout - return to the main interface,13,,,,,,,,,,,1,,0.1,,2,,,{x=0;y=100},login/new_character/img_tjltm@.png,{x=0;y=100},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,#C0xE77421#Tap#C0x5B545B# here to return to the main interface.,#C0xE77421#點擊#C0x5B545B#這裡，返回主介面,#C0xE77421#Tap#C0x5B545B# here to return to the main interface.,,여길 #C0xE77421#터치#C0x5B545B#해 메인화면으로 돌아가 로토.,,,<leftTopPanel;back>,,effect/shouyindao.skel,,,,,,,,,
,,Initial card draw - get new cards,13,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Initial card draw - congratulations on getting a new card,13,,,,,,,,,,,1,,,2,2,<32>,,,,,,,,,"Congratulations on getting a new card, let's add it to the lineup.",恭喜你獲得了新卡牌，讓我們把他加入陣容吧,"Congratulations on getting a new card, let's add it to the lineup.",,"""축하해, 새로운 카드을 획득했어 로토. 그럼 어서 라인업에 추가해 보자 로토.""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,141,Formation in the main city-plot dialogue,14,,,,,,,,,,,1,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Let's add the new Pokémon into the line-up.,讓我們把新精靈加入佈陣吧,Let's add the new Pokémon into the line-up.,,새로운 포켓몬을 라인업에 추가해 보자 로토.,,,,,,,,,,,,,,
142,142,Formation in the main city-plot dialogue,14,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,You can also quickly adjust the formation through the formation entrance in the main city.,通過主城上的編隊入口也可以快捷進行佈陣調節,You can also quickly adjust the formation through the formation entrance in the main city.,,메인 시티의 편성 경로를 통해서도 라인업을 수정할 수 있어 로토.,,,,,,,,,,,,,,
143,143,Formation in the main city - enter the formation,14,,,,,,,,,,,,,0.1,,2,,,{x=-200;y=300},login/new_character/img_tjltm@.png,{x=-200;y=300},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to adjust the formation.,點擊這裡進入佈陣,Tap here to adjust the formation.,,라인업 메뉴로 입장해 로토.,,单抽,<centerBottomPanel;actionList;team>,,effect/shouyindao.skel,270,,,,,,,,
144,144,Main city formation - guide formation,14,,,,,,,,,,,,,0.1,,2,,,{x=0;y=100},login/new_character/img_tjltm@.png,{x=0;y=100},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,#C0xE77421#Tap#C0x5B545B# here to begin quick adjustment of formation.,#C0xE77421#點擊#C0x5B545B#這裡，可以進行快速佈陣,#C0xE77421#Tap#C0x5B545B# here to begin quick adjustment of formation.,,여길 #C0xE77421#터치#C0x5B545B#하면 퀵 라인업을 진행할 수 있어 로토.,,,<rightDown;btnOneKeySet>,,effect/shouyindao.skel,,,,,,,,,
145,145,Main city layout - return to the main interface,14,,,,,,,1,,,,,,0.1,,2,,,{x=0;y=100},login/new_character/img_tjltm@.png,{x=0;y=100},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,#C0xE77421#Tap#C0x5B545B# here to return to the main interface.,#C0xE77421#點擊#C0x5B545B#這裡，返回主介面,#C0xE77421#Tap#C0x5B545B# here to return to the main interface.,,여길 #C0xE77421#터치#C0x5B545B#해 메인화면으로 돌아가 로토.,,,<leftTopPanel;back>,,effect/shouyindao.skel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,151,Level 1-2-Main City Arrival,15,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Next, let's continue with our adventure.",接下來，讓我們繼續冒險,"Next, let's continue with our adventure.",,그럼 이제 모험을 계속해 보자 로토.,,,,,,,,,,,,,,
152,152,Level 1-2- Guide to click on the level interface,15,,,,,,,,,,,,,,,1,,,{x=450;y=250},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to enter the level.,點擊這裡進入關卡,Tap here to enter the level.,,스테이지로 입장해 로토.,,主界面关卡,<rightBottomPanel;btnPve>,,effect/shouyindao.skel,150,,,,,,,,
153,153,Level 1-2-Guide selection level,15,,,,,,,,,,,,,2,,2,,,{x=0;y=300},login/new_character/img_tjltm@.png,{x=0;y=300},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to select the level.,點擊這裡，選擇將要進入的關卡,Tap here to select the level.,,입장할 스테이지를 선택해 로토.,,1-1关卡,<pageView;page1;gate2>,,effect/shouyindao.skel,,,,,,,,,
154,154,Level 1-2 - Guided Tap Challenge,15,,,,,,,,,,,,,0.1,,1,,,{x=100;y=0},login/new_character/img_tjltm@.png,{x=0;y=300},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to prepare for battle.,點擊這裡，讓我們開始為戰鬥準備,Tap here to prepare for battle.,,그럼 여길 터치해 전투 준비를 시작하자 로토.,,挑战,<rightDown;btnChallenge>,,effect/shouyindao.skel,,,,,,,,,
155,155,Level 1-2- Guide to start the battle,15,,,,,,,3,,,,,,,,,,,{x=0;y=150},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,"Now that you have your line-up, tap here to start the battle.",佈置好你的陣容了，那就點擊這裡開始戰鬥吧。,"Now that you have your line-up, tap here to start the battle.",,라인업 배치를 끝내고 여길 터치해 전투를 시작하자 로토.,,布阵完成后的挑战,<btnChallenge>,,effect/shouyindao.skel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,160,blank,16,,battle.battle_end.win,3,,finish(15) and not finish(16),,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,161,Level 1-2 - Upgrade Blank Guide,16,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,<back>,,,,,,,,,,,
162,162,Level 1-2-Elf Upgrade-Story Dialogue,16,,,,,,,,,,,,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,We've got the Pokémon material for the breakthrough. Let's give it a try!,我們得到了用於突破的精靈材料，快去試試吧,We've got the Pokémon material for the breakthrough. Let's give it a try!,,포켓몬의 돌파 재료를 획득했어 로토. 어서 시험해 보자!,,,,,,,,,,,,,,
163,163,Level 1-2- Return to the main city,16,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,<backBtn>,,effect/shouyindao.skel,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,171,Elves Ascension-Story Dialogue,17,,,,,,,,,,,1,,,2,2,,,{x=0;y=700},login/new_character/img_tjltm@.png,,Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Breakthrough to enhance the strength of the Pokémons and have higher combat power.,突破可以提升精靈實力，擁有更高的戰鬥力,Breakthrough to enhance the strength of the Pokémons and have higher combat power.,,돌파를 진행하면 포켓몬의 전투력을 높일 수 있어 로토.,,,,,,,,,,,,,,
172,172,Elves upgrade - open the backpack,17,,,,,,,,,,,,,0.1,,1,,,{x=-100;y=100},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to open the bag.,點擊這裡進入精靈背包,Tap here to open the bag.,,포켓몬 가방을 열어 봐 로토.,,精灵背包,<centerBottomPanel;actionList;cardBag>,,effect/shouyindao.skel,150,,,,,,,,
173,173,Elves upgrade - choose the first elf,17,,,,,,,,,,,,,0.1,,2,,,{x=0;y=400},login/new_character/img_tjltm@.png,{x=0;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to enter the Pokémon enhancement interface.,點擊這裡進入精靈的強化介面,Tap here to enter the Pokémon enhancement interface.,,이번엔 여길 터치해 포켓몬 강화 메뉴로 입장해 로토.,,第一个精灵,<centerPanel;cardList;subList;cardItem1>,,effect/shouyindao.skel,,,,,,,,,
174,174,Elves upgrade - click on the breakthrough tab,17,,,,,,,,,,,,,0.1,,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Tap here to open the Breakthrough interface.,點一下這裡，打開突破面板。,Tap here to open the Breakthrough interface.,,여길 터치하면 돌파 메뉴를 열 수 있어 로토.,,升级,<right;list;advance;btnNormal>,,effect/shouyindao.skel,,,,,,,,,
175,175,Elves upgrade - click the breakthrough button,17,,,,,,,,,,,,,0.1,,1,,,{x=-100;y=400},login/new_character/img_tjltm@.png,{x=-100;y=400},Rotom Pokédex,圖鑒洛托姆,Rotom Pokédex,로토무 도감,Click here to breakthrough.,點擊這裡進行突破,Click here to breakthrough.,,돌파를 진행해 로토.,,经验药水,<panel;btnUp>,,effect/shouyindao.skel,,,,,,,,,
176,176,Genie Upgrade - Blank Button,17,,,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,177,Genie Upgrade - Blank Button,17,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
