"﻿变量名",_mailType,tab,icon,sender,sender_tw,sender_en,sender_vn,sender_kr,subject,subject_tw,subject_en,subject_vn,subject_kr,content,content_tw,content_en,content_vn,content_kr,attachs,special
9,Daily Login Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Daily login reward,每日登陸獎勵,Daily login reward,Mỗi ngày đăng lục ban thưởng,일일 로그인 보상,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,"Thân ái tiểu đồng bọn:\n    Cảm tạ ngài hôm nay đăng lục, ban thưởng đã theo bưu kiện gửi đi, mời kịp thời kiểm tra và nhận.\n    Chúc ngài trò chơi vui sướng!",트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,{rmb=3000;gold=100000;vip=5},
10,Daily Login Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Daily login reward,每日登陸獎勵,Daily login reward,Mỗi ngày đăng lục ban thưởng,일일 로그인 보상,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,"Thân ái tiểu đồng bọn:\n    Cảm tạ ngài hôm nay đăng lục, ban thưởng đã theo bưu kiện gửi đi, mời kịp thời kiểm tra và nhận.\n    Chúc ngài trò chơi vui sướng!",트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,{rmb=3000;gold=100000;vip=7},
11,Test package delivery email,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,"Trial Pack, for trial usage",測試禮包，測試專用,"Trial Pack, for trial usage","Khảo thí gói quà, khảo thí chuyên dụng","""테스트 패키지, 테스트 전용""",,,,,,{37=99},
12,compensation mail,2,,Shy Programmer,羞愧的程式猿,Shy Programmer,Xấu hổ lập trình viên,소심한 개발자,"""You're the MVP"" Compensation Pack",“給您跪了”補償禮包,"""You're the MVP"" Compensation Pack",Cho ngài quỳ đền bù gói quà,“MVP” 보상 패키지,"Dear trainers: \n    Maintenance of the server is completed! As we opened ""a can of worms"", many bugs appeared and have caused unnecessary problems and losses to the trainers. Therefore, we will be giving trainers some rewards as a token of apology. Please check your mail to receive it. \n    As this is our first test, we thank you for your understanding!",親愛的小夥伴:\n    現在伺服器已維護完畢！由於我們的工作人員打開了“暗黑之門”，放出了很多BUG，給您造成了不必要麻煩和損失，現特此對您進行補償，補償內容已隨郵件發送，請及時查收。\n    首次測試，希望獲得您的諒解!,"Dear trainers: \n    Maintenance of the server is completed! As we opened ""a can of worms"", many bugs appeared and have caused unnecessary problems and losses to the trainers. Therefore, we will be giving trainers some rewards as a token of apology. Please check your mail to receive it. \n    As this is our first test, we thank you for your understanding!","Thân ái tiểu đồng bọn:\n   Hiện tại Server đã giữ gìn hoàn tất! Bởi vì công việc của chúng ta nhân viên mở ra hắc ám chi môn, thả ra rất nhiều BUG, cho ngài tạo thành không tất yếu phiền phức cùng tổn thất, hiện nhân đây đối với ngài tiến hành đền bù, đền bù nội dung đã theo bưu kiện gửi đi, mời kịp thời kiểm tra và nhận.\n    Lần đầu khảo thí, hi vọng thu hoạch được ngài thông cảm!",트레이너님: \n   서버 점검이 완료되었습니다! 작업자들이 “어둠의 문”을 열어 발생한 버그로 불편함을 끼쳐드려 대단히 죄송합니다. 이에 대한 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   첫 테스트입니다. 많은 양해 바랍니다!,{rmb=300;gold=50000},
13,system mail,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,System Annoucement,系統公告,System Annoucement,Hệ thống thông cáo,시스템 공지,"Dear trainers:\n    In order to ensure a seamless gaming experience, the server will be rebooting from 16:30-16:45 to fix some issues. When the sever reopens, please check your mail to claim the compensation reward for the disruption. n    Happy gaming!",親愛的小夥伴:\n    為了能讓您更流暢的體驗遊戲，伺服器將在16:30——16:45重啟，進行部分問題修復。重新開服後，補償獎勵將會發送到您的信箱中，屆時，請您及時查收。\n    祝您遊戲愉快!,"Dear trainers:\n    In order to ensure a seamless gaming experience, the server will be rebooting from 16:30-16:45 to fix some issues. When the sever reopens, please check your mail to claim the compensation reward for the disruption. n    Happy gaming!","Thân ái tiểu đồng bọn:\n   Vì có thể để cho ngài càng trôi chảy thể nghiệm trò chơi, Server sẽ tại 16:30——16:45 Khởi động lại, tiến hành bộ phận vấn đề chữa trị. Một lần nữa khai phục sau, đền bù ban thưởng sẽ gửi đi đến ngài trong email, đến lúc đó, xin ngài kịp thời kiểm tra và nhận.\n    Chúc ngài trò chơi vui sướng!","""트레이너님: \n    쾌적한 게임 체험을 위해 서버가 16:30~16:45에 재시작되며, 일부 문제에 대한 해결을 진행합니다. 서버 개방 후 보상이 우편으로 지급될 예정입니다. 지급 시 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
14,system mail,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,"""Heirloom"" Pack",“傳家寶”禮包,"""Heirloom"" Pack",Bảo vật gia truyền gói quà,“전가보” 패키지,"Dear trainers:\n    We apologize for this late Heirloom Pack, but good things are worth the wait! Please check your mail to claim the mysterious Heirloom Pack.\n    Happy gaming!",親愛的小夥伴:\n    請您諒解這份遲來的傳家包禮包，但該來的總會來，神秘的“傳家寶”禮包已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainers:\n    We apologize for this late Heirloom Pack, but good things are worth the wait! Please check your mail to claim the mysterious Heirloom Pack.\n    Happy gaming!","Thân ái tiểu đồng bọn:\n   Xin ngài thông cảm phần này đến chậm gia truyền bao gói quà, nhưng nên đến kiểu gì cũng sẽ đến, thần bí bảo vật gia truyền gói quà đã theo bưu kiện gửi đi, mời kịp thời kiểm tra và nhận.\n    Chúc ngài trò chơi vui sướng!",트레이너님: \n   가보 선물의 지급이 늦어져 죄송합니다. 신비한 “가보” 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,{40=1},
15,Daily Login Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Daily login reward,每日登陸獎勵,Daily login reward,Mỗi ngày đăng lục ban thưởng,일일 로그인 보상,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,"Thân ái tiểu đồng bọn:\n    Cảm tạ ngài hôm nay đăng lục, ban thưởng đã theo bưu kiện gửi đi, mời kịp thời kiểm tra và nhận.\n    Chúc ngài trò chơi vui sướng!",트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,{card=21},
16,Daily Login Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Daily login reward,每日登陸獎勵,Daily login reward,Mỗi ngày đăng lục ban thưởng,일일 로그인 보상,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,"Thân ái tiểu đồng bọn:\n    Cảm tạ ngài hôm nay đăng lục, ban thưởng đã theo bưu kiện gửi đi, mời kịp thời kiểm tra và nhận.\n    Chúc ngài trò chơi vui sướng!",트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,{21002=30},
17,Daily Login Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Closed Beta extension login reward,封測延長登陸獎勵,Closed Beta extension login reward,Closed Beta kéo dài đăng lục ban thưởng,클로즈베타 연장 로그인 보상,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,"Thân ái tiểu đồng bọn:\n    Cảm tạ ngài hôm nay đăng lục, ban thưởng đã theo bưu kiện gửi đi, mời kịp thời kiểm tra và nhận.\n    Chúc ngài trò chơi vui sướng!",트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,{21002=30;rmb=3000;gold=600000;vip=8},
18,Daily Login Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Closed Beta extension login reward,封測延長登陸獎勵,Closed Beta extension login reward,Closed Beta kéo dài đăng lục ban thưởng,클로즈베타 연장 로그인 보상,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,"Thân ái tiểu đồng bọn:\n    Cảm tạ ngài hôm nay đăng lục, ban thưởng đã theo bưu kiện gửi đi, mời kịp thời kiểm tra và nhận.\n    Chúc ngài trò chơi vui sướng!",트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,{21002=30;rmb=3000;gold=600000;vip=9},
19,Daily Login Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Closed Beta extension login reward,封測延長登陸獎勵,Closed Beta extension login reward,Closed Beta kéo dài đăng lục ban thưởng,클로즈베타 연장 로그인 보상,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登陸，獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. Please claim the login rewards in your mail.\n    Happy gaming!,"Thân ái tiểu đồng bọn:\n    Cảm tạ ngài hôm nay đăng lục, ban thưởng đã theo bưu kiện gửi đi, mời kịp thời kiểm tra và nhận.\n    Chúc ngài trò chơi vui sướng!",트레이너님: \n   오늘 로그인에 대한 감사 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,{21002=30;rmb=3000;gold=600000;vip=10},
20,Guild Dungeon Clearance Mail,2,,union,公會,union,Công hội,길드,union Dungeon Clearance Reward,公會副本通關獎勵,union Dungeon Clearance Reward,Công hội phó bản thông quan ban thưởng,길드 던전 클리어 보상,"Dear trainer:\n    %s of this union has successfully cleared the %s(%s) of level %s. Please check mail to claim your rewards. Other members, keep up the good work and see you soon at the top.\n    Happy gaming!",親愛的會員:\n    本公會的%s順利通過%s(%s)第%s關，獎勵已隨郵件發送，請及時查收。望其他成員再接再厲，勇攀高峰。\n    祝您遊戲愉快!,"Dear trainer:\n    %s of this union has successfully cleared the %s(%s) of level %s. Please check mail to claim your rewards. Other members, keep up the good work and see you soon at the top.\n    Happy gaming!","Thân ái hội viên:\n   Bản công hội %s Thuận lợi thông qua %s(%s) Thứ %s Quan, ban thưởng đã theo bưu kiện gửi đi, mời kịp thời kiểm tra và nhận. Nhìn theo hắn thành viên không ngừng cố gắng, dũng trèo cao phong.\n    Chúc ngài trò chơi vui sướng!","""트레이너님: \n   본 길드의 %s 님이 %s(%s) 스테이지%s 클리어에 성공하였으며, 보상을 우편으로 지급합니다. 제때 수령해 주세요. 다른 트레이너들도 계속 분발해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
21,Guild Dungeon Quick Clearance Mail,2,,union,公會,union,Công hội,길드,union Dungeon Quick Clearance Reward,公會副本快速通關獎勵,union Dungeon Quick Clearance Reward,Công hội phó bản nhanh chóng thông quan ban thưởng,길드 던전 쾌속 클리어 보상,Dear member: \n    Good job!\n    %s has swiftly cleared the %s(%s) of level %s. Please check mail for additional rewards. We hope all union members can keep up the good work.\n    Good luck!,親愛的會員:\n    幹的漂亮！\n    本公會的%s快速通過%s(%s)第%s關，額外獎勵已隨郵件發送，請及時查收。望其他成員再創奇跡。\n    祝您遊戲愉快!,Dear member: \n    Good job!\n    %s has swiftly cleared the %s(%s) of level %s. Please check mail for additional rewards. We hope all union members can keep up the good work.\n    Good luck!,"Thân ái hội viên:\n    Làm cho gọn gàng vào!\n   Bản công hội %s Nhanh chóng thông qua %s(%s) Thứ %s Quan, khen thưởng thêm đã theo bưu kiện gửi đi, mời kịp thời kiểm tra và nhận. Nhìn theo hắn thành viên lại sáng tạo kỳ tích.\n    Chúc ngài trò chơi vui sướng!","""트레이너님: \n   대단해요!\n   본 길드의 %s 님이 신속하게 %s(%s) 스테이지%s 클리어에 성공하였으며, 추가 보상을 우편으로 지급합니다. 제때 수령해 주세요. 다른 트레이너들도 새로운 기록에 도전해 보세요. \n   즐거운 게임 되시길 바랍니다!""",,
22,Test recharge return email,2,,Angewomon,天女獸,Angewomon,404404,엔젤우몬,Get double returns for making purchases during beta testing,刪檔測試儲值雙倍返還,Get double returns for making purchases during beta testing,404404,베타테스트 충전 2배 반환,"#C0xffe672##F24#Dear trainers:\n    \n   With your support for the Great Pokémon Adventure, we present you the permanent account testing.  In order to give back to the Pokémon trainers who have went through a journey with us in the digital world, we hereby refund double of your purchase amount during the temporary testing period (gift diamonds are not included in the refund, double refund can only be collected in one server). \n    The chosen ones, you may now begin your adventure!\n   By the Great Pokémon Adventure Game Developers",#C0xffe672##F24#親愛的馴獸師們:\n    \n   《數碼寶貝大冒險》在你們的支持下，終於迎來了不刪檔測試。為了回饋曾與我們一起奮鬥在數碼世界的馴獸師們，現特此對您在刪檔期間的儲值金額進行雙倍返還（贈送鑽石不在返還範圍內，雙倍返還只能在一區領取）。\n    被選召的孩子，開啟冒險之旅吧！\n    《數碼寶貝大冒險》運營組,"#C0xffe672##F24#Dear trainers:\n    \n   With your support for the Great Pokémon Adventure, we present you the permanent account testing.  In order to give back to the Pokémon trainers who have went through a journey with us in the digital world, we hereby refund double of your purchase amount during the temporary testing period (gift diamonds are not included in the refund, double refund can only be collected in one server). \n    The chosen ones, you may now begin your adventure!\n   By the Great Pokémon Adventure Game Developers",404404,"""#C0xffe672##F24#트레이너 여러분: \n   \n   여러분들의 성원 덕분에 《포켓몬 어드벤처》가 마침내 정식으로 출시되었습니다. 함께해준 여러분께 보답하기 위해, 테스트 기간 동안 충전하신 금액을 기준으로 2배의 반환 혜택을 드릴 예정입니다(증정 다이아는 반환 범위에 포함되지 않으며, 2배 반환은 한 서버에서만 수령 가능). \n   선택받은 여러분, 이제 모험의 여정을 시작할 때가 되었습니다!\n   《포켓몬 어드벤처》 운영진""",,
23,Mid-Autumn Festival daily login rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Mid-autumn festival daily login reward,中秋節每日登入獎勵,Mid-autumn festival daily login reward,404404,추석 일일 로그인 보상,Dear trainers:\n    Thank you for logging in today. We wish you a Happy Mid-Autumn Festival! Please claim the login rewards in your mail.\n    Happy gaming!,親愛的小夥伴:\n    感謝您今天的登入，祝您中秋快樂，中秋節登錄獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers:\n    Thank you for logging in today. We wish you a Happy Mid-Autumn Festival! Please claim the login rewards in your mail.\n    Happy gaming!,404404,트레이너님: \n   추석을 맞이해 오늘 로그인에 대한 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,{rmb=50;gold=100000;110=10},
24,World BOSS Personal Settlement Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Time-limited Challenge Rewards,世界BOSS個人結算獎勵,Time-limited Challenge Rewards,404404,월드보스 개인 결산 보상,Dear trainers: \n    Your performance in the time-limited challenge was amazing! You've attained No. %d in the damage dealt ranking. Please check your mail to claim the rewards. \n    Happy gaming!,親愛的小夥伴:\n    您在世界BOSS挑戰中的表現精彩絕倫，您今天在個人傷害排行榜的名次是第%d名，結算獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers: \n    Your performance in the time-limited challenge was amazing! You've attained No. %d in the damage dealt ranking. Please check your mail to claim the rewards. \n    Happy gaming!,404404,"""트레이너님: \n   월드보스 도전에서 멋진 활약을 펼치셨군요. 오늘 개인 피해 순위는 %d위이며, 결산 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
25,World Boss Guild Settlement Rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Time-limited Challenge Rewards,世界BOSS公會結算獎勵,Time-limited Challenge Rewards,404404,월드보스 길드 결산 보상,Dear trainers: \n    Your performance in the time-limited challenge was amazing! You've attained No. %d in the damage dealt ranking. Please check your mail to claim the rewards. \n    Happy gaming!,親愛的小夥伴:\n    您和您的公會夥伴們在世界BOSS挑戰中的表現精彩絕倫，您所在公會在公會傷害排行榜的名次是第%d名，結算獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,Dear trainers: \n    Your performance in the time-limited challenge was amazing! You've attained No. %d in the damage dealt ranking. Please check your mail to claim the rewards. \n    Happy gaming!,404404,"""트레이너님: \n   소속 길드와 함께 월드보스 도전에서 멋진 활약을 펼치셨군요. 소속 길드의 길드 피해 순위는 %d위이며, 결산 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!""",,
26,World BOSS full server settlement rewards,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Time-limited Challenge Rewards,世界BOSS全服結算獎勵,Time-limited Challenge Rewards,404404,월드보스 전체 서버 결산 보상,"Dear players:\n    Your server has hit the target damage against the World Boss battle today! Rewards have been sent via mail, please claim it. \n   Happy gaming!",親愛的小夥伴:\n    您所在的伺服器今日世界BOSS戰鬥中傷害量目標達成！獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear players:\n    Your server has hit the target damage against the World Boss battle today! Rewards have been sent via mail, please claim it. \n   Happy gaming!",404404,트레이너님: \n   소속 서버가 오늘 월드보스 전투의 피해량 목표를 달성했습니다! 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
27,Guild President Email,1,,union Management Center,公會管理中心,union Management Center,404404,길드 관리 센터,Union Announcement,公會通知,Union Announcement,404404,길드 알림,,,,,,,
28,Ether Paradise Reward Mail,2,,Aether Staff,以太管理員,Aether Staff,404404,에테르 관리자,Aether Paradise Rewards,以太樂園結算獎勵,Aether Paradise Rewards,404404,에테르파라다이스 결산 보상,Dear trainers: \n    Your performance in the Aether Paradise was amazing! As of 05:00 you've achieved rank No. %d. Please check your mail to claim the rewards. \n    May new achieve new heights the next time!,親愛的小夥伴:\n    您在以太樂園中的表現精彩絕倫，截止到5：00，您的排名為第%d名，結算獎勵已隨郵件發送，請及時查收。\n    祝您勇攀高層!,Dear trainers: \n    Your performance in the Aether Paradise was amazing! As of 05:00 you've achieved rank No. %d. Please check your mail to claim the rewards. \n    May new achieve new heights the next time!,404404,"""트레이너님: \n   에테르파라다이스에서 멋진 활약을 펼치셨군요. 오늘 05:00까지 %d위를 달성하였으며, 결산 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   그럼 건투를 빌겠습니다!""",,
29,All Goals Reward Email,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,All-target rewards mail,全目標獎勵郵件,All-target rewards mail,404404,전체 목표 보상 우편,"Dear trainers:\n    Your performance in the event was amazing! As of the end of the event, the all-target rewards have been sent to your mail, please check and claim it. \n    Happy gaming!",親愛的小夥伴:\n    您在活動中的表現精彩絕倫，截止活動結束，全目標獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainers:\n    Your performance in the event was amazing! As of the end of the event, the all-target rewards have been sent to your mail, please check and claim it. \n    Happy gaming!",404404,트레이너님: \n   이벤트에서 멋진 활약을 펼치셨군요. 이벤트 기간 동안의 모든 목표 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
30,Combat power ranking reward mail,2,,Secretary,小秘書,Secretary,Nhỏ thư ký,비서,Combat power ranking reward mail,戰力排行排位獎勵郵件,Combat power ranking reward mail,404404,전투력 순위-순위 보상 우편,"Dear trainers: \n    Your performance in the combat power ranking was amazing! As of 21:30, rank rewards have been sent to your mail, please check and claim it. \n    Happy gaming!",親愛的小夥伴:\n    您在戰力排行中的表現精彩絕倫，截止到今天21:30，排位獎勵已隨郵件發送，請及時查收。\n    祝您遊戲愉快!,"Dear trainers: \n    Your performance in the combat power ranking was amazing! As of 21:30, rank rewards have been sent to your mail, please check and claim it. \n    Happy gaming!",404404,트레이너님: \n   전투력 순위에서 멋진 활약을 펼치셨군요. 오늘 21:30까지의 순위 보상을 우편으로 지급합니다. 제때 수령해 주세요. \n   즐거운 게임 되시길 바랍니다!,,
