变量名,boss,boss2,boss501,boss502,boss503,boss504,boss505,boss506,boss601,mineboss1,mineboss2,mineboss3
63,252,315,252,252,252,315,362,416,362,252,302,362
64,256,320,256,256,256,320,368,423,368,256,307,368
65,260,325,260,260,260,325,374,430,374,260,312,374
66,264,330,264,264,264,330,380,437,380,264,317,380
67,268,335,268,268,268,335,385,443,385,268,322,386
68,272,340,272,272,272,340,391,450,391,272,326,391
69,276,345,276,276,276,345,397,457,397,276,331,397
70,280,350,280,280,280,350,403,463,403,280,336,403
71,284,355,284,284,284,355,408,469,408,284,341,409
72,288,360,288,288,288,360,414,476,414,288,346,415
73,292,365,292,292,292,365,420,483,420,292,350,420
74,296,370,296,296,296,370,426,490,426,296,355,426
75,300,375,300,300,300,375,431,496,431,300,360,432
76,304,380,304,304,304,380,437,503,437,304,365,438
77,308,385,308,308,308,385,443,509,443,308,370,444
78,312,390,312,312,312,390,449,516,449,312,374,449
79,316,395,316,316,316,395,454,522,454,316,379,455
80,320,400,320,320,320,400,460,529,460,320,384,461
81,324,405,324,324,324,405,466,536,466,324,389,467
82,328,410,328,328,328,410,472,543,472,328,394,473
83,332,415,332,332,332,415,477,549,477,332,398,478
84,336,420,336,336,336,420,483,555,483,336,403,484
85,340,425,340,340,340,425,489,562,489,340,408,490
86,344,430,344,344,344,430,495,569,495,344,413,496
87,348,435,348,348,348,435,500,575,500,348,418,502
88,352,440,352,352,352,440,506,582,506,352,422,506
89,356,445,356,356,356,445,512,589,512,356,427,512
90,360,450,360,360,360,450,518,596,518,360,432,518
91,364,455,364,364,364,455,523,601,523,364,437,524
92,368,460,368,368,368,460,529,608,529,368,442,530
93,372,465,372,372,372,465,535,615,535,372,446,535
94,376,470,376,376,376,470,541,622,541,376,451,541
95,380,475,380,380,380,475,546,628,546,380,456,547
96,384,480,384,384,384,480,552,635,552,384,461,553
97,388,485,388,388,388,485,558,642,558,388,466,559
98,392,490,392,392,392,490,564,649,564,392,470,564
99,396,495,396,396,396,495,569,654,569,396,475,570
100,400,500,400,400,400,500,575,661,575,400,480,576
101,404,505,404,404,404,505,581,668,581,404,485,582
102,408,510,408,408,408,510,587,675,587,408,490,588
103,412,515,412,412,412,515,593,682,593,412,495,594
104,416,520,416,416,416,520,599,689,599,416,500,600
105,420,525,420,420,420,525,605,696,605,420,505,606
106,424,530,424,424,424,530,611,703,611,424,510,612
107,428,535,428,428,428,535,617,710,617,428,515,618
108,432,540,432,432,432,540,623,717,623,432,520,624
109,436,545,436,436,436,545,629,724,629,436,525,630
110,440,550,440,440,440,550,635,731,635,440,530,636
111,444,555,444,444,444,555,641,738,641,444,535,642
112,448,560,448,448,448,560,647,745,647,448,540,648
113,452,565,452,452,452,565,653,752,653,452,545,654
114,456,570,456,456,456,570,659,759,659,456,550,660
115,460,575,460,460,460,575,665,766,665,460,555,666
116,464,580,464,464,464,580,671,773,671,464,560,672
117,468,585,468,468,468,585,677,780,677,468,565,678
118,472,590,472,472,472,590,683,787,683,472,570,684
119,476,595,476,476,476,595,689,794,689,476,575,690
120,480,600,480,480,480,600,695,801,695,480,580,696
121,484,605,484,484,484,605,701,808,701,484,585,702
122,488,610,488,488,488,610,707,815,707,488,590,708
123,492,615,492,492,492,615,713,822,713,492,595,714
124,496,620,496,496,496,620,719,829,719,496,600,720
125,500,625,500,500,500,625,725,836,725,500,605,726
126,504,630,504,504,504,630,731,843,731,504,610,732
127,508,635,508,508,508,635,737,850,737,508,615,738
128,512,640,512,512,512,640,743,857,743,512,620,744
129,516,645,516,516,516,645,749,864,749,516,625,750
130,520,650,520,520,520,650,755,871,755,520,630,756
131,524,655,524,524,524,655,761,878,761,524,635,762
132,528,660,528,528,528,660,767,885,767,528,640,768
133,532,665,532,532,532,665,773,892,773,532,645,774
134,536,670,536,536,536,670,779,899,779,536,650,780
135,540,675,540,540,540,675,785,906,785,540,655,786
136,544,680,544,544,544,680,791,913,791,544,660,792
137,548,685,548,548,548,685,797,920,797,548,665,798
138,552,690,552,552,552,690,803,927,803,552,670,804
139,556,695,556,556,556,695,809,934,809,556,675,810
140,560,700,560,560,560,700,815,941,815,560,680,816
141,564,705,564,564,564,705,821,948,821,564,685,822
142,568,710,568,568,568,710,827,955,827,568,690,828
143,572,715,572,572,572,715,833,962,833,572,695,834
144,576,720,576,576,576,720,839,969,839,576,700,840
145,580,725,580,580,580,725,845,976,845,580,705,846
146,584,730,584,584,584,730,851,983,851,584,710,852
147,588,735,588,588,588,735,857,990,857,588,715,858
148,592,740,592,592,592,740,863,997,863,592,720,864
149,596,745,596,596,596,745,869,1004,869,596,725,870
150,600,750,600,600,600,750,875,1011,875,600,730,876
151,604,755,604,604,604,755,881,1018,881,604,735,882
152,608,760,608,608,608,760,887,1025,887,608,740,888
153,612,765,612,612,612,765,893,1032,893,612,745,894
154,616,770,616,616,616,770,899,1039,899,616,750,900
155,620,775,620,620,620,775,905,1046,905,620,755,906
156,624,780,624,624,624,780,911,1053,911,624,760,912
157,628,785,628,628,628,785,917,1060,917,628,765,918
158,632,790,632,632,632,790,923,1067,923,632,770,924
159,636,795,636,636,636,795,929,1074,929,636,775,930
160,640,800,640,640,640,800,935,1081,935,640,780,936
