变量名,name,languages,drawlanguages,name_tw,name_en,name_kr,icon,desc,desc_tw,desc_en,desc_kr,desc1,desc1_tw,desc1_en,desc1_kr,quality,type,donateType,universalFragID,decomposeGain,combID,combCount,stackMax,effBtn,pageTag,sellPrice,autoComb,produceGate1,produceGate2,produceGate3,produceGate4,produceGate5,produceGate6,produceGate7,produceDesc,produceDesc_tw,produceDesc_en,produceDesc_kr,isFinal,rebirthRMB,effect,sortType,sortValue
20071,Spearow Shard,,,烈雀碎片,Spearow Shard,깨비참 조각,config/portrait/jinglingtouxiang/img_21_lq@.png,Gather %d#C0x55504D#s to get #C0xE77421#Spearow#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#烈雀#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Spearow#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#깨비참#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},71,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
20081,Ekans Shard,,,阿柏蛇碎片,Ekans Shard,아보 조각,config/portrait/jinglingtouxiang/img_23_abs@.png,Gather %d#C0x55504D#s to get #C0xE77421#Ekans#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#阿柏蛇#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Ekans#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#아보#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},81,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
20091,Pichu Shard,,,皮丘碎片,Pichu Shard,피츄 조각,config/portrait/jinglingtouxiang/img_172_pq@.png,Gather %d#C0x55504D#s to get #C0xE77421#Pichu#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#皮丘#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Pichu#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#피츄#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},91,30,,,,,,20202,21404," drawCard-gold",,,,,,,,,,,,,
20101,Sandshrew Shard,,,穿山鼠碎片,Sandshrew Shard,모래두지 조각,config/portrait/jinglingtouxiang/img_27_css@.png,Gather %d#C0x55504D#s to get #C0xE77421#Sandshrew#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#穿山鼠#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Sandshrew#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#모래두지#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},101,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
20111,Nidoran♀ Shard,,,尼多蘭碎片,Nidoran♀ Shard,니드런♀ 조각,config/portrait/jinglingtouxiang/img_29_ndl@.png,Gather %d#C0x55504D#s to get #C0xE77421#Nidoran♀#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#尼多蘭#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Nidoran♀#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#니드런♀#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},111,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
20121,Nidoran♂ Shard,,,尼多朗碎片,Nidoran♂ Shard,니드런♂ 조각,config/portrait/jinglingtouxiang/img_32_ndl@.png,Gather %d#C0x55504D#s to get #C0xE77421#Nidoran♂#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#尼多朗#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Nidoran♂#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#니드런♂#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},121,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
20131,Cleffa Shard,,,皮寶寶碎片,Cleffa Shard,삐 조각,config/portrait/jinglingtouxiang/img_173_pbb@.png,Gather %d#C0x55504D#s to get #C0xE77421#Cleffa#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#皮寶寶#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Cleffa#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#삐#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},131,30,,,,,,20502,shop-4,,,,,,,,,,,,,,
20151,Igglybuff Shard,<cn;kr;en;tw>,,寶寶丁碎片,Igglybuff Shard,푸푸린 조각,config/portrait/jinglingtouxiang/img_174_bbd@.png,Gather %d#C0x55504D#s to get #C0xE77421#Igglybuff#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#寶寶丁#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Igglybuff#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#푸푸린#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},151,30,,,,,," drawCard-gold",22201,,,,,,,,,,,,,,
20161,Zubat Shard,<cn;kr;en>,,超音蝠碎片,Zubat Shard,주뱃 조각,config/portrait/jinglingtouxiang/img_41_cyf@.png,Gather %d#C0x55504D#s to get #C0xE77421#Zubat#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#超音蝠#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Zubat#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#주뱃#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},161,50,,,,,,shop-12," drawCard-gold",,,,,,,,,,,,{drawcard=huang_effect_loop},,
20171,Oddish Shard,,,走路草碎片,Oddish Shard,뚜벅초 조각,config/portrait/jinglingtouxiang/img_43_zlc@.png,Gather %d#C0x55504D#s to get #C0xE77421#Oddish#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#走路草#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Oddish#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#뚜벅초#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},171,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
20191,Venonat Shard,,,毛球碎片,Venonat Shard,콘팡 조각,config/portrait/jinglingtouxiang/img_48_mq@.png,Gather %d#C0x55504D#s to get #C0xE77421#Venonat#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#毛球#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Venonat#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#콘팡#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},191,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
20211," Shard",<cn>,,喵喵碎片," Shard",404,config/portrait/jinglingtouxiang/img_52_mm@.png,Gather %d#C0x55504D#s to get #C0xE77421#Meowth#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#喵喵#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Meowth#C0x55504D#,404,,,,,3,,,502,{coin5=5},211,30,,,,,,,,,,,,,,,,,,,,,
20221,Psyduck Shard,<cn;kr;en;tw>,,可達鴨碎片,Psyduck Shard,고라파덕 조각,config/portrait/jinglingtouxiang/img_54_kdy@.png,Gather %d#C0x55504D#s to get #C0xE77421#Psyduck#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#可達鴨#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Psyduck#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#고라파덕#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},221,30,,,,,," drawCard-gold",shop-12,22001,,,,,,,,,,,,,
20231,Mankey Shard,,,猴怪碎片,Mankey Shard,망키 조각,config/portrait/jinglingtouxiang/img_56_hg@.png,Gather %d#C0x55504D#s to get #C0xE77421#Mankey#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#猴怪#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Mankey#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#망키#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},231,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
20241,Growlithe Shard,,,卡蒂狗碎片,Growlithe Shard,가디 조각,config/portrait/jinglingtouxiang/img_58_kdg@.png,Gather %d#C0x55504D#s to get #C0xE77421#Growlithe#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#卡蒂狗#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Growlithe#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#가디#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},241,50,,,,,,shop-6," drawCard-gold",22002,,,,,,,,,,,{drawcard=huang_effect_loop},,
20261,Abra Shard,,,凱西碎片,Abra Shard,캐이시 조각,config/portrait/jinglingtouxiang/img_63_kx@.png,Gather %d#C0x55504D#s to get #C0xE77421#Abra#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#凱西#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Abra#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#캐이시#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},261,50,,,,,,20503,21403," drawCard-gold",,,,,,,,,,,{drawcard=huang_effect_loop},,
20271,Machop Shard,,,腕力碎片,Machop Shard,알통몬 조각,config/portrait/jinglingtouxiang/img_66_wl@.png,Gather %d#C0x55504D#s to get #C0xE77421#Machop#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#腕力#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Machop#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#알통몬#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},271,30,,,,,,20302,21903,shop-2," drawCard-gold",,,,,,,,,,,,
20281,Bellsprout Shard,,,喇叭芽碎片,Bellsprout Shard,모다피 조각,config/portrait/jinglingtouxiang/img_70_kdh@.png,Gather %d#C0x55504D#s to get #C0xE77421#Weepinbell#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#口呆花#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Weepinbell#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#우츠동#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},281,30,,,,,,20504,21904," drawCard-gold",,,,,,,,,,,,,
20301,Geodude Shard,,,小拳石碎片,Geodude Shard,꼬마돌 조각,config/portrait/jinglingtouxiang/img_74_xqs@.png,Gather %d#C0x55504D#s to get #C0xE77421#Geodude#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#小拳石#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Geodude#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#꼬마돌#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},301,30,,,,,,20704," drawCard-gold",,,,,,,,,,,,,,
20331,Magnemite Shard,,,小磁怪碎片,Magnemite Shard,코일 조각,config/portrait/jinglingtouxiang/img_81_xcg@.png,Gather %d#C0x55504D#s to get #C0xE77421#Magnemite#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#小磁怪#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Magnemite#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#코일#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},331,50,,,,,,20203,21405," drawCard-gold",,,,,,,,,,,{drawcard=huang_effect_loop},,
20341,Farfetch'd Shard,<cn;kr;en;tw>,,大蔥鴨碎片,Farfetch'd Shard,파오리 조각,config/portrait/jinglingtouxiang/img_83_dcy@.png,Gather %d#C0x55504D#s to get #C0xE77421#Farfetch'd#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#大蔥鴨#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Farfetch'd#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#파오리#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},341,30,,,,,," drawCard-gold",shop-12,22101,,,,,,,,,,,,,
20351,Doduo Shard,,,嘟嘟碎片,Doduo Shard,두두 조각,config/portrait/jinglingtouxiang/img_84_dd@.png,Gather %d#C0x55504D#s to get #C0xE77421#Doduo#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#嘟嘟#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Doduo#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#두두#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},351,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
20371,Grimer Shard,,,臭泥碎片,Grimer Shard,질퍽이 조각,config/portrait/jinglingtouxiang/img_88_cn@.png,Gather %d#C0x55504D#s to get #C0xE77421#Grimer#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#臭泥#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Grimer#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#질퍽이#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},371,30,,,,,,20701,shop-6," drawCard-gold",,,,,,,,,,,,,
20381,Shellder Shard,<cn>,,大舌貝碎片,Shellder Shard,셀러 조각,config/portrait/jinglingtouxiang/img_90_dsb@.png,Gather %d#C0x55504D#s to get #C0xE77421#Shellder#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#大舌貝#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Shellder#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#셀러#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},381,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20391,Gastly Shard,,,鬼斯碎片,Gastly Shard,고오스 조각,config/portrait/jinglingtouxiang/img_92_gs@.png,Gather %d#C0x55504D#s to get #C0xE77421#Gastly#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#鬼斯#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Gastly#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#고오스#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},391,50,,,,,,20605,21805," drawCard-gold",,,,,,,,,,,{drawcard=huang_effect_loop},,
20401,Onix Shard,,,大岩蛇碎片,Onix Shard,롱스톤 조각,config/portrait/jinglingtouxiang/img_95_dys@.png,Gather %d#C0x55504D#s to get #C0xE77421#Onix#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#大岩蛇#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Onix#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#롱스톤#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},401,50,,,,,,21301,shop-6," drawCard-gold",,,,,,,,,,,{drawcard=huang_effect_loop},,
20451,Cubone Shard,,,卡拉卡拉碎片,Cubone Shard,탕구리 조각,config/portrait/jinglingtouxiang/img_104_klkl@.png,Gather %d#C0x55504D#s to get #C0xE77421#Cubone#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#卡拉卡拉#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Cubone#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#탕구리#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},451,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
20461,Tyrogue Shard,,,無畏小子碎片,Tyrogue Shard,배루키 조각,config/portrait/jinglingtouxiang/img_236_wwxz@.png,Gather %d#C0x55504D#s to get #C0xE77421#Tyrogue#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#無畏小子#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Tyrogue#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#배루키#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},461,30,,,,,,20501," drawCard-gold",,,,,,,,,,,,,,
20471,Lickitung Shard,,,大舌頭碎片,Lickitung Shard,내루미 조각,config/portrait/jinglingtouxiang/img_108_dst@.png,Gather %d#C0x55504D#s to get #C0xE77421#Lickitung#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#大舌頭#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Lickitung#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#내루미#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},471,30,,,,,,20201,shop-2," drawCard-gold",,,,,,,,,,,,,
20481,Koffing Shard,,,瓦斯彈碎片,Koffing Shard,또가스 조각,config/portrait/jinglingtouxiang/img_109_wsd@.png,Gather %d#C0x55504D#s to get #C0xE77421#Koffing#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#瓦斯彈#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Koffing#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#또가스#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},481,30,,,,,,20604," drawCard-gold",,,,,,,,,,,,,,
20491,Rhyhorn Shard,,,獨角犀牛碎片,Rhyhorn Shard,뿔카노 조각,config/portrait/jinglingtouxiang/img_111_djxn@.png,Gather %d#C0x55504D#s to get #C0xE77421#Rhyhorn#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#獨角犀牛#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Rhyhorn#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#뿔카노#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},491,50,,,,,,shop-2," drawCard-gold",22102,,,,,,,,,,,{drawcard=huang_effect_loop},,
20501,Happiny Shard,,,小福蛋碎片,Happiny Shard,404,config/portrait/jinglingtouxiang/img_440_xfd@.png,Gather %d#C0x55504D#s to get #C0xE77421#Happiny#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#小福蛋#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Happiny#C0x55504D#,404,,,,,5,,,502,{coin5=10},501,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20541,Goldeen Shard,,,角金魚碎片,Goldeen Shard,콘치 조각,config/portrait/jinglingtouxiang/img_118_jjy@.png,Gather %d#C0x55504D#s to get #C0xE77421#Goldeen#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#角金魚#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Goldeen#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#콘치#C0x55504D# 합성 가능,,,,,3,,,502,{coin5=2},541,20,,,,,," drawCard-gold",,,,,,,,,,,,,,,
20551,Staryu Shard,,,海星星碎片,Staryu Shard,별가사리 조각,config/portrait/jinglingtouxiang/img_120_hxx@.png,Gather %d#C0x55504D#s to get #C0xE77421#Staryu#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#海星星#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Staryu#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#별가사리#C0x55504D# 합성 가능,,,,,4,,,502,{coin5=5},551,30,,,,,,20802," drawCard-gold",,,,,,,,,,,,,,
20571,Scyther Shard,,,飛天螳螂碎片,Scyther Shard,스라크 조각,config/portrait/jinglingtouxiang/img_123_fttl@.png,Gather %d#C0x55504D#s to get #C0xE77421#Scyther#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#飛天螳螂#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Scyther#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#스라크#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},571,50,,,,,,20603,21902,shop-4," drawCard-gold",,,,,,,,,,{drawcard=huang_effect_loop},,
20591,Elekid Shard,,,電擊怪碎片,Elekid Shard,에레키드 조각,config/portrait/jinglingtouxiang/img_239_djg@.png,Gather %d#C0x55504D#s to get #C0xE77421#Elekid#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#電擊怪#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Elekid#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#에레키드#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},591,50,,,,,,20703,21802,shop-4," drawCard-gold",,,,,,,,,,{drawcard=huang_effect_loop},,
20601,Magby Shard,,,鴨嘴寶寶碎片,Magby Shard,마그비 조각,config/portrait/jinglingtouxiang/img_240_yzbb@.png,Gather %d#C0x55504D#s to get #C0xE77421#Magby#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#鴨嘴寶寶#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Magby#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#마그비#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},601,50,,,,,,20404,21905,shop-4," drawCard-gold",,,,,,,,,,{drawcard=huang_effect_loop},,
20611,Pinsir Shard,<cn>,,凱羅斯碎片,Pinsir Shard,404,config/portrait/jinglingtouxiang/img_127_kls@.png,Gather %d#C0x55504D#s to get #C0xE77421#Pinsir#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#凱羅斯#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Pinsir#C0x55504D#,404,,,,,5,,,502,{coin5=10},611,50,,,,,,,,,,,,,,,,,,,{drawcard=huang_effect_loop},,
20631,Gyarados Shard,,,暴鯉龍碎片,Gyarados Shard,갸라도스 조각,config/portrait/jinglingtouxiang/img_130_bll@.png,Gather %d#C0x55504D#s to get #C0xE77421#Gyarados#C0x55504D#,集齊%d個碎片可以合成#C0xE77421#暴鯉龍#C0x55504D#,Gather %d#C0x55504D#s to get #C0xE77421#Gyarados#C0x55504D#,%d 개의 조각을 모으면 #C0xE77421#갸라도스#C0x55504D# 합성 가능,,,,,5,,,502,{coin5=10},631,50,,,,,,21003,shop-4," drawCard-gold",,,,,,,,,,,{drawcard=huang_effect_loop},,
