"﻿变量名",name,name_tw,name_en,name_vn,name_kr,icon,languages,unlockDesc,unlockDesc_tw,unlockDesc_en,unlockDesc_vn,unlockDesc_kr
213,Zekrom,捷克羅姆,Zekrom,,제크로무,frame/heilong_kuang.skel,<cn;kr>,,,,,
214,Kyurem,酋雷姆,Kyurem,,,frame/qiuleimu_tou.skel,<cn>,,,,,
215,Super Raykuza,超級烈空座,,,,frame/liekong_mage_tou.skel,<cn>,,,,,
216,Meloetta - Aria,美洛耶塔·歌聲,Meloetta - Aria,,,frame/meiluoyeta_gs.skel,<cn>,,,,,
217,Meloetta - Pirouette,美洛耶塔·舞步,Meloetta - Pirouette,,,frame/meiluoyeta_wb.skel,<cn>,,,,,
218,Jirachi,基拉祈,Jirachi,,,frame/jlq_txk.skel,<cn>,,,,,
219,Melmetta,美錄梅塔,,,,frame/mlmt_txk.skel,<cn>,,,,,
220,Yveltal,伊裴爾塔爾,Yveltal,404404,,frame/yshen_tou.skel,<cn>,,,,,
221,Celebi,時拉比,Celebi,404404,,frame/xlb_txk.skel,<cn>,,,,,
222,Genesect,蓋諾賽克特,,404404,,frame/gnskt_txk.skel,<cn>,,,,,
223,Cernias,哲爾尼亞斯,404404,404404,,frame/x_touxiang.skel,<cn>,,,,,
224,Original Gulardo,原始固拉多,404404,404404,,frame/guladuomega.skel,<cn>,,,,,
225,Teraola,捷拉奧拉,404404,404404,,frame/heilong_kuang.skel,<>,,,,,
,,,,,,,,,,,,
300,Christmas,聖誕,Christmas,404404,크리스마스,config/portrait/frame/icon_sdtxk.png,,,,,,
301,Sound of firecrackers,爆竹聲聲,Sound of firecrackers,404404,폭죽 소리,config/portrait/frame/icon_cjtxk.png,<cn>,,,,,
302,Labor is the most glorious,勞動最光榮,Labor is the most glorious,404404,영광의 노동,config/portrait/frame/icon_wytxk.png,<cn>,,,,,
303,Child-like Innocence,童真童趣,Child-like Innocence,404404,즐거운 어린아이,config/portrait/frame/icon_ly.png,<cn>,,,,,
304,Dragon Boat Festival,粽情端午,404404,404404,단오절 연잎밥,config/portrait/frame/icon_dwjtxk.png,<cn>,,,,,
305,Mid-Autumn Rabbit,中秋月兔,Mid-Autumn Rabbit,404404,추석 옥토끼,frame/zhongqiu.skel,<cn;tw;kr>,,,,,
306,celebration,慶典,Celebration,404404,축제,frame/qingdian.skel,<cn;tw;kr;en>,,,,,
307,Halloween demon,萬聖的惡魔,Halloween demon,,할로윈의 악마,config/portrait/frame/icon_wsj.png,<cn;tw;kr;en>,,,,,
308,Christmas elk 2020,聖誕麋鹿2020,404404,404404,크리스마스 사불상 2020,config/portrait/frame/icon_2021sdtxk.png,<cn;kr>,,,,,
309,Lion dance to celebrate New Year's Day,舞獅慶元旦,404404,404404,사자춤 경신춘,config/portrait/frame/icon_2021ydtxk.png,<cn;kr>,,,,,
310,Lantern Festival and Lunar New Year,元宵賀歲,404404,404404,정월 대보름,config/portrait/frame/icon_yxjtxk.png,<cn;kr>,,,,,
311,Gong Xi Fa Cai,恭喜發大財,404404,404404,새해 복 많이 받으세요,config/portrait/frame/icon_nn2021.png,<cn;kr>,,,,,
312,love is together,愛就在一起,404404,404404,사랑은 함께 있는 거야,config/portrait/frame/touxiangkuang_qrj.png,<cn;kr>,,,,,
313,1st anniversary celebration,1週年慶賀,404404,404404,404404,frame/txk_zhounianqin.skel,<cn>,,,,,
314,Labor Day 2021 Limited,勞動節2021限定,404404,404404,404404,config/portrait/frame/icon_wytxk1.png,<cn>,,,,,
315,Happy Children's Day,歡樂六一,404404,404404,404404,config/portrait/frame/icon_lyetjj.png,<cn>,,,,,
316,Dragon Boat Festival,粽遊端午,404404,404404,404404,frame/duantoutouxiangkuang.skel,<cn>,,,,,
317,Summer Fun Tour,夏日樂遊遊,Summer Fun Tour,404404,즐거운 여름,config/portrait/frame/icon_xrj@.png,<cn;tw;en;kr>,,,,,
318,reunion mid-autumn festival,團圓中秋,,,함께하는 추석,config/portrait/frame/icon_zqjtxk.png,<cn>,,,,,
319,Carnival,狂歡節日,,,,config/portrait/frame/icon_21gqtxk.png,<cn>,,,,,
,,,,,,,,,,,,
400,Pass S1,通行證S1,Pass S1,404404,패스 S1,config/portrait/frame/icon_txztxk1.png,<cn;kr;en;tw>,,,,,
401,Pass S2,通行證S2,Pass S2,404404,패스 S2,config/portrait/frame/icon_txztxk2.png,<cn;kr;en;tw>,,,,,
402,Pass S3,通行證S3,Pass S3,404404,패스 S3,config/portrait/frame/icon_txztxk3.png,<cn;kr;en>,,,,,
403,Pass S4,通行證S4,Pass S4,404404,패스 S4,config/portrait/frame/icon_txztxk4.png,<cn;kr>,,,,,
404,Pass S5,通行證S5,Pass S5,404404,패스 S5,config/portrait/frame/icon_txztxk5.png,<cn;kr>,,,,,
405,Pass S6,通行證S6,Pass S6,404404,패스 S6,config/portrait/frame/icon_txztxk6.png,<cn>,,,,,
406,Pass S7,通行證S7,Pass S7,404404,패스 S7,config/portrait/frame/icon_txztxk7.png,<cn>,,,,,
407,Pass S8,通行證S8,Pass S8,404404,패스 S8,config/portrait/frame/icon_txztxk8.png,<cn>,,,,,
408,Pass S9,通行證S9,Pass S9,404404,패스 S9,config/portrait/frame/icon_txztxk9.png,<cn>,,,,,
409,Pass S10,通行證S10,Pass S10,404404,패스 S10,config/portrait/frame/icon_txztxk10.png,<>,,,,,
