变量名,fmt,fmt_tw,fmt_en,fmt_vn,fmt_kr
145,#C0xF76B45##L10#[Fighting Rules],#C0xF76B45##L10#【戰鬥規則】,#C0xF76B45##L10#[Fighting Rules],#C0xF76B45##L10#[ Chiến đấu quy tắc ],#C0xF76B45##L10#[전투 규칙]
146,#C0xF76B45##L10#[Rewarding Rules],#C0xF76B45##L10#【獎勵規則】,#C0xF76B45##L10#[Rewarding Rules],#C0xF76B45##L10#[ Ban thưởng quy tắc ],#C0xF76B45##L10#[보상 규칙]
147,#C0xF76B45##L10#[Event Rule],#C0xF76B45##L10#【活動玩法】,#C0xF76B45##L10#[Event Rule],,#C0xF76B45##L10#[이벤트 방법]
148,#C0xF76B45##L10#[Fated Encounter],#C0xF76B45##L10#【相逢有時】,#C0xF76B45##L10#[Fated Encounter],,#C0xF76B45##L10# [만난 날]
149,#C0xF76B45##L10#[Lucky & Happy],#C0xF76B45##L10#【幸運樂翻天】,#C0xF76B45##L10#[Lucky & Happy],,#C0xF76B45##L10# [행운 뒤집기]
150,#C0xF76B45##L10#[Kickout Feature],#C0xF76B45##L10#【請出房間功能】,#C0xF76B45##L10#[Kickout Feature],,#C0xF76B45##L10# [강퇴 기능]
151,#C0xF76B45##L10#[Festival Dungeon Rules],#C0xF76B45##L10#【節日副本規則】,#C0xF76B45##L10#[Festival Dungeon Rules],,#C0xF76B45##L10# [명절 던전 규칙]
152,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#【基本規則】,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#[ Cơ bản quy tắc ],#C0xF76B45##L10#[기본 규칙]
153,#C0xF76B45##L10#[Event Rules],#C0xF76B45##L10#【活動規則】,#C0xF76B45##L10#[Event Rules],,#C0xF76B45##L10# [이벤트 규칙]
154,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#【基本規則】,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#[ Cơ bản quy tắc ],#C0xF76B45##L10#[기본 규칙]
155,#C0xF76B45##L10#[Resources Rules],#C0xF76B45##L10#【資源規則】,#C0xF76B45##L10#[Resources Rules],,#C0xF76B45##L10# [자원 규칙]
156,#C0xF76B45##L10#[Fighting Rules],#C0xF76B45##L10#【戰鬥規則】,#C0xF76B45##L10#[Fighting Rules],#C0xF76B45##L10#[ Chiến đấu quy tắc ],#C0xF76B45##L10#[전투 규칙]
157,#C0xF76B45##L10#[Bidding Rules],#C0xF76B45##L10#【競標規則】,#C0xF76B45##L10#[Bidding Rules],,#C0xF76B45##L10# [결투 규칙]
158,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#【基本規則】,#C0xF76B45##L10#[Basic Rules],#C0xF76B45##L10#[ Cơ bản quy tắc ],#C0xF76B45##L10#[기본 규칙]
159,#C0xF76B45##L10#[Ranking Point Reward],#C0xF76B45##L11#【排行積分獎勵】,#C0xF76B45##L10#[Ranking Point Reward],,#C0xF76B45##L10# [순위 포인트 보상]
160,#C0xF76B45##L10#[Ranking Reward],#C0xF76B45##L11#【排行榜獎勵】,#C0xF76B45##L10#[Ranking Reward],,#C0xF76B45##L10# [랭킹 보상]
161,#C0xF76B45##L10#[Event Rules],#C0xF76B45##L10#【活動規則】,#C0xF76B45##L10#[Event Rules],,#C0xF76B45##L10# [이벤트 규칙]
162,#C0xF76B45##L10# [Basic Rules],#C0xF76B45##L10#【大冒險】,#C0xF76B45##L10# [Basic Rules],,#C0xF76B45##L10# [이벤트 규칙]
163,#C0xF76B45##L10#[Grand Adventure Item Description],#C0xF76B45##L10#【大冒險道具說明】,#C0xF76B45##L10#[Grand Adventure Item Description],,
164,#C0xF76B45##L10#[Brave Challenge Rules],#C0xF76B45##L10#【勇者挑戰規則】,#C0xF76B45##L10#[Brave Challenge Rules],,
,,,,,
1001,"1. As it will refresh every day at 19:00, members can open the union's Red Packet interface at this time to grab them.",1.每天19:00會進行刷新，會員可以在該時間點打開公會紅包介面搶紅包。,"1. As it will refresh every day at 19:00, members can open the union's Red Packet interface at this time to grab them.",,"""1. 매일 19:00에 갱신되며, 회원은 해당 시간에 길드 보너스 메뉴를 열어 보너스를 얻을 수 있습니다."""
1002,2. There's a maximum amount and number of times one can give in each Red Packet.,2.每個紅包有一定的獎勵上限和次數上限,2. There's a maximum amount and number of times one can give in each Red Packet.,,2. 각 보너스는 일정 보상 한도와 횟수 한도가 있습니다.
1003,3. One can only grab once at most for the same Red Packet that refreshes weekly.,3.同一個紅包，一個刷新週期內，一人最多只能搶一次,3. One can only grab once at most for the same Red Packet that refreshes weekly.,,3. 각 보너스는 갱신 주기 내에 한 사람이 한 번만 얻을 수 있습니다.
1004,4. The rewards in each Red Packet are randomly distributed,4.每次搶紅包獲取的獎勵是隨機發放的,4. The rewards in each Red Packet are randomly distributed,,4. 매회 보너스 획득 시 수령하는 보상은 랜덤입니다.
1005,5. You cannot grab Red Packets twice,5.紅包搶完後不可再搶,5. You cannot grab Red Packets twice,,5. 보너스가 바닥나면 더는 얻을 수 없습니다.
,,,,,
1011,1. Member need to fulfill certain conditions before they can be distributed Red Packets,1.會員紅包需要完成一定的條件才可以發放,1. Member need to fulfill certain conditions before they can be distributed Red Packets,,1. 회원 보너스는 일정 조건을 달성해야 보낼 수 있습니다.
1012,"2. When the requirements for distributing Red Packets are met, you will get one chance of distributing the Red Packet. Different Red Packet different time limits.",2.滿足紅包發放條件時，可以獲得一個紅包發放資格，不同的紅包有不同的時限,"2. When the requirements for distributing Red Packets are met, you will get one chance of distributing the Red Packet. Different Red Packet different time limits.",,"""2. 보너스 발송 조건을 달성하면 보너스 하나를 보낼 수 있게 되며, 각 보너스는 시간 제한이 다릅니다."""
1013,3. Red Packet disappears when it expires,3.超過時限的紅包會消失,3. Red Packet disappears when it expires,,3. 시간 초과 시 보너스는 사라집니다.
1014,"4.No diamonds is needed to distribute the Red Packets. After distributing it to the union, all union members can join in to grab the Red Packets.",4.發放紅包不需要消耗自身的鑽石，發放到公會後，所有公會成員均可參與搶紅包。,"4.No diamonds is needed to distribute the Red Packets. After distributing it to the union, all union members can join in to grab the Red Packets.",,"""4. 보너스 발송 시 다이아를 소모하지 않으며, 길드에 보너스를 보내면 모든 길드원이 쟁탈할 수 있습니다."""
1015,5. The Red Packets that have been distributed will disappear within 24 hours. Do grab them in time!,5.已經發放的紅包，24小時內沒搶完會消失，注意及時搶走哦,5. The Red Packets that have been distributed will disappear within 24 hours. Do grab them in time!,,5. 이미 발송한 보너스는 24시간 내에 획득하지 않으면 사라집니다.
1016,6. Each trainer can only grab each Red Packet once,6.每個紅包一個人只能搶一次,6. Each trainer can only grab each Red Packet once,,6. 각 보너스는 한 사람이 한 번만 획득할 수 있습니다.
1017,"7. The Red Packets that have been obtained will remain within the union, and are transferable if trainers change to another union",7.已獲得的紅包，發放後保留在公會，更換公會不跟隨,"7. The Red Packets that have been obtained will remain within the union, and are transferable if trainers change to another union",,"""7. 이미 획득한 보너스는 발송 시 길드에 유지되며, 길드를 변경해도 함께 이동하지 않습니다."""
1018,"8. If the Red Packet you obtained has not been distributed, it can still be distributed in the new union before the Red Packet expires",8.已獲得的紅包，如未發放，則在有效期內更換公會仍然可在新公會發放,"8. If the Red Packet you obtained has not been distributed, it can still be distributed in the new union before the Red Packet expires",,"""8. 이미 획득한 보너스를 발송하지 않을 경우, 유효기간 내에 길드 변경 시 새로운 길드에서 발송할 수 있습니다."""
1019,9. Trainers can only use the Red Packet feature one day after they've switched union,9.更換公會後需要第二天才能使用紅包功能,9. Trainers can only use the Red Packet feature one day after they've switched union,,9. 길드 변경 후 다음 날 보너스 기능을 사용할 수 있습니다.
,,,,,
2001,1. Trainers can challenge Aether Paradise once daily,1.每天可以挑戰一次以太樂園,1. Trainers can challenge Aether Paradise once daily,,1. 매일 에테르파라다이스에 한 번 도전할 수 있습니다.
2002,2. The progress and ranking of Aether Paradise Challenge reset at 05:00 daily,2.每天淩晨5點重置以太樂園的挑戰進度和排名情況,2. The progress and ranking of Aether Paradise Challenge reset at 05:00 daily,,2. 매일 오전 0시마다 에테르파라다이스의 도전 진행도와 순위 상황이 초기화됩니다.
2003,3. Ranking rewards will be given via when it is being reset,3.排名獎勵會在重置時以郵件發放,3. Ranking rewards will be given via when it is being reset,,3. 순위 보상은 초기화 시 우편으로 지급됩니다.
,,,,,
2011,"1. There are 7 floors in Aether Paradise, each floor has 7-12 rooms, and each room has 1 to 4 options to choose from.",1.以太樂園共有7層，每一層有7-12個房間，每個房間內會有1到4種不同的選項可供選擇,"1. There are 7 floors in Aether Paradise, each floor has 7-12 rooms, and each room has 1 to 4 options to choose from.",,"""1. 에테르파라다이스에는 총 7개의 층이 존재합니다. 각 층은 7~12개의 방으로 이루어져 있고, 방마다 1~4종류의 선택지가 있습니다."""
2012,"2. After the selection, you can get the corresponding results according to your option",2.選擇一個選項後，根據選項可以得到對應的選擇結果,"2. After the selection, you can get the corresponding results according to your option",,"""2. 선택지를 고를 경우, 선택지에 따라 해당하는 선택 결과를 얻을 수 있습니다."""
2013,3. Each selection will affect the subsequent room options. The subsequent options will be highlighted after you've made the selection.,3.每次選擇會影響到後續房間的選擇，點擊選項後，後續選擇會亮起,3. Each selection will affect the subsequent room options. The subsequent options will be highlighted after you've made the selection.,,"""3. 매회 선택 시 다음 방의 선택에 영향을 주며, 선택 터치 시 후속 선택이 활성화됩니다."""
2014,4. You cannot select other options after you've confirmed your selection,4.當確認一個選項後，就不可選擇其他的選項,4. You cannot select other options after you've confirmed your selection,,4. 한 선택지를 확정하면 더는 다른 선택지를 선택할 수 없습니다.
2015,5. Battle is required for the monster challenge option. Points can be earned for each victory. Only Pokémons above level 10 are allowed to participate in the challenge.,5.怪物挑戰類選項需要進行戰鬥，戰鬥勝利可以獲得積分，只有10級以上的精靈可以參與怪物挑戰,5. Battle is required for the monster challenge option. Points can be earned for each victory. Only Pokémons above level 10 are allowed to participate in the challenge.,,"""5. 몬스터 도전 유형의 선택지는 전투를 진행하며, 전투 승리 시 포인트를 획득할 수 있습니다. 10레벨 이상의 포켓몬만 몬스터 도전에 참가할 수 있습니다."""
2016,"6. According to your level, record best, and yesterday's performance, you will be able to crush battles below a certain level, which allows you to clear the level get all the points without losing HP.",6.根據等級、歷史最高戰績和昨日表現，可以碾壓一定層數以下的戰鬥，碾壓後可以無傷過關並獲得全部積分,"6. According to your level, record best, and yesterday's performance, you will be able to crush battles below a certain level, which allows you to clear the level get all the points without losing HP.",,"""6. 레벨, 역대 최고 전적 및 어제의 결과에 따라 일정 층수 이하의 전투를 진압할 수 있습니다. 진압 시 피해 없이 클리어하고 모든 포인트를 획득할 수 있습니다."""
