"﻿变量名",name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,type,feature,taskType,taskParam,taskDesc,taskDesc_tw,taskDesc_en,taskDesc_vn,taskDesc_kr,res,icon,award,items,goto
16,Daily quest,日常任務,Daily quest,404404,일일 퀘스트,不积跬步，无以千里,不積跬步，無以千里,Small steps get us to faraway places,404404,천릿길도 한 걸음부터,2,dailyTask,70,20,完成20个日常任务,完成20個日常任務,Complete 20 daily quests,404404,일일 퀘스트 20개 완료,config/grow_guide/task.jpg,city/levelup/icon_rw_rk@.png,{gold = 10000;rmb = 20},<role_exp;453;19>,task
17,Nightmare levels,噩夢關卡,Nightmare levels,Ác mộng cửa ải,악몽 스테이지,无惧噩梦，迎接挑战,無懼噩夢，迎接挑戰,Fear no darkness and accept the challenge,404404,"악몽을 두려워하지 말고, 도전을 받아들이세요",,nightmareGate,,,,,,,,config/grow_guide/nightmare.jpg,city/levelup/icon_gq_rk@.png,{gold = 10000;rmb = 20},,30000
18,Nightmare levels,噩夢關卡,Nightmare levels,Ác mộng cửa ải,악몽 스테이지,无惧噩梦，迎接挑战,無懼噩夢，迎接挑戰,Fear no darkness and accept the challenge,404404,"악몽을 두려워하지 말고, 도전을 받아들이세요",2,nightmareGate,31,5,通关噩梦副本5次,通關噩夢副本5次,Clear Nightmare Dungeon 5 times,404404,악몽 던전 클리어 5회,config/grow_guide/nightmare.jpg,city/levelup/icon_gq_rk@.png,{gold = 10000;rmb = 20},,30000
19,Pokédex,圖鑒,Pokédex,Đồ giám,도감,收集精灵，解锁能力,收集精靈，解鎖能力,Collect Pokémons and unleash powers,404404,"포켓몬을 수집하고, 능력을 해방하세요",,handbook,,,,,,,,config/grow_guide/handbook.jpg,city/levelup/icon_tj_rk@.png,{gold = 10000;rmb = 20},,handbook
,Pokédex,圖鑒,Pokédex,Đồ giám,도감,收集精灵，解锁能力,收集精靈，解鎖能力,Collect Pokémons and unleash powers,404404,"포켓몬을 수집하고, 능력을 해방하세요",2,handbook,,,,,,,,config/grow_guide/handbook.jpg,city/levelup/icon_tj_rk@.png,{gold = 10000;rmb = 20},,handbook
21,Aether Paradise,乙太樂園,Aether Paradise,Aether nhạc viên,에테르파라다이스,随机挑战，其乐无穷,隨機挑戰，其樂無窮,Random challenge for more fun and surprises,404404,"종잡을 수 없는 도전, 무한의 즐거움",,randomTower,,,,,,,,config/grow_guide/randomtower.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<coin2;4000>,randomTower
22,Aether Paradise,乙太樂園,Aether Paradise,Aether nhạc viên,에테르파라다이스,随机挑战，其乐无穷,隨機挑戰，其樂無窮,Random challenge for more fun and surprises,404404,"종잡을 수 없는 도전, 무한의 즐거움",2,randomTower,100,20,以太乐园战斗胜利20次,乙太樂園戰鬥勝利20次,Win Aether Paradise Challenge 20 times,404404,에테르 파라다이스 전투 승리 20회,config/grow_guide/randomtower.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<coin2>,randomTower
23,Catch Pokémons,捕捉精靈,Catch Pokémons,404404,포켓몬 포획,寻找，然后抓住它吧,尋找，然後抓住它吧,Find & Catch,404404,"찾아내서, 본인의 것으로 만드세요",,limitCapture,,,,,,,,config/grow_guide/capture.jpg,city/levelup/icon_jl_rk@.png,{gold = 10000;rmb = 20},<525;524;523>,capture
24,Catch Pokémons,捕捉精靈,Catch Pokémons,404404,포켓몬 포획,寻找，然后抓住它吧,尋找，然後抓住它吧,Find & Catch,404404,"찾아내서, 본인의 것으로 만드세요",2,limitCapture,81,5,成功捕捉5只精灵,成功捕捉5只精靈,Capture 5 Pokémons,404404,포켓몬 5마리 포획 성공,config/grow_guide/capture.jpg,city/levelup/icon_jl_rk@.png,{gold = 10000;rmb = 20},<525;524;523>,
25,Dispatch quest,派遣任務,Dispatch quest,Điều động nhiệm vụ,파견 퀘스트,委派精灵，获得丰富奖励,委派精靈，獲得豐富獎勵,Dispatch Pokémon to get plenty of rewards,404404,"포켓몬을 파견해, 푸짐한 보상을 획득하세요",,dispatchTask,,,,,,,,config/grow_guide/dispatch.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<2101;2102;2103;5000>,dispatchTask
26,Dispatch quest,派遣任務,Dispatch quest,Điều động nhiệm vụ,파견 퀘스트,委派精灵，获得丰富奖励,委派精靈，獲得豐富獎勵,Dispatch Pokémon to get plenty of rewards,404404,"포켓몬을 파견해, 푸짐한 보상을 획득하세요",2,dispatchTask,101,5,进行5次派遣任务,進行5次派遣任務,Complete 5 dispatch quests,404404,파견 퀘스트 진행 5회,config/grow_guide/dispatch.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},<2101;2102;2103;5000>,dispatchTask
27,Explorer Device,探險器,Explorer Device,Thám hiểm khí,탐지기,,,,,,,explorer,,,,,,,,config/grow_guide/explorer.jpg,city/levelup/icon_yc_rk@.png,{gold = 10000;rmb = 20},<coin4>,explorer
28,Explorer Device,探險器,Explorer Device,Thám hiểm khí,탐지기,,,,,,2,explorer,84,5,强化探险器5次,強化探險器5次,Enhance Explorer Device 5 times,404404,탐지기 강화 5회,config/grow_guide/explorer.jpg,city/levelup/icon_yc_rk@.png,{gold = 10000;rmb = 20},<coin4>,explorer
29,Element Challenge,元素挑戰,Element Challenge,Nguyên tố khiêu chiến,엘리멘탈 챌린지,挑战神兽，获取碎片,挑戰神獸，獲取碎片,Challenge Legendary Pokémon and get shards,404404,"전설의 포켓몬에 도전하여, 조각을 얻으세요",,cloneBattle,,,,,,,,config/grow_guide/clone.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},,cloneBattle
30,Element Challenge,元素挑戰,Element Challenge,Nguyên tố khiêu chiến,엘리멘탈 챌린지,挑战神兽，获取碎片,挑戰神獸，獲取碎片,Challenge Legendary Pokémon and get shards,404404,"전설의 포켓몬에 도전하여, 조각을 얻으세요",2,cloneBattle,66,3,元素挑战战斗胜利3次,元素挑戰戰鬥勝利3次,Win Element Challenge 3 times,404404,엘리멘탈 챌린지 전투 승리 3회,config/grow_guide/clone.jpg,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},,cloneBattle
31,Gem,符石,Gem,404404,룬스톤,符石镶嵌，获得强力共鸣效果,符石鑲嵌，獲得強力共鳴效果,"Inlay gems to get powerful resonance effect ",404404,"룬스톤을 인첸트하여, 강력한 공명 효과를 얻으세요",,gem,,,,,,,,config/grow_guide/gem.png,city/levelup/icon_yc_rk@.png,{gold = 10000;rmb = 20},<529>,gemTitle
32,Gem Draw,符石抽取,Gem Draw,404404,룬스톤 뽑기,符石镶嵌，获得强力共鸣效果,符石鑲嵌，獲得強力共鳴效果,"Inlay gems to get powerful resonance effect ",404404,"룬스톤을 인첸트하여, 강력한 공명 효과를 얻으세요",2,gem,105,20,累计抽取符石20次,累計抽取符石20次,Draw gems for a total of 20 times,404404,룬스톤 뽑기 20회 누적,config/grow_guide/gemdraw.png,city/levelup/icon_yc_rk@.png,{gold = 10000;rmb = 20},<529>,gemDraw
33,Mega Evolution,超進化,Mega Evolution,404404,메가진화,mega进化，突破极限,mega進化，突破極限,"Mega Evolution, Extreme Breakthrough",404404,mega 진화하여 한계를 돌파한다,,mega,,,,,,,,config/grow_guide/mega.png,city/levelup/icon_yc_rk@.png,{gold = 10000;rmb = 20},,
,,,,,,,,,,,,,,,,,,,,,,,,
35,Fishing,釣魚,Fishing,404404,낚시,悠闲垂钓，收获奖励,悠閒垂釣，收穫獎勵,,404404,여유롭게 낚시，보상 받기,,fishing,,,,,,,,config/grow_guide/fishing.png,city/levelup/icon_gq_rk@.png,{gold = 10000;rmb = 20},,fishing
36,Fishing,釣魚,Fishing,404404,낚시,悠闲垂钓，收获奖励,悠閒垂釣，收穫獎勵,,404404,여유롭게 낚시，보상 받기,2,fishing,109,10,成功钓上10条鱼,累計抽取符石20次,Draw gems for a total of 20 times,404404,물고기 10개 낚시 성공,config/grow_guide/fishing.png,city/levelup/icon_gq_rk@.png,{gold = 10000;rmb = 20},,fishing
,,,,,,,,,,,,,,,,,,,,,,,,
38,hunting ground,,,404404,사냥 지대,狩猎大师，挑战强者,狩獵大師，挑戰強者,,404404,"사냥의 장인, 강자 도전",2,hunting,113,1,完成1次狩猎地带普通线路的挑战,,,,사냥 지대 일반 코스 도전 1회 완료,config/grow_guide/sldd.png,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},,hunting
39,advanced hunting grounds,,,404404,사냥 지대 진급 코스,狩猎大师，挑战强者,狩獵大師，挑戰強者,,404404,"사냥의 장인, 강자 도전",2,specialHunting,114,1,完成1次狩猎地带进阶线路的挑战,,,,사냥 지대 진급 코스 도전 1회 완료,config/grow_guide/sldd.png,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},,specialHunting
,,,,,,,,,,,,,,,,,,,,,,,,
40,pokemon challenge,,,404404,404404,宝可梦挑战，迈向最强之路,,,404404,404404,,normalBraveChallenge,,,,,,,,config/grow_guide/yztz.png,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},,normalBraveChallenge
41,pokemon challenge,,,404404,404404,宝可梦挑战，迈向最强之路,,,404404,404404,2,normalBraveChallenge,118,1,完成1次宝可梦挑战的挑战,,,,,config/grow_guide/yztz.png,city/levelup/icon_mx_rk@.png,{gold = 10000;rmb = 20},,normalBraveChallenge
