变量名,name,languages,drawlanguages,name_tw,name_en,name_vn,name_kr,cardMarkID,cardType,atkType,develop,branch,branchType,megaIndex,canDevelop,developType,_zawakeID,zawakeID,zawakeFragID,maleRate,gender,chaRnd,chaRecom,nValueRnd,specValue,fightingWeight,starTypeID,advanceTypeID,feelType,feelItems,advanceMax,advanceLevelReq,levelExpID,unitID,levelMax,skinSkillMap,innateSkillID,skillList,starSkillSeqID,starSkillMaxLevel,equipsList,fragID,fragNumType,star,effect,starEffectIndex,abilitySeqID,effortSeqID,gemPosSeqID,gemQualitySeqID,fetterList,townSkill,energy,energyCorrection,introduction,introduction_tw,introduction_en,introduction_vn,introduction_kr,location,location_tw,location_en,location_vn,location_kr
15,Mega Charizard Y,<cn;kr;en;tw>,,超級噴火龍Y,Mega Charizard Y,404404,메가리자몽Y,11,,<8>,4,2,,112,TRUE,3,13,,50011,5000,,1,<6;7;18;19>,2,<78;100;104;78;159;115;634>,1,12,11,2,<618;619;620;602;603>,,,2,15,,,153,<151;152;153;156;61101;61102>,11,,<11032;11132;11232;11332;>,20011,2,10,,11,16,2,2,2,<111;112;113>,,,,Its bond with its Trainer is the source of its power. It boasts speed and maneuverability greater than that of a jet fighter.,與訓練家的牽絆是它的力量之源。它引以為傲的飛行能力完全淩駕於噴氣式飛機之上。,Its bond with its Trainer is the source of its power. It boasts speed and maneuverability greater than that of a jet fighter.,Nguồn gốc sức mạnh của nó chính là sự liên hệ mật thiết với huấn luyện viên. Chúng có một khả năng bay lượn đáng tự hào vượt xa cả máy bay phản lực.,트레이너와의 유대가 힘의 원천이다. 제트기를 능가하는 비행 능력을 자랑한다.,Flame Burn & Burn Boost,火焰灼燒&灼燒增強,Flame Burn & Burn Boost,404404,화염 연소&연소 강화
21,Squirtle,,,傑尼龜,Squirtle,404404,꼬부기,21,,<8>,1,,,,TRUE,,21,21,50021,5000,,1,<24;23;14;16>,1,<44;43;48;65;50;64;314>,1,2,11,2,<621;622;623;602;603>,,,2,21,,,213,<211;212;213;216;61151;61152>,21,,<11022;11122;11222;11322;>,20021,2,2,,21,17,2,2,2,<211;212;213>,,,,"Squirtle, the Tiny Turtle Pokémon that is good at launching water attacks. It has a tough shell that can squirt out water with vigorous force. The specific habitat is unknown.",傑尼龜，那是擅長水屬性攻擊的小龜寶可夢。有堅硬的龜殼，能夠發揮強烈的水槍攻擊。詳細的棲息地點不明。,"Squirtle, the Tiny Turtle Pokémon that is good at launching water attacks. It has a tough shell that can squirt out water with vigorous force. The specific habitat is unknown.","Squirtle, là một Tiny Turtle Pokémon hệ nước, rất giỏi chiến đấu dưới nước. Chúng có chiếc mai cứng và có thể tấn công bằng súng phun nước. Chưa có thông tin về môi trường sống cụ thể.","""꼬부기, 물 타입 공격에 능숙한 꼬마거북 포켓몬, 단단한 등껍질을 지니고 있으며 강력한 물대포 공격을 가할 수 있다. 자세한 서식지는 불명이다.""",Protect the allies,護佑友方,Protect the allies,Bảo Vệ Phe Ta,아군 보호
22,Wartortle,,,卡咪龜,Wartortle,404404,어니부기,21,,<8>,2,,,,TRUE,,21,21,50021,5000,,1,<24;23;14;16>,1,<59;58;63;80;65;80;405>,1,2,11,2,<621;622;623;602;603>,,,2,22,,,223,<221;222;223;226;61151;61152>,21,,<11022;11122;11222;11322;>,20021,2,2,,21,17,2,2,2,<211;212;213>,,,,"Wartortle, the Turtle Pokémon and the evolved form of Squirtle. Its furry tail is very popular as a symbol of long life.",卡咪龜，龜寶可夢。是傑尼龜的進化形。那長毛覆蓋的尾巴，被人們認為是長壽的象徵。,"Wartortle, the Turtle Pokémon and the evolved form of Squirtle. Its furry tail is very popular as a symbol of long life.","Wartortle, Turtle Pokémon. Chiếc đuôi dài phủ đầy lông được nhận định là biểu hiện cho việc đã sống rất lâu.","""어니부기, 거북이 포켓몬, 꼬부기의 진화형, 털로 덮인 꼬리는 장수의 상징으로 여겨진다.""",Protect the allies,護佑友方,Protect the allies,Bảo Vệ Phe Ta,아군 보호
23,Blastoise,,,水箭龜,Blastoise,404404,거북왕,21,,<8>,3,,,,TRUE,,21,21,50021,5000,,1,<24;23;14;16>,1,<79;78;83;100;85;105;530>,1,2,11,2,<621;622;623;602;603>,,,2,23,,,233,<231;232;233;236;61151;61152>,21,,<11022;11122;11222;11322;>,20021,2,2,,21,17,2,2,2,<211;212;213>,,,,"Blastoise, the Shellfish Pokémon The evolved form of Wartortle Blastoise's strength lies in its power, rather than its speed Its shell is like armor and attacks from the hydro cannons on its back are virtually unstoppable.",水箭龜，龜甲寶可夢。是卡咪龜的進化形。巨大的身體雖然沒有速度的優勢，但是力量驚人。堅硬的甲殼防禦力特高，背上的水炮攻擊力威力巨大無比。,"Blastoise, the Shellfish Pokémon The evolved form of Wartortle Blastoise's strength lies in its power, rather than its speed Its shell is like armor and attacks from the hydro cannons on its back are virtually unstoppable.","Blastoise, Shellfish Pokémon. Dạng tiến hóa của Wartortle. Cơ thể to lớn nên không có lợi thế về tốc độ, song có sức mạnh kinh người. Thân hình cứng rắn có sức phòng thủ cao và súng phun nước trên lưng có sức tấn công vô cùng mạnh mẽ.","""거북왕, 등껍질 포켓몬, 어니부기의 진화형, 거대한 몸체는 스피드의 우세는 없지만, 놀라운 힘을 지니고 있다. 단단한 등껍질은 방어력이 매우 높으며, 등의 물대포의 공격력도 매우 강력하다.""",Protect the allies,護佑友方,Protect the allies,Bảo Vệ Phe Ta,아군 보호
24,Mega Blastoise,<cn;kr;en;tw>,,超級水箭龜,Mega Blastoise,404404,메가거북왕,21,,<8>,4,,,210,TRUE,,22,,50021,5000,,1,<24;23;14;16>,2,<79;78;103;120;135;115;630>,1,12,11,2,<621;622;623;602;603>,,,2,24,,,243,<241;242;243;246;61151;61152>,21,,<11022;11122;11222;11322;>,20021,2,10,,21,17,2,2,2,<211;212;213>,,,,"Giant cannon on its tortoise shell has the power more than a tank, strong waist and legs makes it stable under the impact of the launching.",龜甲上的大炮擁有不遜於坦克的威力，結實的腰腿使它能在發射的衝擊力之下用力站穩。,"Giant cannon on its tortoise shell has the power more than a tank, strong waist and legs makes it stable under the impact of the launching.",404404,"""등껍질의 대포는 전차 수준의 위력을 지녔으며, 튼튼한 허리와 다리로 발사의 충격을 견뎌낸다.""",Water Shield & DEF Shield,水系護盾&防禦庇護,Water Shield & DEF Shield,404404,물 타입 실드&방어 비호
31,Caterpie,,,綠毛蟲,Caterpie,404404,캐터피,31,,<7>,1,,,,TRUE,,31,,50031,5000,,1,<6;8;14;16>,1,<45;45;30;35;20;20;195>,1,1,1,1,<609;610;611;602;603>,,,1,31,,,313,<311;312;313;316;61101;61102>,31,,<11001;11101;11201;11301;>,20031,1,2,,31,14,1,1,1,<311;312;313>,,,,"Caterpie, the Worm Pokémon. Caterpie uses the suction cups on its feet to climb trees and feed on its favorite leaves.",綠毛蟲，青蟲寶可夢。使用腳上的吸盤攀爬樹木來啃食他們喜歡吃的樹葉。,"Caterpie, the Worm Pokémon. Caterpie uses the suction cups on its feet to climb trees and feed on its favorite leaves.","Caterpie, Worm Pokémon. Sử dụng các giác hút ở dưới chân để bò lên cây ăn lá.","""캐터피, 애벌레 포켓몬, 발끝의 빨판을 사용해 나무를 오르고, 좋아하는 나뭇잎을 먹는다.""",Great reduction in speed,強力減速,Great reduction in speed,Giảm Tốc Mạnh,초강력 감속
,Metapod,,,鐵甲蛹,Metapod,404404,단데기,31,,,2,,,,TRUE,,,,,5000,,1,<6;8;14;16>,1,<50;30;20;55;25;25;205>,1,1,1,1,<609;610;611;602;603>,,,1,32,,,323,<321;322;323;326;61101;61102>,31,,<11001;11101;11201;11301;>,20031,1,2,,31,,1,1,1,<311;312;313>,,,,"Metapod, Caterpie's next stage. It has encased its body in a hard shell. This specimen reached this stage faster than any previously discovered Pokémon of this variety.",鐵甲蛹，綠毛蟲的進化形態。全身被堅硬的殼所包覆。這種種類是目前所發現的寶可夢中進化速度最快的一種。,"Metapod, Caterpie's next stage. It has encased its body in a hard shell. This specimen reached this stage faster than any previously discovered Pokémon of this variety.","Metapod, dạng tiến hóa của Caterpie. Toàn thân được bao phủ một lớp vỏ cứng. Cho đến nay đây là loài có tốc độ tiến hóa nhanh nhất trong số các Pokémon đã được phát hiện.","""단데기, 캐터피의 진화 형태, 온몸이 단단한 껍질로 둘러싸여 있다. 현재 확인할 수 있는 포켓몬 중에서 진화 속도가 가장 빠른 종이다.""",Great reduction in speed,強力減速,Great reduction in speed,Giảm Tốc Mạnh,초강력 감속
33,Butterfree,,,巴大蝶,Butterfree,404404,버터플,31,,<8>,2,,,,TRUE,,31,,50031,5000,,1,<22;24;18;20>,1,<60;70;45;50;90;80;395>,1,1,1,1,<609;610;611;602;603>,,,1,33,,,333,<331;332;333;336;61101;61102>,31,,<11001;11101;11201;11301;>,20031,1,2,,31,14,1,1,1,<311;312;313>,,,,"Butterfree, the Butterfly Pokémon. Butterfree is the evolved form of Metapod. The scales covering its wings help it to shed water.",巴大蝶，蝶屬性寶可夢，鐵甲蛹的進化形。可以藉著翅膀上的鱗粉在水面上彈跳。,"Butterfree, the Butterfly Pokémon. Butterfree is the evolved form of Metapod. The scales covering its wings help it to shed water.","Butterfree, Butterfly Pokémon, có thể bay trên mặt nước nhờ bột phấn trên cánh.","""버터플, 나비 포켓몬, 단데기의 진화형, 날개의 인분이 물을 튕겨낸다.""",Great reduction in speed,強力減速,Great reduction in speed,Giảm Tốc Mạnh,초강력 감속
,Weedle,,,獨角蟲,Weedle,404404,뿔충이,41,,,1,,,,TRUE,,,,,5000,,1,<8;9;13;12>,1,<40;50;35;30;20;20;195>,1,1,1,1,<609;610;611;602;603>,,,1,41,,,413,<411;412;413;416;61101;61102>,41,,<11001;11101;11201;11301;>,20041,1,2,,41,,1,1,1,<411;412;413>,,,,Weedle. The stinger on this Pokémon's head guarantees that any attacker will get the point right where it hurts.,獨角蟲，那是頭頂具有尖銳的毒針以此威嚇阻止外敵的侵害。,Weedle. The stinger on this Pokémon's head guarantees that any attacker will get the point right where it hurts.,"Weedle, Hairy Bug Pokémon, đỉnh đầu có một chiếc sừng nhọn chưa độc tố dùng để đe dọa và phòng vệ trước kẻ địch.","""뿔충이, 머리 끝의 날카로운 독침으로 적을 위협한다.""",,,,,
,Kakuna,,,鐵殼蛹,Kakuna,404404,딱충이,41,,,2,,,,TRUE,,,,,5000,,1,<6;8;14;16>,1,<45;35;25;50;25;25;205>,1,1,1,1,<609;610;611;602;603>,,,1,42,,,423,<421;422;423;426;61101;61102>,41,,<11001;11101;11201;11301;>,20041,1,2,,41,,1,1,1,<411;412;413>,,,,"Kakuna, a transitional stage between Weedle and Beedrill. Kakunas remain inactive until they evolve into deadly Beedrills and hatch.",鐵殼昆，是獨角蟲成蟲之前的一個蛻變狀態。雖然本身他不懂活動，但是要小心他們蛻變。,"Kakuna, a transitional stage between Weedle and Beedrill. Kakunas remain inactive until they evolve into deadly Beedrills and hatch.","Cocoon, trạng thái chưa lột xác của Weedle. Tuy rằng không thể cử động nhưng hãy cẩn thận nếu nó lột xác.","""딱충이, 뿔충이가 성충이 되기 전의 상태, 몸은 움직일 수 없지만, 위험해지면 독바늘을 뿜는다.""",,,,,
41,Beedrill,,,大針蜂,Beedrill,404404,독침붕,41,,<7>,1,,,,TRUE,,41,,50041,5000,,1,<24;25;11;12>,1,<65;75;90;40;45;80;395>,1,1,1,1,<609;610;611;602;603>,,,1,43,,,433,<431;432;433;436;61101;61102>,41,,<11001;11101;11201;11301;>,20041,1,2,,41,11,1,1,1,<411;412;413>,,,,"Beedrill, the Poison Bee Pokémon, is an evolved form of Kakuna. Its sting is highly poisonous.",毒蜂寶可夢，大針鋒，是鐵殼昆進化過來的，屁股那根毒針非常的危險。,"Beedrill, the Poison Bee Pokémon, is an evolved form of Kakuna. Its sting is highly poisonous.","Poison Bee Pokémon, ở mông có kim độc lớn rất nguy hiểm.","""독침붕, 독벌 포켓몬, 딱충이의 진화 형태로, 엉덩이의 독침은 매우 위험하다.""",Normal damage: Single-target healing reduction,普通輸出：單體減療,Normal damage: Single-target healing reduction,Sát Thương Thường: giảm trị liệu đơn thể,일반 공격: 단일 치료 감소
44,Mega Beedrill,<cn;kr;en;tw>,,超級大針蜂,Mega Beedrill,404404,메가독침붕,41,,<7>,2,,,410,TRUE,,42,,50041,5000,,1,<24;25;11;12>,1,<65;145;150;40;15;80;495>,1,1,1,1,<609;610;611;602;603>,,,1,44,,,443,<441;442;443;446;61101;61102>,41,,<11002;11102;11202;11302;>,20041,1,2,,41,11,1,1,1,<411;412;413>,,,,"Its legs have become poison stingers. It stabs its prey repeatedly with the stingers on its limbs, dealing the final blow with the stinger on its rear.",雙腳也變化為毒針。用手腳的針猛刺之後，以尾部的毒針給出最後一擊。,"Its legs have become poison stingers. It stabs its prey repeatedly with the stingers on its limbs, dealing the final blow with the stinger on its rear.","Cả hai chân cũng biến thành kim độc, sau khi đã tấn công bằng kim độc ở 2 chi trước sẽ kết liễu bằng kim độc ở mông.","""두 다리도 독침으로 변해 있다. 손발의 독침으로 맹렬하게 공격한 후, 꼬리의 독침으로 최후의 일격을 가한다.""",Poison Boost & Single Healing-reduction,中毒增傷&單體減療,Poison Boost & Single Healing-reduction,404404,맹독 피해 증가&단일 치료 감소
51,Pidgey,,,波波,Pidgey,404404,구구,51,,<7>,1,,,,TRUE,,51,51,50051,5000,,1,<8;9;13;12>,1,<40;56;45;40;35;35;251>,1,2,11,2,<606;607;608;602;603>,,,2,51,,,513,<511;512;513;516;61101;61102>,51,,<11012;11112;11212;11312;>,20051,2,2,,51,19,2,2,2,<511;512;513>,,,,"Pidgey is a Flying Pokémon. Among all the Flying Pokémon, it is the gentlest and easiest to capture. A perfect target for the beginning Pokémon Trainer to test his Pokémon's skills.",波波，空中的寶可夢。是飛行的寶可夢中個性最溫和，最容易捕捉的。是寶可夢訓練家初學者小試身手的最好目標。,"Pidgey is a Flying Pokémon. Among all the Flying Pokémon, it is the gentlest and easiest to capture. A perfect target for the beginning Pokémon Trainer to test his Pokémon's skills.","Pidgey, Tiny Bird Pokémon. Là một Pokémon rất hiền lành vầ dễ bắt nhất trong Pokémon hệ bay. Là một mục tiêu thích hợp cho các huấn luyện viên mới thử sức","""구구, 아기새 포켓몬, 비행 포켓몬 중 성격이 가장 온순해서 포획이 쉽다. 초보자 포켓몬 트레이너들이 솜씨를 시험해 보기 좋은 상대다.""",Increased speed damage: Increase damage quickly,提速輸出：速度增傷,Increased speed damage: Increase damage quickly,Sát Thương Tăng Tốc: tăng thương tốc độ,가속 공격: 스피드 피해 증가
52,Pidgeotto,,,比比鳥,Pidgeotto,404404,피죤,51,,<7>,2,,,,TRUE,,51,51,50051,5000,,1,<8;9;13;12>,1,<63;71;60;55;50;50;349>,1,2,11,2,<606;607;608;602;603>,,,2,52,,,523,<521;522;523;526;61101;61102>,51,,<11012;11112;11212;11312;>,20051,2,2,,51,19,2,2,2,<511;512;513>,,,,"Pidgeotto, an evolved form of the Pidgey. It is armed with sharp claws and dives from the sky to capture its prey. Unlike the more gentle Pidgey, Pidgeotto can be dangerous. Approach with extreme caution.",比比鳥，波波進化後的形態。會急速俯衝以銳利的爪子當武器捕捉小動物當食物，波波的溫柔個性在進化後劇烈轉變，性好攻擊請多小心。,"Pidgeotto, an evolved form of the Pidgey. It is armed with sharp claws and dives from the sky to capture its prey. Unlike the more gentle Pidgey, Pidgeotto can be dangerous. Approach with extreme caution.","Pidgeotto, dạng tiến hóa của Pidgey. Móng vuốt sắc nhọn được dùng làm vũ khí và bắt những con mồi nhỏ làm thức ăn. Tính tình vốn hiền lành nhưng trở nên hiếu chiến hơn sau khi tiến hóa, hãy cẩn thận.","""피죤, 구구의 진화 형태, 신속한 돌진과 날카로운 발톱을 무기로 작은 동물들을 먹이로 삼는다. 구구의 온순했던 성격과는 판이하게 다른 공격성을 지니고 있어 주의해야 한다.""",Increased speed damage: Increase damage quickly,提速輸出：速度增傷,Increased speed damage: Increase damage quickly,Sát Thương Tăng Tốc: tăng thương tốc độ,가속 공격: 스피드 피해 증가
53,Pidgeot,,,大比鳥,Pidgeot,404404,피죤투,51,,<7>,3,,,,TRUE,,51,51,50051,5000,,1,<8;9;13;12>,1,<83;101;80;75;70;70;479>,1,2,11,2,<606;607;608;602;603>,,,2,53,,,533,<531;532;533;536;61101;61102>,51,,<11012;11112;11212;11312;>,20051,2,2,,51,19,2,2,2,<511;512;513>,,,,"Pidgeot, the Bird Pokémon. The evolved form of Pidgeotto. It can fly at twice the speed of sound at an altitude of nearly one mile.",大比鳥，鳥寶可夢。是比比鳥的進化的型。可以用2馬赫的速度，飛行一千米的高度。,"Pidgeot, the Bird Pokémon. The evolved form of Pidgeotto. It can fly at twice the speed of sound at an altitude of nearly one mile.","Pidgeot, Bird Pokémon, dạng tiến hóa của Pidgeotto. Có thể bay cao đến hơn 1km với vận tốc đạt 2 mach.","""피죤투, 새 포켓몬, 피죤의 진화 형태, 마하2의 스피드로 1000m 상공을 날아다닌다.""",Increased speed damage: Increase damage quickly,提速輸出：速度增傷,Increased speed damage: Increase damage quickly,Sát Thương Tăng Tốc: tăng thương tốc độ,가속 공격: 스피드 피해 증가
