变量名,_beizhu,attrType,advance,randomRange1,cost1,randomRange2,cost2
44,Physical attack,7,8,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
45,Physical attack,7,9,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
46,Physical attack,7,10,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
47,Physical attack,7,11,<<<-13;8>;100>>,{451=6},<<<0;19>;100>>,{452=3}
48,Physical attack,7,12,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
49,Physical attack,7,13,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
50,Physical attack,7,14,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
51,Physical attack,7,15,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
52,Physical attack,7,16,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
53,Physical attack,7,17,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
54,Physical attack,7,18,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
55,physical defense,9,1,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
56,physical defense,9,2,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
57,physical defense,9,3,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
58,physical defense,9,4,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
59,physical defense,9,5,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
60,physical defense,9,6,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
61,physical defense,9,7,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
62,physical defense,9,8,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
63,physical defense,9,9,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
64,physical defense,9,10,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
65,physical defense,9,11,<<<-5;3>;100>>,{451=6},<<<0;8>;100>>,{452=3}
66,physical defense,9,12,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
67,physical defense,9,13,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
68,physical defense,9,14,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
69,physical defense,9,15,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
70,physical defense,9,16,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
71,physical defense,9,17,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
72,physical defense,9,18,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
73,Special forces,8,1,<<<-2;13>;100>>,{451=6},<<<3;19>;100>>,{452=3}
74,Special forces,8,2,<<<-2;13>;100>>,{451=6},<<<3;19>;100>>,{452=3}
75,Special forces,8,3,<<<-4;13>;100>>,{451=6},<<<2;19>;100>>,{452=3}
76,Special forces,8,4,<<<-4;13>;100>>,{451=6},<<<2;19>;100>>,{452=3}
77,Special forces,8,5,<<<-7;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
78,Special forces,8,6,<<<-7;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
79,Special forces,8,7,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
80,Special forces,8,8,<<<-13;13>;100>>,{451=6},<<<0;19>;100>>,{452=3}
81,Special forces,8,9,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
82,Special forces,8,10,<<<-13;10>;100>>,{451=6},<<<0;19>;100>>,{452=3}
83,Special forces,8,11,<<<-13;8>;100>>,{451=6},<<<0;19>;100>>,{452=3}
84,Special forces,8,12,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
85,Special forces,8,13,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
86,Special forces,8,14,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
87,Special forces,8,15,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
88,Special forces,8,16,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
89,Special forces,8,17,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
90,Special forces,8,18,<<<-13;7>;100>>,{451=6},<<<0;14>;85>;<<15;19>;15>>,{452=3}
91,special defense,10,1,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
92,special defense,10,2,<<<-1;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
93,special defense,10,3,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
94,special defense,10,4,<<<-2;5>;100>>,{451=6},<<<1;8>;100>>,{452=3}
95,special defense,10,5,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
96,special defense,10,6,<<<-2;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
97,special defense,10,7,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
98,special defense,10,8,<<<-5;5>;100>>,{451=6},<<<0;8>;100>>,{452=3}
99,special defense,10,9,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
100,special defense,10,10,<<<-5;4>;100>>,{451=6},<<<0;8>;100>>,{452=3}
101,special defense,10,11,<<<-5;3>;100>>,{451=6},<<<0;8>;100>>,{452=3}
102,special defense,10,12,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
103,special defense,10,13,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
104,special defense,10,14,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
105,special defense,10,15,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
106,special defense,10,16,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
107,special defense,10,17,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
108,special defense,10,18,<<<-5;-1>;60>;<<0;3>;40>>,{451=6},<<<0;5>;75>;<<6;8>;25>>,{452=3}
