变量名,_beizhu,weight,type,group,res,position,position_tw,position_en,position_vn,position_kr,zOrder,touchSize,scale,action,randLib,unfreezeAward,shape_shifter,baibianRandLib,chattext1,chattext1_tw,chattext1_en,chattext1_vn,chattext1_kr,chattext2,chattext2_tw,chattext2_en,chattext2_vn,chattext2_kr,chattext3,chattext3_tw,chattext3_en,chattext3_vn,chattext3_kr,offPos,overture,activityIds,activityPosition,activityScale,active
1000,Mimi Q (type fixed 1000) house corner,,1000,10001,zhuchangjing/zjm_mnq1.skel,{x=1231;y=651},{x=1231;y=651},{x=1231;y=651},{x=1231;y=651},{x=1231;y=651},2,{width=120;height=80},2,FALSE,132,,,,,,,,,,,,,,,,,,,,,<2320>,{x=463;y=551},,
1001,Mimi Q (type fixed 1000),,1000,10002,zhuchangjing/zjm_mnq2.skel,{x=441;y=1233},{x=441;y=1233},{x=441;y=1233},{x=441;y=1233},{x=441;y=1233},2,{width=120;height=120},2,FALSE,132,,,,,,,,,,,,,,,,,,,,,,,,
1002,Mimi Q (type fixed 1000),0,1000,10003,zhuchangjing/zjm_mnq3.skel,{x=3881;y=707},{x=3881;y=707},{x=3881;y=707},{x=3881;y=707},{x=3881;y=707},2,{width=120;height=120},2,FALSE,132,,,,,,,,,,,,,,,,,,,,,,,,
1003,Mysterious Q (type fixed 1000) hanging on the tree,,1000,10004,zhuchangjing/zjm_mnq3.skel,{x=175;y=1065},{x=175;y=1065},{x=175;y=1065},{x=175;y=1065},{x=175;y=1065},2,{width=100;height=200},2,FALSE,132,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,snot bear,,7,71,zhuchangjing/bitixiong.skel,{x=776;y=280},{x=776;y=280},{x=776;y=280},{x=776;y=280},{x=776;y=280},15,{width=80;height=100},,,130,,,131,Puuu---,Puuu---,Puuu---,Puuu---,ㅋㅋㅋ~,Xi-----,吸溜！--,Xi-----,Xi-----,히이잉~,,,,,,{x=-90;y=60},,<2485>,{x=2266;y=230},,FALSE
16,Pogaman,,8,81,zhuchangjing/bojiaman.skel,{x=2117;y=272},{x=2117;y=272},{x=2117;y=272},{x=2117;y=272},{x=2117;y=272},13,{width=90;height=100},,,130,{libs=<136>},,131,BoJia！,BoJia！,BoJia！,BoJia！,Oh！,,,,,,,,,,,{x=80;y=80},TRUE,,,,FALSE
17,dressed bear,,9,91,zhuchangjing/chuanzhuoxiong.skel,{x=190;y=470},{x=190;y=470},{x=190;y=470},{x=190;y=470},{x=190;y=470},10,{width=160;height=150},,,130,,,131,wuso！！~,wuso！！~,wuso！！~,wuso！！~,Zzzzzzz,,,,,,,,,,,{x=240;y=80},TRUE,,,,FALSE
18,Slowpoke,,10,101,zhuchangjing/daidaishou.skel,{x=3456;y=340},{x=3456;y=340},{x=3456;y=340},{x=3456;y=340},{x=3456;y=340},11,{width=70;height=80},2.4,,130,{libs=<136>},,131,Wauuuu~~~~~~,嗚哇~~~~~~,Wauuuu~~~~~~,Wauuuu~~~~~~,우와~,,,,,,,,,,,{x=130;y=40},TRUE,,,,FALSE
19,seal ball,,8,81,zhuchangjing/haibaoqiu.skel,{x=1945;y=260},{x=1945;y=260},{x=1945;y=260},{x=1945;y=260},{x=1945;y=260},14,{width=70;height=70},,,130,{libs=<136>},,131,OwOw,OwOw,OwOw,OwOw,Hi~,,,,,,,,,,,{x=126;y=40},TRUE,,,,FALSE
20,Snorkelling,,8,81,zhuchangjing/kabishou2.skel,{x=1773;y=264},{x=1773;y=264},{x=1773;y=264},{x=1773;y=264},{x=1773;y=264},13,{width=80;height=120},,,130,{libs=<136>},,131,emmm,emmm,emmm,emmm,0.0！,emmmm,emmmm,emmmm,emmmm,,emmm,emmm,emmm,emmm,,{x=170;y=30},TRUE,,,,FALSE
21,up to duck,,10,101,zhuchangjing/kedaya.skel,{x=3276;y=360},{x=3276;y=360},{x=3276;y=360},{x=3276;y=360},{x=3276;y=360},12,{width=70;height=80},2.4,,130,{libs=<136>},,131,Gua？~,呱？~,Gua？~,Gua？~,깍깍~,Ga？！！~,嘎？！！~,Ga？！！~,Ga？！！~,,,,,,,{x=-74;y=60},,,,,FALSE
22,mini ice,,7,71,zhuchangjing/minibing.skel,{x=813;y=531},{x=813;y=531},{x=813;y=531},{x=813;y=531},{x=813;y=531},13,{width=60;height=60},,,130,,,131,(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),(≥﹃≤),,,,,,,,,,,{x=-82;y=44},,<2485>,{x=2303;y=481},,FALSE
23,Wall Doll,,7,71,zhuchangjing/moqiangrenou.skel,{x=1180;y=283},{x=1180;y=283},{x=1180;y=283},{x=1180;y=283},{x=1180;y=283},14,{width=100;height=170},,,130,,,131,(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),(＠_＠;),,,,,,,,,,,{x=56;y=144},TRUE,<2485>,{x=2670;y=233},,FALSE
24,Creamy Milk Fairy,,7,71,zhuchangjing/suannaixian.skel,{x=945;y=293},{x=945;y=293},{x=945;y=293},{x=945;y=293},{x=945;y=293},13,{width=100;height=130},,,130,,,131,Yaaaaa~！~,咿呀~！~,Yaaaaa~！~,Yaaaaa~！~,야옹~,,,,,,,,,,,{x=-90;y=120},,<2485>,{x=2435;y=243},,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,pikachu,,11,111,zhuchangjing/pikaqiu.skel,{x=3036;y=280},{x=3036;y=280},{x=3036;y=280},{x=3036;y=280},{x=3036;y=280},13,{width=80;height=120},,,130,,,131,Oh！,牛年大吉,Oh！,Oh！,Yeah！,,,,,,,,,,,{x=-154;y=-20},,,,,FALSE
26,Meow meow,,11,111,zhuchangjing/miaomiao.skel,{x=3390;y=283},{x=3390;y=283},{x=3390;y=283},{x=3390;y=283},{x=3390;y=283},13,{width=80;height=120},,,130,,,131,Happy New Year！,闔家歡樂,Happy New Year！,Happy New Year！,Happy New Year！,,,,,,,,,,,{x=-74;y=-40},,,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Halloween atmosphere group,,12,121,zhuchangjingpokmon/wsjzh.skel,{x=190;y=420},{x=140;y=400},{x=190;y=420},{x=190;y=420},{x=190;y=420},10,{width=200;height=200},,,130,,FALSE,,Gimme Candy!,糖果拿來~~,Gimme Candy!,Gimme Candy!,사탕 안 주면 장난 칠거야,,,,,,,,,,,,,,,,
