"﻿变量名",title,title_tw,title_en,title_vn,title_kr,languages,showType,color,resBg,res,spineSize,type,sameId,kind,source,itemId,feature,rank,needNotice,alwaysDisplay,days,message,message_tw,message_en,needNotice_vn,message_kr,conditionDesc,conditionDesc_tw,conditionDesc_en,conditionDesc_kr,condition1,conditionArg1_1,conditionArg1_2,conditionDesc2,condition2,conditionArg2_1,conditionArg2_2,attrNatureType1,attrType1,attrValue1,attrNatureType2,attrType2,attrValue2,attrNatureType3,attrType3,attrValue3
13,Energetic,精力充沛,Energetic,title4044404,원기 충만,,txt,<138;92;153>,config/title/img_purple@.png,config/title/jlcp@.png,,2,,,,,,,,,,,,,,,Buy Energy for 100 times in total,累積購買體力100次,Buy Energy for 100 times in total,체력 구매 누적 100회,26,100,,,,,,0,1,500,,,,,,
14,Mysterious traveller,神秘旅人,Mysterious traveller,title4044404,신비한 여행자,,txt,<138;92;153>,config/title/img_purple@.png,config/title/smlr@.png,,2,,,,,,,,,,,,,,,"Clear story chapters and Hard levels for 1,000 times in total",累積通關劇情和困難關卡1000次,"Clear story chapters and Hard levels for 1,000 times in total",스토리 및 하드 스테이지 누적 1000회 클리어,33,1000,,,,,,0,7,150,0,8,150,,,
15,Serious Perfectionist,強迫症晚期,Serious Perfectionist,title4044404,강박증 말기,,txt,<138;92;153>,config/title/img_purple@.png,config/title/qpzwq@.png,,2,,,,,,,,,,,,,,,Complete 200 daily quests,完成日常任務200次,Complete 200 daily quests,일일 퀘스트 200회 완료,70,200,,,,,,0,9,80,0,10,80,,,
16,Happy giver,樂於奉獻,Happy giver,title4044404,헌신하는 마음,,txt,<138;92;153>,config/title/img_purple@.png,config/title/lyfx@.png,,2,,,,,,,,,,,,,,,Donate to union a total of 150 times,累積公會捐獻150次,Donate to union a total of 150 times,길드 기부 누적 150회,55,150,,,,,,0,1,300,,,,,,
17,Best Partner,最佳夥伴,Best Partner,title4044404,최고의 파트너,,txt,<138;92;153>,config/title/img_purple@.png,config/title/zjhb@.png,,2,,,,,,,,,,,,,,,Friends count reaches 50,好友數量達到50,Friends count reaches 50,친구 수 50명 달성,78,50,,,,,,0,7,80,0,8,80,,,
18,Big Spender,揮金如土,Big Spender,title4044404,백만장자,,txt,<138;92;153>,config/title/img_purple@.png,config/title/hjrt@.png,,2,,,,,,,,,,,,,,,"Spend 200,000,000 coins in total",累積消費200000000金幣,"Spend 200,000,000 coins in total",200000000코인 누적 소비,20,200000000,,,,,,0,9,1%,0,10,1%,,,
19,Diancie's Blessing,蒂安希祝福,Diancie's Blessing,title4044404,디안시 축복,,txt,<138;92;153>,config/title/img_purple@.png,config/title/daxzf@.png,,2,,,,,,,,,,,,,,,"Spend 99,999 diamonds in total",累積消耗99999鑽石,"Spend 99,999 diamonds in total",99999다이아 누적 소모,21,99999,,,,,,0,7,1%,0,8,1%,,,
20,Perfect attendance,完美出勤,Perfect attendance,title4044404,완벽한 출근,,txt,<138;92;153>,config/title/img_purple@.png,config/title/wmcq@.png,,2,,,,,,,,,,,,,,,Sign in 99 times in total,累積簽到99次,Sign in 99 times in total,누적 99회 출석,25,99,,,,,,0,1,1000,,,,,,
21,Skillful Craftsman,精工巧匠,Skillful Craftsman,title4044404,정교한 장인,,txt,<138;92;153>,config/title/img_purple@.png,config/title/jgqj@.png,,2,,,,,,,,,,,,,,,Upgrade trinket 500 times,進行500次飾品升級,Upgrade trinket 500 times,액세서리 레벨업 500회 진행,38,500,,,,,,0,9,150,0,10,150,,,
22,Challenger,修行強者,Challenger,title4044404,수행의 강자,,txt,<138;92;153>,config/title/img_purple@.png,config/title/xxqz@.png,,99,,,,,,,,,,,,,,,Attain 200000 combat power,戰力值達到200000,Attain 200000 combat power,전투력 200000 달성,6,200000,,,,,,0,7,120,0,8,120,,,
23,Illusion Overlord,幻影霸主,Illusion Overlord,title4044404,환영의 주인,,pic,,config/title/img_red@.png,config/title/txt_hybz.png,,99,,,,,,,,,,,,,,,Attain 800000 combat power,戰力值達到800000,Attain 800000 combat power,전투력 800000 달성,6,800000,,,,,,0,7,1%,0,8,1%,,,
24,League Champion,聯盟冠軍,League Champion,title4044404,리그 챔피언,,spine,,,title/lianmengguanjun.skel,<325;104>,1,,,,,arena,1,,,1,#C0xFF5B545B#[Arena Champion]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,#C0xFF5B545B#【競技場冠軍】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#[Arena Champion]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,title4044404,#C0xFF5B545B#[아레나 1위]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 님이 접속했습니다.,Rank no. 1 in Arena (Updated at 21:00 every day),競技場第一名（每日晚9:00結算時）,Rank no. 1 in Arena (Updated at 21:00 every day),아레나 1위(매일 저녁 9:00 결산 시),,,,,,,,0,14,100,0,,,,,
25,Arena Captain,競技主將,Arena Captain,title4044404,아레나 대장,,spine,,,title/jingjizhujiang.skel,<254;104>,1,,,,,arena,2,,,1,#C0xFF5B545B# [Arena Rank No. 2] #T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online. Come and get his signature!,#C0xFF5B545B#【競技場亞軍】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B# [Arena Rank No. 2] #T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online. Come and get his signature!,title4044404,#C0xFF5B545B#[아레나 2위]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 님이 접속했습니다.,Rank No. 2 in the arena (resets at 21:00 daily),競技場第二名（每日晚9:00結算時）,Rank No. 2 in the arena (resets at 21:00 daily),아레나 2위(매일 저녁 9:00 결산 시),,,,,,,,0,14,100,0,,,,,
26,Battle Expert,對戰達人,Battle Expert,title4044404,대전의 달인,,spine,,,title/duizhandaren.skel,<254;104>,1,,,,,arena,3,,,1,#C0xFF5B545B#[Arena Third Place]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,#C0xFF5B545B#【競技場季軍】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#[Arena Third Place]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,title4044404,#C0xFF5B545B#[아레나 3위]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 님이 접속했습니다.,Rank no. 3 in Arena (Updated at 21:00 every day),競技場第三名（每日晚9:00結算時）,Rank no. 3 in Arena (Updated at 21:00 every day),아레나 3위(매일 저녁 9:00 결산 시),,,,,,,,0,14,100,0,,,,,
27,Legendary Breeder,傳奇飼育家,Legendary Breeder,title4044404,전설의 트레이너,,spine,,,title/chuanqisiyujia.skel,<254;104>,1,,,,,pokedex,1,,,1,#C0xFF5B545B#[Pokédex Rank No. 1]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,#C0xFF5B545B#【圖鑒排行第一】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#[Pokédex Rank No. 1]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,title4044404,#C0xFF5B545B#[도감 순위 1위]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 님이 접속했습니다.,Pokédex Rank No. 1 (Updated at 05:00 daily),圖鑒排行第一名（每日5:00結算時）,Pokédex Rank No. 1 (Updated at 05:00 daily),도감 순위 1위(매일 5:00 결산 시),,,,,,,,0,1,1%,,,,,,
28,Legend Explorer,傳奇探險家,Legend Explorer,title4044404,전설의 탐험가,,spine,,,title/chuanqitanxianjia.skel,<254;104>,1,,,,,star,1,,,1,#C0xFF5B545B#[The Greatest Explorer]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,#C0xFF5B545B#【最強探險家】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#[The Greatest Explorer]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# is online! Come and get his signature!,title4044404,#C0xFF5B545B#[최강의 탐험가]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 님이 접속했습니다.,Level Star Rank No. 1 (Updated at 05:00 daily),關卡星級排行第一名（每日5:00結算時）,Level Star Rank No. 1 (Updated at 05:00 daily),스테이지 성급 순위 1위(매일 5:00 결산 시),,,,,,,,0,7,1%,0,8,1%,,,
,Insignificant Test Kit,沒意義的測試道具,Insignificant Test Kit,title4044404,의미 없는 테스트 아이템,,pic,,,config/title/cqtxj@.png,,1,,,,,,,,0,,,,,,,Insignificant Test Kit,沒意義的測試道具,Insignificant Test Kit,의미 없는 테스트 아이템,,,,,,,,0,7,1,0,8,1,1,,
31,Aura Hero,波導勇者,Aura Hero,title4044404,파동의 용사,,spine,,,title/bodaoyongzhe.skel,<254;104>,99,,,,,,,,,,,,,,,VIP 6 gets,VIP6獲得,VIP 6 gets,VIP6 획득,5,6,,,,,,0,1,1%,0,,,,,
32,Prince of the Sea,滄海王子,Prince of the Sea,title4044404,창해의 왕자,,spine,,,title/canghaiwangzi.skel,<254;104>,99,,,,,,,,,,,,,,,VIP 10 gets,VIP10獲得,VIP 10 gets,VIP10 획득,5,10,,,,,,0,9,1%,0,10,1%,,,
33,Wish Maker,七夜之願,Wish Maker,title4044404,일곱 밤의 소원,,spine,,,title/qiyezhiyuan.skel,<254;104>,99,,,,,,,,,,,,,,,VIP 15 gets,VIP15獲得,VIP 15 gets,VIP15 획득,5,15,,,,,,0,7,1%,0,8,1%,,,
34,Master of Time and Space,時空之主,Master of Time and Space,title4044404,시공의 주인,,spine,,,title/shikongzhizhu.skel,<254;104>,99,,,,,,,,,,,,,,,VIP 18 gets,VIP18獲得,VIP 18 gets,VIP18 획득,5,18,,,,,,0,22,100,0,23,100,,,
35,Pokémon member,精靈會員,Pokémon member,title4044404,포켓몬 회원,,txt,<138;92;153>,config/title/img_purple@.png,,,99,,,,,monthcard,,,,30,,,,,,Monthly subscription gives,月卡獲得,Monthly subscription gives,월간카드 획득,,,,,,,,0,1,1%,0,,,,,
36,Master member,大師會員,Master member,title4044404,마스터 회원,,pic,<228;94;76>,config/title/img_red@.png,config/title/txt_dshy.png,,99,,,,,monthcard,,,,30,,,,,,Monthly subscription gives,月卡獲得,Monthly subscription gives,월간카드 획득,,,,,,,,0,7,1%,0,8,1%,,,
37,Global Warlord,跨服戰神,Global Warlord,title4044404,글로벌 전쟁신,<cn;kr;en;tw>,spine,,,title/kfjjc_kuafuzhanshen.skel,<254;104>,1,41,,,,crossArena,1,,,7,#C0xFF5B545B#【Cross-Server Arena ranked No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服競技場No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#【Cross-Server Arena ranked No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,title4044404,#C0xFF5B545B#[글로벌 아레나 No.1]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 님이 접속했습니다.,"Cross-Server Arena ranked No.1 (When settled at 22:00 each day, settled at season end)",跨服競技場第一（賽季中每日22:00結算時、季終結算時）,"Cross-Server Arena ranked No.1 (When settled at 22:00 each day, settled at season end)","글로벌 아레나 1위(시즌 중 매일 22:00 결산 시, 시즌 종료 시)",,,,,,,,0,14,100,,,,,,
38,Brave Warrior,超級勇者,Brave Warrior,title4044404,초강력 용사,<cn;kr;en;tw>,spine,,,title/kfjjc_chaoqiangyongzhe.skel,<254;104>,1,42,,,,crossArena,2,,,7,#C0xFF5B545B#【Cross-Server Arena ranked No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服競技場No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#【Cross-Server Arena ranked No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,title4044404,#C0xFF5B545B#[글로벌 아레나 No.2]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 님이 접속했습니다.,"Cross-Server Arena ranked No.2 (When settled at 22:00 each day, settled at season end)",跨服競技場第二（賽季中每日22:00結算時、季終結算時）,"Cross-Server Arena ranked No.2 (When settled at 22:00 each day, settled at season end)","글로벌 아레나 2위(시즌 중 매일 22:00 결산 시, 시즌 종료 시)",,,,,,,,0,14,100,,,,,,
39,Glorious Gladiator,英勇鬥士,Glorious Gladiator,title4044404,용맹한 투사,<cn;kr;en;tw>,spine,,,title/kfjjc_yingyongdoushi.skel,<254;104>,1,43,,,,crossArena,3,,,7,#C0xFF5B545B#【Cross-Server Arena ranked No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服競技場No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#【Cross-Server Arena ranked No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,title4044404,#C0xFF5B545B#[글로벌 아레나 No.3]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 님이 접속했습니다.,"Cross-Server Arena ranked No.3 (When settled at 22:00 each day, settled at season end)",跨服競技場第三（賽季中每日22:00結算時、季終結算時）,"Cross-Server Arena ranked No.3 (When settled at 22:00 each day, settled at season end)","글로벌 아레나 3위(시즌 중 매일 22:00 결산 시, 시즌 종료 시)",,,,,,,,0,14,100,,,,,,
40,Quartz Overlord,石英霸主,title4044404,title4044404,석영의 패왕,<cn;kr;en;tw>,spine,,,title/shiyingbazhu.skel,<254;104>,1,,,,,crossCraft,1,,,7,#C0xFF5B545B#【Global Indigo Conference ranked No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服石英大會No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#【Global Indigo Conference ranked No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,title4044404,#C0xFF5B545B#[글로벌 석영 대회 No.1]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 님이 접속했습니다.,"Global Indigo Conference ranked No.1(Obtain when settlement. If not preserve Server No.1 in valid date, title will expire）",跨服石英第一（每賽季季終結算時）,"Global Indigo Conference ranked No.1(Obtain when settlement. If not preserve Server No.1 in valid date, title will expire）","글로벌 석영 대회 1위(결산 시 획득, 유효 기간 내 본 서버 1위 유지 실패 시 칭호 효력 사라짐)",,,,,,,,0,15,200,,,,,,
41,Global Warlord,跨服戰神,Global Warlord,title4044404,글로벌 전쟁신,<cn;kr;en;tw>,spine,,,title/kfjjc_kuafuzhanshen.skel,<254;104>,1,,,,,crossArenaDaily,1,,,1,#C0xFF5B545B#【Cross-Server Arena ranked No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服競技場No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#【Cross-Server Arena ranked No.1】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,title4044404,#C0xFF5B545B#[글로벌 아레나 No.1]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 님이 접속했습니다.,"Cross-Server Arena ranked No.1 (When settled at 22:00 each day, settled at season end)",跨服競技場第一（賽季中每日22:00結算時、季終結算時）,"Cross-Server Arena ranked No.1 (When settled at 22:00 each day, settled at season end)","글로벌 아레나 1위(시즌 중 매일 22:00 결산 시, 시즌 종료 시)",,,,,,,,0,14,100,,,,,,
42,Brave Warrior,超級勇者,Brave Warrior,title4044404,초강력 용사,<cn;kr;en;tw>,spine,,,title/kfjjc_chaoqiangyongzhe.skel,<254;104>,1,,,,,crossArenaDaily,2,,,1,#C0xFF5B545B#【Cross-Server Arena ranked No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服競技場No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#【Cross-Server Arena ranked No.2】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,title4044404,#C0xFF5B545B#[글로벌 아레나 No.2]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 님이 접속했습니다.,"Cross-Server Arena ranked No.2 (When settled at 22:00 each day, settled at season end)",跨服競技場第二（賽季中每日22:00結算時、季終結算時）,"Cross-Server Arena ranked No.2 (When settled at 22:00 each day, settled at season end)","글로벌 아레나 2위(시즌 중 매일 22:00 결산 시, 시즌 종료 시)",,,,,,,,0,14,100,,,,,,
43,Glorious Gladiator,英勇鬥士,Glorious Gladiator,title4044404,용맹한 투사,<cn;kr;en;tw>,spine,,,title/kfjjc_yingyongdoushi.skel,<254;104>,1,,,,,crossArenaDaily,3,,,1,#C0xFF5B545B#【Cross-Server Arena ranked No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服競技場No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上線了，快找他要簽名吧～,#C0xFF5B545B#【Cross-Server Arena ranked No.3】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,title4044404,#C0xFF5B545B#[글로벌 아레나 No.3]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B# 님이 접속했습니다.,"Cross-Server Arena ranked No.3 (When settled at 22:00 each day, settled at season end)",跨服競技場第三（賽季中每日22:00結算時、季終結算時）,"Cross-Server Arena ranked No.3 (When settled at 22:00 each day, settled at season end)","글로벌 아레나 3위(시즌 중 매일 22:00 결산 시, 시즌 종료 시)",,,,,,,,0,14,100,,,,,,
44,Gym Honor Leader,榮譽館主,Gym Honor Leader,title4044404,체육관 명예 관장,<cn;kr;en;tw>,spine,,,title/rongyuguanzhu.skel,<254;104>,1,,,,,gym,1,,,7,#C0xFF5B545B#【Gym Honor Leader】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【道馆荣誉馆主】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【Gym Honor Leader】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,title4044404,#C0xFF5B545B#[체육관 명예 관장]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다.,Gym Honor Leader,道館榮譽館主（結算獲得）,Gym Honor Leader,체육관 명예 관장（일요일 21:45에 결산）,,,,,,,,0,14,100,,,,,,
45,Global  Gym Honor Leader,跨服榮譽館主,Global  Gym Honor Leader,title4044404,글로벌 체육관 명예 관장,<cn;kr;en;tw>,spine,,,title/kuafurongyuguanzhu.skel,<332;104>,1,,,,,crossGym,1,,,7,#C0xFF5B545B#【Global Gym Honor Leader】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,#C0xFF5B545B#【跨服道馆荣誉馆主】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#上线了，快找他要签名吧～,#C0xFF5B545B#【Global Gym Honor Leader】#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#is online. Come and get his signature!,title4044404,#C0xFF5B545B#[글로벌 체육관 명예 관장]#T{idx}-0.8##C0x5C9971##L10100##LULrole1#{name}#C0xFF5B545B#님이 접속했습니다.,Global Gym Honor Leader,道館榮譽館主（結算獲得）,Global Gym Honor Leader,글로벌 체육관 명예 관장（일요일 21:45에 결산）,,,,,,,,0,14,100,,,,,,
46,Fishing Saint,垂釣聖者,Fishing Saint,title4044404,낚시 성자,<cn;kr;tw>,spine,,,title/chuidiaoshengzhe.skel,<254;104>,1,,,,,crossFishing,1,,,14,,,,,,Obtain 1st place in fishing contest when settle,釣魚大賽結算時第1名獲得,Obtain 1st place in fishing contest when settle,낚시 대회 1위 획득 가능,,,,,,,,0,16,100,,,,,,
47,Fishing Master,垂釣大師,Fishing Master,Câu cá thành thạo,낚시 마스터,<cn;kr;tw>,spine,,,title/chuidiaodashi.skel,<254;104>,1,,,,,crossFishing,2,,,14,,,,,,Obtain 2nd place in fishing contest when settle,釣魚大賽結算時第2名獲得,Obtain 2nd place in fishing contest when settle,낚시 대회 2위 획득 가능,,,,,,,,0,16,100,,,,,,
48,Fishing Expert,垂釣能手,Fishing Expert,title4044404,낚시 능수,<cn;kr;tw>,spine,,,title/chuidiaonengshou.skel,<254;104>,1,,,,,crossFishing,3,,,14,,,,,,Obtain 3rd place in fishing contest when settle,釣魚大賽結算時第3名獲得,Obtain 3rd place in fishing contest when settle,낚시 대회 3위 획득 가능,,,,,,,,0,16,100,,,,,,
