变量名,_vipLevel,icon,icon2,gift,giftLevelLimit,monthGift,oldPrice,newPrice,upSum,dispatchTaskQualityUpd,dispatchTaskCount,megaItemMaxTimes,megaCommonItemMaxTimes,randomTowerPointRate,rmbDrawGemCountLimit,goldDrawGemCountLimit,rmbDrawChipCountLimit,itemDrawChipCountLimit,goldDrawCardCountLimit,drawItemCountLimit,crossArenaFreePWTimes,crossArenaBuyPWMaxTimes,freePWTimes,buyStaminaTimes,buyPWTimes,PWcoldTime,PWpointActive,buyHeroGateTimes,lianJinTimes,lianJinGift,lianJinUpstart,cardbgBuyNum,saodangCountOpen,chatTimes,roleChatTimes,chatTimes_kr,roleChatTimes_kr,chatTimes_en,roleChatTimes_en,chatTimes_tw,roleChatTimes_tw,bossTimeBuyLimit,skillPointRecoverTime,buySkillPointTimes,endlessTowerResetTimes,mysteryRefresh,shopRefreshLimit,fragShopRefreshLimit,explorerShopRefreshLimit,fishingShopRefreshLimit,hammer2048,freeTimes2048,buyTimes2048,freeTimesEatGreenBlock,buyTimesEatGreenBlock,freeTimesGoDown100,buyTimesGoDown100,arenaPassCD,huodongRedPacketSend,huodongRedPacketRob,gymTalentPointBuyTimes,gymBattleBuyTimes,fragExchangeTimes,heldItemExchangeTimes,crossMineRobBuyLimit,crossMineRevengeBuyLimit,huodongCrossRedPacketSend,huodongCrossRedPacketRob
9,8,ICON/vip8.png,ICON/vip2_8.png,{203=1;223=1;2103=30;13=30;gold=200000},0,,16880,1680,7000,{1=0;2=0.2;3=0.4;4=0.3;5=0.1;},4,20,20,1.1,100,30,100,30,100,50,5,100,5,11,100,60,1,3,45,{5={gold=30000};15={gold=100000};30={gold=200000};50={gold=300000}},{1=88;2=7;3=4;5=1;10=0},55,50,200,200,280,280,280,280,280,280,2,60,25,1,1,20,5,20,,3,3,3,4,3,4,3,0,1,10,5,5,{5=30},{4=3},12,12,1,10
10,9,ICON/vip9.png,ICON/vip2_9.png,{21301=100;6100=1;902=20;13=30;gold=200000},0,,22800,2280,10000,{1=0;2=0.2;3=0.4;4=0.3;5=0.1;},4,20,20,1.1,100,30,100,30,100,55,5,100,5,12,100,60,1,3,50,{5={gold=30000};15={gold=100000};30={gold=200000};50={gold=300000}},{1=88;2=7;3=4;5=1;10=0},60,50,220,220,290,290,290,290,290,290,2,5,30,1,1,20,5,20,,3,3,3,4,3,4,3,0,1,10,5,5,{5=30},{4=3},14,14,1,10
11,10,ICON/vip10.png,ICON/vip2_10.png,{213=1;233=1;30315=1;902=20;14=10;gold=300000},0,{gold=200000;2103=10;902=10;502=3;rmb=200},26800,2680,15000,{1=0;2=0.15;3=0.3;4=0.35;5=0.2;},4,20,20,1.1,100,30,100,30,100,60,5,100,5,12,100,60,1,4,60,{5={gold=30000};15={gold=100000};30={gold=200000};50={gold=300000}},{1=83;2=9;3=5;5=3;10=1},65,50,240,240,300,300,300,300,300,300,2,5,35,2,1,20,5,20,,3,3,3,4,3,4,3,0,1,10,5,5,{5=40},{4=4},16,16,1,10
12,11,ICON/vip11.png,ICON/vip2_11.png,{21301=100;2216=1;902=40;14=10;gold=300000},0,{gold=300000;2103=12;902=12;502=4;rmb=240},33800,3380,20000,{1=0;2=0.1;3=0.3;4=0.4;5=0.2;},5,20,20,1.1,100,30,100,30,100,65,5,100,5,13,100,60,1,4,70,{5={gold=30000};15={gold=100000};30={gold=200000};50={gold=300000}},{1=83;2=9;3=5;5=3;10=1},70,50,260,260,310,310,310,310,310,310,2,5,40,2,2,20,5,20,,3,3,3,4,3,4,3,0,1,10,5,5,{5=40},{4=4},18,18,1,10
13,12,ICON/vip12.png,ICON/vip2_12.png,{card={id=761};501=10;2006=1;902=60;14=10;gold=300000},0,{gold=400000;2103=14;902=14;502=5;rmb=280},48800,4880,30000,{1=0;2=0.1;3=0.25;4=0.4;5=0.25;},5,20,20,1.15,100,30,100,30,100,70,5,100,5,13,100,60,1,4,80,{5={gold=30000};15={gold=100000};30={gold=200000};50={gold=300000}},{1=83;2=9;3=5;5=3;10=1},80,50,280,280,320,320,320,320,320,320,2,5,50,2,2,20,5,20,,3,3,3,4,3,4,3,0,1,10,5,5,{5=40},{4=5},21,21,1,10
14,13,ICON/vip13.png,ICON/vip2_13.png,{20761=160;201=1;221=1;902=100;14=10;gold=500000},0,{gold=500000;2103=16;902=16;502=6;rmb=320},68800,6880,60000,{1=0;2=0.05;3=0.3;4=0.4;5=0.25;},5,20,20,1.15,100,30,100,30,100,80,5,100,5,14,100,10,1,5,100,{5={gold=30000};15={gold=100000};30={gold=200000};50={gold=300000}},{1=78;2=10;3=6;5=5;10=1},90,50,300,300,330,330,330,330,330,330,2,5,60,2,2,20,5,20,,3,3,3,4,3,4,3,0,1,10,5,5,{5=50},{4=5},24,24,1,10
15,14,ICON/vip14.png,ICON/vip2_14.png,{20761=160;211=1;231=1;6101=1;902=200;gold=500000},0,{gold=600000;2103=18;902=18;502=7;rmb=360},108800,10880,120000,{1=0;2=0.05;3=0.3;4=0.4;5=0.25;},5,20,20,1.3,100,30,100,30,100,90,5,100,5,14,100,10,1,5,120,{5={gold=30000};15={gold=100000};30={gold=200000};50={gold=300000}},{1=78;2=10;3=6;5=5;10=1},100,50,320,320,340,340,340,340,340,340,2,5,80,2,3,20,5,20,,3,3,3,4,3,4,3,0,1,10,5,5,{5=50},{4=6},27,27,1,10
16,15,ICON/vip15.png,ICON/vip2_15.png,{521=240;2213=1;30401=1;902=300;14=10;gold=1000000},0,{gold=800000;2103=20;902=20;502=8;rmb=400},208800,20880,200000,{1=0;2=0;3=0.3;4=0.4;5=0.3;},5,20,20,1.3,100,30,100,30,100,100,5,100,5,15,100,10,1,5,150,{5={gold=30000};15={gold=100000};30={gold=200000};50={gold=300000}},{1=78;2=10;3=6;5=5;10=1},110,50,340,340,350,350,350,350,350,350,2,5,100,2,4,20,5,20,,3,3,3,4,3,4,3,0,1,10,5,5,{5=50},{4=7},30,30,1,10
17,16,ICON/vip16.png,ICON/vip2_16.png,{6106=1;521=80;501=20;6102=1;902=300;gold=3000000},0,{gold=1000000;2103=25;902=25;502=10;rmb=500},308800,18880,300000,{1=0;2=0;3=0.3;4=0.4;5=0.3;},5,20,20,1.3,100,30,100,30,100,110,5,100,5,15,100,10,1,5,180,{5={gold=30000};15={gold=100000};30={gold=200000};50={gold=300000}},{1=78;2=10;3=6;5=5;10=1},120,50,360,360,360,360,360,360,360,360,2,5,100,2,4,20,5,20,,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=8},35,35,1,10
18,17,ICON/vip17.png,ICON/vip2_17.png,{521=160;6107=1;2153=3;2103=300;902=300;gold=5000000},0,{gold=1200000;2103=30;902=30;502=12;rmb=600},408800,20880,500000,{1=0;2=0;3=0.3;4=0.4;5=0.3;},5,20,20,1.3,100,30,100,30,100,120,5,100,5,15,100,10,1,5,210,{5={gold=30000};15={gold=100000};30={gold=200000};50={gold=300000}},{1=78;2=10;3=6;5=5;10=1},130,50,380,380,380,380,380,380,380,380,2,5,100,2,4,20,5,20,,3,3,3,4,3,4,3,0,1,10,5,5,{5=60},{4=9},35,35,1,10
19,18,ICON/vip18.png,ICON/vip2_18.png,{521=240;994=10;529=20000;604=100;902=300;gold=8000000},0,{gold=1500000;2103=40;902=40;502=15;rmb=800},508800,26880,800000,{1=0;2=0;3=0.3;4=0.4;5=0.3;},5,20,20,1.3,100,30,100,30,100,130,5,100,5,15,100,10,1,5,240,{5={gold=30000};15={gold=100000};30={gold=200000};50={gold=300000}},{1=78;2=10;3=6;5=5;10=1},150,50,400,400,400,400,400,400,400,400,2,5,100,2,4,20,5,20,,3,3,3,4,3,4,3,0,1,10,5,5,{5=70},{4=10},35,35,1,10
