变量名,typeID,stage,quality,itemMap,gold,hpGrow,speedGrow,damageGrow,defenceGrow,specialDamageGrow,specialDefenceGrow,hpC,speedC,damageC,defenceC,specialDamageC,specialDefenceC,levelDec
默认值,,1,1,{101=5;102=10;103=15;104=20},0,0,0,0,0,0,0,1,0,1,1,1,1,0
308,3,8,3,{5000=90;5013=15;5014=15;5015=45},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,
309,3,9,4,{5000=120;5013=20;5014=20;5015=60},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,
310,3,10,4,{5000=200;5016=32;5017=32;5018=96},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,
311,3,11,4,{5000=320;5016=48;5017=48;5018=144},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,
312,3,12,4,{5000=400;5019=64;5020=64;5021=192},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,
313,3,13,4,{5000=600;5019=96;5020=96;5021=288},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,
314,3,14,5,{5000=800;5022=128;5023=128;5024=384},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,
315,3,15,5,{5000=1250;5022=200;5023=200;5024=600},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,
316,3,16,5,{5000=1600;5025=300;5026=300;5027=900},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,
317,3,17,5,{5000=2000;5028=400;5029=400;5030=1200},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,
318,3,18,5,{5000=2500;5031=450;5032=450;5033=1350},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,
319,3,19,5,{5000=2500;5034=450;5035=450;5036=1350},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,
320,3,20,6,{5000=3500;5037=630;5038=630;5039=1890},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,
321,3,21,6,{5000=4000;5040=750;5041=750;5042=2250},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,
322,3,22,6,{5000=4500;5043=800;5044=800;5045=2400},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,
323,3,23,6,{5000=4500;5046=800;5047=800;5048=2400},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,
324,3,24,6,{5000=5000;5049=850;5050=850;5051=2550},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,
325,3,25,6,{5000=5000;5052=850;5053=850;5054=2550},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,
326,3,26,7,{5000=5500;5055=900;5056=900;5057=2700},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,
327,3,27,7,{5000=5500;5058=900;5059=900;5060=2700},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,
328,3,28,7,{5000=6000;5061=950;5062=950;5063=2850},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,
329,3,29,7,{5000=6000;5064=950;5065=950;5066=2850},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,
330,3,30,7,{5000=6500;5064=1000;5065=1000;5066=3000},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,
1101,11,1,1,{5000=1;5001=1;5002=1;5003=1},5000,0,0,0,0,0,0,0,0,0,0,0,0,
1102,11,2,2,{5000=14;5001=3;5002=3;5003=3},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,
1103,11,3,2,{5000=21;5004=5;5005=5;5006=5},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,
1104,11,4,2,{5000=28;5004=10;5005=10;5006=10},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,
1105,11,5,3,{5000=42;5007=14;5008=14;5009=14},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,
1106,11,6,3,{5000=56;5010=19;5011=19;5012=19},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,
1107,11,7,3,{5000=84;5010=23;5011=23;5012=23},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,
1108,11,8,3,{5000=126;5013=35;5014=35;5015=35},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,
1109,11,9,4,{5000=168;5013=47;5014=47;5015=47},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,
1110,11,10,4,{5000=280;5016=75;5017=75;5018=75},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,
1111,11,11,4,{5000=448;5016=112;5017=112;5018=112},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,
1112,11,12,4,{5000=560;5019=150;5020=150;5021=150},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,
1113,11,13,4,{5000=840;5019=224;5020=224;5021=224},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,
1114,11,14,5,{5000=1120;5022=299;5023=299;5024=299},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,
1115,11,15,5,{5000=1750;5022=467;5023=467;5024=467},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,
1116,11,16,5,{5000=2240;5025=700;5026=700;5027=700},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,
1117,11,17,5,{5000=2800;5028=933;5029=933;5030=933},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,
1118,11,18,5,{5000=3500;5031=1050;5032=1050;5033=1050},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,
1119,11,19,5,{5000=3000;5034=900;5035=900;5036=900},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,
1120,11,20,6,{5000=3500;5037=1050;5038=1050;5039=1050},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,
1121,11,21,6,{5000=4000;5040=1250;5041=1250;5042=1250},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,
1122,11,22,6,{5000=4500;5043=1333;5044=1333;5045=1333},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,
1123,11,23,6,{5000=4500;5046=1333;5047=1333;5048=1333},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,
1124,11,24,6,{5000=5000;5049=1417;5050=1417;5051=1417},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,
1125,11,25,6,{5000=5000;5052=1417;5053=1417;5054=1417},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,
1126,11,26,7,{5000=5500;5055=1500;5056=1500;5057=1500},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,
1127,11,27,7,{5000=5500;5058=1500;5059=1500;5060=1500},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,
1128,11,28,7,{5000=6000;5061=1583;5062=1583;5063=1583},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,
1129,11,29,7,{5000=6000;5064=1583;5065=1583;5066=1583},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,
1130,11,30,7,{5000=6500;5064=1667;5065=1667;5066=1667},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,
1201,12,1,1,{5000=1;5001=1;5002=1;5003=1},5000,0,0,0,0,0,0,0,0,0,0,0,0,
1202,12,2,2,{5000=14;5001=3;5002=3;5003=3},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,
1203,12,3,2,{5000=21;5004=4;5005=8;5006=4},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,
1204,12,4,2,{5000=28;5004=6;5005=17;5006=6},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,
1205,12,5,3,{5000=42;5007=8;5008=25;5009=8},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,
1206,12,6,3,{5000=56;5010=11;5011=34;5012=11},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,
1207,12,7,3,{5000=84;5010=14;5011=42;5012=14},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,
1208,12,8,3,{5000=126;5013=21;5014=63;5015=21},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,
1209,12,9,4,{5000=168;5013=28;5014=84;5015=28},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,
1210,12,10,4,{5000=280;5016=45;5017=134;5018=45},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,
1211,12,11,4,{5000=448;5016=67;5017=202;5018=67},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,
1212,12,12,4,{5000=560;5019=90;5020=269;5021=90},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,
1213,12,13,4,{5000=840;5019=134;5020=403;5021=134},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,
1214,12,14,5,{5000=1120;5022=179;5023=538;5024=179},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,
1215,12,15,5,{5000=1750;5022=280;5023=840;5024=280},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,
1216,12,16,5,{5000=2240;5025=420;5026=1260;5027=420},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,
1217,12,17,5,{5000=2800;5028=560;5029=1680;5030=560},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,
1218,12,18,5,{5000=3500;5031=630;5032=1890;5033=630},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,
1219,12,19,5,{5000=3000;5034=540;5035=1620;5036=540},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,
1220,12,20,6,{5000=3500;5037=630;5038=1890;5039=630},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,
1221,12,21,6,{5000=4000;5040=750;5041=2250;5042=750},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,
1222,12,22,6,{5000=4500;5043=800;5044=2400;5045=800},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,
1223,12,23,6,{5000=4500;5046=800;5047=2400;5048=800},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,
1224,12,24,6,{5000=5000;5049=850;5050=2550;5051=850},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,
1225,12,25,6,{5000=5000;5052=850;5053=2550;5054=850},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,
1226,12,26,7,{5000=5500;5055=900;5056=2700;5057=900},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,
1227,12,27,7,{5000=5500;5058=900;5059=2700;5060=900},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,
1228,12,28,7,{5000=6000;5061=950;5062=2850;5063=950},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,
1229,12,29,7,{5000=6000;5064=950;5065=2850;5066=950},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,
1230,12,30,7,{5000=6500;5064=1000;5065=3000;5066=1000},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,
1301,13,1,1,{5000=1;5001=1;5002=1;5003=1},5000,0,0,0,0,0,0,0,0,0,0,0,0,
1302,13,2,2,{5000=14;5001=3;5002=3;5003=3},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,
1303,13,3,2,{5000=21;5004=4;5005=4;5006=8},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,
1304,13,4,2,{5000=28;5004=6;5005=6;5006=17},20000,45.031,1.08,9.612,3.852,9.612,3.852,1126,27,240,96,240,96,
1305,13,5,3,{5000=42;5007=8;5008=8;5009=25},25000,60.041,1.44,12.816,5.136,12.816,5.136,2252,54,481,193,481,193,
1306,13,6,3,{5000=56;5010=11;5011=11;5012=34},30000,75.051,1.8,16.02,6.42,16.02,6.42,3377,81,721,289,721,289,
1307,13,7,3,{5000=84;5010=14;5011=14;5012=42},35000,82.556,1.98,17.622,7.062,17.622,7.062,4503,108,961,385,961,385,
1308,13,8,3,{5000=126;5013=21;5014=21;5015=63},40000,90.061,2.16,19.224,7.704,19.224,7.704,5629,135,1202,482,1202,482,
1309,13,9,4,{5000=168;5013=28;5014=28;5015=84},50000,97.566,2.34,20.826,8.346,20.826,8.346,7505,180,1602,642,1602,642,
1310,13,10,4,{5000=280;5016=45;5017=45;5018=134},60000,105.071,2.52,22.428,8.988,22.428,8.988,9381,225,2003,803,2003,803,
1311,13,11,4,{5000=448;5016=67;5017=67;5018=202},80000,112.577,2.7,24.03,9.63,24.03,9.63,11258,270,2403,963,2403,963,
1312,13,12,4,{5000=560;5019=90;5020=90;5021=269},100000,120.082,2.88,25.632,10.272,25.632,10.272,13134,315,2804,1124,2804,1124,
1313,13,13,4,{5000=840;5019=134;5020=134;5021=403},120000,127.587,3.06,27.234,10.914,27.234,10.914,15010,360,3204,1284,3204,1284,
1314,13,14,5,{5000=1120;5022=179;5023=179;5024=538},140000,135.092,3.24,28.836,11.556,28.836,11.556,16886,405,3605,1445,3605,1445,
1315,13,15,5,{5000=1750;5022=280;5023=280;5024=840},160000,142.597,3.42,30.438,12.198,30.438,12.198,18763,450,4005,1605,4005,1605,
1316,13,16,5,{5000=2240;5025=420;5026=420;5027=1260},180000,150.102,3.6,32.04,12.84,32.04,12.84,20639,495,4406,1766,4406,1766,
1317,13,17,5,{5000=2800;5028=560;5029=560;5030=1680},200000,157.607,3.78,33.642,13.482,33.642,13.482,22515,540,4806,1926,4806,1926,
1318,13,18,5,{5000=3500;5031=630;5032=630;5033=1890},250000,165.112,3.96,35.244,14.124,35.244,14.124,24392,585,5207,2087,5207,2087,
1319,13,19,5,{5000=3000;5034=540;5035=540;5036=1620},300000,172.617,4.14,36.846,14.766,36.846,14.766,26268,630,5607,2247,5607,2247,
1320,13,20,6,{5000=3500;5037=630;5038=630;5039=1890},350000,180.122,4.32,38.448,15.408,38.448,15.408,28144,675,6008,2408,6008,2408,
1321,13,21,6,{5000=4000;5040=750;5041=750;5042=2250},400000,187.628,4.5,40.05,16.05,40.05,16.05,30020,720,6408,2568,6408,2568,
1322,13,22,6,{5000=4500;5043=800;5044=800;5045=2400},450000,195.133,4.68,41.652,16.692,41.652,16.692,31897,765,6809,2729,6809,2729,
1323,13,23,6,{5000=4500;5046=800;5047=800;5048=2400},500000,202.638,4.86,43.254,17.334,43.254,17.334,33773,810,7209,2889,7209,2889,
1324,13,24,6,{5000=5000;5049=850;5050=850;5051=2550},550000,210.143,5.04,44.856,17.976,44.856,17.976,35649,855,7610,3050,7610,3050,
1325,13,25,6,{5000=5000;5052=850;5053=850;5054=2550},600000,217.648,5.22,46.458,18.618,46.458,18.618,37526,900,8010,3210,8010,3210,
1326,13,26,7,{5000=5500;5055=900;5056=900;5057=2700},650000,225.153,5.4,48.06,19.26,48.06,19.26,39402,945,8411,3371,8411,3371,
1327,13,27,7,{5000=5500;5058=900;5059=900;5060=2700},700000,232.658,5.58,49.662,19.902,49.662,19.902,41278,990,8811,3531,8811,3531,
1328,13,28,7,{5000=6000;5061=950;5062=950;5063=2850},750000,240.163,5.76,51.264,20.544,51.264,20.544,43154,1035,9212,3692,9212,3692,
1329,13,29,7,{5000=6000;5064=950;5065=950;5066=2850},800000,247.668,5.94,52.866,21.186,52.866,21.186,45031,1080,9612,3852,9612,3852,
1330,13,30,7,{5000=6500;5064=1000;5065=1000;5066=3000},850000,255.173,6.12,54.468,21.828,54.468,21.828,46907,1125,10013,4013,10013,4013,
2101,21,1,1,{5000=6;5001=2;5002=2;5003=2},5000,0,0,0,0,0,0,0,0,0,0,0,0,
2102,21,2,2,{5000=18;5001=4;5002=4;5003=4},10000,15.01,0.36,3.204,1.284,3.204,1.284,375,9,80,32,80,32,
2103,21,3,2,{5000=24;5004=7;5005=7;5006=7},15000,30.02,0.72,6.408,2.568,6.408,2.568,751,18,160,64,160,64,
