变量名,levelExp,staminaMax,staminaGive,rmbGoldGive,featureUnlock,featureUnlock_tw,featureUnlock_en,featureUnlock_vn,benchUnlock,lianJinGold,cardLevelMax,equipAdvanceMax,runeUnlock,unionTrainingFix,explorePointMax,skillPointMax,languages
27,450,106,60,0,,,,,,33600,27,27,,10,20,30,
28,500,107,60,0,,,,,,34000,28,28,1,10,20,30,
29,550,108,60,0,,,,,,34400,29,29,,10,20,30,
30,600,109,60,0,,,,,,34800,30,30,,10,20,35,
31,640,110,60,0,,,,,,35200,31,31,,18,20,35,
32,670,111,60,0,,,,,,35600,32,32,,18,20,35,
33,690,112,60,0,,,,,,36000,33,33,2,18,20,35,
34,710,113,60,0,,,,,,36400,34,34,,18,20,35,
35,730,114,60,0,,,,,,36800,35,35,,18,20,35,
36,780,115,60,0,,,,,,37200,36,36,,18,20,35,
37,820,116,60,0,,,,,,37600,37,37,,18,20,35,
38,860,117,60,0,,,,,,38000,38,38,3,18,20,35,
39,890,118,60,0,,,,,,38400,39,39,,18,20,35,
40,920,119,60,0,,,,,,38800,40,40,,18,20,40,
41,1020,120,70,0,,,,,,39200,41,41,,26,20,40,
42,1120,121,70,0,,,,,,39600,42,42,,26,20,40,
43,1220,122,70,0,,,,,,40000,43,43,4,26,20,40,
44,1320,123,70,0,,,,,,40400,44,44,,26,20,40,
45,1420,124,70,0,,,,,,40800,45,45,,26,20,40,
46,1520,125,70,0,,,,,,41200,46,46,,34,20,40,
47,1620,126,70,0,,,,,,41600,47,47,,34,20,40,
48,1720,127,70,0,,,,,,42000,48,48,,34,20,40,
49,1820,128,70,0,,,,,,42400,49,49,,34,20,40,
50,1920,129,70,0,,,,,,42800,50,50,,34,20,45,
51,1960,130,80,0,,,,,,43200,51,51,,42,20,45,
52,2160,131,80,0,,,,,,43600,52,52,,42,20,45,
53,2360,132,80,0,,,,,,44000,53,53,,42,20,45,
54,2560,133,80,0,,,,,,44400,54,54,,42,20,45,
55,2760,134,80,0,,,,,,44800,55,55,,42,20,45,
56,3060,135,80,0,,,,,,45200,56,56,,50,20,45,
57,3360,136,80,0,,,,,,45600,57,57,,50,20,45,
58,3660,137,80,0,,,,,,46000,58,58,,50,20,45,
59,3960,138,80,0,,,,,,46400,59,59,,50,20,45,
60,4260,139,80,0,,,,,,46800,60,60,,50,20,50,
61,4600,140,90,0,,,,,,47200,61,61,,60,20,50,
62,4940,141,90,0,,,,,,47600,62,62,,60,20,50,
63,5280,142,90,0,,,,,,48000,63,63,,60,20,50,
64,5620,143,90,0,,,,,,48400,64,64,,60,20,50,
65,5960,144,90,0,,,,,,48800,65,65,,60,20,50,
66,6760,145,90,0,,,,,,49200,66,66,,70,20,50,
67,7560,146,90,0,,,,,,49600,67,67,,70,20,50,
68,8360,147,90,0,,,,,,50000,68,68,,70,20,50,
69,9160,148,90,0,,,,,,50400,69,69,,70,20,50,
70,9960,149,90,0,,,,,,50800,70,70,,70,20,55,
71,10800,150,90,0,,,,,,51200,71,71,,80,20,55,
72,11640,151,100,0,,,,,,51600,72,72,,80,20,55,
73,12480,152,100,0,,,,,,52000,73,73,,80,20,55,
74,13320,153,100,0,,,,,,52400,74,74,,80,20,55,
75,14160,154,100,0,,,,,,52800,75,75,,80,20,55,
76,15000,155,100,0,,,,,,53200,76,76,,90,20,55,
77,15840,156,100,0,,,,,,53600,77,77,,90,20,55,
78,16680,157,100,0,,,,,,54000,78,78,,90,20,55,
79,17520,158,100,0,,,,,,54400,79,79,,90,20,55,
80,18360,159,100,0,,,,,,54800,80,80,,90,20,60,
81,18840,160,110,0,,,,,,55200,81,81,,100,20,60,
82,19320,161,110,0,,,,,,55600,82,82,,100,20,60,
83,19800,162,110,0,,,,,,56000,83,83,,100,20,60,
84,20280,163,110,0,,,,,,56400,84,84,,100,20,60,
85,20760,164,110,0,,,,,,56800,85,85,,100,20,60,
86,21240,165,110,0,,,,,,57200,86,86,,120,20,60,
87,21720,166,110,0,,,,,,57600,87,87,,120,20,60,
88,22200,167,110,0,,,,,,58000,88,88,,120,20,60,
89,22680,168,110,0,,,,,,58400,89,89,,120,20,60,
90,23160,169,110,0,,,,,,58800,90,90,,120,20,65,
91,23700,170,120,0,,,,,,59200,91,91,,150,20,65,
92,24240,171,120,0,,,,,,59600,92,92,,150,20,65,
93,24780,172,120,0,,,,,,60000,93,93,,150,20,65,
94,25320,173,120,0,,,,,,60400,94,94,,150,20,65,
95,26070,174,120,0,,,,,,60800,95,95,,150,20,65,
96,26820,175,120,0,,,,,,61200,96,96,,180,20,65,
97,27570,176,120,0,,,,,,61600,97,97,,180,20,65,
98,28320,177,120,0,,,,,,62000,98,98,,180,20,65,
99,29070,178,120,0,,,,,,62400,99,99,,180,20,65,
100,30270,179,120,0,,,,,,62800,100,100,,180,20,70,<cn>
101,31170,180,120,0,,,,,,63200,101,101,,180,20,70,<cn>
102,32070,181,120,0,,,,,,63600,102,102,,180,20,70,<cn>
103,32970,182,120,0,,,,,,64000,103,103,,180,20,70,<cn>
104,33870,183,120,0,,,,,,64400,104,104,,180,20,70,<cn>
