"﻿变量名",advanceIndex,advanceLevel,advanceName,advanceName_tw,advanceName_kr,advanceName_en,advanceName_vn,advanceLimitType,advanceLimitNum,advanceSeqID,sceneType,attrType1,attrNum1,attrType2,attrNum2
2403,8,2,Exquisite I,,정교I,,,1,2,8,<12>,7,10%,8,10%
2404,8,3,Exquisite II,,정교II,,,1,3,8,<12>,1,10%,,
2405,8,4,Excellence I,,탁월I,,,2,1,8,<12>,11,500,12,500
2406,8,5,Excellence II,,탁월II,,,2,2,8,<12>,14,500,,
2407,8,6,luxurious,,화려,,,2,3,8,<12>,16,500,,
2408,8,7,Supreme,,지존,,,1,4,8,<12>,22,750,,
2409,8,8,glory,,영광,,,1,5,8,<12>,23,750,,
2410,8,9,Promise,,무극,,,2,4,8,<12>,24,750,,
2411,8,10,Promise II,,무극II,,,2,5,8,<12>,25,750,,
,类型3不同4个部位,,,,,,,,,,,,,,
3101,9,0,ordinary,,평범,,,,,,,,,,
3102,9,1,excellent,,우수,,,1,1,9,<2>,9,10%,10,10%
3103,9,2,Exquisite I,,정교I,,,1,2,9,<2>,7,10%,8,10%
3104,9,3,Exquisite II,,정교II,,,1,3,9,<2>,1,10%,,
3105,9,4,Excellence I,,탁월I,,,2,1,9,<2>,11,500,12,500
3106,9,5,Excellence II,,탁월II,,,2,2,9,<2>,14,500,,
3107,9,6,luxurious,,화려,,,2,3,9,<2>,16,500,,
3108,9,7,Supreme,,지존,,,1,4,9,<2>,22,750,,
3109,9,8,glory,,영광,,,1,5,9,<2>,23,750,,
3110,9,9,Promise,,무극,,,2,4,9,<2>,24,750,,
3111,9,10,Promise II,,무극II,,,2,5,9,<2>,25,750,,
3201,10,0,ordinary,,평범,,,,,,,,,,
3202,10,1,excellent,,우수,,,1,1,10,<6>,9,10%,10,10%
3203,10,2,Exquisite I,,정교I,,,1,2,10,<6>,7,10%,8,10%
3204,10,3,Exquisite II,,정교II,,,1,3,10,<6>,1,10%,,
3205,10,4,Excellence I,,탁월I,,,2,1,10,<6>,11,500,12,500
3206,10,5,Excellence II,,탁월II,,,2,2,10,<6>,14,500,,
3207,10,6,luxurious,,화려,,,2,3,10,<6>,16,500,,
3208,10,7,Supreme,,지존,,,1,4,10,<6>,22,750,,
3209,10,8,glory,,영광,,,1,5,10,<6>,23,750,,
3210,10,9,Promise,,무극,,,2,4,10,<6>,24,750,,
3211,10,10,Promise II,,무극II,,,2,5,10,<6>,25,750,,
3301,11,0,ordinary,,평범,,,,,,,,,,
3302,11,1,excellent,,우수,,,1,1,11,<10>,9,10%,10,10%
3303,11,2,Exquisite I,,정교I,,,1,2,11,<10>,7,10%,8,10%
3304,11,3,Exquisite II,,정교II,,,1,3,11,<10>,1,10%,,
3305,11,4,Excellence I,,탁월I,,,2,1,11,<10>,11,500,12,500
3306,11,5,Excellence II,,탁월II,,,2,2,11,<10>,14,500,,
3307,11,6,luxurious,,화려,,,2,3,11,<10>,16,500,,
3308,11,7,Supreme,,지존,,,1,4,11,<10>,22,750,,
3309,11,8,glory,,영광,,,1,5,11,<10>,23,750,,
3310,11,9,Promise,,무극,,,2,4,11,<10>,24,750,,
3311,11,10,Promise II,,무극II,,,2,5,11,<10>,25,750,,
3401,12,0,ordinary,,평범,,,,,,,,,,
3402,12,1,excellent,,우수,,,1,1,12,<12>,9,10%,10,10%
3403,12,2,Exquisite I,,정교I,,,1,2,12,<12>,7,10%,8,10%
3404,12,3,Exquisite II,,정교II,,,1,3,12,<12>,1,10%,,
3405,12,4,Excellence I,,탁월I,,,2,1,12,<12>,11,500,12,500
3406,12,5,Excellence II,,탁월II,,,2,2,12,<12>,14,500,,
3407,12,6,luxurious,,화려,,,2,3,12,<12>,16,500,,
3408,12,7,Supreme,,지존,,,1,4,12,<12>,22,750,,
3409,12,8,glory,,영광,,,1,5,12,<12>,23,750,,
3410,12,9,Promise,,무극,,,2,4,12,<12>,24,750,,
3411,12,10,Promise II,,무극II,,,2,5,12,<12>,25,750,,
,类型4不同4个部位,,,,,,,,,,,,,,
4101,13,0,ordinary,,평범,,,,,,,,,,
4102,13,1,excellent,,우수,,,1,1,13,<2>,9,10%,10,10%
4103,13,2,Exquisite I,,정교I,,,1,2,13,<2>,7,10%,8,10%
4104,13,3,Exquisite II,,정교II,,,1,3,13,<2>,1,10%,,
4105,13,4,Excellence I,,탁월I,,,2,1,13,<2>,11,500,12,500
4106,13,5,Excellence II,,탁월II,,,2,2,13,<2>,14,500,,
4107,13,6,luxurious,,화려,,,2,3,13,<2>,16,500,,
4108,13,7,Supreme,,지존,,,1,4,13,<2>,22,750,,
4109,13,8,glory,,영광,,,1,5,13,<2>,23,750,,
4110,13,9,Promise,,무극,,,2,4,13,<2>,24,750,,
4111,13,10,Promise II,,무극II,,,2,5,13,<2>,25,750,,
4201,14,0,ordinary,,평범,,,,,,,,,,
4202,14,1,excellent,,우수,,,1,1,14,<6>,9,10%,10,10%
4203,14,2,Exquisite I,,정교I,,,1,2,14,<6>,7,10%,8,10%
4204,14,3,Exquisite II,,정교II,,,1,3,14,<6>,1,10%,,
4205,14,4,Excellence I,,탁월I,,,2,1,14,<6>,11,500,12,500
4206,14,5,Excellence II,,탁월II,,,2,2,14,<6>,14,500,,
4207,14,6,luxurious,,화려,,,2,3,14,<6>,16,500,,
4208,14,7,Supreme,,지존,,,1,4,14,<6>,22,750,,
4209,14,8,glory,,영광,,,1,5,14,<6>,23,750,,
4210,14,9,Promise,,무극,,,2,4,14,<6>,24,750,,
4211,14,10,Promise II,,무극II,,,2,5,14,<6>,25,750,,
4301,15,0,ordinary,,평범,,,,,,,,,,
4302,15,1,excellent,,우수,,,1,1,15,<10>,9,10%,10,10%
4303,15,2,Exquisite I,,정교I,,,1,2,15,<10>,7,10%,8,10%
4304,15,3,Exquisite II,,정교II,,,1,3,15,<10>,1,10%,,
4305,15,4,Excellence I,,탁월I,,,2,1,15,<10>,11,500,12,500
4306,15,5,Excellence II,,탁월II,,,2,2,15,<10>,14,500,,
4307,15,6,luxurious,,화려,,,2,3,15,<10>,16,500,,
4308,15,7,Supreme,,지존,,,1,4,15,<10>,22,750,,
4309,15,8,glory,,영광,,,1,5,15,<10>,23,750,,
4310,15,9,Promise,,무극,,,2,4,15,<10>,24,750,,
4311,15,10,Promise II,,무극II,,,2,5,15,<10>,25,750,,
4401,16,0,ordinary,,평범,,,,,,,,,,
4402,16,1,excellent,,우수,,,1,1,16,<12>,9,10%,10,10%
4403,16,2,Exquisite I,,정교I,,,1,2,16,<12>,7,10%,8,10%
4404,16,3,Exquisite II,,정교II,,,1,3,16,<12>,1,10%,,
4405,16,4,Excellence I,,탁월I,,,2,1,16,<12>,11,500,12,500
4406,16,5,Excellence II,,탁월II,,,2,2,16,<12>,14,500,,
4407,16,6,luxurious,,화려,,,2,3,16,<12>,16,500,,
4408,16,7,Supreme,,지존,,,1,4,16,<12>,22,750,,
4409,16,8,glory,,영광,,,1,5,16,<12>,23,750,,
4410,16,9,Promise,,무극,,,2,4,16,<12>,24,750,,
4411,16,10,Promise II,,무극II,,,2,5,16,<12>,25,750,,
,类型5不同4个部位,,,,,,,,,,,,,,
5101,17,0,ordinary,,평범,,,,,,,,,,
5102,17,1,excellent,,우수,,,1,1,17,<2>,9,10%,10,10%
5103,17,2,Exquisite I,,정교I,,,1,2,17,<2>,7,10%,8,10%
5104,17,3,Exquisite II,,정교II,,,1,3,17,<2>,1,10%,,
5105,17,4,Excellence I,,탁월I,,,2,1,17,<2>,11,500,12,500
5106,17,5,Excellence II,,탁월II,,,2,2,17,<2>,14,500,,
5107,17,6,luxurious,,화려,,,2,3,17,<2>,16,500,,
5108,17,7,Supreme,,지존,,,1,4,17,<2>,22,750,,
5109,17,8,glory,,영광,,,1,5,17,<2>,23,750,,
5110,17,9,Promise,,무극,,,2,4,17,<2>,24,750,,
5111,17,10,Promise II,,무극II,,,2,5,17,<2>,25,750,,
5201,18,0,ordinary,,평범,,,,,,,,,,
5202,18,1,excellent,,우수,,,1,1,18,<6>,9,10%,10,10%
5203,18,2,Exquisite I,,정교I,,,1,2,18,<6>,7,10%,8,10%
5204,18,3,Exquisite II,,정교II,,,1,3,18,<6>,1,10%,,
5205,18,4,Excellence I,,탁월I,,,2,1,18,<6>,11,500,12,500
5206,18,5,Excellence II,,탁월II,,,2,2,18,<6>,14,500,,
5207,18,6,luxurious,,화려,,,2,3,18,<6>,16,500,,
5208,18,7,Supreme,,지존,,,1,4,18,<6>,22,750,,
5209,18,8,glory,,영광,,,1,5,18,<6>,23,750,,
5210,18,9,Promise,,무극,,,2,4,18,<6>,24,750,,
5211,18,10,Promise II,,무극II,,,2,5,18,<6>,25,750,,
5301,19,0,ordinary,,평범,,,,,,,,,,
5302,19,1,excellent,,우수,,,1,1,19,<10>,9,10%,10,10%
5303,19,2,Exquisite I,,정교I,,,1,2,19,<10>,7,10%,8,10%
5304,19,3,Exquisite II,,정교II,,,1,3,19,<10>,1,10%,,
5305,19,4,Excellence I,,탁월I,,,2,1,19,<10>,11,500,12,500
5306,19,5,Excellence II,,탁월II,,,2,2,19,<10>,14,500,,
5307,19,6,luxurious,,화려,,,2,3,19,<10>,16,500,,
5308,19,7,Supreme,,지존,,,1,4,19,<10>,22,750,,
5309,19,8,glory,,영광,,,1,5,19,<10>,23,750,,
5310,19,9,Promise,,무극,,,2,4,19,<10>,24,750,,
5311,19,10,Promise II,,무극II,,,2,5,19,<10>,25,750,,
5401,20,0,ordinary,,평범,,,,,,,,,,
5402,20,1,excellent,,우수,,,1,1,20,<12>,9,10%,10,10%
5403,20,2,Exquisite I,,정교I,,,1,2,20,<12>,7,10%,8,10%
5404,20,3,Exquisite II,,정교II,,,1,3,20,<12>,1,10%,,
5405,20,4,Excellence I,,탁월I,,,2,1,20,<12>,11,500,12,500
5406,20,5,Excellence II,,탁월II,,,2,2,20,<12>,14,500,,
5407,20,6,luxurious,,화려,,,2,3,20,<12>,16,500,,
5408,20,7,Supreme,,지존,,,1,4,20,<12>,22,750,,
5409,20,8,glory,,영광,,,1,5,20,<12>,23,750,,
5410,20,9,Promise,,무극,,,2,4,20,<12>,24,750,,
5411,20,10,Promise II,,무극II,,,2,5,20,<12>,25,750,,
