变量名,gold1,itemMap1,gold2,itemMap2,gold3,itemMap3,gold4,itemMap4,gold5,itemMap5,gold6,itemMap6,gold7,itemMap7,needLevel,fragNum1,fragNum2,fragNum3,itemNum1,itemNum2,itemNum3,itemNum4,itemNum5
26,1750,,2625,,4375,,3500,,5250,,8750,,7000,,27,10,10,10,15,15,15,15,15
27,1800,,2700,,4500,,3600,,5400,,9000,,7200,,28,10,10,10,15,15,15,15,15
28,1850,,2775,,4625,,3700,,5550,,9250,,7400,,29,15,15,15,15,15,15,15,15
29,1900,,2850,,4750,,3800,,5700,,9500,,7600,,30,15,15,15,15,15,15,15,15
30,1950,,2925,,4875,,3900,,5850,,9750,,7800,,31,15,15,15,20,20,20,20,20
31,2000,,3000,,5000,,4000,,6000,,10000,,8000,,32,15,15,15,20,20,20,20,20
32,5000,,7500,,12500,,10000,,15000,,25000,,20000,,33,15,15,15,20,20,20,20,20
33,5200,,7800,,13000,,10400,,15600,,26000,,20800,,34,15,15,15,20,20,20,20,20
34,5400,,8100,,13500,,10800,,16200,,27000,,21600,,35,15,15,15,20,20,20,20,20
35,5600,,8400,,14000,,11200,,16800,,28000,,22400,,36,15,15,15,20,20,20,20,20
36,5800,,8700,,14500,,11600,,17400,,29000,,23200,,37,15,15,15,20,20,20,20,20
37,6000,,9000,,15000,,12000,,18000,,30000,,24000,,38,15,15,15,20,20,20,20,20
38,6200,,9300,,15500,,12400,,18600,,31000,,24800,,39,20,20,20,20,20,20,20,20
39,6400,,9600,,16000,,12800,,19200,,32000,,25600,,40,20,20,20,20,20,20,20,20
40,6600,,9900,,16500,,13200,,19800,,33000,,26400,,41,20,20,20,25,25,25,25,25
41,6800,,10200,,17000,,13600,,20400,,34000,,27200,,42,20,20,20,25,25,25,25,25
42,7000,,10500,,17500,,14000,,21000,,35000,,28000,,43,20,20,20,25,25,25,25,25
43,7600,,11400,,19000,,15200,,22800,,38000,,30400,,44,20,20,20,25,25,25,25,25
44,8300,,12450,,20750,,16600,,24900,,41500,,33200,,45,20,20,20,25,25,25,25,25
45,8900,,13350,,22250,,17800,,26700,,44500,,35600,,46,20,20,20,25,25,25,25,25
46,9600,,14400,,24000,,19200,,28800,,48000,,38400,,47,20,20,20,25,25,25,25,25
47,10000,,15000,,25000,,20000,,30000,,50000,,40000,,48,20,20,20,25,25,25,25,25
48,11000,,16500,,27500,,22000,,33000,,55000,,44000,,49,25,25,25,25,25,25,25,25
49,12000,,18000,,30000,,24000,,36000,,60000,,48000,,50,25,25,25,25,25,25,25,25
50,12000,,18000,,30000,,24000,,36000,,60000,,48000,,51,25,25,25,30,30,30,30,30
51,13000,,19500,,32500,,26000,,39000,,65000,,52000,,52,25,25,25,30,30,30,30,30
52,14000,,21000,,35000,,28000,,42000,,70000,,56000,,53,25,25,25,30,30,30,30,30
53,15000,,22500,,37500,,30000,,45000,,75000,,60000,,54,25,25,25,30,30,30,30,30
54,16000,,24000,,40000,,32000,,48000,,80000,,64000,,55,25,25,25,30,30,30,30,30
55,18000,,27000,,45000,,36000,,54000,,90000,,72000,,56,25,25,25,30,30,30,30,30
56,19000,,28500,,47500,,38000,,57000,,95000,,76000,,57,25,25,25,30,30,30,30,30
57,20000,,30000,,50000,,40000,,60000,,100000,,80000,,58,25,25,25,30,30,30,30,30
58,22000,,33000,,55000,,44000,,66000,,110000,,88000,,59,30,30,30,30,30,30,30,30
59,24000,,36000,,60000,,48000,,72000,,120000,,96000,,60,30,30,30,30,30,30,30,30
60,26000,,39000,,65000,,52000,,78000,,130000,,104000,,61,30,30,30,35,35,35,35,35
61,28000,,42000,,70000,,56000,,84000,,140000,,112000,,62,30,30,30,35,35,35,35,35
62,30000,,45000,,75000,,60000,,90000,,150000,,120000,,63,30,30,30,35,35,35,35,35
63,32000,,48000,,80000,,64000,,96000,,160000,,128000,,64,30,30,30,35,35,35,35,35
64,34000,,51000,,85000,,68000,,102000,,170000,,136000,,65,30,30,30,35,35,35,35,35
65,37000,,55500,,92500,,74000,,111000,,185000,,148000,,66,30,30,30,35,35,35,35,35
66,39000,,58500,,97500,,78000,,117000,,195000,,156000,,67,30,30,30,35,35,35,35,35
67,41000,,61500,,102500,,82000,,123000,,205000,,164000,,68,30,30,30,35,35,35,35,35
68,43000,,64500,,107500,,86000,,129000,,215000,,172000,,69,35,35,35,35,35,35,35,35
69,48000,,72000,,120000,,96000,,144000,,240000,,192000,,70,35,35,35,35,35,35,35,35
70,52000,,78000,,130000,,104000,,156000,,260000,,208000,,71,35,35,35,40,40,40,40,40
71,57000,,85500,,142500,,114000,,171000,,285000,,228000,,72,35,35,35,40,40,40,40,40
72,62000,,93000,,155000,,124000,,186000,,310000,,248000,,73,35,35,35,40,40,40,40,40
73,67000,,100500,,167500,,134000,,201000,,335000,,268000,,74,35,35,35,40,40,40,40,40
74,73000,,109500,,182500,,146000,,219000,,365000,,292000,,75,35,35,35,40,40,40,40,40
75,110000,,165000,,275000,,220000,,330000,,550000,,440000,,76,35,35,35,40,40,40,40,40
76,120000,,180000,,300000,,240000,,360000,,600000,,480000,,77,35,35,35,40,40,40,40,40
77,130000,,195000,,325000,,260000,,390000,,650000,,520000,,78,35,35,35,40,40,40,40,40
78,140000,,210000,,350000,,280000,,420000,,700000,,560000,,79,40,40,40,40,40,40,40,40
79,150000,,225000,,375000,,300000,,450000,,750000,,600000,,80,40,40,40,40,40,40,40,40
80,150000,,225000,,375000,,300000,,450000,,750000,,600000,,81,40,40,40,50,50,50,50,50
81,160000,,240000,,400000,,320000,,480000,,800000,,640000,,82,40,40,40,50,50,50,50,50
82,170000,,255000,,425000,,340000,,510000,,850000,,680000,,83,40,40,40,50,50,50,50,50
83,180000,,270000,,450000,,360000,,540000,,900000,,720000,,84,40,40,40,50,50,50,50,50
84,190000,,285000,,475000,,380000,,570000,,950000,,760000,,85,40,40,40,50,50,50,50,50
85,190000,,285000,,475000,,380000,,570000,,950000,,760000,,86,40,40,40,50,50,50,50,50
86,200000,,300000,,500000,,400000,,600000,,1000000,,800000,,87,40,40,40,50,50,50,50,50
87,210000,,315000,,525000,,420000,,630000,,1050000,,840000,,88,40,40,40,50,50,50,50,50
88,220000,,330000,,550000,,440000,,660000,,1100000,,880000,,89,45,45,45,50,50,50,50,50
89,230000,,345000,,575000,,460000,,690000,,1150000,,920000,,90,45,45,45,50,50,50,50,50
90,230000,,345000,,575000,,460000,,690000,,1150000,,920000,,91,45,45,45,60,60,60,60,60
91,240000,,360000,,600000,,480000,,720000,,1200000,,960000,,92,45,45,45,60,60,60,60,60
92,250000,,375000,,625000,,500000,,750000,,1250000,,1000000,,93,45,45,45,60,60,60,60,60
93,260000,,390000,,650000,,520000,,780000,,1300000,,1040000,,94,45,45,45,60,60,60,60,60
94,270000,,405000,,675000,,540000,,810000,,1350000,,1080000,,95,45,45,45,60,60,60,60,60
95,270000,,405000,,675000,,540000,,810000,,1350000,,1080000,,96,45,45,45,60,60,60,60,60
96,280000,,420000,,700000,,560000,,840000,,1400000,,1120000,,97,45,45,45,60,60,60,60,60
97,290000,,435000,,725000,,580000,,870000,,1450000,,1160000,,98,45,45,45,60,60,60,60,60
98,300000,,450000,,750000,,600000,,900000,,1500000,,1200000,,99,50,50,50,60,60,60,60,60
99,310000,,465000,,775000,,620000,,930000,,1550000,,1240000,,100,50,50,50,60,60,60,60,60
100,320000,,480000,,800000,,640000,,960000,,1600000,,1280000,,101,50,50,50,60,60,60,60,60
101,330000,,495000,,825000,,660000,,990000,,1650000,,1320000,,102,50,50,50,60,60,60,60,60
102,340000,,510000,,850000,,680000,,1020000,,1700000,,1360000,,103,50,50,50,60,60,60,60,60
103,350000,,525000,,875000,,700000,,1050000,,1750000,,1400000,,104,50,50,50,60,60,60,60,60
104,360000,,540000,,900000,,720000,,1080000,,1800000,,1440000,,105,50,50,50,60,60,60,60,60
