变量名,default,common,elites
250,50,250,250
251,51,251,251
252,51,252,252
253,51,253,253
254,51,254,254
255,51,255,255
256,52,256,256
257,52,257,257
258,52,258,258
259,52,259,259
260,52,260,260
261,53,261,261
262,53,262,262
263,53,263,263
264,53,264,264
265,53,265,265
266,54,266,266
267,54,267,267
268,54,268,268
269,54,269,269
270,54,270,270
271,55,271,271
272,55,272,272
273,55,273,273
274,55,274,274
275,55,275,275
276,56,276,276
277,56,277,277
278,56,278,278
279,56,279,279
280,56,280,280
281,57,281,281
282,57,282,282
283,57,283,283
284,57,284,284
285,57,285,285
286,58,286,286
287,58,287,287
288,58,288,288
289,58,289,289
290,58,290,290
291,59,291,291
292,59,292,292
293,59,293,293
294,59,294,294
295,59,295,295
296,60,296,296
297,60,297,297
298,60,298,298
299,60,299,299
300,60,300,300
301,61,301,301
302,61,302,302
303,61,303,303
304,61,304,304
305,61,305,305
306,62,306,306
307,62,307,307
308,62,308,308
309,62,309,309
310,62,310,310
311,63,311,311
312,63,312,312
313,63,313,313
314,63,314,314
315,63,315,315
316,64,316,316
317,64,317,317
318,64,318,318
319,64,319,319
320,64,320,320
321,65,321,321
322,65,322,322
323,65,323,323
324,65,324,324
325,65,325,325
326,66,326,326
327,66,327,327
328,66,328,328
329,66,329,329
330,66,330,330
331,67,331,331
332,67,332,332
333,67,333,333
334,67,334,334
335,67,335,335
336,68,336,336
337,68,337,337
338,68,338,338
339,68,339,339
340,68,340,340
341,69,341,341
342,69,342,342
343,69,343,343
344,69,344,344
345,69,345,345
346,70,346,346
347,70,347,347
348,70,348,348
349,70,349,349
350,70,350,350
351,71,351,351
352,71,352,352
353,71,353,353
354,71,354,354
355,71,355,355
356,72,356,356
357,72,357,357
358,72,358,358
359,72,359,359
360,72,360,360
361,73,361,361
362,73,362,362
363,73,363,363
364,73,364,364
365,73,365,365
366,74,366,366
367,74,367,367
368,74,368,368
369,74,369,369
370,74,370,370
371,75,371,371
372,75,372,372
373,75,373,373
374,75,374,374
375,75,375,375
376,76,376,376
377,76,377,377
378,76,378,378
379,76,379,379
380,76,380,380
381,77,381,381
382,77,382,382
383,77,383,383
384,77,384,384
385,77,385,385
386,78,386,386
387,78,387,387
388,78,388,388
389,78,389,389
390,78,390,390
391,79,391,391
392,79,392,392
393,79,393,393
394,79,394,394
395,79,395,395
396,80,396,396
397,80,397,397
398,80,398,398
399,80,399,399
400,80,400,400
401,81,401,401
402,81,402,402
403,81,403,403
404,81,404,404
405,81,405,405
406,82,406,406
407,82,407,407
408,82,408,408
409,82,409,409
410,82,410,410
411,83,411,411
412,83,412,412
413,83,413,413
414,83,414,414
415,83,415,415
416,84,416,416
417,84,417,417
418,84,418,418
419,84,419,419
420,84,420,420
421,85,421,421
422,85,422,422
423,85,423,423
424,85,424,424
425,85,425,425
426,86,426,426
427,86,427,427
428,86,428,428
429,86,429,429
430,86,430,430
431,87,431,431
432,87,432,432
433,87,433,433
434,87,434,434
435,87,435,435
436,88,436,436
437,88,437,437
438,88,438,438
439,88,439,439
440,88,440,440
441,89,441,441
442,89,442,442
443,89,443,443
444,89,444,444
445,89,445,445
446,90,446,446
447,90,447,447
448,90,448,448
449,90,449,449
450,90,450,450
451,91,451,451
452,91,452,452
453,91,453,453
454,91,454,454
455,91,455,455
456,92,456,456
457,92,457,457
458,92,458,458
459,92,459,459
460,92,460,460
461,93,461,461
462,93,462,462
463,93,463,463
464,93,464,464
465,93,465,465
466,94,466,466
467,94,467,467
468,94,468,468
469,94,469,469
470,94,470,470
471,95,471,471
472,95,472,472
473,95,473,473
474,95,474,474
475,95,475,475
476,96,476,476
477,96,477,477
478,96,478,478
479,96,479,479
480,96,480,480
481,97,481,481
482,97,482,482
483,97,483,483
484,97,484,484
485,97,485,485
486,98,486,486
487,98,487,487
488,98,488,488
489,98,489,489
490,98,490,490
491,99,491,491
492,99,492,492
493,99,493,493
494,99,494,494
495,99,495,495
496,100,496,496
497,100,497,497
498,100,498,498
499,100,499,499
500,100,500,500
501,101,501,501
502,101,502,502
503,101,503,503
504,101,504,504
505,101,505,505
506,102,506,506
507,102,507,507
508,102,508,508
509,102,509,509
510,102,510,510
511,103,511,511
512,103,512,512
513,103,513,513
514,103,514,514
515,103,515,515
516,104,516,516
517,104,517,517
518,104,518,518
519,104,519,519
520,104,520,520
521,105,521,521
522,105,522,522
523,105,523,523
524,105,524,524
525,105,525,525
526,106,526,526
527,106,527,527
528,106,528,528
529,106,529,529
530,106,530,530
531,107,531,531
532,107,532,532
533,107,533,533
534,107,534,534
535,107,535,535
536,108,536,536
537,108,537,537
538,108,538,538
539,108,539,539
540,108,540,540
541,109,541,541
542,109,542,542
543,109,543,543
544,109,544,544
545,109,545,545
546,110,546,546
547,110,547,547
548,110,548,548
549,110,549,549
550,110,550,550
551,111,551,551
552,111,552,552
553,111,553,553
554,111,554,554
555,111,555,555
556,112,556,556
557,112,557,557
558,112,558,558
559,112,559,559
560,112,560,560
561,113,561,561
562,113,562,562
563,113,563,563
564,113,564,564
565,113,565,565
566,114,566,566
567,114,567,567
568,114,568,568
569,114,569,569
570,114,570,570
571,115,571,571
572,115,572,572
573,115,573,573
574,115,574,574
575,115,575,575
576,116,576,576
577,116,577,577
578,116,578,578
579,116,579,579
580,116,580,580
581,117,581,581
582,117,582,582
583,117,583,583
584,117,584,584
585,117,585,585
586,118,586,586
587,118,587,587
588,118,588,588
589,118,589,589
590,118,590,590
591,119,591,591
592,119,592,592
593,119,593,593
594,119,594,594
595,119,595,595
596,120,596,596
597,120,597,597
598,120,598,598
599,120,599,599
600,120,600,600
601,121,601,601
602,121,602,602
603,121,603,603
604,121,604,604
605,121,605,605
606,122,606,606
607,122,607,607
608,122,608,608
609,122,609,609
610,122,610,610
611,123,611,611
612,123,612,612
613,123,613,613
614,123,614,614
615,123,615,615
616,124,616,616
617,124,617,617
618,124,618,618
619,124,619,619
620,124,620,620
621,125,621,621
622,125,622,622
623,125,623,623
624,125,624,624
625,125,625,625
626,126,626,626
627,126,627,627
628,126,628,628
629,126,629,629
630,126,630,630
631,127,631,631
632,127,632,632
633,127,633,633
634,127,634,634
635,127,635,635
636,128,636,636
637,128,637,637
638,128,638,638
639,128,639,639
640,128,640,640
641,129,641,641
642,129,642,642
643,129,643,643
644,129,644,644
645,129,645,645
646,130,646,646
647,130,647,647
648,130,648,648
649,130,649,649
650,130,650,650
651,131,651,651
652,131,652,652
653,131,653,653
654,131,654,654
655,131,655,655
656,132,656,656
657,132,657,657
658,132,658,658
659,132,659,659
660,132,660,660
661,133,661,661
662,133,662,662
663,133,663,663
664,133,664,664
665,133,665,665
666,134,666,666
667,134,667,667
668,134,668,668
669,134,669,669
670,134,670,670
671,135,671,671
672,135,672,672
673,135,673,673
674,135,674,674
675,135,675,675
676,136,676,676
677,136,677,677
678,136,678,678
679,136,679,679
680,136,680,680
681,137,681,681
682,137,682,682
683,137,683,683
684,137,684,684
685,137,685,685
686,138,686,686
687,138,687,687
688,138,688,688
689,138,689,689
690,138,690,690
691,139,691,691
692,139,692,692
693,139,693,693
694,139,694,694
695,139,695,695
696,140,696,696
697,140,697,697
698,140,698,698
699,140,699,699
700,140,700,700
701,141,701,701
702,141,702,702
703,141,703,703
704,141,704,704
705,141,705,705
706,142,706,706
707,142,707,707
708,142,708,708
709,142,709,709
710,142,710,710
711,143,711,711
712,143,712,712
713,143,713,713
714,143,714,714
715,143,715,715
716,144,716,716
717,144,717,717
718,144,718,718
719,144,719,719
720,144,720,720
721,145,721,721
722,145,722,722
723,145,723,723
724,145,724,724
725,145,725,725
726,146,726,726
727,146,727,727
728,146,728,728
729,146,729,729
730,146,730,730
731,147,731,731
732,147,732,732
733,147,733,733
734,147,734,734
735,147,735,735
736,148,736,736
737,148,737,737
738,148,738,738
739,148,739,739
740,148,740,740
741,149,741,741
742,149,742,742
743,149,743,743
744,149,744,744
745,149,745,745
746,150,746,746
747,150,747,747
748,150,748,748
749,150,749,749
750,150,750,750
751,151,751,751
752,151,752,752
753,151,753,753
754,151,754,754
755,151,755,755
756,152,756,756
757,152,757,757
758,152,758,758
759,152,759,759
760,152,760,760
761,153,761,761
762,153,762,762
763,153,763,763
764,153,764,764
765,153,765,765
766,154,766,766
767,154,767,767
768,154,768,768
769,154,769,769
770,154,770,770
771,155,771,771
772,155,772,772
773,155,773,773
774,155,774,774
775,155,775,775
776,156,776,776
777,156,777,777
778,156,778,778
779,156,779,779
780,156,780,780
781,157,781,781
782,157,782,782
783,157,783,783
784,157,784,784
785,157,785,785
786,158,786,786
787,158,787,787
788,158,788,788
789,158,789,789
790,158,790,790
791,159,791,791
792,159,792,792
793,159,793,793
794,159,794,794
795,159,795,795
796,160,796,796
797,160,797,797
798,160,798,798
799,160,799,799
800,160,800,800
