变量名,equip_id,stage,costGold,costItemMap
10064,11002,14,140000,{100=12;5022=72;5023=72;5024=72;}
10065,11002,15,160000,{100=18;5022=108;5023=108;5024=108;}
10066,11002,16,180000,{100=24;5025=144;5026=144;5027=144;}
10067,11002,17,200000,{100=30;5028=200;5029=200;5030=200;}
10068,11002,18,220000,{100=36;5031=300;5032=300;5033=300;}
10069,11002,19,240000,{100=42;5034=400;5035=400;5036=400;}
10070,11002,20,260000,{100=48;5037=440;5038=440;5039=440;}
10071,11002,21,300000,{100=54;5040=480;5041=480;5042=480;}
10072,11002,22,350000,{100=60;5043=520;5044=520;5045=520;}
10073,11002,23,400000,{100=66;5046=560;5047=560;5048=560;}
10074,11002,24,450000,{100=72;5049=600;5050=600;5051=600;}
10075,11002,25,500000,{100=78;5052=640;5053=640;5054=640;}
10076,11002,26,550000,{100=84;5055=680;5056=680;5057=680;}
10077,11002,27,600000,{100=90;5058=720;5059=720;5060=720;}
10078,11002,28,650000,{100=96;5061=760;5062=760;5063=760;}
10079,11002,29,700000,{100=102;5064=800;5065=800;5066=800;}
10080,11002,30,750000,{100=108;5064=840;5065=840;5066=840;}
10101,11003,1,5000,{100=1;}
10102,11003,2,10000,{100=1;}
10103,11003,3,15000,{100=1;}
10104,11003,4,20000,{100=1;5004=4;5005=4;5006=4;}
10105,11003,5,25000,{100=1;5007=4;5008=4;5009=4;}
10106,11003,6,30000,{100=1;5010=6;5011=6;5012=6;}
10107,11003,7,35000,{100=2;5010=8;5011=8;5012=8;}
10108,11003,8,40000,{100=2;5013=10;5014=10;5015=10;}
10109,11003,9,50000,{100=4;5013=12;5014=12;5015=12;}
10110,11003,10,60000,{100=4;5016=16;5017=16;5018=16;}
10111,11003,11,80000,{100=6;5016=20;5017=20;5018=20;}
10112,11003,12,100000,{100=6;5019=32;5020=32;5021=32;}
10113,11003,13,120000,{100=9;5019=48;5020=48;5021=48;}
10114,11003,14,140000,{100=12;5022=72;5023=72;5024=72;}
10115,11003,15,160000,{100=18;5022=108;5023=108;5024=108;}
10116,11003,16,180000,{100=24;5025=144;5026=144;5027=144;}
10117,11003,17,200000,{100=30;5028=200;5029=200;5030=200;}
10118,11003,18,220000,{100=36;5031=300;5032=300;5033=300;}
10119,11003,19,240000,{100=42;5034=400;5035=400;5036=400;}
10120,11003,20,260000,{100=48;5037=440;5038=440;5039=440;}
10121,11003,21,300000,{100=54;5040=480;5041=480;5042=480;}
10122,11003,22,350000,{100=60;5043=520;5044=520;5045=520;}
10123,11003,23,400000,{100=66;5046=560;5047=560;5048=560;}
10124,11003,24,450000,{100=72;5049=600;5050=600;5051=600;}
10125,11003,25,500000,{100=78;5052=640;5053=640;5054=640;}
10126,11003,26,550000,{100=84;5055=680;5056=680;5057=680;}
10127,11003,27,600000,{100=90;5058=720;5059=720;5060=720;}
10128,11003,28,650000,{100=96;5061=760;5062=760;5063=760;}
10129,11003,29,700000,{100=102;5064=800;5065=800;5066=800;}
10130,11003,30,750000,{100=108;5064=840;5065=840;5066=840;}
10151,11004,1,5000,{100=1;}
10152,11004,2,10000,{100=1;}
10153,11004,3,15000,{100=1;}
10154,11004,4,20000,{100=1;5004=4;5005=4;5006=4;}
10155,11004,5,25000,{100=1;5007=4;5008=4;5009=4;}
10156,11004,6,30000,{100=1;5010=6;5011=6;5012=6;}
10157,11004,7,35000,{100=2;5010=8;5011=8;5012=8;}
10158,11004,8,40000,{100=2;5013=10;5014=10;5015=10;}
10159,11004,9,50000,{100=4;5013=12;5014=12;5015=12;}
10160,11004,10,60000,{100=4;5016=16;5017=16;5018=16;}
10161,11004,11,80000,{100=6;5016=20;5017=20;5018=20;}
10162,11004,12,100000,{100=6;5019=32;5020=32;5021=32;}
10163,11004,13,120000,{100=9;5019=48;5020=48;5021=48;}
10164,11004,14,140000,{100=12;5022=72;5023=72;5024=72;}
10165,11004,15,160000,{100=18;5022=108;5023=108;5024=108;}
10166,11004,16,180000,{100=24;5025=144;5026=144;5027=144;}
10167,11004,17,200000,{100=30;5028=200;5029=200;5030=200;}
10168,11004,18,220000,{100=36;5031=300;5032=300;5033=300;}
10169,11004,19,240000,{100=42;5034=400;5035=400;5036=400;}
10170,11004,20,260000,{100=48;5037=440;5038=440;5039=440;}
10171,11004,21,300000,{100=54;5040=480;5041=480;5042=480;}
10172,11004,22,350000,{100=60;5043=520;5044=520;5045=520;}
10173,11004,23,400000,{100=66;5046=560;5047=560;5048=560;}
10174,11004,24,450000,{100=72;5049=600;5050=600;5051=600;}
10175,11004,25,500000,{100=78;5052=640;5053=640;5054=640;}
10176,11004,26,550000,{100=84;5055=680;5056=680;5057=680;}
10177,11004,27,600000,{100=90;5058=720;5059=720;5060=720;}
10178,11004,28,650000,{100=96;5061=760;5062=760;5063=760;}
10179,11004,29,700000,{100=102;5064=800;5065=800;5066=800;}
10180,11004,30,750000,{100=108;5064=840;5065=840;5066=840;}
10501,11011,1,5000,{100=1;}
10502,11011,2,10000,{100=1;}
10503,11011,3,15000,{100=1;}
10504,11011,4,20000,{100=1;5004=4;5005=4;5006=4;}
10505,11011,5,25000,{100=1;5007=4;5008=4;5009=4;}
10506,11011,6,30000,{100=1;5010=6;5011=6;5012=6;}
10507,11011,7,35000,{100=2;5010=8;5011=8;5012=8;}
10508,11011,8,40000,{100=2;5013=10;5014=10;5015=10;}
10509,11011,9,50000,{100=4;5013=12;5014=12;5015=12;}
10510,11011,10,60000,{100=4;5016=16;5017=16;5018=16;}
10511,11011,11,80000,{100=6;5016=20;5017=20;5018=20;}
10512,11011,12,100000,{100=6;5019=32;5020=32;5021=32;}
10513,11011,13,120000,{100=9;5019=48;5020=48;5021=48;}
10514,11011,14,140000,{100=12;5022=72;5023=72;5024=72;}
10515,11011,15,160000,{100=18;5022=108;5023=108;5024=108;}
10516,11011,16,180000,{100=24;5025=144;5026=144;5027=144;}
10517,11011,17,200000,{100=30;5028=200;5029=200;5030=200;}
10518,11011,18,220000,{100=36;5031=300;5032=300;5033=300;}
10519,11011,19,240000,{100=42;5034=400;5035=400;5036=400;}
10520,11011,20,260000,{100=48;5037=440;5038=440;5039=440;}
10521,11011,21,300000,{100=54;5040=480;5041=480;5042=480;}
10522,11011,22,350000,{100=60;5043=520;5044=520;5045=520;}
10523,11011,23,400000,{100=66;5046=560;5047=560;5048=560;}
10524,11011,24,450000,{100=72;5049=600;5050=600;5051=600;}
10525,11011,25,500000,{100=78;5052=640;5053=640;5054=640;}
10526,11011,26,550000,{100=84;5055=680;5056=680;5057=680;}
10527,11011,27,600000,{100=90;5058=720;5059=720;5060=720;}
10528,11011,28,650000,{100=96;5061=760;5062=760;5063=760;}
10529,11011,29,700000,{100=102;5064=800;5065=800;5066=800;}
10530,11011,30,750000,{100=108;5064=840;5065=840;5066=840;}
10551,11012,1,5000,{100=1;}
10552,11012,2,10000,{100=1;}
10553,11012,3,15000,{100=1;}
10554,11012,4,20000,{100=1;5004=4;5005=4;5006=4;}
10555,11012,5,25000,{100=1;5007=4;5008=4;5009=4;}
10556,11012,6,30000,{100=1;5010=6;5011=6;5012=6;}
10557,11012,7,35000,{100=2;5010=8;5011=8;5012=8;}
10558,11012,8,40000,{100=2;5013=10;5014=10;5015=10;}
10559,11012,9,50000,{100=4;5013=12;5014=12;5015=12;}
10560,11012,10,60000,{100=4;5016=16;5017=16;5018=16;}
10561,11012,11,80000,{100=6;5016=20;5017=20;5018=20;}
10562,11012,12,100000,{100=6;5019=32;5020=32;5021=32;}
10563,11012,13,120000,{100=9;5019=48;5020=48;5021=48;}
10564,11012,14,140000,{100=12;5022=72;5023=72;5024=72;}
10565,11012,15,160000,{100=18;5022=108;5023=108;5024=108;}
10566,11012,16,180000,{100=24;5025=144;5026=144;5027=144;}
10567,11012,17,200000,{100=30;5028=200;5029=200;5030=200;}
10568,11012,18,220000,{100=36;5031=300;5032=300;5033=300;}
10569,11012,19,240000,{100=42;5034=400;5035=400;5036=400;}
10570,11012,20,260000,{100=48;5037=440;5038=440;5039=440;}
10571,11012,21,300000,{100=54;5040=480;5041=480;5042=480;}
10572,11012,22,350000,{100=60;5043=520;5044=520;5045=520;}
10573,11012,23,400000,{100=66;5046=560;5047=560;5048=560;}
10574,11012,24,450000,{100=72;5049=600;5050=600;5051=600;}
10575,11012,25,500000,{100=78;5052=640;5053=640;5054=640;}
10576,11012,26,550000,{100=84;5055=680;5056=680;5057=680;}
10577,11012,27,600000,{100=90;5058=720;5059=720;5060=720;}
10578,11012,28,650000,{100=96;5061=760;5062=760;5063=760;}
10579,11012,29,700000,{100=102;5064=800;5065=800;5066=800;}
10580,11012,30,750000,{100=108;5064=840;5065=840;5066=840;}
10601,11013,1,5000,{100=1;}
10602,11013,2,10000,{100=1;}
10603,11013,3,15000,{100=1;}
10604,11013,4,20000,{100=1;5004=4;5005=4;5006=4;}
10605,11013,5,25000,{100=1;5007=4;5008=4;5009=4;}
10606,11013,6,30000,{100=1;5010=6;5011=6;5012=6;}
10607,11013,7,35000,{100=2;5010=8;5011=8;5012=8;}
10608,11013,8,40000,{100=2;5013=10;5014=10;5015=10;}
10609,11013,9,50000,{100=4;5013=12;5014=12;5015=12;}
10610,11013,10,60000,{100=4;5016=16;5017=16;5018=16;}
10611,11013,11,80000,{100=6;5016=20;5017=20;5018=20;}
10612,11013,12,100000,{100=6;5019=32;5020=32;5021=32;}
10613,11013,13,120000,{100=9;5019=48;5020=48;5021=48;}
10614,11013,14,140000,{100=12;5022=72;5023=72;5024=72;}
10615,11013,15,160000,{100=18;5022=108;5023=108;5024=108;}
10616,11013,16,180000,{100=24;5025=144;5026=144;5027=144;}
10617,11013,17,200000,{100=30;5028=200;5029=200;5030=200;}
10618,11013,18,220000,{100=36;5031=300;5032=300;5033=300;}
10619,11013,19,240000,{100=42;5034=400;5035=400;5036=400;}
10620,11013,20,260000,{100=48;5037=440;5038=440;5039=440;}
10621,11013,21,300000,{100=54;5040=480;5041=480;5042=480;}
10622,11013,22,350000,{100=60;5043=520;5044=520;5045=520;}
10623,11013,23,400000,{100=66;5046=560;5047=560;5048=560;}
10624,11013,24,450000,{100=72;5049=600;5050=600;5051=600;}
10625,11013,25,500000,{100=78;5052=640;5053=640;5054=640;}
10626,11013,26,550000,{100=84;5055=680;5056=680;5057=680;}
10627,11013,27,600000,{100=90;5058=720;5059=720;5060=720;}
10628,11013,28,650000,{100=96;5061=760;5062=760;5063=760;}
10629,11013,29,700000,{100=102;5064=800;5065=800;5066=800;}
10630,11013,30,750000,{100=108;5064=840;5065=840;5066=840;}
10651,11014,1,5000,{100=1;}
10652,11014,2,10000,{100=1;}
10653,11014,3,15000,{100=1;}
10654,11014,4,20000,{100=1;5004=4;5005=4;5006=4;}
10655,11014,5,25000,{100=1;5007=4;5008=4;5009=4;}
10656,11014,6,30000,{100=1;5010=6;5011=6;5012=6;}
10657,11014,7,35000,{100=2;5010=8;5011=8;5012=8;}
10658,11014,8,40000,{100=2;5013=10;5014=10;5015=10;}
10659,11014,9,50000,{100=4;5013=12;5014=12;5015=12;}
10660,11014,10,60000,{100=4;5016=16;5017=16;5018=16;}
10661,11014,11,80000,{100=6;5016=20;5017=20;5018=20;}
10662,11014,12,100000,{100=6;5019=32;5020=32;5021=32;}
10663,11014,13,120000,{100=9;5019=48;5020=48;5021=48;}
10664,11014,14,140000,{100=12;5022=72;5023=72;5024=72;}
10665,11014,15,160000,{100=18;5022=108;5023=108;5024=108;}
10666,11014,16,180000,{100=24;5025=144;5026=144;5027=144;}
10667,11014,17,200000,{100=30;5028=200;5029=200;5030=200;}
10668,11014,18,220000,{100=36;5031=300;5032=300;5033=300;}
10669,11014,19,240000,{100=42;5034=400;5035=400;5036=400;}
10670,11014,20,260000,{100=48;5037=440;5038=440;5039=440;}
10671,11014,21,300000,{100=54;5040=480;5041=480;5042=480;}
10672,11014,22,350000,{100=60;5043=520;5044=520;5045=520;}
10673,11014,23,400000,{100=66;5046=560;5047=560;5048=560;}
10674,11014,24,450000,{100=72;5049=600;5050=600;5051=600;}
10675,11014,25,500000,{100=78;5052=640;5053=640;5054=640;}
10676,11014,26,550000,{100=84;5055=680;5056=680;5057=680;}
10677,11014,27,600000,{100=90;5058=720;5059=720;5060=720;}
10678,11014,28,650000,{100=96;5061=760;5062=760;5063=760;}
10679,11014,29,700000,{100=102;5064=800;5065=800;5066=800;}
10680,11014,30,750000,{100=108;5064=840;5065=840;5066=840;}
11001,11021,1,5000,{100=1;}
11002,11021,2,10000,{100=1;}
11003,11021,3,15000,{100=1;}
11004,11021,4,20000,{100=1;5004=4;5005=4;5006=4;}
11005,11021,5,25000,{100=1;5007=4;5008=4;5009=4;}
11006,11021,6,30000,{100=1;5010=6;5011=6;5012=6;}
11007,11021,7,35000,{100=2;5010=8;5011=8;5012=8;}
11008,11021,8,40000,{100=2;5013=10;5014=10;5015=10;}
11009,11021,9,50000,{100=4;5013=12;5014=12;5015=12;}
11010,11021,10,60000,{100=4;5016=16;5017=16;5018=16;}
11011,11021,11,80000,{100=6;5016=20;5017=20;5018=20;}
11012,11021,12,100000,{100=6;5019=32;5020=32;5021=32;}
11013,11021,13,120000,{100=9;5019=48;5020=48;5021=48;}
11014,11021,14,140000,{100=12;5022=72;5023=72;5024=72;}
11015,11021,15,160000,{100=18;5022=108;5023=108;5024=108;}
11016,11021,16,180000,{100=24;5025=144;5026=144;5027=144;}
11017,11021,17,200000,{100=30;5028=200;5029=200;5030=200;}
11018,11021,18,220000,{100=36;5031=300;5032=300;5033=300;}
11019,11021,19,240000,{100=42;5034=400;5035=400;5036=400;}
11020,11021,20,260000,{100=48;5037=440;5038=440;5039=440;}
11021,11021,21,300000,{100=54;5040=480;5041=480;5042=480;}
11022,11021,22,350000,{100=60;5043=520;5044=520;5045=520;}
11023,11021,23,400000,{100=66;5046=560;5047=560;5048=560;}
11024,11021,24,450000,{100=72;5049=600;5050=600;5051=600;}
11025,11021,25,500000,{100=78;5052=640;5053=640;5054=640;}
11026,11021,26,550000,{100=84;5055=680;5056=680;5057=680;}
11027,11021,27,600000,{100=90;5058=720;5059=720;5060=720;}
11028,11021,28,650000,{100=96;5061=760;5062=760;5063=760;}
11029,11021,29,700000,{100=102;5064=800;5065=800;5066=800;}
11030,11021,30,750000,{100=108;5064=840;5065=840;5066=840;}
11051,11022,1,5000,{100=1;}
11052,11022,2,10000,{100=1;}
11053,11022,3,15000,{100=1;}
11054,11022,4,20000,{100=1;5004=4;5005=4;5006=4;}
11055,11022,5,25000,{100=1;5007=4;5008=4;5009=4;}
11056,11022,6,30000,{100=1;5010=6;5011=6;5012=6;}
11057,11022,7,35000,{100=2;5010=8;5011=8;5012=8;}
11058,11022,8,40000,{100=2;5013=10;5014=10;5015=10;}
11059,11022,9,50000,{100=4;5013=12;5014=12;5015=12;}
11060,11022,10,60000,{100=4;5016=16;5017=16;5018=16;}
11061,11022,11,80000,{100=6;5016=20;5017=20;5018=20;}
11062,11022,12,100000,{100=6;5019=32;5020=32;5021=32;}
11063,11022,13,120000,{100=9;5019=48;5020=48;5021=48;}
11064,11022,14,140000,{100=12;5022=72;5023=72;5024=72;}
11065,11022,15,160000,{100=18;5022=108;5023=108;5024=108;}
11066,11022,16,180000,{100=24;5025=144;5026=144;5027=144;}
11067,11022,17,200000,{100=30;5028=200;5029=200;5030=200;}
11068,11022,18,220000,{100=36;5031=300;5032=300;5033=300;}
11069,11022,19,240000,{100=42;5034=400;5035=400;5036=400;}
11070,11022,20,260000,{100=48;5037=440;5038=440;5039=440;}
11071,11022,21,300000,{100=54;5040=480;5041=480;5042=480;}
11072,11022,22,350000,{100=60;5043=520;5044=520;5045=520;}
11073,11022,23,400000,{100=66;5046=560;5047=560;5048=560;}
11074,11022,24,450000,{100=72;5049=600;5050=600;5051=600;}
11075,11022,25,500000,{100=78;5052=640;5053=640;5054=640;}
11076,11022,26,550000,{100=84;5055=680;5056=680;5057=680;}
11077,11022,27,600000,{100=90;5058=720;5059=720;5060=720;}
11078,11022,28,650000,{100=96;5061=760;5062=760;5063=760;}
11079,11022,29,700000,{100=102;5064=800;5065=800;5066=800;}
11080,11022,30,750000,{100=108;5064=840;5065=840;5066=840;}
11101,11023,1,5000,{100=1;}
11102,11023,2,10000,{100=1;}
11103,11023,3,15000,{100=1;}
11104,11023,4,20000,{100=1;5004=4;5005=4;5006=4;}
11105,11023,5,25000,{100=1;5007=4;5008=4;5009=4;}
11106,11023,6,30000,{100=1;5010=6;5011=6;5012=6;}
11107,11023,7,35000,{100=2;5010=8;5011=8;5012=8;}
11108,11023,8,40000,{100=2;5013=10;5014=10;5015=10;}
11109,11023,9,50000,{100=4;5013=12;5014=12;5015=12;}
11110,11023,10,60000,{100=4;5016=16;5017=16;5018=16;}
11111,11023,11,80000,{100=6;5016=20;5017=20;5018=20;}
11112,11023,12,100000,{100=6;5019=32;5020=32;5021=32;}
11113,11023,13,120000,{100=9;5019=48;5020=48;5021=48;}
11114,11023,14,140000,{100=12;5022=72;5023=72;5024=72;}
11115,11023,15,160000,{100=18;5022=108;5023=108;5024=108;}
11116,11023,16,180000,{100=24;5025=144;5026=144;5027=144;}
11117,11023,17,200000,{100=30;5028=200;5029=200;5030=200;}
11118,11023,18,220000,{100=36;5031=300;5032=300;5033=300;}
11119,11023,19,240000,{100=42;5034=400;5035=400;5036=400;}
11120,11023,20,260000,{100=48;5037=440;5038=440;5039=440;}
11121,11023,21,300000,{100=54;5040=480;5041=480;5042=480;}
11122,11023,22,350000,{100=60;5043=520;5044=520;5045=520;}
11123,11023,23,400000,{100=66;5046=560;5047=560;5048=560;}
11124,11023,24,450000,{100=72;5049=600;5050=600;5051=600;}
11125,11023,25,500000,{100=78;5052=640;5053=640;5054=640;}
11126,11023,26,550000,{100=84;5055=680;5056=680;5057=680;}
11127,11023,27,600000,{100=90;5058=720;5059=720;5060=720;}
11128,11023,28,650000,{100=96;5061=760;5062=760;5063=760;}
11129,11023,29,700000,{100=102;5064=800;5065=800;5066=800;}
11130,11023,30,750000,{100=108;5064=840;5065=840;5066=840;}
11151,11024,1,5000,{100=1;}
11152,11024,2,10000,{100=1;}
11153,11024,3,15000,{100=1;}
11154,11024,4,20000,{100=1;5004=4;5005=4;5006=4;}
11155,11024,5,25000,{100=1;5007=4;5008=4;5009=4;}
11156,11024,6,30000,{100=1;5010=6;5011=6;5012=6;}
11157,11024,7,35000,{100=2;5010=8;5011=8;5012=8;}
11158,11024,8,40000,{100=2;5013=10;5014=10;5015=10;}
11159,11024,9,50000,{100=4;5013=12;5014=12;5015=12;}
11160,11024,10,60000,{100=4;5016=16;5017=16;5018=16;}
11161,11024,11,80000,{100=6;5016=20;5017=20;5018=20;}
11162,11024,12,100000,{100=6;5019=32;5020=32;5021=32;}
11163,11024,13,120000,{100=9;5019=48;5020=48;5021=48;}
11164,11024,14,140000,{100=12;5022=72;5023=72;5024=72;}
11165,11024,15,160000,{100=18;5022=108;5023=108;5024=108;}
11166,11024,16,180000,{100=24;5025=144;5026=144;5027=144;}
11167,11024,17,200000,{100=30;5028=200;5029=200;5030=200;}
11168,11024,18,220000,{100=36;5031=300;5032=300;5033=300;}
11169,11024,19,240000,{100=42;5034=400;5035=400;5036=400;}
11170,11024,20,260000,{100=48;5037=440;5038=440;5039=440;}
11171,11024,21,300000,{100=54;5040=480;5041=480;5042=480;}
11172,11024,22,350000,{100=60;5043=520;5044=520;5045=520;}
11173,11024,23,400000,{100=66;5046=560;5047=560;5048=560;}
11174,11024,24,450000,{100=72;5049=600;5050=600;5051=600;}
11175,11024,25,500000,{100=78;5052=640;5053=640;5054=640;}
11176,11024,26,550000,{100=84;5055=680;5056=680;5057=680;}
11177,11024,27,600000,{100=90;5058=720;5059=720;5060=720;}
11178,11024,28,650000,{100=96;5061=760;5062=760;5063=760;}
11179,11024,29,700000,{100=102;5064=800;5065=800;5066=800;}
11180,11024,30,750000,{100=108;5064=840;5065=840;5066=840;}
11501,11031,1,5000,{100=1;}
11502,11031,2,10000,{100=1;}
11503,11031,3,15000,{100=1;}
11504,11031,4,20000,{100=1;5004=4;5005=4;5006=4;}
11505,11031,5,25000,{100=1;5007=4;5008=4;5009=4;}
11506,11031,6,30000,{100=1;5010=6;5011=6;5012=6;}
11507,11031,7,35000,{100=2;5010=8;5011=8;5012=8;}
11508,11031,8,40000,{100=2;5013=10;5014=10;5015=10;}
11509,11031,9,50000,{100=4;5013=12;5014=12;5015=12;}
11510,11031,10,60000,{100=4;5016=16;5017=16;5018=16;}
11511,11031,11,80000,{100=6;5016=20;5017=20;5018=20;}
11512,11031,12,100000,{100=6;5019=32;5020=32;5021=32;}
11513,11031,13,120000,{100=9;5019=48;5020=48;5021=48;}
11514,11031,14,140000,{100=12;5022=72;5023=72;5024=72;}
11515,11031,15,160000,{100=18;5022=108;5023=108;5024=108;}
11516,11031,16,180000,{100=24;5025=144;5026=144;5027=144;}
11517,11031,17,200000,{100=30;5028=200;5029=200;5030=200;}
11518,11031,18,220000,{100=36;5031=300;5032=300;5033=300;}
11519,11031,19,240000,{100=42;5034=400;5035=400;5036=400;}
11520,11031,20,260000,{100=48;5037=440;5038=440;5039=440;}
11521,11031,21,300000,{100=54;5040=480;5041=480;5042=480;}
11522,11031,22,350000,{100=60;5043=520;5044=520;5045=520;}
11523,11031,23,400000,{100=66;5046=560;5047=560;5048=560;}
11524,11031,24,450000,{100=72;5049=600;5050=600;5051=600;}
11525,11031,25,500000,{100=78;5052=640;5053=640;5054=640;}
11526,11031,26,550000,{100=84;5055=680;5056=680;5057=680;}
11527,11031,27,600000,{100=90;5058=720;5059=720;5060=720;}
11528,11031,28,650000,{100=96;5061=760;5062=760;5063=760;}
11529,11031,29,700000,{100=102;5064=800;5065=800;5066=800;}
11530,11031,30,750000,{100=108;5064=840;5065=840;5066=840;}
11551,11032,1,5000,{100=1;}
11552,11032,2,10000,{100=1;}
11553,11032,3,15000,{100=1;}
11554,11032,4,20000,{100=1;5004=4;5005=4;5006=4;}
11555,11032,5,25000,{100=1;5007=4;5008=4;5009=4;}
11556,11032,6,30000,{100=1;5010=6;5011=6;5012=6;}
11557,11032,7,35000,{100=2;5010=8;5011=8;5012=8;}
11558,11032,8,40000,{100=2;5013=10;5014=10;5015=10;}
11559,11032,9,50000,{100=4;5013=12;5014=12;5015=12;}
11560,11032,10,60000,{100=4;5016=16;5017=16;5018=16;}
11561,11032,11,80000,{100=6;5016=20;5017=20;5018=20;}
11562,11032,12,100000,{100=6;5019=32;5020=32;5021=32;}
11563,11032,13,120000,{100=9;5019=48;5020=48;5021=48;}
11564,11032,14,140000,{100=12;5022=72;5023=72;5024=72;}
11565,11032,15,160000,{100=18;5022=108;5023=108;5024=108;}
11566,11032,16,180000,{100=24;5025=144;5026=144;5027=144;}
11567,11032,17,200000,{100=30;5028=200;5029=200;5030=200;}
11568,11032,18,220000,{100=36;5031=300;5032=300;5033=300;}
11569,11032,19,240000,{100=42;5034=400;5035=400;5036=400;}
11570,11032,20,260000,{100=48;5037=440;5038=440;5039=440;}
11571,11032,21,300000,{100=54;5040=480;5041=480;5042=480;}
11572,11032,22,350000,{100=60;5043=520;5044=520;5045=520;}
11573,11032,23,400000,{100=66;5046=560;5047=560;5048=560;}
11574,11032,24,450000,{100=72;5049=600;5050=600;5051=600;}
11575,11032,25,500000,{100=78;5052=640;5053=640;5054=640;}
11576,11032,26,550000,{100=84;5055=680;5056=680;5057=680;}
11577,11032,27,600000,{100=90;5058=720;5059=720;5060=720;}
11578,11032,28,650000,{100=96;5061=760;5062=760;5063=760;}
11579,11032,29,700000,{100=102;5064=800;5065=800;5066=800;}
11580,11032,30,750000,{100=108;5064=840;5065=840;5066=840;}
11601,11033,1,5000,{100=1;}
11602,11033,2,10000,{100=1;}
11603,11033,3,15000,{100=1;}
11604,11033,4,20000,{100=1;5004=4;5005=4;5006=4;}
11605,11033,5,25000,{100=1;5007=4;5008=4;5009=4;}
11606,11033,6,30000,{100=1;5010=6;5011=6;5012=6;}
11607,11033,7,35000,{100=2;5010=8;5011=8;5012=8;}
11608,11033,8,40000,{100=2;5013=10;5014=10;5015=10;}
11609,11033,9,50000,{100=4;5013=12;5014=12;5015=12;}
11610,11033,10,60000,{100=4;5016=16;5017=16;5018=16;}
11611,11033,11,80000,{100=6;5016=20;5017=20;5018=20;}
11612,11033,12,100000,{100=6;5019=32;5020=32;5021=32;}
11613,11033,13,120000,{100=9;5019=48;5020=48;5021=48;}
11614,11033,14,140000,{100=12;5022=72;5023=72;5024=72;}
11615,11033,15,160000,{100=18;5022=108;5023=108;5024=108;}
11616,11033,16,180000,{100=24;5025=144;5026=144;5027=144;}
11617,11033,17,200000,{100=30;5028=200;5029=200;5030=200;}
11618,11033,18,220000,{100=36;5031=300;5032=300;5033=300;}
11619,11033,19,240000,{100=42;5034=400;5035=400;5036=400;}
11620,11033,20,260000,{100=48;5037=440;5038=440;5039=440;}
11621,11033,21,300000,{100=54;5040=480;5041=480;5042=480;}
