变量名,sceneID,addMp1,addMp2,activeSkillMp1,lostBloodMp1,slayAddMp1Fix,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefence,defenceIgnoreC,specialDefenceIgnore,strikeLevelC,strikeDamageC,strikeResistanceC,blockLevelC,breakBlockLevelC,blockPowerC,dodgeC,hitC,damageAddC,damageSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,mainSkillAddC,mainSkillSubC,speedC,curePowerC,natureRestraintC,buffGroup
80005,-80005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80006,-80006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80011,-80011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80012,-80012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80013,-80013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80014,-80014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80015,-80015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80016,-80016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80021,-80021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80022,-80022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80023,-80023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80024,-80024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80025,-80025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80026,-80026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80031,-80031,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,1,,,,,1,1,,,1,
80032,-80032,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,1,,,,,1,1,,,1,
80033,-80033,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,1,,,,,1,1,,,1,
80034,-80034,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,1,,,,,1,1,,,1,
80035,-80035,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,1,,,,,1,1,,,1,
80036,-80036,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,1,,,,,1,1,,,1,
80041,-80041,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80042,-80042,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80043,-80043,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80044,-80044,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80045,-80045,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80046,-80046,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80051,-80051,,,,,,,,,,,,,,,,,,3,,3,3,3,,,,3,3,,,,,3,3,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80101,-80101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80102,-80102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80103,-80103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80104,-80104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80105,-80105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80106,-80106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80111,-80111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80112,-80112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80113,-80113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80114,-80114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80115,-80115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80116,-80116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80121,-80121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80122,-80122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80123,-80123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80124,-80124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80125,-80125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80126,-80126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80131,-80131,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,1,,,,,1,1,,,1,
80132,-80132,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,1,,,,,1,1,,,1,
80133,-80133,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,1,,,,,1,1,,,1,
80134,-80134,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,1,,,,,1,1,,,1,
80135,-80135,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,1,,,,,1,1,,,1,
80136,-80136,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,1,1,,,,,1,1,,,1,
80141,-80141,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80142,-80142,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80143,-80143,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80144,-80144,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80145,-80145,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80146,-80146,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80151,-80151,,,,,,,,,,,,,,,,,,3,,3,3,3,,,,3,3,,,,,3,3,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80201,-80201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80202,-80202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80203,-80203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80204,-80204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80205,-80205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80206,-80206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80211,-80211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80212,-80212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80213,-80213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80214,-80214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80215,-80215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80216,-80216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80221,-80221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80222,-80222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80223,-80223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80224,-80224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80225,-80225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80226,-80226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80231,-80231,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80232,-80232,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80233,-80233,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80234,-80234,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80235,-80235,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80236,-80236,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80241,-80241,,,,,,,,,,,,,,,,,,3,,3,3,3,,,,3,3,,,,,3,3,,,3,
80242,-80242,,,,,,,,,,,,,,,,,,3,,3,3,3,,,,3,3,,,,,3,3,,,3,
80243,-80243,,,,,,,,,,,,,,,,,,2,,3,3,3,,,,3,3,,,,,2,3,,,3,
80244,-80244,,,,,,,,,,,,,,,,,,2,,3,3,3,,,,3,3,,,,,3,2,,,3,
80245,-80245,,,,,,,,,,,,,,,,,,3,,2,3,3,,,,3,3,,,,,3,2,,,3,
80246,-80246,,,,,,,,,,,,,,,,,,2,,3,3,3,,,,3,3,,,,,3,2,,,3,
80251,-80251,,,,,,,,,,,,,,,,,,4,,4,4,4,,,,4,4,,,,,4,4,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80301,-80301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80302,-80302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80303,-80303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80304,-80304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80305,-80305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80306,-80306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80311,-80311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80312,-80312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80313,-80313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80314,-80314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80315,-80315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80316,-80316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80321,-80321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80322,-80322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80323,-80323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80324,-80324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80325,-80325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80326,-80326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80331,-80331,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80332,-80332,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80333,-80333,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80334,-80334,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80335,-80335,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80336,-80336,,,,,,,,,,,,,,,,,,2,,2,2,2,,,,2,2,,,,,2,2,,,2,
80341,-80341,,,,,,,,,,,,,,,,,,2,,3,3,3,,,,3,3,,,,,3,3,,,3,
80342,-80342,,,,,,,,,,,,,,,,,,3,,3,3,3,,,,3,3,,,,,3,3,,,3,
80343,-80343,,,,,,,,,,,,,,,,,,3,,3,3,3,,,,3,3,,,,,3,3,,,3,
80344,-80344,,,,,,,,,,,,,,,,,,3,,2,3,3,,,,3,3,,,,,3,3,,,3,
80345,-80345,,,,,,,,,,,,,,,,,,3,,3,3,3,,,,3,3,,,,,3,3,,,3,
80346,-80346,,,,,,,,,,,,,,,,,,3,,3,3,2,,,,3,3,,,,,3,3,,,3,
80351,-80351,,,,,,,,,,,,,,,,,,4,,4,4,4,,,,4,4,,,,,4,4,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80401,-80401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80402,-80402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80403,-80403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80404,-80404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80405,-80405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80406,-80406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80411,-80411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80412,-80412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80413,-80413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80414,-80414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80415,-80415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80416,-80416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80421,-80421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80422,-80422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80423,-80423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80424,-80424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80425,-80425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80426,-80426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80431,-80431,,,,,,,,,,,,,,,,,,3,,3,3,2,,,,3,3,,,,,3,3,,,3,
80432,-80432,,,,,,,,,,,,,,,,,,3,,3,3,3,,,,3,3,,,,,3,3,,,3,
80433,-80433,,,,,,,,,,,,,,,,,,3,,3,3,3,,,,3,3,,,,,3,3,,,3,
80434,-80434,,,,,,,,,,,,,,,,,,3,,3,3,2,,,,3,3,,,,,3,3,,,3,
80435,-80435,,,,,,,,,,,,,,,,,,3,,3,3,3,,,,3,3,,,,,3,3,,,3,
80436,-80436,,,,,,,,,,,,,,,,,,3,,3,3,3,,,,3,3,,,,,3,3,,,3,
80441,-80441,,,,,,,,,,,,,,,,,,4,,4,2,4,,,,4,4,,,,,4,4,,,4,
80442,-80442,,,,,,,,,,,,,,,,,,4,,4,4,4,,,,4,4,,,,,4,4,,,4,
80443,-80443,,,,,,,,,,,,,,,,,,4,,4,2,4,,,,4,4,,,,,4,4,,,4,
80444,-80444,,,,,,,,,,,,,,,,,,4,,4,4,2,,,,4,4,,,,,4,4,,,4,
80445,-80445,,,,,,,,,,,,,,,,,,2,,4,4,4,,,,4,4,,,,,4,4,,,4,
80446,-80446,,,,,,,,,,,,,,,,,,4,,2,4,4,,,,4,4,,,,,4,4,,,4,
80451,-80451,,,,,,,,,,,,,,,,,,5,,5,5,5,,,,5,5,,,,,5,5,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80501,-80501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80502,-80502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80503,-80503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80504,-80504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80505,-80505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80506,-80506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80511,-80511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80512,-80512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80513,-80513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80514,-80514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80515,-80515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80516,-80516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80521,-80521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80522,-80522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80523,-80523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80524,-80524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80525,-80525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80526,-80526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80531,-80531,,,,,,,,,,,,,,,,,,2,,3,3,3,,,,3,3,,,,,3,3,,,3,
80532,-80532,,,,,,,,,,,,,,,,,,2,,3,3,3,,,,3,3,,,,,3,3,,,3,
80533,-80533,,,,,,,,,,,,,,,,,,3,,3,2,3,,,,3,3,,,,,3,3,,,3,
