变量名,needLevel,needStar,needAdvance,cost,preDialog,afterDialog
3353,36,,6,{gold=6000},,
3412,16,,3,{gold=3000},,
3413,36,,6,{gold=6000},,
3432,36,,6,{gold=6000},,
3472,36,,6,{gold=6000},,
3502,36,,6,{gold=6000},,
3542,16,,3,{gold=3000},,
3543,36,,6,{gold=6000},,
3562,36,,6,{gold=6000},,
3592,36,,6,{gold=6000},,
3642,36,,6,{gold=6000},,
3662,16,,3,{gold=3000},,
3663,36,,6,{gold=6000},,
3682,16,,3,{gold=3000},,
3683,36,,6,{gold=6000},,
3772,36,,6,{gold=6000},,
3842,16,,3,{gold=3000},,
3843,36,,6,{gold=6000},,
4132,36,,6,{gold=6000},,
4172,36,,6,{gold=6000},,
