10,{gold=160000;coin10=160;111=88},{gold=240000;coin10=240;111=132},{gold=240000;coin10=240;111=132},{gold=320000;coin10=320;111=176},{gold=320000;coin10=320;111=176},{gold=160000;coin2=160;111=88},{gold=240000;coin2=240;111=132},{gold=240000;coin2=240;111=132},{gold=320000;coin2=320;111=176},{gold=320000;coin2=320;111=176},{gold=160000;coin1=160;111=88},{gold=240000;coin1=240;111=132},{gold=240000;coin1=240;111=132},{gold=320000;coin1=320;111=176},{gold=320000;coin1=320;111=176},{gold=160000;coin6=160;111=88},{gold=240000;coin6=240;111=132},{gold=240000;coin6=240;111=132},{gold=320000;coin6=320;111=176},{gold=320000;coin6=320;111=176}
11,{gold=160000;coin10=160;111=88},{gold=240000;coin10=240;111=132},{gold=240000;coin10=240;111=132},{gold=320000;coin10=320;111=176},{gold=320000;coin10=320;111=176},{gold=160000;coin2=160;111=88},{gold=240000;coin2=240;111=132},{gold=240000;coin2=240;111=132},{gold=320000;coin2=320;111=176},{gold=320000;coin2=320;111=176},{gold=160000;coin1=160;111=88},{gold=240000;coin1=240;111=132},{gold=240000;coin1=240;111=132},{gold=320000;coin1=320;111=176},{gold=320000;coin1=320;111=176},{gold=160000;coin6=160;111=88},{gold=240000;coin6=240;111=132},{gold=240000;coin6=240;111=132},{gold=320000;coin6=320;111=176},{gold=320000;coin6=320;111=176}
12,{gold=160000;coin10=160;111=88},{gold=240000;coin10=240;111=132},{gold=240000;coin10=240;111=132},{gold=320000;coin10=320;111=176},{gold=320000;coin10=320;111=176},{gold=160000;coin2=160;111=88},{gold=240000;coin2=240;111=132},{gold=240000;coin2=240;111=132},{gold=320000;coin2=320;111=176},{gold=320000;coin2=320;111=176},{gold=160000;coin1=160;111=88},{gold=240000;coin1=240;111=132},{gold=240000;coin1=240;111=132},{gold=320000;coin1=320;111=176},{gold=320000;coin1=320;111=176},{gold=160000;coin6=160;111=88},{gold=240000;coin6=240;111=132},{gold=240000;coin6=240;111=132},{gold=320000;coin6=320;111=176},{gold=320000;coin6=320;111=176}
13,{gold=160000;coin10=160;111=88},{gold=240000;coin10=240;111=132},{gold=240000;coin10=240;111=132},{gold=320000;coin10=320;111=176},{gold=320000;coin10=320;111=176},{gold=160000;coin2=160;111=88},{gold=240000;coin2=240;111=132},{gold=240000;coin2=240;111=132},{gold=320000;coin2=320;111=176},{gold=320000;coin2=320;111=176},{gold=160000;coin1=160;111=88},{gold=240000;coin1=240;111=132},{gold=240000;coin1=240;111=132},{gold=320000;coin1=320;111=176},{gold=320000;coin1=320;111=176},{gold=160000;coin6=160;111=88},{gold=240000;coin6=240;111=132},{gold=240000;coin6=240;111=132},{gold=320000;coin6=320;111=176},{gold=320000;coin6=320;111=176}
14,{gold=160000;coin10=160;111=88},{gold=240000;coin10=240;111=132},{gold=240000;coin10=240;111=132},{gold=320000;coin10=320;111=176},{gold=320000;coin10=320;111=176},{gold=160000;coin2=160;111=88},{gold=240000;coin2=240;111=132},{gold=240000;coin2=240;111=132},{gold=320000;coin2=320;111=176},{gold=320000;coin2=320;111=176},{gold=160000;coin1=160;111=88},{gold=240000;coin1=240;111=132},{gold=240000;coin1=240;111=132},{gold=320000;coin1=320;111=176},{gold=320000;coin1=320;111=176},{gold=160000;coin6=160;111=88},{gold=240000;coin6=240;111=132},{gold=240000;coin6=240;111=132},{gold=320000;coin6=320;111=176},{gold=320000;coin6=320;111=176}
15,{gold=200000;coin10=200;111=92},{gold=300000;coin10=300;111=138},{gold=300000;coin10=300;111=138},{gold=400000;coin10=400;111=184},{gold=400000;coin10=400;111=184},{gold=200000;coin2=200;111=92},{gold=300000;coin2=300;111=138},{gold=300000;coin2=300;111=138},{gold=400000;coin2=400;111=184},{gold=400000;coin2=400;111=184},{gold=200000;coin1=200;111=92},{gold=300000;coin1=300;111=138},{gold=300000;coin1=300;111=138},{gold=400000;coin1=400;111=184},{gold=400000;coin1=400;111=184},{gold=200000;coin6=200;111=92},{gold=300000;coin6=300;111=138},{gold=300000;coin6=300;111=138},{gold=400000;coin6=400;111=184},{gold=400000;coin6=400;111=184}
16,{gold=200000;coin10=200;111=92},{gold=300000;coin10=300;111=138},{gold=300000;coin10=300;111=138},{gold=400000;coin10=400;111=184},{gold=400000;coin10=400;111=184},{gold=200000;coin2=200;111=92},{gold=300000;coin2=300;111=138},{gold=300000;coin2=300;111=138},{gold=400000;coin2=400;111=184},{gold=400000;coin2=400;111=184},{gold=200000;coin1=200;111=92},{gold=300000;coin1=300;111=138},{gold=300000;coin1=300;111=138},{gold=400000;coin1=400;111=184},{gold=400000;coin1=400;111=184},{gold=200000;coin6=200;111=92},{gold=300000;coin6=300;111=138},{gold=300000;coin6=300;111=138},{gold=400000;coin6=400;111=184},{gold=400000;coin6=400;111=184}
17,{gold=200000;coin10=200;111=92},{gold=300000;coin10=300;111=138},{gold=300000;coin10=300;111=138},{gold=400000;coin10=400;111=184},{gold=400000;coin10=400;111=184},{gold=200000;coin2=200;111=92},{gold=300000;coin2=300;111=138},{gold=300000;coin2=300;111=138},{gold=400000;coin2=400;111=184},{gold=400000;coin2=400;111=184},{gold=200000;coin1=200;111=92},{gold=300000;coin1=300;111=138},{gold=300000;coin1=300;111=138},{gold=400000;coin1=400;111=184},{gold=400000;coin1=400;111=184},{gold=200000;coin6=200;111=92},{gold=300000;coin6=300;111=138},{gold=300000;coin6=300;111=138},{gold=400000;coin6=400;111=184},{gold=400000;coin6=400;111=184}
18,{gold=200000;coin10=200;111=92},{gold=300000;coin10=300;111=138},{gold=300000;coin10=300;111=138},{gold=400000;coin10=400;111=184},{gold=400000;coin10=400;111=184},{gold=200000;coin2=200;111=92},{gold=300000;coin2=300;111=138},{gold=300000;coin2=300;111=138},{gold=400000;coin2=400;111=184},{gold=400000;coin2=400;111=184},{gold=200000;coin1=200;111=92},{gold=300000;coin1=300;111=138},{gold=300000;coin1=300;111=138},{gold=400000;coin1=400;111=184},{gold=400000;coin1=400;111=184},{gold=200000;coin6=200;111=92},{gold=300000;coin6=300;111=138},{gold=300000;coin6=300;111=138},{gold=400000;coin6=400;111=184},{gold=400000;coin6=400;111=184}
19,{gold=200000;coin10=200;111=92},{gold=300000;coin10=300;111=138},{gold=300000;coin10=300;111=138},{gold=400000;coin10=400;111=184},{gold=400000;coin10=400;111=184},{gold=200000;coin2=200;111=92},{gold=300000;coin2=300;111=138},{gold=300000;coin2=300;111=138},{gold=400000;coin2=400;111=184},{gold=400000;coin2=400;111=184},{gold=200000;coin1=200;111=92},{gold=300000;coin1=300;111=138},{gold=300000;coin1=300;111=138},{gold=400000;coin1=400;111=184},{gold=400000;coin1=400;111=184},{gold=200000;coin6=200;111=92},{gold=300000;coin6=300;111=138},{gold=300000;coin6=300;111=138},{gold=400000;coin6=400;111=184},{gold=400000;coin6=400;111=184}
20,{gold=240000;coin10=240;111=96},{gold=360000;coin10=360;111=144},{gold=360000;coin10=360;111=144},{gold=480000;coin10=480;111=192},{gold=480000;coin10=480;111=192},{gold=240000;coin2=240;111=96},{gold=360000;coin2=360;111=144},{gold=360000;coin2=360;111=144},{gold=480000;coin2=480;111=192},{gold=480000;coin2=480;111=192},{gold=240000;coin1=240;111=96},{gold=360000;coin1=360;111=144},{gold=360000;coin1=360;111=144},{gold=480000;coin1=480;111=192},{gold=480000;coin1=480;111=192},{gold=240000;coin6=240;111=96},{gold=360000;coin6=360;111=144},{gold=360000;coin6=360;111=144},{gold=480000;coin6=480;111=192},{gold=480000;coin6=480;111=192}
21,{gold=240000;coin10=240;111=96},{gold=360000;coin10=360;111=144},{gold=360000;coin10=360;111=144},{gold=480000;coin10=480;111=192},{gold=480000;coin10=480;111=192},{gold=240000;coin2=240;111=96},{gold=360000;coin2=360;111=144},{gold=360000;coin2=360;111=144},{gold=480000;coin2=480;111=192},{gold=480000;coin2=480;111=192},{gold=240000;coin1=240;111=96},{gold=360000;coin1=360;111=144},{gold=360000;coin1=360;111=144},{gold=480000;coin1=480;111=192},{gold=480000;coin1=480;111=192},{gold=240000;coin6=240;111=96},{gold=360000;coin6=360;111=144},{gold=360000;coin6=360;111=144},{gold=480000;coin6=480;111=192},{gold=480000;coin6=480;111=192}
22,{gold=240000;coin10=240;111=96},{gold=360000;coin10=360;111=144},{gold=360000;coin10=360;111=144},{gold=480000;coin10=480;111=192},{gold=480000;coin10=480;111=192},{gold=240000;coin2=240;111=96},{gold=360000;coin2=360;111=144},{gold=360000;coin2=360;111=144},{gold=480000;coin2=480;111=192},{gold=480000;coin2=480;111=192},{gold=240000;coin1=240;111=96},{gold=360000;coin1=360;111=144},{gold=360000;coin1=360;111=144},{gold=480000;coin1=480;111=192},{gold=480000;coin1=480;111=192},{gold=240000;coin6=240;111=96},{gold=360000;coin6=360;111=144},{gold=360000;coin6=360;111=144},{gold=480000;coin6=480;111=192},{gold=480000;coin6=480;111=192}
23,{gold=240000;coin10=240;111=96},{gold=360000;coin10=360;111=144},{gold=360000;coin10=360;111=144},{gold=480000;coin10=480;111=192},{gold=480000;coin10=480;111=192},{gold=240000;coin2=240;111=96},{gold=360000;coin2=360;111=144},{gold=360000;coin2=360;111=144},{gold=480000;coin2=480;111=192},{gold=480000;coin2=480;111=192},{gold=240000;coin1=240;111=96},{gold=360000;coin1=360;111=144},{gold=360000;coin1=360;111=144},{gold=480000;coin1=480;111=192},{gold=480000;coin1=480;111=192},{gold=240000;coin6=240;111=96},{gold=360000;coin6=360;111=144},{gold=360000;coin6=360;111=144},{gold=480000;coin6=480;111=192},{gold=480000;coin6=480;111=192}
24,{gold=240000;coin10=240;111=96},{gold=360000;coin10=360;111=144},{gold=360000;coin10=360;111=144},{gold=480000;coin10=480;111=192},{gold=480000;coin10=480;111=192},{gold=240000;coin2=240;111=96},{gold=360000;coin2=360;111=144},{gold=360000;coin2=360;111=144},{gold=480000;coin2=480;111=192},{gold=480000;coin2=480;111=192},{gold=240000;coin1=240;111=96},{gold=360000;coin1=360;111=144},{gold=360000;coin1=360;111=144},{gold=480000;coin1=480;111=192},{gold=480000;coin1=480;111=192},{gold=240000;coin6=240;111=96},{gold=360000;coin6=360;111=144},{gold=360000;coin6=360;111=144},{gold=480000;coin6=480;111=192},{gold=480000;coin6=480;111=192}
25,{gold=320000;coin10=280;111=100},{gold=480000;coin10=420;111=150},{gold=480000;coin10=420;111=150},{gold=640000;coin10=560;111=200},{gold=640000;coin10=560;111=200},{gold=320000;coin2=280;111=100},{gold=480000;coin2=420;111=150},{gold=480000;coin2=420;111=150},{gold=640000;coin2=560;111=200},{gold=640000;coin2=560;111=200},{gold=320000;coin1=280;111=100},{gold=480000;coin1=420;111=150},{gold=480000;coin1=420;111=150},{gold=640000;coin1=560;111=200},{gold=640000;coin1=560;111=200},{gold=320000;coin6=280;111=100},{gold=480000;coin6=420;111=150},{gold=480000;coin6=420;111=150},{gold=640000;coin6=560;111=200},{gold=640000;coin6=560;111=200}
26,{gold=320000;coin10=280;111=100},{gold=480000;coin10=420;111=150},{gold=480000;coin10=420;111=150},{gold=640000;coin10=560;111=200},{gold=640000;coin10=560;111=200},{gold=320000;coin2=280;111=100},{gold=480000;coin2=420;111=150},{gold=480000;coin2=420;111=150},{gold=640000;coin2=560;111=200},{gold=640000;coin2=560;111=200},{gold=320000;coin1=280;111=100},{gold=480000;coin1=420;111=150},{gold=480000;coin1=420;111=150},{gold=640000;coin1=560;111=200},{gold=640000;coin1=560;111=200},{gold=320000;coin6=280;111=100},{gold=480000;coin6=420;111=150},{gold=480000;coin6=420;111=150},{gold=640000;coin6=560;111=200},{gold=640000;coin6=560;111=200}
27,{gold=320000;coin10=280;111=100},{gold=480000;coin10=420;111=150},{gold=480000;coin10=420;111=150},{gold=640000;coin10=560;111=200},{gold=640000;coin10=560;111=200},{gold=320000;coin2=280;111=100},{gold=480000;coin2=420;111=150},{gold=480000;coin2=420;111=150},{gold=640000;coin2=560;111=200},{gold=640000;coin2=560;111=200},{gold=320000;coin1=280;111=100},{gold=480000;coin1=420;111=150},{gold=480000;coin1=420;111=150},{gold=640000;coin1=560;111=200},{gold=640000;coin1=560;111=200},{gold=320000;coin6=280;111=100},{gold=480000;coin6=420;111=150},{gold=480000;coin6=420;111=150},{gold=640000;coin6=560;111=200},{gold=640000;coin6=560;111=200}
28,{gold=320000;coin10=280;111=100},{gold=480000;coin10=420;111=150},{gold=480000;coin10=420;111=150},{gold=640000;coin10=560;111=200},{gold=640000;coin10=560;111=200},{gold=320000;coin2=280;111=100},{gold=480000;coin2=420;111=150},{gold=480000;coin2=420;111=150},{gold=640000;coin2=560;111=200},{gold=640000;coin2=560;111=200},{gold=320000;coin1=280;111=100},{gold=480000;coin1=420;111=150},{gold=480000;coin1=420;111=150},{gold=640000;coin1=560;111=200},{gold=640000;coin1=560;111=200},{gold=320000;coin6=280;111=100},{gold=480000;coin6=420;111=150},{gold=480000;coin6=420;111=150},{gold=640000;coin6=560;111=200},{gold=640000;coin6=560;111=200}
29,{gold=320000;coin10=280;111=100},{gold=480000;coin10=420;111=150},{gold=480000;coin10=420;111=150},{gold=640000;coin10=560;111=200},{gold=640000;coin10=560;111=200},{gold=320000;coin2=280;111=100},{gold=480000;coin2=420;111=150},{gold=480000;coin2=420;111=150},{gold=640000;coin2=560;111=200},{gold=640000;coin2=560;111=200},{gold=320000;coin1=280;111=100},{gold=480000;coin1=420;111=150},{gold=480000;coin1=420;111=150},{gold=640000;coin1=560;111=200},{gold=640000;coin1=560;111=200},{gold=320000;coin6=280;111=100},{gold=480000;coin6=420;111=150},{gold=480000;coin6=420;111=150},{gold=640000;coin6=560;111=200},{gold=640000;coin6=560;111=200}
30,{gold=400000;coin10=320;111=104},{gold=600000;coin10=480;111=156},{gold=600000;coin10=480;111=156},{gold=800000;coin10=640;111=208},{gold=800000;coin10=640;111=208},{gold=400000;coin2=320;111=104},{gold=600000;coin2=480;111=156},{gold=600000;coin2=480;111=156},{gold=800000;coin2=640;111=208},{gold=800000;coin2=640;111=208},{gold=400000;coin1=320;111=104},{gold=600000;coin1=480;111=156},{gold=600000;coin1=480;111=156},{gold=800000;coin1=640;111=208},{gold=800000;coin1=640;111=208},{gold=400000;coin6=320;111=104},{gold=600000;coin6=480;111=156},{gold=600000;coin6=480;111=156},{gold=800000;coin6=640;111=208},{gold=800000;coin6=640;111=208}
31,{gold=400000;coin10=320;111=104},{gold=600000;coin10=480;111=156},{gold=600000;coin10=480;111=156},{gold=800000;coin10=640;111=208},{gold=800000;coin10=640;111=208},{gold=400000;coin2=320;111=104},{gold=600000;coin2=480;111=156},{gold=600000;coin2=480;111=156},{gold=800000;coin2=640;111=208},{gold=800000;coin2=640;111=208},{gold=400000;coin1=320;111=104},{gold=600000;coin1=480;111=156},{gold=600000;coin1=480;111=156},{gold=800000;coin1=640;111=208},{gold=800000;coin1=640;111=208},{gold=400000;coin6=320;111=104},{gold=600000;coin6=480;111=156},{gold=600000;coin6=480;111=156},{gold=800000;coin6=640;111=208},{gold=800000;coin6=640;111=208}
32,{gold=400000;coin10=320;111=104},{gold=600000;coin10=480;111=156},{gold=600000;coin10=480;111=156},{gold=800000;coin10=640;111=208},{gold=800000;coin10=640;111=208},{gold=400000;coin2=320;111=104},{gold=600000;coin2=480;111=156},{gold=600000;coin2=480;111=156},{gold=800000;coin2=640;111=208},{gold=800000;coin2=640;111=208},{gold=400000;coin1=320;111=104},{gold=600000;coin1=480;111=156},{gold=600000;coin1=480;111=156},{gold=800000;coin1=640;111=208},{gold=800000;coin1=640;111=208},{gold=400000;coin6=320;111=104},{gold=600000;coin6=480;111=156},{gold=600000;coin6=480;111=156},{gold=800000;coin6=640;111=208},{gold=800000;coin6=640;111=208}
33,{gold=400000;coin10=320;111=104},{gold=600000;coin10=480;111=156},{gold=600000;coin10=480;111=156},{gold=800000;coin10=640;111=208},{gold=800000;coin10=640;111=208},{gold=400000;coin2=320;111=104},{gold=600000;coin2=480;111=156},{gold=600000;coin2=480;111=156},{gold=800000;coin2=640;111=208},{gold=800000;coin2=640;111=208},{gold=400000;coin1=320;111=104},{gold=600000;coin1=480;111=156},{gold=600000;coin1=480;111=156},{gold=800000;coin1=640;111=208},{gold=800000;coin1=640;111=208},{gold=400000;coin6=320;111=104},{gold=600000;coin6=480;111=156},{gold=600000;coin6=480;111=156},{gold=800000;coin6=640;111=208},{gold=800000;coin6=640;111=208}
34,{gold=400000;coin10=320;111=104},{gold=600000;coin10=480;111=156},{gold=600000;coin10=480;111=156},{gold=800000;coin10=640;111=208},{gold=800000;coin10=640;111=208},{gold=400000;coin2=320;111=104},{gold=600000;coin2=480;111=156},{gold=600000;coin2=480;111=156},{gold=800000;coin2=640;111=208},{gold=800000;coin2=640;111=208},{gold=400000;coin1=320;111=104},{gold=600000;coin1=480;111=156},{gold=600000;coin1=480;111=156},{gold=800000;coin1=640;111=208},{gold=800000;coin1=640;111=208},{gold=400000;coin6=320;111=104},{gold=600000;coin6=480;111=156},{gold=600000;coin6=480;111=156},{gold=800000;coin6=640;111=208},{gold=800000;coin6=640;111=208}
35,{gold=480000;coin10=360;111=108},{gold=720000;coin10=540;111=162},{gold=720000;coin10=540;111=162},{gold=960000;coin10=720;111=216},{gold=960000;coin10=720;111=216},{gold=480000;coin2=360;111=108},{gold=720000;coin2=540;111=162},{gold=720000;coin2=540;111=162},{gold=960000;coin2=720;111=216},{gold=960000;coin2=720;111=216},{gold=480000;coin1=360;111=108},{gold=720000;coin1=540;111=162},{gold=720000;coin1=540;111=162},{gold=960000;coin1=720;111=216},{gold=960000;coin1=720;111=216},{gold=480000;coin6=360;111=108},{gold=720000;coin6=540;111=162},{gold=720000;coin6=540;111=162},{gold=960000;coin6=720;111=216},{gold=960000;coin6=720;111=216}
36,{gold=480000;coin10=360;111=108},{gold=720000;coin10=540;111=162},{gold=720000;coin10=540;111=162},{gold=960000;coin10=720;111=216},{gold=960000;coin10=720;111=216},{gold=480000;coin2=360;111=108},{gold=720000;coin2=540;111=162},{gold=720000;coin2=540;111=162},{gold=960000;coin2=720;111=216},{gold=960000;coin2=720;111=216},{gold=480000;coin1=360;111=108},{gold=720000;coin1=540;111=162},{gold=720000;coin1=540;111=162},{gold=960000;coin1=720;111=216},{gold=960000;coin1=720;111=216},{gold=480000;coin6=360;111=108},{gold=720000;coin6=540;111=162},{gold=720000;coin6=540;111=162},{gold=960000;coin6=720;111=216},{gold=960000;coin6=720;111=216}
37,{gold=480000;coin10=360;111=108},{gold=720000;coin10=540;111=162},{gold=720000;coin10=540;111=162},{gold=960000;coin10=720;111=216},{gold=960000;coin10=720;111=216},{gold=480000;coin2=360;111=108},{gold=720000;coin2=540;111=162},{gold=720000;coin2=540;111=162},{gold=960000;coin2=720;111=216},{gold=960000;coin2=720;111=216},{gold=480000;coin1=360;111=108},{gold=720000;coin1=540;111=162},{gold=720000;coin1=540;111=162},{gold=960000;coin1=720;111=216},{gold=960000;coin1=720;111=216},{gold=480000;coin6=360;111=108},{gold=720000;coin6=540;111=162},{gold=720000;coin6=540;111=162},{gold=960000;coin6=720;111=216},{gold=960000;coin6=720;111=216}
38,{gold=480000;coin10=360;111=108},{gold=720000;coin10=540;111=162},{gold=720000;coin10=540;111=162},{gold=960000;coin10=720;111=216},{gold=960000;coin10=720;111=216},{gold=480000;coin2=360;111=108},{gold=720000;coin2=540;111=162},{gold=720000;coin2=540;111=162},{gold=960000;coin2=720;111=216},{gold=960000;coin2=720;111=216},{gold=480000;coin1=360;111=108},{gold=720000;coin1=540;111=162},{gold=720000;coin1=540;111=162},{gold=960000;coin1=720;111=216},{gold=960000;coin1=720;111=216},{gold=480000;coin6=360;111=108},{gold=720000;coin6=540;111=162},{gold=720000;coin6=540;111=162},{gold=960000;coin6=720;111=216},{gold=960000;coin6=720;111=216}
