"﻿变量名",name,_beizhu,type,activeType,desc,rarity,groupID,addAttrs,addType,skillIDs,cardIDs,unlockType,unlockTarget,unlockCount,weight,timesLimit,iconResPath
1009,Dual Defense Enhancement,,1,1,"In this mode, the double defense of one's own front row is increased by 10%",1,1,{9=10%;10=10%},1,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1010,Injury Enhancement,,1,1,"In this mode, the damage reduction of the front row of the team is increased by 10%",1,1,{23=1000},1,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1011,Riot Reinforcement,,1,1,"In this mode, the anti-knock rate of the front row of the team is increased by 10%",1,1,{16=1000},1,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1012,Enhanced kill resistance,,1,1,"In this mode, the front row kill resistance of one's own team is increased by 10%",1,1,{25=1000},1,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1013,Double Defense Enhancement (Strong),,1,1,"In this mode, the double defense of one's own front row is increased by 20%",1,2,{9=20%;10=20%},1,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1014,Injury Reduction Enhancement (Strong),,1,1,"In this mode, the damage reduction of the front row of the team is increased by 20%",1,2,{23=2000},1,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1015,Anti-violence enhancement (strong),,1,1,"In this mode, the anti-knock rate of the front row of the team is increased by 20%",1,2,{16=2000},1,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
1016,Kill resistance enhancement (strong),,1,1,"In this mode, the front row kill resistance of one's own team is increased by 20%",1,2,{25=2000},1,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
,,,,,,,,,,,,,,,,,
2001,Attack Enhancement,,1,1,"In this mode, the double attack of one's own back row is increased by 10%",1,2001,{7=10%;8=10%},2,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2002,Killing Enhancement,,1,1,"In this mode, the damage bonus of one's own back row is 10%",1,2001,{24=1000},2,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2003,Injury Enhancement,,1,1,"In this mode, the damage reduction of the front row of the team is increased by 10%",1,2001,{23=1000},1,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
2004,Double Defense Enhancement (Strong),,1,1,"In this mode, the double defense of one's own front row is increased by 20%",1,2001,{9=20%;10=20%},1,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
2005,Lifesteal Enhancement,,1,1,Increase the lifesteal rate of all allies by 5% in this mode,1,2001,{26=500},3,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2006,Rage Enhancement,,1,1,"In this mode, the recovery speed of all allies is increased by 5%",1,2001,{5=500},3,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
2007,Attack Enhancement,,1,1,"In this mode, the double attack of one's own back row is increased by 10%",1,2001,{7=10%;8=10%},2,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2008,Killing Enhancement,,1,1,"In this mode, the damage bonus of one's own back row is 10%",1,2001,{24=1000},2,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2009,Injury Enhancement,,1,1,"In this mode, the damage reduction of the front row of the team is increased by 10%",1,2001,{23=1000},1,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
2010,Double Defense Enhancement (Strong),,1,1,"In this mode, the double defense of one's own front row is increased by 20%",1,2001,{9=20%;10=20%},1,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
2011,Lifesteal Enhancement,,1,1,Increase the lifesteal rate of all allies by 5% in this mode,1,2001,{26=500},3,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
2012,Rage Enhancement,,1,1,"In this mode, the recovery speed of all allies is increased by 5%",1,2001,{5=500},3,,,,,,100,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
,,,,,,,,,,,,,,,,,
3001,control enhancement,,1,1,"In this mode, the control rate of all allies is increased by 5%",1,3,{90=500},3,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
3002,rebound strengthening,,1,1,Increase the rebound rate of all allies in this mode by 5%,1,3,{27=500},3,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
3003,Lifesteal Enhancement,,1,1,Increase the lifesteal rate of all allies by 5% in this mode,1,3,{26=500},3,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
3004,Healing Intensification,,1,1,"In this mode, the healing effect of all allies is increased by 5%",1,3,{28=500},3,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
3005,speed enhancement,,1,1,"In this mode, the speed of all allies is increased by 5%",1,3,{13=500},3,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
3006,Rage Enhancement,,1,1,"In this mode, the recovery speed of all allies is increased by 5%",1,3,{5=500},3,,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
3007,Control Enhancement (Strong),,1,1,Increase the control rate of all allies in this mode by 15%,2,4,{90=1500},3,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
3008,Rebound Enhancement (Strong),,1,1,"In this mode, the rebound rate of all allies is increased by 20%",2,4,{27=2000},3,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
3009,Bloodsucking Enhancement (Strong),,1,1,"In this mode, the blood sucking rate of all allies is increased by 20%",2,4,{26=2000},3,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
3010,Healing Enhancement (Strong),,1,1,"In this mode, the healing effect of all allies is increased by 40%",2,4,{28=4000},3,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
3011,Speed Enhancement (Strong),,1,1,"In this mode, the speed of all allies is increased by 25%",2,4,{13=25%},3,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
3012,Rage back enhancement (strong),,1,1,"In this mode, the recovery speed of all allies is increased by 30%",2,4,{5=3000},3,,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4001,common attack,,2,1,"Before each attack, there is a 30% chance to double the critical strike rate for 1 round",1,101,,,<4001001>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4002,common attack,,2,1,The team's first target to act increases the double attack by an additional 20%,1,101,,,<4001002>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4003,common attack,,2,1,"In each major round, the first allied spirit that releases the ultimate skill temporarily increases the ultimate damage by 20%",1,101,,,<4001003>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4004,common attack,,2,1,"At the end of each big round, deal real damage equal to 30% of the sum of double attacks to the enemy's random units.",1,101,,,<4001004>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4005,Attack General (Strong),,2,1,"The lower the proportion of own HP, the higher the damage, up to 20%",2,1001,,,<4001005>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4006,Attack General (Strong),,2,1,"The higher the proportion of own HP, the higher the damage, up to 20%",2,1001,,,<4001006>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4007,Attack General (Strong),,2,1,"When dealing critical damage, make the target 10% vulnerable for 2 turns (can be stacked 3 times)",2,1001,,,<4001007>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4008,Attack General (Strong),,2,1,Reduce the true damage resistance of all enemies by 10%,2,1001,,,<4001008>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
4101,defense general,,2,1,"After being injured, increase own 50% double defense for 1 round",1,101,,,<4001009>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4102,defense general,,2,1,"After being injured, increase self's damage reduction by 20% for 1 round",1,101,,,<4001010>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4103,defense general,,2,1,"The lower the blood volume, the higher the kill resistance, up to 40%",1,101,,,<4001011>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4104,defense general,,2,1,Increase the resistance rate of the front row by 20%,1,101,,,<4001012>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4105,Defense Universal (Strong),,2,1,Obtain 100% double attack improvement of own double defense,2,1001,,,<4001013>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4106,Defense Universal (Strong),,2,1,"At the end of the big round, make the own damage bonus or damage reduction equal, whichever is higher",2,1001,,,<4001014>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4107,Defense Universal (Strong),,2,1,Restores 500 points of rage after receiving critical damage,2,1001,,,<4001015>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4108,Defense Universal (Strong),,2,1,Recover 20% of your HP when the defense is triggered,2,1001,,,<4001016>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
4201,control universal,,2,1,"The lower the own blood volume, the higher the control rate, up to 30%",1,101,,,<4001017>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4202,control universal,,2,1,The control rate of skills released for the first time in battle is increased by 30%,1,101,,,<4001018>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4203,control universal,,2,1,"When entering the field, paralyze a random enemy unit in the back row for 2 rounds",1,101,,,<4001019>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4204,control universal,,2,1,"3 rounds before entering the field, reduce the enemy's control free rate by 20%",1,101,,,<4001020>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4205,Control Universal (Strong),,2,1,Deals an extra 20% damage to the target under control,2,1001,,,<4001021>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4206,Control Universal (Strong),,2,1,The active skill can absorb 200 points of anger from the target under control,2,1001,,,<4001022>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4207,Control Universal (Strong),,2,1,Ignores 20% damage reduction when attacking controlled targets,2,1001,,,<4001023>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4208,Control Universal (Strong),,2,1,"The higher the own blood volume, the higher the control rate, up to 30%",2,1001,,,<4001024>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
4301,Auxiliary General,,2,1,"From the 4th round of the battle, increase the blood sucking rate of the whole team by 20%",1,101,,,<4001025>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4302,Auxiliary General,,2,1,"In the first 3 rounds of the battle, the overall rebound rate is increased by 20%",1,101,,,<4001026>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4303,Auxiliary General,,2,1,"When attacking, there is a 50% chance of inflicting a burning effect for 3 rounds (can be stacked up to 5 times) (each layer deals 20% damage of double attack sum)",1,101,,,<4001027>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4304,Auxiliary General,,2,1,Deals an additional 20% damage to targets whose HP is below 50%,1,101,,,<4001028>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4305,Auxiliary general (strong),,2,1,Every 1% blood sucked by the elf increases the damage bonus by 5%,2,1001,,,<4001029>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4306,Auxiliary general (strong),,2,1,"If the own HP is higher than 70% after the attack, add a shield to oneself for 1 round, and the shield amount is 50% of the damage of this time",2,1001,,,<4001030>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4307,Auxiliary general (strong),,2,1,"When attacking an enemy with a continuous damage effect, each layer of effect will increase the damage it receives by 5%",2,1001,,,<4001031>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4308,Auxiliary general (strong),,2,1,Every 1% rebound of the elf itself increases the upper limit of HP by 5%,2,1001,,,<4001032>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
4401,restore common,,2,1,Restore 5% HP when injured,1,101,,,<4001033>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
4402,restore common,,2,1,Restore 5% HP after each action,1,101,,,<4001034>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
4403,restore common,,2,1,Even-numbered rounds increase the healing effect of all by 50%,1,101,,,<4001035>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
4404,restore common,,2,1,"At the end of each big round, restore 10% of the blood volume of the unit with the lowest blood volume",1,101,,,<4001036>,,,,,50,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
4405,Restore Universal (Strong),,2,1,"Permanently increase double attack by 15% when recovering blood, up to 5 times",2,1001,,,<4001037>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
4406,Restore Universal (Strong),,2,1,"Permanently increase the speed of regenerating rage by 15% when regenerating blood, up to 5 times",2,1001,,,<4001038>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
4407,Restore Universal (Strong),,2,1,"Permanently increase critical strike rate by 15% when recovering blood, up to 5 times",2,1001,,,<4001039>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
4408,Restore Universal (Strong),,2,1,"Permanent 15% speed when recovering blood, stack up to 5 times",2,1001,,,<4001040>,,,,,30,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
,,,,,,,,,,,,,,,,,
5001,permanent badge,,2,2,"#C0xF76B45##L10#【Permanent Badge】#L0##C0x5B545B# During the battle, a random elf of one's own party will get the effect of carrying props [Appearance Mirror]",2,5001,,,<4002001>,,2,,3,5,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5002,permanent badge,,2,2,"#C0xF76B45##L10#【Permanent Badge】#L0##C0x5B545B# During the battle, a random elf of one's own party will get the effect of carrying props [apple]",2,5001,,,<4002002>,,2,,6,5,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png
5003,permanent badge,,2,2,"#C0xF76B45##L10#【Permanent Badge】#L0##C0x5B545B# During the battle, a random elf of one's own side will get the effect of carrying props [Doctor Mask]",2,5001,,,<4002003>,,2,,9,5,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5004,permanent badge,,2,2,"#C0xF76B45##L10#【Permanent Badge】#L0##C0x5B545B# During the battle, a random elf of one’s own party will get the effect of carrying props [Powerful Bracelet]",2,5001,,,<4002004>,,2,,12,5,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5005,permanent badge,,2,2,"#C0xF76B45##L10#【Permanent Badge】#L0##C0x5B545B# During the battle, the small skill cooldown of a random elf on your side is 1 round",2,5001,,,<4002005>,,2,,2,5,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png
5006,permanent badge,,2,2,"#C0xF76B45##L10#【Permanent Badge】#L0##C0x5B545B# During the battle, a random elf is full of anger",2,5001,,,<4002006>,,2,,4,5,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png
5007,permanent badge,,2,2,"#C0xF76B45##L10#【Permanent Badge】#L0##C0x5B545B# During the battle, a random elf on your side can get the blessing effect of the Phoenix King",2,5001,,,<4002007>,,2,,6,5,1,activity/brave_challenge/xz_icon/icon_yztz_fy.png
5008,permanent badge,,2,2,"#C0xF76B45##L10#【Permanent Badge】#L0##C0x5B545B# During the battle, a random elf from one’s side gets control-free",2,5001,,,<4002008>,,2,,8,5,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
,,,,,,,,,,,,,,,,,
5051,strong recovery,,2,1,"In the first round, all recover 50% HP",2,5051,,,<4002051>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png
5052,strong recovery,,2,1,"At the end of each big round, all recover 10% HP",2,5051,,,<4002052>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png
5053,strong recovery,,2,1,"In the first round, all recover 30% HP and 300 points of anger",2,5051,,,<4002053>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png
5054,strong recovery,,2,1,All units on the side have a 30% chance to be revived immediately after death,2,5051,,,<4002054>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_jx.png
5061,strong recovery,,2,1,"In the first round, all recover 50% HP",2,5051,,,<4002061>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png
5062,strong recovery,,2,1,"At the end of each big round, all recover 10% HP",2,5051,,,<4002062>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png
5063,strong recovery,,2,1,"In the first round, all recover 30% HP and 300 points of anger",2,5051,,,<4002063>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png
5064,strong recovery,,2,1,All units on the side have a 30% chance to be revived immediately after death,2,5051,,,<4002064>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_gj.png
5071,strong recovery,,2,1,"In the first round, all recover 50% HP",2,5051,,,<4002071>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5072,strong recovery,,2,1,"At the end of each big round, all recover 10% HP",2,5051,,,<4002072>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5073,strong recovery,,2,1,"In the first round, all recover 30% HP and 300 points of anger",2,5051,,,<4002073>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5074,strong recovery,,2,1,All units on the side have a 30% chance to be revived immediately after death,2,5051,,,<4002074>,,,,,10,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
,,,,,,,,,,,,,,,,,
5101,Fusion Mystery I,,1,1,Activate the opening lock spirit: Latias,2,5101,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5102,Merge Mystery II,,1,1,Activate the opening lock spirit: Latios,2,5101,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5103,wrath of the earth,,1,1,Activate the opening lock wizard: Groudon,2,5101,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
,,,,,,,,,,,,,,,,,
5111,super lucky,,1,1,Activate the opening lock spirit: Kiraqi,2,5111,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5112,Gratitude,,1,1,Activate the opening lock wizard: Xie Mi,2,5111,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5113,twist space,,1,1,Activate the opening lock sprite: Retribution Hoopa,2,5111,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
,,,,,,,,,,,,,,,,,
5121,time cycle,,1,1,Activate the opening lock spirit: Dialga,2,5121,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5122,hidden space,,1,1,Activate the opening lock spirit: Palkia,2,5121,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5123,overclocking mode,,1,1,Activate the opening lock spirit: Reshiram,2,5121,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
,,,,,,,,,,,,,,,,,
5131,miracle eye,,1,1,Activate the opening lock wizard: Mewtwo,2,5131,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5132,ancient blood,,1,1,Activate the opening lock wizard: Groudon,2,5131,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
5133,frozen world,,1,1,Activate the opening lock wizard: Kyurem,2,5131,{25=0},,,,2,,2,50,1,activity/brave_challenge/xz_icon/icon_yztz_fz.png
,,,,,,,,,,,,,,,,,
10001,mental obsession,,2,1,"When Hu Di is on the field, there is a certain probability of triggering: Entering the field will inevitably petrify a random target on the opposite side for 2 rounds",1,10001,,,<4011001>,,1,10263,1,10,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
10002,praying mantis behind,,2,1,There is a certain probability of triggering when the giant pincer mantis is on the field: the unit that has not been killed by the small skill can also get an extra action,1,10001,,,<4011002>,,1,10572,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10003,high voltage electricity,,2,1,There is a certain probability of triggering when the electric shock monster is present: the teammates in the front row (except the self) are hit or attacked to store electricity for the electric shock monster,1,10001,,,<4011003>,,1,10593,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10004,steel armor,,2,1,"When Boss Kedora is on the field, there is a certain probability of triggering: before the start of each big round, a steel shield will be added to another random unit",1,10001,,,<4011004>,,1,11503,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10005,Frost Seal,,2,1,"When geometric snowflakes are on the field, there is a certain probability of triggering: entering the field will freeze a random target on the opposite side for 2 rounds",1,10001,,,<4011005>,,1,13021,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10006,flower dancer,,2,1,"When Mrs. Huajie is on the field, it has a certain probability to be triggered: when Mrs. Huajie is on the field, when the friendly action takes action, the HP from Mrs. Huajie's special attack will be restored by 35%",1,10001,,,<4011006>,,1,13353,1,10,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
10007,Sword and Shield,,2,1,"Strong Shield Sword Monster: When the shield is on the field, there is a certain probability of triggering: in shield form: all allies get 20% damage reduction; in sword form, all allies increase damage bonus by 20%",1,10001,,,<4011007>,,1,13413,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10008,heart of justice,,2,1,There is a certain probability of triggering when Lucario is on the field: 40% chance of triggering small skills when allies use small skills; 20% chance of triggering special skills when allies use super skills,1,10001,,,<4011008>,,1,12242,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10009,dragon pressure,,2,1,"There is a certain probability of triggering when Tyrannosaurus is on the field: when attacking, the tearing effect becomes 3 layers",1,10001,,,<4011009>,,1,11893,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10010,immovable as a mountain,,2,1,"When the Metagross is on the field, there is a certain probability of triggering: when attacking, 50% will randomly taunt a unit, lasting for 1 round",1,10001,,,<4011010>,,1,11903,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10011,Insect Resonance,,2,1,"When Vulcan Moth is on the field, there is a certain probability of triggering: the front row of allies permanently owns [Sun Feather Clothes]",1,10001,,,<4011011>,,1,13152,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10012,Stinger Bunker,,2,1,"There is a certain probability of triggering when Superbad is on the field: 50% of random taunts a unit when attacking, lasts for 1 round",1,10001,,,<4011012>,,1,13772,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10013,blade,,2,1,"When the Lizard King is on the field, it has a certain probability to trigger: after taking action, there is a 35% chance to enter the invisible state, if already in the invisible state, add cold blood for 1 round",1,10001,,,<4011013>,,1,11293,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10014,sing a different tune,,2,1,"When the Monarch Snake is on the field, it has a certain probability to trigger: Entering the field will inevitably entangle a random target on the opposite side for 2 rounds",1,10001,,,<4011014>,,1,12473,1,10,,activity/brave_challenge/xz_icon/icon_yztz_kz.png
10015,Snipe,,2,1,"Sniper Tree Owl has a certain probability to be triggered when the tree owl is on the field: after killing the target, he must be full of anger",1,10001,,,<4011015>,,1,13663,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10016,raging fire,,2,1,"When the flame chicken is on the field, it has a certain probability to trigger: 3 rounds before entering the field, it will get an additional 35% critical strike rate",1,10001,,,<4011016>,,1,11303,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10017,Turbidity current,,2,1,"There is a certain probability of triggering when the giant marsh monster is on the field: when attacking, it has a blinding effect",1,10001,,,<4011017>,,1,11313,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10018,water shadow technique,,2,1,"When Koga Ninja is on the field, there is a certain probability of triggering: the cooldown of small skills is reduced by -1, and the attack target must be stunned",1,10001,,,<4011018>,,1,13303,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10019,landslide,,2,1,"When Bangiras is on the field, there is a certain probability of triggering: After using the special move, after the end of the last two big rounds, the HP of 15% of the maximum HP and 200 points of anger will be recovered.",1,10001,,,<4011019>,,1,11253,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fy.png
10020,Electromagnetic force,,2,1,There is a certain probability of triggering when the self-explosive magneton is present: each special attack will gain an additional 1 to 2 layers of self-explosive damage,1,10001,,,<4011020>,,1,10333,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
10021,dragon slaying,,2,1,"There is a certain probability of triggering when Mary Luli is on the field: when there is a dragon spirit in the enemy, she will take an extra action every big round",1,10001,,,<4011021>,,1,10893,1,10,,activity/brave_challenge/xz_icon/icon_yztz_gj.png
10022,run away,,2,1,"When the green caterpillar is on the field, there is a certain probability to trigger: when entering the field, all enemies are bound for 1 round, and there is a 50% chance to bind a random unit every time they act",1,10001,,,<4011022>,,1,10031,1,10,,activity/brave_challenge/xz_icon/icon_yztz_fz.png
10023,sprout,,2,1,"When the Frog Flower is on the field, it has a certain probability to be triggered: every time the self takes action, add [Parasite Seed] to 2 random units of allies, lasting for 3 rounds",1,10001,,,<4011023>,,1,10003,1,10,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
10024,healing fragrance,,2,1,"When Geranium is on the field, there is a certain probability of triggering: Before the start of each big round, the resistance rate and resistance rate increase by 50%",1,10001,,,<4011024>,,1,10783,1,10,,activity/brave_challenge/xz_icon/icon_yztz_jx.png
