"﻿变量名",_beizhu,cardID,desc,groupID,starUnlock,addAttributes,unlockdesc1,unlockdesc2,unlockType,unlockTarget,lock,rarity,level,star,advance,skillLevels,abilities,nvalue,fetters,equipAdvance,equipStar,equipLevel,equipAwake,zawake,hp,damage,specialDamage,defence,specialDefence,speed,strikeLevel,strikeDamage,strikeResistance,blockLevel,breakBlockLevel,blockPower,damageAdd,damageSub,mainSkillAdd,mainSkillSub,controlPer,immuneControl,suckBlood,rebound,languages
11903,Anniversary_Initial _ _ _,1903,Metagros,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13152,Anniversary_Initial _ _ _,3152,Vulcan Moth,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13772,Anniversary_Initial _ _ _,3772,super bad star,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11293,Anniversary_Initial_Yusanjia _ _ _ _ _,1293,lizard king,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12473,Anniversary_Initial_Yusanjia _ _ _ _ _,2473,monarch snake,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13663,Anniversary_Initial_Yusanjia _ _ _ _ _,3663,sniper tree owl,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11303,Anniversary_Initial_Yusanjia _ _ _ _ _,1303,flame chicken,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11313,Anniversary_Initial_Yusanjia _ _ _ _ _,1313,marsh monster,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13303,Anniversary_Initial_Yusanjia _ _ _ _ _,3303,Koga Ninja Frog,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11253,Anniversary_Initial _ _ _,1253,Bangeras,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10333,Anniversary_Initial _ _ _,333,Magneto,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10893,Anniversary_Initial _ _ _,893,Mary Luli,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10031,Anniversary_Initial _ _ _,31,green caterpillar,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,Anniversary_Initial_Yusanjia _ _ _ _ _,3,Frog Flower,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10783,Anniversary_Initial_Yusanjia _ _ _ _ _,783,Geranium,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12013,Anniversary_Initial_Yusanjia _ _ _ _ _,2013,Terra Turtle,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13283,Anniversary_Initial_Yusanjia _ _ _ _ _,3283,Bricaron,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013,Anniversary_Initial_Yusanjia _ _ _ _ _,13,Charizard,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10793,Anniversary_Initial_Yusanjia _ _ _ _ _,793,Pyrobeast _,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12483,Anniversary_Initial_Yusanjia _ _ _ _ _,2483,King Yanwu,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13293,Anniversary_Initial_Yusanjia _ _ _ _ _,3293,demon fire red fox,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10023,Anniversary_Initial_Yusanjia _ _ _ _ _,23,Blastoise _,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10803,Anniversary_Initial_Yusanjia _ _ _ _ _,803,big crocodile,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12033,Anniversary_Initial_Yusanjia _ _ _ _ _,2033,Emperor Napoleon,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13502,Anniversary_Initial _ _ _,3502,ice dragon,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11443,Anniversary_Initial _ _ _,1443,Boom,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10552,Anniversary_Initial _ _ _,552,jewel starfish,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11941,Anniversary_Unlocked_Unlocked after obtaining the badge [ Fusion Mystery I ],1941,Ladias _,2,,,获得徽章【合体之谜I】后解锁,恭喜解锁拉帝亚斯，你已经超过70%的玩家,3,5101,1,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,500,500,,,,,
11951,Anniversary_Unlocked_Unlocked after obtaining the badge [ Mystery of Fusion II ],1951,Latios,2,,,获得徽章【合体之谜II】后解锁,恭喜解锁拉帝欧斯，你已经超过70%的玩家,3,5102,1,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,500,500,,,,,
10761,"Anniversary_Unlocked_Challenge is unlocked after completing the copy of [Super Dream, I’m Here ]",761,Mew-two,2,,,挑战完成【超梦，我就在这里】副本后极大概率解锁,恭喜解锁超梦，你已经超过20%的玩家,4,17,1,4,,,,,,,,,,,,,120%,120%,120%,120%,120%,120%,,,,,,,1000,1000,500,500,,,,,
11271,Anniversary_Unlocked_Unlocked after accumulatively admitting defeat 6 times in the gameplay cycle,1271,Phoenix King,2,,,玩法周期内累计认输6次后解锁,恭喜解锁凤王，你已经超过30%的玩家,2,6,1,4,,,,,,,,,,,,,120%,120%,120%,120%,120%,120%,,,,,,,1000,1000,500,500,,,,,
11971,Anniversary_Unlocked_Unlocked after obtaining the badge [Fury of the Earth ],1971,Gulardo,2,,,获得徽章【大地之怒】后解锁,恭喜解锁固拉多，你已经超过90%的玩家,3,5103,1,4,,,,,,,,,,,,,200%,200%,200%,200%,200%,200%,,,,,,,2000,2000,500,500,,,,,
12351,Anniversary_Unlocked_Unlocked after accumulatively recruiting Dialga 1 time in the gameplay cycle,2351,Dialga _,2,,,玩法周期内累计招募1次帝牙卢卡后解锁,恭喜解锁帝牙卢卡，你已经超过60%的玩家,1,22351,1,4,,,,,,,,,,,,,140%,140%,140%,140%,140%,140%,,,,,,,1000,1000,500,500,,,,,
12361,Anniversary_Unlocked_Unlocked after accumulatively recruiting 1 Palkia card in the gameplay cycle,2361,Palkia,2,,,玩法周期内累计招募1次帕路奇亚卡后解锁,恭喜解锁帕路奇亚，你已经超过60%的玩家,1,22361,1,4,,,,,,,,,,,,,140%,140%,140%,140%,140%,140%,,,,,,,1000,1000,500,500,,,,,
12441,Anniversary_Do not display_ Unlocked after accumulatively conceding defeat 12 times in the gameplay cycle,2441,shemi _,2,,,玩法周期内累计认输12次后解锁,恭喜解锁谢米，你已经超过50%的玩家,2,12,1,4,,,,,,,,,,,,,160%,160%,160%,160%,160%,160%,,,,,,,1500,1500,500,500,,,,,
11981,Anniversary_Hidden_Challenge Unlocked after completing the copy of [Road to the Strongest ],1981,Rift seat,2,,,挑战完成【迈向最强之路】副本后极大概率解锁,恭喜解锁裂空座，你已经超过30%的玩家,4,19,1,4,,,,,,,,,,,,,120%,120%,120%,120%,120%,120%,,,,,,,1000,1000,500,500,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20004,Anniversary recruitment 1_4-8 floors,4,Super Frog Flower,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20014,Anniversary recruitment 1_4-8 floors,14,Super Charizard X,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20015,Anniversary recruitment 1_4-8 floors,15,Super Charizard Y,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20024,Anniversary recruitment 1_4-8 floors,24,Super Blastoise,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20053,Anniversary recruitment 1_1-3 floors,53,Big bird,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20093,Anniversary recruitment 1_1-3 floors,93,Raichu,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20133,Anniversary recruitment 1_1-3 floors,133,Pixie,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20153,Anniversary recruitment 1_1-3 floors,153,Fat Keding,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20163,Anniversary recruitment 1_4-8 floors,163,Forked bat,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20264,Anniversary Recruitment_Floor 4-8 _,264,Super Hudi,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20273,Anniversary Recruitment_Floor 1-3 _,273,Strange power,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20283,Anniversary Recruitment_Floor 1-3 _,283,big food flower,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20303,Anniversary Recruitment_Floor 1-3 _,303,Rumble Rock,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20393,Anniversary Recruitment_Floor 4-8 _,393,Gengar,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20394,Anniversary Recruitment_Floor 4-8 _,394,Super Gengar,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20493,Anniversary Recruitment_Floor 4-8 _,493,Super Armored Rhinoceros,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20603,Anniversary Recruitment_Floor 4-8 _,603,Platypus,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20753,Anniversary Recruitment_Floor 4-8 _,753,fast dragon,3,,,,,,,,3,,,,<80;80;80;80;80;80;80>,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20863,Anniversary Recruitment_Floor 4-8 _,863,Pokkiss,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20883,Anniversary Recruitment_Floor 4-8 _,883,Dianlong,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20884,Anniversary Recruitment_Floor 4-8 _,884,super electric dragon,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21393,Anniversary Recruitment_Floor 4-8 _,1393,Xanadu _,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21394,Anniversary Recruitment_Floor 4-8 _,1394,Already _,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21423,Anniversary Recruitment_Floor 4-8 _,1423,leave king,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21813,Anniversary Recruitment_Floor 4-8 _,1813,night genie,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21863,Anniversary Recruitment_Floor 1-3 _,1863,Diya sea lion,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22073,Anniversary Recruitment_Floor 1-3 _,2073,roentgen cat,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22233,Anniversary Recruitment_Floor 4-8 _,2233,biting land shark,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22303,Anniversary Recruitment_Floor 1-3 _,2303,super blizzard king,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22593,Anniversary Recruitment_Floor 1-3 _,2593,Pangyan monster,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22633,Anniversary Recruitment_Floor 1-3 _,2633,construction veteran,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22683,Anniversary Recruitment_Floor 1-3 _,2683,centipede king,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22723,Anniversary Recruitment_Floor 4-8 _,2723,rogue crocodile,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22843,Anniversary Recruitment_Floor 1-3 _,2843,Miss Goth,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22873,Anniversary Recruitment_Floor 1-3 _,2873,double as much ice,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22963,Anniversary Recruitment_Floor 1-3 _,2963,Gear Monster,3,,,,,,,,2,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22993,Anniversary Recruitment_Floor 4-8 _,2993,Crystal Lantern,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
23003,Anniversary Recruitment_Floor 4-8 _,3003,Double Ax War Dragon,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
23143,Anniversary Recruitment_Floor 4-8 _,3143,three dragons,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
23543,Anniversary Recruitment_Floor 4-8 _,3543,sticky dragon,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
23843,Anniversary Recruitment_Floor 4-8 _,3843,sweet after,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
23592,Anniversary Recruitment_Floor 4-8 _,3592,Sonic Dragon,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
24132,Anniversary Recruitment_Floor 4-8 _,4132,Tetragnathus _,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20721,Anniversary Recruitment_Floor 4-8 _,721,frozen bird,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20731,Anniversary Recruitment_Floor 4-8 _,731,lightning bird,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20741,Anniversary Recruitment_Floor 4-8 _,741,flame bird,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
20771,Anniversary Recruitment_Floor 4-8 _,771,dream,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21071,Anniversary Recruitment_Floor 4-8 _,1071,Hercules,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21221,Anniversary Recruitment_Floor 4-8 _,1221,Thunder God,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21231,Anniversary Recruitment_Floor 4-8 _,1231,Yandi,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21241,Anniversary Recruitment_Floor 4-8 _,1241,Suicune,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21911,Anniversary Recruitment_Floor 4-8 _,1911,reggie lock,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21921,Anniversary Recruitment_Floor 4-8 _,1921,Regis,3,,,,,,,,3,,10,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21931,Anniversary Recruitment_Floor 4-8 _,1931,Regis Chilloo,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
22401,Anniversary Recruitment_Floor 4-8 _,2401,Cresselia,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
23251,Anniversary Recruitment_Floor 4-8 _,3251,Keldeo,3,,,,,,,,3,,,,,,,,,,,,,130%,130%,130%,130%,130%,130%,,,,,,,1500,1500,,,,,,,
21261,Anniversary Recruitment_9-10F _ _,1261,Rogia,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
21961,Anniversary Recruitment_9-10F _ _,1961,Gayoka,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
22381,Anniversary Recruitment_9-10F _ _,2381,Regichkas,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
22391,Anniversary Recruitment_9-10F _ _,2391,Giratina,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
22431,Anniversary Recruitment_9-10F _ _,2431,Darkley,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
22442,Anniversary Recruitment_9-10F _ _,2442,shami sky _,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
23211,Anniversary Recruitment_9-10F _ _,3211,Rashiram,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
23221,Anniversary Recruitment_9-10F _ _,3221,czech rom,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
23241,Anniversary Recruitment_9-10F _ _,3241,Kyurem,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
23631,Anniversary Recruitment_9-10F _ _,3631,Tianxi,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
23641,Anniversary Recruitment_9-10F _ _,3641,Punish Hoopa,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
22351,Anniversary Recruitment_9-10F _ _,2351,Dialga _,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
22361,Anniversary Recruitment_9-10F _ _,2361,Palkia,3,,,,,,,,4,,,,,,,,,,,,,150%,150%,150%,150%,150%,150%,,,,,,,1500,1500,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30003,Brave Chapter_Initial _,3,Frog Flower,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30783,Brave Chapter_Initial _,783,Geranium,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32013,Brave Chapter_Initial _,2013,Terra Turtle,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33283,Brave Chapter_Initial _,3283,Bricaron,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30013,Brave Chapter_Initial _,13,Charizard,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30793,Brave Chapter_Initial _,793,Pyrobeast _,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32483,Brave Chapter_Initial _,2483,King Yanwu,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33293,Brave Chapter_Initial _,3293,demon fire red fox,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30023,Brave Chapter_Initial _,23,Blastoise _,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30803,Brave Chapter_Initial _,803,big crocodile,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32033,Brave Chapter_Initial _,2033,Emperor Napoleon,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31293,Brave Chapter_Initial _,1293,lizard king,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32473,Brave Chapter_Initial _,2473,monarch snake,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33663,Brave Chapter_Initial _,3663,sniper tree owl,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31303,Brave Chapter_Initial _,1303,flame chicken,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31313,Brave Chapter_Initial _,1313,marsh monster,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33303,Brave Chapter_Initial _,3303,Koga Ninja Frog,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30263,Brave Chapter_Initial _,263,Hu Di,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30572,Brave Chapter_Initial _,572,Giant Pincer Mantis,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30593,Brave Chapter_Initial _,593,Electric Shock Monster,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31503,Brave Chapter_Initial _,1503,Boss Cordora,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33021,Brave Chapter_Initial _,3021,geometric snowflake,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33353,Brave Chapter_Initial _,3353,Mrs. Huajie,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33413,Brave Chapter_Initial _,3413,Shield Sword Monster Shield,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32242,Brave Chapter_Initial _,2242,lucario,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31893,Brave Chapter_Initial _,1893,Tyrannosaurus _,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31903,Brave Chapter_Initial _,1903,Metagros,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33152,Brave Chapter_Initial _,3152,Vulcan Moth,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33772,Brave Chapter_Initial _,3772,super bad star,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31253,Brave Chapter_Initial _,1253,Bangeras,4,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
