变量名,rankMax,point,minuteCoin13,byRobLimit,version
97,97,1615,169.5,40000,
98,98,1605,169.5,40000,
99,99,1600,168.5,40000,
100,100,1595,168.5,40000,
101,101,1590,168.5,40000,
102,102,1590,168.5,40000,
103,103,1585,168.5,40000,
104,104,1580,168,40000,
105,105,1580,168,40000,
106,106,1575,168,40000,
107,107,1570,168,40000,
108,108,1570,168,40000,
109,109,1565,167,40000,
110,110,1560,167,40000,
111,111,1560,167,40000,
112,112,1555,167,40000,
113,113,1555,167,40000,
114,114,1550,166.5,40000,
115,115,1545,166.5,40000,
116,116,1545,166.5,40000,
117,117,1540,166.5,40000,
118,118,1535,166.5,40000,
119,119,1535,165.5,40000,
120,120,1530,165.5,40000,
121,121,1525,165.5,40000,
122,122,1525,165.5,40000,
123,123,1520,165.5,40000,
124,124,1520,165,40000,
125,125,1515,165,40000,
126,126,1510,165,40000,
127,127,1510,165,40000,
128,128,1505,165,40000,
129,129,1500,164,40000,
130,130,1500,164,40000,
131,131,1495,164,40000,
132,132,1490,164,40000,
133,133,1490,164,40000,
134,134,1485,163.5,40000,
135,135,1480,163.5,40000,
136,136,1480,163.5,40000,
137,137,1475,163.5,40000,
138,138,1475,163.5,40000,
139,139,1470,163,40000,
140,140,1465,163,40000,
141,141,1465,163,40000,
142,142,1460,163,40000,
143,143,1455,163,40000,
144,144,1455,162,40000,
145,145,1450,162,40000,
146,146,1445,162,40000,
147,147,1445,162,40000,
148,148,1440,162,40000,
149,149,1440,162,40000,
150,150,1435,161.5,40000,
151,151,1430,161.5,40000,
152,152,1430,161.5,40000,
153,153,1425,161.5,40000,
154,154,1420,161.5,40000,
155,155,1420,161.5,40000,
156,156,1415,160.5,40000,
157,157,1410,160.5,40000,
158,158,1410,160.5,40000,
159,159,1405,160.5,40000,
160,160,1400,160.5,40000,
161,161,1400,160.5,40000,
162,162,1395,160,40000,
163,163,1395,160,40000,
164,164,1390,160,40000,
165,165,1385,160,40000,
166,166,1385,160,40000,
167,167,1380,160,40000,
168,168,1375,159,40000,
169,169,1375,159,40000,
170,170,1370,159,40000,
171,171,1365,159,40000,
172,172,1365,159,40000,
173,173,1360,159,40000,
174,174,1360,158.5,40000,
175,175,1355,158.5,40000,
176,176,1350,158.5,40000,
177,177,1350,158.5,40000,
178,178,1345,158.5,40000,
179,179,1340,158.5,40000,
180,180,1340,158.5,40000,
181,181,1335,157.5,40000,
182,182,1330,157.5,40000,
183,183,1330,157.5,40000,
184,184,1325,157.5,40000,
185,185,1320,157.5,40000,
186,186,1320,157.5,40000,
187,187,1315,157.5,40000,
188,188,1315,157,40000,
189,189,1310,157,40000,
190,190,1305,157,40000,
191,191,1305,157,40000,
192,192,1300,157,40000,
193,193,1295,157,40000,
194,194,1295,157,40000,
195,195,1290,156.5,40000,
196,196,1285,156.5,40000,
197,197,1285,156.5,40000,
198,198,1280,156.5,40000,
199,199,1280,156.5,40000,
200,200,1275,156.5,40000,
201,201,1270,156.5,40000,
202,202,1270,155.5,40000,
203,203,1265,155.5,40000,
204,204,1260,155.5,40000,
205,205,1260,155.5,40000,
206,206,1255,155.5,40000,
207,207,1250,155.5,40000,
208,208,1250,155.5,40000,
209,209,1245,155,40000,
210,210,1240,155,40000,
211,211,1240,155,40000,
212,212,1235,155,40000,
213,213,1235,155,40000,
214,214,1230,155,40000,
215,215,1225,155,40000,
216,216,1225,154,40000,
217,217,1220,154,40000,
218,218,1215,154,40000,
219,219,1215,154,40000,
220,220,1210,154,40000,
221,221,1205,154,40000,
222,222,1205,154,40000,
223,223,1200,153.5,40000,
224,224,1200,153.5,40000,
225,225,1195,153.5,40000,
226,226,1190,153.5,40000,
227,227,1190,153.5,40000,
228,228,1185,153.5,40000,
229,229,1180,153.5,40000,
230,230,1180,152.5,40000,
231,231,1175,152.5,40000,
232,232,1170,152.5,40000,
233,233,1170,152.5,40000,
234,234,1165,152.5,40000,
235,235,1160,152.5,40000,
236,236,1160,152.5,40000,
237,237,1155,152,40000,
238,238,1155,152,40000,
239,239,1150,152,40000,
240,240,1145,152,40000,
241,241,1145,152,40000,
242,242,1140,152,40000,
243,243,1135,152,40000,
244,244,1135,151,40000,
245,245,1130,151,40000,
246,246,1125,151,40000,
247,247,1125,151,40000,
248,248,1120,151,40000,
249,249,1120,151,40000,
250,250,1115,151,40000,
251,251,1110,150.5,40000,
252,252,1110,150.5,40000,
253,253,1105,150.5,40000,
254,254,1100,150.5,40000,
255,255,1100,150.5,40000,
256,256,1095,150.5,40000,
257,257,1090,150.5,40000,
258,258,1090,150,40000,
259,259,1085,150,40000,
260,260,1080,150,40000,
261,261,1080,150,40000,
262,262,1075,150,40000,
263,263,1075,150,40000,
264,264,1070,150,40000,
265,265,1065,149,40000,
266,266,1065,149,40000,
267,267,1060,149,40000,
268,268,1055,149,40000,
269,269,1055,149,40000,
270,270,1050,149,40000,
271,271,1045,149,40000,
272,272,1045,148.5,40000,
273,273,1040,148.5,40000,
274,274,1040,148.5,40000,
275,275,1035,148.5,40000,
276,276,1030,148.5,40000,
277,277,1030,148.5,40000,
278,278,1025,148.5,40000,
279,279,1020,147.5,40000,
280,280,1020,147.5,40000,
281,281,1015,147.5,40000,
282,282,1010,147.5,40000,
283,283,1010,147.5,40000,
284,284,1005,147.5,40000,
285,285,1000,147.5,40000,
286,286,1000,147,40000,
287,287,995,147,40000,
288,288,995,147,40000,
289,289,990,147,40000,
290,290,985,147,40000,
291,291,985,147,40000,
292,292,980,147,40000,
293,293,975,146,40000,
294,294,975,146,40000,
295,295,970,146,40000,
296,296,965,146,40000,
297,297,965,146,40000,
298,298,960,146,40000,
299,299,960,146,40000,
300,300,960,145.5,40000,
301,301,955,145.5,40000,
302,302,955,145.5,40000,
303,303,950,145.5,40000,
304,304,950,145.5,40000,
305,305,950,145.5,40000,
306,306,950,145.5,40000,
307,307,945,144.5,40000,
308,308,945,144.5,40000,
309,309,940,144.5,40000,
310,310,940,144.5,40000,
311,311,940,144.5,40000,
312,312,940,144.5,40000,
313,313,935,144.5,40000,
314,314,935,144,40000,
315,315,930,144,40000,
316,316,930,144,40000,
317,317,930,144,40000,
318,318,930,144,40000,
319,319,925,144,40000,
320,320,925,144,40000,
321,321,920,143.5,40000,
322,322,920,143.5,40000,
323,323,920,143.5,40000,
324,324,920,143.5,40000,
325,325,915,143.5,40000,
326,326,915,143.5,40000,
327,327,915,143.5,40000,
328,328,915,142.5,40000,
329,329,910,142.5,40000,
330,330,910,142.5,40000,
331,331,905,142.5,40000,
332,332,905,142.5,40000,
333,333,905,142.5,40000,
334,334,905,142.5,40000,
335,335,900,142,40000,
336,336,900,142,40000,
337,337,895,142,40000,
338,338,895,142,40000,
339,339,895,142,40000,
340,340,895,142,40000,
341,341,895,142,40000,
342,342,890,141,40000,
343,343,890,141,40000,
344,344,890,141,40000,
345,345,885,141,40000,
346,346,885,141,40000,
347,347,885,141,40000,
348,348,885,141,40000,
349,349,885,140.5,40000,
350,350,885,140.5,40000,
351,351,880,140.5,40000,
352,352,880,140.5,40000,
353,353,880,140.5,40000,
354,354,880,140.5,40000,
355,355,880,140.5,40000,
356,356,880,140.5,40000,
357,357,875,140.5,40000,
358,358,875,140.5,40000,
359,359,875,139.5,40000,
360,360,870,139.5,40000,
361,361,870,139.5,40000,
362,362,870,139.5,40000,
363,363,870,139.5,40000,
364,364,870,139.5,40000,
365,365,870,139.5,40000,
366,366,865,139.5,40000,
367,367,865,139.5,40000,
368,368,865,139.5,40000,
369,369,860,139,40000,
370,370,860,139,40000,
371,371,860,139,40000,
372,372,860,139,40000,
373,373,860,139,40000,
374,374,860,139,40000,
375,375,855,139,40000,
376,376,855,139,40000,
377,377,855,139,40000,
378,378,850,139,40000,
379,379,850,138,40000,
380,380,850,138,40000,
381,381,850,138,40000,
382,382,850,138,40000,
383,383,850,138,40000,
384,384,845,138,40000,
385,385,845,138,40000,
386,386,845,138,40000,
387,387,840,138,40000,
388,388,840,138,40000,
389,389,840,137.5,40000,
390,390,840,137.5,40000,
391,391,840,137.5,40000,
392,392,840,137.5,40000,
393,393,835,137.5,40000,
394,394,835,137.5,40000,
395,395,835,137.5,40000,
396,396,835,137.5,40000,
397,397,835,137.5,40000,
398,398,835,137.5,40000,
399,399,830,137,40000,
400,400,830,137,40000,
401,401,830,137,40000,
402,402,825,137,40000,
403,403,825,137,40000,
404,404,825,137,40000,
405,405,825,137,40000,
406,406,825,137,40000,
407,407,825,137,40000,
408,408,820,137,40000,
409,409,820,137,40000,
410,410,820,137,40000,
411,411,815,136,40000,
412,412,815,136,40000,
413,413,815,136,40000,
414,414,815,136,40000,
415,415,815,136,40000,
416,416,815,136,40000,
417,417,810,136,40000,
418,418,810,136,40000,
419,419,810,136,40000,
420,420,805,136,40000,
421,421,805,136,40000,
422,422,805,136,40000,
423,423,805,135.5,40000,
424,424,805,135.5,40000,
425,425,805,135.5,40000,
426,426,800,135.5,40000,
427,427,800,135.5,40000,
428,428,800,135.5,40000,
429,429,800,135.5,40000,
430,430,800,135.5,40000,
431,431,800,135.5,40000,
432,432,795,135.5,40000,
433,433,795,135.5,40000,
434,434,795,135.5,40000,
435,435,790,134.5,40000,
436,436,790,134.5,40000,
437,437,790,134.5,40000,
438,438,790,134.5,40000,
439,439,790,134.5,40000,
440,440,790,134.5,40000,
441,441,785,134.5,40000,
442,442,785,134.5,40000,
443,443,785,134.5,40000,
444,444,780,134.5,40000,
445,445,780,134.5,40000,
446,446,780,134.5,40000,
447,447,780,134,40000,
448,448,780,134,40000,
449,449,780,134,40000,
450,450,775,134,40000,
451,451,775,134,40000,
452,452,775,134,40000,
453,453,770,134,40000,
454,454,770,134,40000,
455,455,770,134,40000,
456,456,770,134,40000,
457,457,770,134,40000,
458,458,770,134,40000,
459,459,765,134,40000,
460,460,765,134,40000,
461,461,765,134,40000,
462,462,760,133,40000,
463,463,760,133,40000,
464,464,760,133,40000,
465,465,760,133,40000,
466,466,760,133,40000,
467,467,760,133,40000,
468,468,755,133,40000,
469,469,755,133,40000,
470,470,755,133,40000,
471,471,755,133,40000,
472,472,755,133,40000,
473,473,755,133,40000,
474,474,750,133,40000,
475,475,750,133,40000,
476,476,750,133,40000,
477,477,745,132.5,40000,
478,478,745,132.5,40000,
479,479,745,132.5,40000,
480,480,745,132.5,40000,
481,481,745,132.5,40000,
482,482,745,132.5,40000,
483,483,740,132.5,40000,
484,484,740,132.5,40000,
485,485,740,132.5,40000,
486,486,735,132.5,40000,
487,487,735,132.5,40000,
488,488,735,132.5,40000,
489,489,735,132.5,40000,
490,490,735,132.5,40000,
491,491,735,132.5,40000,
492,492,730,132.5,40000,
493,493,730,132.5,40000,
494,494,730,132.5,40000,
495,495,725,132.5,40000,
496,496,725,132.5,40000,
497,497,725,132,40000,
498,498,725,132,40000,
499,499,725,132,40000,
500,500,725,132,40000,
501,501,720,132,40000,
502,502,720,132,40000,
503,503,720,132,40000,
504,504,720,132,40000,
505,505,720,132,40000,
506,506,720,132,40000,
507,507,715,132,40000,
508,508,715,132,40000,
509,509,715,132,40000,
510,510,710,132,40000,
511,511,710,132,40000,
512,512,710,132,40000,
513,513,710,132,40000,
514,514,710,132,40000,
515,515,710,132,40000,
516,516,705,132,40000,
517,517,705,132,40000,
518,518,705,132,40000,
519,519,700,132,40000,
520,520,700,132,40000,
521,521,700,132,40000,
522,522,700,131,40000,
523,523,700,131,40000,
524,524,700,131,40000,
525,525,695,131,40000,
526,526,695,131,40000,
527,527,695,131,40000,
528,528,690,131,40000,
529,529,690,131,40000,
530,530,690,131,40000,
531,531,690,131,40000,
532,532,690,131,40000,
533,533,690,131,40000,
534,534,685,131,40000,
535,535,685,131,40000,
536,536,685,131,40000,
537,537,680,131,40000,
538,538,680,131,40000,
539,539,680,131,40000,
540,540,680,131,40000,
541,541,680,131,40000,
542,542,680,131,40000,
543,543,675,131,40000,
544,544,675,131,40000,
545,545,675,131,40000,
546,546,675,131,40000,
547,547,675,131,40000,
548,548,675,131,40000,
549,549,670,131,40000,
550,550,670,131,40000,
551,551,670,131,40000,
552,552,670,130.5,40000,
553,553,670,130.5,40000,
554,554,670,130.5,40000,
555,555,665,130.5,40000,
556,556,665,130.5,40000,
557,557,665,130.5,40000,
558,558,665,130.5,40000,
559,559,665,130.5,40000,
560,560,665,130.5,40000,
561,561,665,130.5,40000,
562,562,665,130.5,40000,
563,563,665,130.5,40000,
564,564,660,130.5,40000,
565,565,660,130.5,40000,
566,566,660,130.5,40000,
567,567,660,130.5,40000,
568,568,660,130.5,40000,
569,569,660,130.5,40000,
570,570,660,130.5,40000,
571,571,660,130.5,40000,
572,572,660,130.5,40000,
573,573,655,130.5,40000,
574,574,655,130.5,40000,
575,575,655,130.5,40000,
576,576,655,130.5,40000,
577,577,655,130.5,40000,
578,578,655,130.5,40000,
579,579,655,130.5,40000,
580,580,655,130.5,40000,
581,581,655,130.5,40000,
582,582,650,129.5,40000,
583,583,650,129.5,40000,
584,584,650,129.5,40000,
585,585,650,129.5,40000,
586,586,650,129.5,40000,
587,587,650,129.5,40000,
588,588,650,129.5,40000,
589,589,650,129.5,40000,
590,590,650,129.5,40000,
591,591,645,129.5,40000,
592,592,645,129.5,40000,
593,593,645,129.5,40000,
594,594,645,129.5,40000,
595,595,645,129.5,40000,
596,596,645,129.5,40000,
597,597,645,129.5,40000,
598,598,645,129.5,40000,
599,599,645,129.5,40000,
600,600,640,129.5,40000,
601,601,640,129.5,40000,
602,602,640,129.5,40000,
603,603,640,129.5,40000,
604,604,640,129.5,40000,
605,605,640,129.5,40000,
606,606,640,129.5,40000,
607,607,640,129.5,40000,
608,608,640,129.5,40000,
609,609,640,129.5,40000,
610,610,640,129.5,40000,
611,611,640,129.5,40000,
612,612,640,129,40000,
613,613,640,129,40000,
614,614,640,129,40000,
615,615,635,129,40000,
616,616,635,129,40000,
617,617,635,129,40000,
618,618,635,129,40000,
619,619,635,129,40000,
620,620,635,129,40000,
621,621,635,129,40000,
622,622,635,129,40000,
623,623,635,129,40000,
624,624,635,129,40000,
625,625,635,129,40000,
626,626,635,129,40000,
627,627,635,129,40000,
628,628,635,129,40000,
629,629,635,129,40000,
630,630,635,129,40000,
631,631,635,129,40000,
632,632,635,129,40000,
633,633,630,129,40000,
634,634,630,129,40000,
635,635,630,129,40000,
636,636,630,129,40000,
637,637,630,129,40000,
638,638,630,129,40000,
639,639,630,129,40000,
640,640,630,129,40000,
641,641,630,129,40000,
642,642,630,128,40000,
643,643,630,128,40000,
644,644,630,128,40000,
645,645,630,128,40000,
646,646,630,128,40000,
647,647,630,128,40000,
648,648,630,128,40000,
649,649,630,128,40000,
650,650,630,128,40000,
651,651,625,128,40000,
652,652,625,128,40000,
653,653,625,128,40000,
654,654,625,128,40000,
655,655,625,128,40000,
656,656,625,128,40000,
657,657,625,128,40000,
658,658,625,128,40000,
659,659,625,128,40000,
660,660,625,128,40000,
661,661,625,128,40000,
662,662,625,128,40000,
663,663,625,128,40000,
664,664,625,128,40000,
665,665,625,128,40000,
666,666,625,128,40000,
667,667,625,128,40000,
668,668,625,128,40000,
669,669,620,128,40000,
670,670,620,128,40000,
671,671,620,128,40000,
672,672,620,127.5,40000,
673,673,620,127.5,40000,
674,674,620,127.5,40000,
675,675,620,127.5,40000,
676,676,620,127.5,40000,
677,677,620,127.5,40000,
678,678,620,127.5,40000,
679,679,620,127.5,40000,
680,680,620,127.5,40000,
681,681,620,127.5,40000,
682,682,620,127.5,40000,
683,683,620,127.5,40000,
684,684,620,127.5,40000,
685,685,620,127.5,40000,
686,686,620,127.5,40000,
687,687,615,127.5,40000,
688,688,615,127.5,40000,
689,689,615,127.5,40000,
690,690,615,127.5,40000,
691,691,615,127.5,40000,
692,692,615,127.5,40000,
693,693,615,127.5,40000,
694,694,615,127.5,40000,
695,695,615,127.5,40000,
696,696,615,127.5,40000,
697,697,615,127.5,40000,
698,698,615,127.5,40000,
699,699,615,127.5,40000,
700,700,615,127.5,40000,
701,701,615,127.5,40000,
702,702,615,126.5,40000,
703,703,615,126.5,40000,
704,704,615,126.5,40000,
705,705,610,126.5,40000,
706,706,610,126.5,40000,
707,707,610,126.5,40000,
708,708,610,126.5,40000,
709,709,610,126.5,40000,
710,710,610,126.5,40000,
711,711,610,126.5,40000,
712,712,610,126.5,40000,
713,713,610,126.5,40000,
714,714,610,126.5,40000,
715,715,610,126.5,40000,
716,716,610,126.5,40000,
717,717,610,126.5,40000,
718,718,610,126.5,40000,
719,719,610,126.5,40000,
720,720,610,126.5,40000,
721,721,610,126.5,40000,
722,722,610,126.5,40000,
723,723,605,126.5,40000,
724,724,605,126.5,40000,
725,725,605,126.5,40000,
726,726,605,126.5,40000,
727,727,605,126.5,40000,
728,728,605,126.5,40000,
729,729,605,126.5,40000,
730,730,605,126.5,40000,
731,731,605,126.5,40000,
732,732,605,126,40000,
733,733,605,126,40000,
734,734,605,126,40000,
735,735,605,126,40000,
736,736,605,126,40000,
737,737,605,126,40000,
738,738,605,126,40000,
739,739,605,126,40000,
740,740,605,126,40000,
741,741,605,126,40000,
742,742,605,126,40000,
743,743,605,126,40000,
744,744,605,126,40000,
745,745,605,126,40000,
746,746,605,126,40000,
747,747,605,126,40000,
748,748,605,126,40000,
749,749,600,126,40000,
750,750,600,126,40000,
751,751,600,126,40000,
752,752,600,126,40000,
753,753,600,126,40000,
754,754,600,126,40000,
755,755,600,126,40000,
756,756,600,126,40000,
757,757,600,126,40000,
758,758,600,126,40000,
759,759,600,126,40000,
760,760,600,126,40000,
761,761,600,126,40000,
762,762,600,126,40000,
763,763,600,126,40000,
764,764,600,126,40000,
765,765,600,126,40000,
766,766,600,126,40000,
767,767,600,126,40000,
768,768,600,126,40000,
769,769,600,126,40000,
770,770,600,126,40000,
771,771,600,126,40000,
772,772,600,125.5,40000,
773,773,600,125.5,40000,
774,774,600,125.5,40000,
775,775,600,125.5,40000,
776,776,600,125.5,40000,
777,777,600,125.5,40000,
778,778,600,125.5,40000,
779,779,600,125.5,40000,
780,780,600,125.5,40000,
781,781,600,125.5,40000,
782,782,600,125.5,40000,
783,783,600,125.5,40000,
784,784,600,125.5,40000,
785,785,600,125.5,40000,
786,786,600,125.5,40000,
787,787,600,125.5,40000,
788,788,600,125.5,40000,
789,789,595,125.5,40000,
790,790,595,125.5,40000,
791,791,595,125.5,40000,
792,792,595,125.5,40000,
793,793,595,125.5,40000,
794,794,595,125.5,40000,
795,795,595,125.5,40000,
796,796,595,125.5,40000,
797,797,595,125.5,40000,
798,798,595,125.5,40000,
799,799,595,125.5,40000,
800,800,595,125.5,40000,
801,801,595,125.5,40000,
802,802,595,125.5,40000,
803,803,595,125.5,40000,
804,804,595,125.5,40000,
805,805,595,125.5,40000,
806,806,595,125.5,40000,
807,807,595,125.5,40000,
808,808,595,125.5,40000,
809,809,595,125.5,40000,
810,810,595,125.5,40000,
811,811,595,125.5,40000,
812,812,595,124.5,40000,
813,813,595,124.5,40000,
814,814,595,124.5,40000,
815,815,595,124.5,40000,
816,816,595,124.5,40000,
817,817,595,124.5,40000,
818,818,595,124.5,40000,
819,819,590,124.5,40000,
820,820,590,124.5,40000,
821,821,590,124.5,40000,
822,822,590,124.5,40000,
823,823,590,124.5,40000,
824,824,590,124.5,40000,
825,825,590,124.5,40000,
826,826,590,124.5,40000,
827,827,590,124.5,40000,
828,828,590,124.5,40000,
829,829,590,124.5,40000,
830,830,590,124.5,40000,
831,831,590,124.5,40000,
832,832,590,124.5,40000,
833,833,590,124.5,40000,
834,834,590,124.5,40000,
835,835,590,124.5,40000,
836,836,590,124.5,40000,
837,837,590,124.5,40000,
838,838,590,124.5,40000,
839,839,590,124.5,40000,
840,840,590,124.5,40000,
841,841,590,124.5,40000,
842,842,590,124.5,40000,
843,843,590,124.5,40000,
844,844,590,124.5,40000,
845,845,590,124.5,40000,
846,846,590,124.5,40000,
847,847,590,124.5,40000,
848,848,590,124.5,40000,
849,849,585,124.5,40000,
850,850,585,124.5,40000,
851,851,585,124.5,40000,
852,852,585,124,40000,
853,853,585,124,40000,
854,854,585,124,40000,
855,855,585,124,40000,
856,856,585,124,40000,
857,857,585,124,40000,
858,858,585,124,40000,
859,859,585,124,40000,
860,860,585,124,40000,
861,861,585,124,40000,
862,862,585,124,40000,
863,863,585,124,40000,
864,864,585,124,40000,
865,865,585,124,40000,
866,866,585,124,40000,
867,867,585,124,40000,
868,868,585,124,40000,
869,869,585,124,40000,
870,870,585,124,40000,
871,871,585,124,40000,
872,872,585,124,40000,
873,873,585,124,40000,
874,874,585,124,40000,
875,875,585,124,40000,
876,876,585,124,40000,
877,877,585,124,40000,
878,878,585,124,40000,
879,879,580,124,40000,
880,880,580,124,40000,
881,881,580,124,40000,
882,882,580,124,40000,
883,883,580,124,40000,
884,884,580,124,40000,
885,885,580,124,40000,
886,886,580,124,40000,
887,887,580,124,40000,
888,888,580,124,40000,
889,889,580,124,40000,
890,890,580,124,40000,
891,891,580,124,40000,
892,892,580,123,40000,
893,893,580,123,40000,
894,894,580,123,40000,
895,895,580,123,40000,
896,896,580,123,40000,
897,897,580,123,40000,
898,898,580,123,40000,
899,899,580,123,40000,
900,900,580,123,40000,
901,901,580,123,40000,
902,902,580,123,40000,
903,903,580,123,40000,
904,904,580,123,40000,
905,905,580,123,40000,
906,906,580,123,40000,
907,907,580,123,40000,
908,908,580,123,40000,
909,909,575,123,40000,
910,910,575,123,40000,
911,911,575,123,40000,
912,912,575,123,40000,
913,913,575,123,40000,
914,914,575,123,40000,
915,915,575,123,40000,
916,916,575,123,40000,
917,917,575,123,40000,
918,918,575,123,40000,
919,919,575,123,40000,
920,920,575,123,40000,
921,921,575,123,40000,
922,922,575,123,40000,
923,923,575,123,40000,
924,924,575,123,40000,
925,925,575,123,40000,
926,926,575,123,40000,
927,927,575,123,40000,
928,928,575,123,40000,
929,929,575,123,40000,
930,930,575,123,40000,
931,931,575,123,40000,
932,932,575,122.5,40000,
933,933,575,122.5,40000,
934,934,575,122.5,40000,
935,935,575,122.5,40000,
936,936,575,122.5,40000,
937,937,575,122.5,40000,
938,938,575,122.5,40000,
939,939,575,122.5,40000,
940,940,575,122.5,40000,
941,941,575,122.5,40000,
942,942,575,122.5,40000,
943,943,575,122.5,40000,
944,944,575,122.5,40000,
945,945,575,122.5,40000,
946,946,575,122.5,40000,
947,947,575,122.5,40000,
948,948,575,122.5,40000,
949,949,570,122.5,40000,
950,950,570,122.5,40000,
951,951,570,122.5,40000,
952,952,570,122.5,40000,
953,953,570,122.5,40000,
954,954,570,122.5,40000,
955,955,570,122.5,40000,
956,956,570,122.5,40000,
957,957,570,122.5,40000,
958,958,570,122.5,40000,
959,959,570,122.5,40000,
960,960,570,122.5,40000,
961,961,570,122.5,40000,
962,962,570,122.5,40000,
963,963,570,122.5,40000,
964,964,570,122.5,40000,
965,965,570,122.5,40000,
966,966,570,122.5,40000,
967,967,570,122.5,40000,
968,968,570,122.5,40000,
969,969,570,122.5,40000,
970,970,570,122.5,40000,
971,971,570,122.5,40000,
972,972,570,122.5,40000,
973,973,570,122.5,40000,
974,974,570,122.5,40000,
975,975,570,122.5,40000,
976,976,570,122.5,40000,
977,977,570,122.5,40000,
978,978,570,122.5,40000,
979,979,570,122.5,40000,
980,980,570,122.5,40000,
981,981,570,122.5,40000,
982,982,570,121.5,40000,
983,983,570,121.5,40000,
984,984,570,121.5,40000,
985,985,570,121.5,40000,
986,986,570,121.5,40000,
987,987,570,121.5,40000,
988,988,570,121.5,40000,
989,989,570,121.5,40000,
990,990,570,121.5,40000,
991,991,570,121.5,40000,
992,992,570,121.5,40000,
993,993,570,121.5,40000,
994,994,570,121.5,40000,
995,995,570,121.5,40000,
996,996,570,121.5,40000,
997,997,570,121.5,40000,
998,998,570,121.5,40000,
999,999,570,121.5,40000,
1000,1000,570,121.5,40000,
1001,1001,570,121.5,40000,
1002,1002,570,121.5,40000,
1003,1003,570,121.5,40000,
1004,1004,570,121.5,40000,
1005,1005,570,121.5,40000,
1006,1006,570,121.5,40000,
1007,1007,570,121.5,40000,
1008,1008,570,121.5,40000,
1009,1009,565,121.5,40000,
1010,1010,565,121.5,40000,
1011,1011,565,121.5,40000,
1012,1012,565,121.5,40000,
1013,1013,565,121.5,40000,
1014,1014,565,121.5,40000,
1015,1015,565,121.5,40000,
1016,1016,565,121.5,40000,
1017,1017,565,121.5,40000,
1018,1018,565,121.5,40000,
1019,1019,565,121.5,40000,
1020,1020,565,121.5,40000,
1021,1021,565,121.5,40000,
1022,1022,565,121.5,40000,
1023,1023,565,121.5,40000,
1024,1024,565,121.5,40000,
1025,1025,565,121.5,40000,
1026,1026,565,121.5,40000,
1027,1027,565,121.5,40000,
1028,1028,565,121.5,40000,
1029,1029,565,121.5,40000,
1030,1030,565,121.5,40000,
1031,1031,565,121.5,40000,
1032,1032,565,121,40000,
1033,1033,565,121,40000,
1034,1034,565,121,40000,
1035,1035,565,121,40000,
1036,1036,565,121,40000,
