变量名,rankMax,dayAward,endAward,version
默认值,,,,0
ID,最大排名,比赛日排行奖励,比赛结算排行奖励,版本
1,1,{coin13=128000;gold=300000},{coin13=128000;gold=300000},
36,36,{coin13=100800;gold=232000},{coin13=100800;gold=232000},
37,37,{coin13=100400;gold=231000},{coin13=100400;gold=231000},
38,38,{coin13=100000;gold=230000},{coin13=100000;gold=230000},
39,39,{coin13=99600;gold=229000},{coin13=99600;gold=229000},
40,40,{coin13=99200;gold=228000},{coin13=99200;gold=228000},
41,41,{coin13=98800;gold=227000},{coin13=98800;gold=227000},
42,42,{coin13=98400;gold=226000},{coin13=98400;gold=226000},
43,43,{coin13=98000;gold=225000},{coin13=98000;gold=225000},
44,44,{coin13=97600;gold=224000},{coin13=97600;gold=224000},
45,45,{coin13=97200;gold=223000},{coin13=97200;gold=223000},
46,46,{coin13=96800;gold=222000},{coin13=96800;gold=222000},
47,47,{coin13=96400;gold=221000},{coin13=96400;gold=221000},
48,48,{coin13=96000;gold=220000},{coin13=96000;gold=220000},
49,49,{coin13=95600;gold=219000},{coin13=95600;gold=219000},
50,50,{coin13=95200;gold=218000},{coin13=95200;gold=218000},
51,51,{coin13=95000;gold=217500},{coin13=95000;gold=217500},
52,52,{coin13=94800;gold=217000},{coin13=94800;gold=217000},
53,53,{coin13=94600;gold=216500},{coin13=94600;gold=216500},
54,54,{coin13=94400;gold=216000},{coin13=94400;gold=216000},
55,55,{coin13=94200;gold=215500},{coin13=94200;gold=215500},
56,56,{coin13=94000;gold=215000},{coin13=94000;gold=215000},
57,57,{coin13=93800;gold=214500},{coin13=93800;gold=214500},
58,58,{coin13=93600;gold=214000},{coin13=93600;gold=214000},
59,59,{coin13=93400;gold=213500},{coin13=93400;gold=213500},
60,60,{coin13=93200;gold=213000},{coin13=93200;gold=213000},
61,61,{coin13=93000;gold=212500},{coin13=93000;gold=212500},
62,62,{coin13=92800;gold=212000},{coin13=92800;gold=212000},
63,63,{coin13=92600;gold=211500},{coin13=92600;gold=211500},
64,64,{coin13=92400;gold=211000},{coin13=92400;gold=211000},
65,65,{coin13=92200;gold=210500},{coin13=92200;gold=210500},
66,66,{coin13=92000;gold=210000},{coin13=92000;gold=210000},
67,67,{coin13=91800;gold=209500},{coin13=91800;gold=209500},
68,68,{coin13=91600;gold=209000},{coin13=91600;gold=209000},
69,69,{coin13=91400;gold=208500},{coin13=91400;gold=208500},
70,70,{coin13=91200;gold=208000},{coin13=91200;gold=208000},
71,71,{coin13=91000;gold=207500},{coin13=91000;gold=207500},
72,72,{coin13=90800;gold=207000},{coin13=90800;gold=207000},
73,73,{coin13=90600;gold=206500},{coin13=90600;gold=206500},
74,74,{coin13=90400;gold=206000},{coin13=90400;gold=206000},
75,75,{coin13=90200;gold=205500},{coin13=90200;gold=205500},
76,76,{coin13=90000;gold=205000},{coin13=90000;gold=205000},
77,77,{coin13=89800;gold=204500},{coin13=89800;gold=204500},
78,78,{coin13=89600;gold=204000},{coin13=89600;gold=204000},
79,79,{coin13=89400;gold=203500},{coin13=89400;gold=203500},
80,80,{coin13=89200;gold=203000},{coin13=89200;gold=203000},
81,81,{coin13=89120;gold=202800},{coin13=89120;gold=202800},
82,82,{coin13=89040;gold=202600},{coin13=89040;gold=202600},
83,83,{coin13=88960;gold=202400},{coin13=88960;gold=202400},
84,84,{coin13=88880;gold=202200},{coin13=88880;gold=202200},
85,85,{coin13=88800;gold=202000},{coin13=88800;gold=202000},
86,86,{coin13=88720;gold=201800},{coin13=88720;gold=201800},
87,87,{coin13=88640;gold=201600},{coin13=88640;gold=201600},
88,88,{coin13=88560;gold=201400},{coin13=88560;gold=201400},
89,89,{coin13=88480;gold=201200},{coin13=88480;gold=201200},
90,90,{coin13=88400;gold=201000},{coin13=88400;gold=201000},
91,91,{coin13=88320;gold=200800},{coin13=88320;gold=200800},
92,92,{coin13=88240;gold=200600},{coin13=88240;gold=200600},
93,93,{coin13=88160;gold=200400},{coin13=88160;gold=200400},
94,94,{coin13=88080;gold=200200},{coin13=88080;gold=200200},
95,95,{coin13=88000;gold=200000},{coin13=88000;gold=200000},
96,96,{coin13=87920;gold=199800},{coin13=87920;gold=199800},
97,97,{coin13=87840;gold=199600},{coin13=87840;gold=199600},
98,98,{coin13=87760;gold=199400},{coin13=87760;gold=199400},
99,99,{coin13=87680;gold=199200},{coin13=87680;gold=199200},
100,100,{coin13=87600;gold=199000},{coin13=87600;gold=199000},
101,101,{coin13=87520;gold=198800},{coin13=87520;gold=198800},
102,102,{coin13=87440;gold=198600},{coin13=87440;gold=198600},
103,103,{coin13=87360;gold=198400},{coin13=87360;gold=198400},
104,104,{coin13=87280;gold=198200},{coin13=87280;gold=198200},
105,105,{coin13=87200;gold=198000},{coin13=87200;gold=198000},
106,106,{coin13=87120;gold=197800},{coin13=87120;gold=197800},
107,107,{coin13=87040;gold=197600},{coin13=87040;gold=197600},
108,108,{coin13=86960;gold=197400},{coin13=86960;gold=197400},
109,109,{coin13=86880;gold=197200},{coin13=86880;gold=197200},
110,110,{coin13=86800;gold=197000},{coin13=86800;gold=197000},
111,111,{coin13=86720;gold=196800},{coin13=86720;gold=196800},
112,112,{coin13=86640;gold=196600},{coin13=86640;gold=196600},
113,113,{coin13=86560;gold=196400},{coin13=86560;gold=196400},
114,114,{coin13=86480;gold=196200},{coin13=86480;gold=196200},
115,115,{coin13=86400;gold=196000},{coin13=86400;gold=196000},
116,116,{coin13=86320;gold=195800},{coin13=86320;gold=195800},
117,117,{coin13=86240;gold=195600},{coin13=86240;gold=195600},
118,118,{coin13=86160;gold=195400},{coin13=86160;gold=195400},
119,119,{coin13=86080;gold=195200},{coin13=86080;gold=195200},
120,120,{coin13=86000;gold=195000},{coin13=86000;gold=195000},
121,121,{coin13=85920;gold=194800},{coin13=85920;gold=194800},
122,122,{coin13=85840;gold=194600},{coin13=85840;gold=194600},
123,123,{coin13=85760;gold=194400},{coin13=85760;gold=194400},
124,124,{coin13=85680;gold=194200},{coin13=85680;gold=194200},
125,125,{coin13=85600;gold=194000},{coin13=85600;gold=194000},
126,126,{coin13=85520;gold=193800},{coin13=85520;gold=193800},
127,127,{coin13=85440;gold=193600},{coin13=85440;gold=193600},
128,128,{coin13=85360;gold=193400},{coin13=85360;gold=193400},
129,129,{coin13=85280;gold=193200},{coin13=85280;gold=193200},
130,130,{coin13=85200;gold=193000},{coin13=85200;gold=193000},
131,131,{coin13=85120;gold=192800},{coin13=85120;gold=192800},
132,132,{coin13=85040;gold=192600},{coin13=85040;gold=192600},
133,133,{coin13=84960;gold=192400},{coin13=84960;gold=192400},
134,134,{coin13=84880;gold=192200},{coin13=84880;gold=192200},
135,135,{coin13=84800;gold=192000},{coin13=84800;gold=192000},
136,136,{coin13=84720;gold=191800},{coin13=84720;gold=191800},
137,137,{coin13=84640;gold=191600},{coin13=84640;gold=191600},
138,138,{coin13=84560;gold=191400},{coin13=84560;gold=191400},
139,139,{coin13=84480;gold=191200},{coin13=84480;gold=191200},
140,140,{coin13=84400;gold=191000},{coin13=84400;gold=191000},
141,141,{coin13=84320;gold=190800},{coin13=84320;gold=190800},
142,142,{coin13=84240;gold=190600},{coin13=84240;gold=190600},
143,143,{coin13=84160;gold=190400},{coin13=84160;gold=190400},
144,144,{coin13=84080;gold=190200},{coin13=84080;gold=190200},
145,145,{coin13=84000;gold=190000},{coin13=84000;gold=190000},
146,146,{coin13=83920;gold=189800},{coin13=83920;gold=189800},
147,147,{coin13=83840;gold=189600},{coin13=83840;gold=189600},
148,148,{coin13=83760;gold=189400},{coin13=83760;gold=189400},
149,149,{coin13=83680;gold=189200},{coin13=83680;gold=189200},
150,150,{coin13=83600;gold=189000},{coin13=83600;gold=189000},
151,151,{coin13=83560;gold=188900},{coin13=83560;gold=188900},
152,152,{coin13=83520;gold=188800},{coin13=83520;gold=188800},
153,153,{coin13=83480;gold=188700},{coin13=83480;gold=188700},
154,154,{coin13=83440;gold=188600},{coin13=83440;gold=188600},
155,155,{coin13=83400;gold=188500},{coin13=83400;gold=188500},
156,156,{coin13=83360;gold=188400},{coin13=83360;gold=188400},
157,157,{coin13=83320;gold=188300},{coin13=83320;gold=188300},
158,158,{coin13=83280;gold=188200},{coin13=83280;gold=188200},
159,159,{coin13=83240;gold=188100},{coin13=83240;gold=188100},
160,160,{coin13=83200;gold=188000},{coin13=83200;gold=188000},
161,161,{coin13=83160;gold=187900},{coin13=83160;gold=187900},
162,162,{coin13=83120;gold=187800},{coin13=83120;gold=187800},
163,163,{coin13=83080;gold=187700},{coin13=83080;gold=187700},
164,164,{coin13=83040;gold=187600},{coin13=83040;gold=187600},
165,165,{coin13=83000;gold=187500},{coin13=83000;gold=187500},
166,166,{coin13=82960;gold=187400},{coin13=82960;gold=187400},
167,167,{coin13=82920;gold=187300},{coin13=82920;gold=187300},
168,168,{coin13=82880;gold=187200},{coin13=82880;gold=187200},
169,169,{coin13=82840;gold=187100},{coin13=82840;gold=187100},
170,170,{coin13=82800;gold=187000},{coin13=82800;gold=187000},
171,171,{coin13=82760;gold=186900},{coin13=82760;gold=186900},
172,172,{coin13=82720;gold=186800},{coin13=82720;gold=186800},
173,173,{coin13=82680;gold=186700},{coin13=82680;gold=186700},
174,174,{coin13=82640;gold=186600},{coin13=82640;gold=186600},
175,175,{coin13=82600;gold=186500},{coin13=82600;gold=186500},
176,176,{coin13=82560;gold=186400},{coin13=82560;gold=186400},
177,177,{coin13=82520;gold=186300},{coin13=82520;gold=186300},
178,178,{coin13=82480;gold=186200},{coin13=82480;gold=186200},
179,179,{coin13=82440;gold=186100},{coin13=82440;gold=186100},
180,180,{coin13=82400;gold=186000},{coin13=82400;gold=186000},
181,181,{coin13=82360;gold=185900},{coin13=82360;gold=185900},
182,182,{coin13=82320;gold=185800},{coin13=82320;gold=185800},
183,183,{coin13=82280;gold=185700},{coin13=82280;gold=185700},
184,184,{coin13=82240;gold=185600},{coin13=82240;gold=185600},
185,185,{coin13=82200;gold=185500},{coin13=82200;gold=185500},
186,186,{coin13=82160;gold=185400},{coin13=82160;gold=185400},
187,187,{coin13=82120;gold=185300},{coin13=82120;gold=185300},
188,188,{coin13=82080;gold=185200},{coin13=82080;gold=185200},
189,189,{coin13=82040;gold=185100},{coin13=82040;gold=185100},
190,190,{coin13=82000;gold=185000},{coin13=82000;gold=185000},
191,191,{coin13=81960;gold=184900},{coin13=81960;gold=184900},
192,192,{coin13=81920;gold=184800},{coin13=81920;gold=184800},
193,193,{coin13=81880;gold=184700},{coin13=81880;gold=184700},
194,194,{coin13=81840;gold=184600},{coin13=81840;gold=184600},
195,195,{coin13=81800;gold=184500},{coin13=81800;gold=184500},
196,196,{coin13=81760;gold=184400},{coin13=81760;gold=184400},
197,197,{coin13=81720;gold=184300},{coin13=81720;gold=184300},
198,198,{coin13=81680;gold=184200},{coin13=81680;gold=184200},
199,199,{coin13=81640;gold=184100},{coin13=81640;gold=184100},
200,200,{coin13=81600;gold=184000},{coin13=81600;gold=184000},
201,201,{coin13=81560;gold=183900},{coin13=81560;gold=183900},
202,202,{coin13=81520;gold=183800},{coin13=81520;gold=183800},
203,203,{coin13=81480;gold=183700},{coin13=81480;gold=183700},
204,204,{coin13=81440;gold=183600},{coin13=81440;gold=183600},
205,205,{coin13=81400;gold=183500},{coin13=81400;gold=183500},
206,206,{coin13=81360;gold=183400},{coin13=81360;gold=183400},
207,207,{coin13=81320;gold=183300},{coin13=81320;gold=183300},
208,208,{coin13=81280;gold=183200},{coin13=81280;gold=183200},
209,209,{coin13=81240;gold=183100},{coin13=81240;gold=183100},
210,210,{coin13=81200;gold=183000},{coin13=81200;gold=183000},
211,211,{coin13=81160;gold=182900},{coin13=81160;gold=182900},
212,212,{coin13=81120;gold=182800},{coin13=81120;gold=182800},
213,213,{coin13=81080;gold=182700},{coin13=81080;gold=182700},
214,214,{coin13=81040;gold=182600},{coin13=81040;gold=182600},
215,215,{coin13=81000;gold=182500},{coin13=81000;gold=182500},
216,216,{coin13=80960;gold=182400},{coin13=80960;gold=182400},
217,217,{coin13=80920;gold=182300},{coin13=80920;gold=182300},
218,218,{coin13=80880;gold=182200},{coin13=80880;gold=182200},
219,219,{coin13=80840;gold=182100},{coin13=80840;gold=182100},
220,220,{coin13=80800;gold=182000},{coin13=80800;gold=182000},
221,221,{coin13=80760;gold=181900},{coin13=80760;gold=181900},
222,222,{coin13=80720;gold=181800},{coin13=80720;gold=181800},
223,223,{coin13=80680;gold=181700},{coin13=80680;gold=181700},
224,224,{coin13=80640;gold=181600},{coin13=80640;gold=181600},
225,225,{coin13=80600;gold=181500},{coin13=80600;gold=181500},
226,226,{coin13=80560;gold=181400},{coin13=80560;gold=181400},
227,227,{coin13=80520;gold=181300},{coin13=80520;gold=181300},
228,228,{coin13=80480;gold=181200},{coin13=80480;gold=181200},
229,229,{coin13=80440;gold=181100},{coin13=80440;gold=181100},
230,230,{coin13=80400;gold=181000},{coin13=80400;gold=181000},
231,231,{coin13=80360;gold=180900},{coin13=80360;gold=180900},
232,232,{coin13=80320;gold=180800},{coin13=80320;gold=180800},
233,233,{coin13=80280;gold=180700},{coin13=80280;gold=180700},
234,234,{coin13=80240;gold=180600},{coin13=80240;gold=180600},
235,235,{coin13=80200;gold=180500},{coin13=80200;gold=180500},
236,236,{coin13=80160;gold=180400},{coin13=80160;gold=180400},
237,237,{coin13=80120;gold=180300},{coin13=80120;gold=180300},
238,238,{coin13=80080;gold=180200},{coin13=80080;gold=180200},
239,239,{coin13=80040;gold=180100},{coin13=80040;gold=180100},
240,240,{coin13=80000;gold=180000},{coin13=80000;gold=180000},
241,241,{coin13=79960;gold=179900},{coin13=79960;gold=179900},
242,242,{coin13=79920;gold=179800},{coin13=79920;gold=179800},
243,243,{coin13=79880;gold=179700},{coin13=79880;gold=179700},
244,244,{coin13=79840;gold=179600},{coin13=79840;gold=179600},
245,245,{coin13=79800;gold=179500},{coin13=79800;gold=179500},
246,246,{coin13=79760;gold=179400},{coin13=79760;gold=179400},
247,247,{coin13=79720;gold=179300},{coin13=79720;gold=179300},
248,248,{coin13=79680;gold=179200},{coin13=79680;gold=179200},
249,249,{coin13=79640;gold=179100},{coin13=79640;gold=179100},
250,250,{coin13=79600;gold=179000},{coin13=79600;gold=179000},
251,251,{coin13=79560;gold=178900},{coin13=79560;gold=178900},
252,252,{coin13=79520;gold=178800},{coin13=79520;gold=178800},
253,253,{coin13=79480;gold=178700},{coin13=79480;gold=178700},
254,254,{coin13=79440;gold=178600},{coin13=79440;gold=178600},
255,255,{coin13=79400;gold=178500},{coin13=79400;gold=178500},
256,256,{coin13=79360;gold=178400},{coin13=79360;gold=178400},
257,257,{coin13=79320;gold=178300},{coin13=79320;gold=178300},
258,258,{coin13=79280;gold=178200},{coin13=79280;gold=178200},
259,259,{coin13=79240;gold=178100},{coin13=79240;gold=178100},
260,260,{coin13=79200;gold=178000},{coin13=79200;gold=178000},
261,261,{coin13=79160;gold=177900},{coin13=79160;gold=177900},
262,262,{coin13=79120;gold=177800},{coin13=79120;gold=177800},
263,263,{coin13=79080;gold=177700},{coin13=79080;gold=177700},
264,264,{coin13=79040;gold=177600},{coin13=79040;gold=177600},
265,265,{coin13=79000;gold=177500},{coin13=79000;gold=177500},
266,266,{coin13=78960;gold=177400},{coin13=78960;gold=177400},
267,267,{coin13=78920;gold=177300},{coin13=78920;gold=177300},
268,268,{coin13=78880;gold=177200},{coin13=78880;gold=177200},
269,269,{coin13=78840;gold=177100},{coin13=78840;gold=177100},
270,270,{coin13=78800;gold=177000},{coin13=78800;gold=177000},
271,271,{coin13=78760;gold=176900},{coin13=78760;gold=176900},
272,272,{coin13=78720;gold=176800},{coin13=78720;gold=176800},
273,273,{coin13=78680;gold=176700},{coin13=78680;gold=176700},
274,274,{coin13=78640;gold=176600},{coin13=78640;gold=176600},
275,275,{coin13=78600;gold=176500},{coin13=78600;gold=176500},
276,276,{coin13=78560;gold=176400},{coin13=78560;gold=176400},
277,277,{coin13=78520;gold=176300},{coin13=78520;gold=176300},
278,278,{coin13=78480;gold=176200},{coin13=78480;gold=176200},
279,279,{coin13=78440;gold=176100},{coin13=78440;gold=176100},
280,280,{coin13=78400;gold=176000},{coin13=78400;gold=176000},
281,281,{coin13=78360;gold=175900},{coin13=78360;gold=175900},
282,282,{coin13=78320;gold=175800},{coin13=78320;gold=175800},
283,283,{coin13=78280;gold=175700},{coin13=78280;gold=175700},
284,284,{coin13=78240;gold=175600},{coin13=78240;gold=175600},
285,285,{coin13=78200;gold=175500},{coin13=78200;gold=175500},
286,286,{coin13=78160;gold=175400},{coin13=78160;gold=175400},
287,287,{coin13=78120;gold=175300},{coin13=78120;gold=175300},
288,288,{coin13=78080;gold=175200},{coin13=78080;gold=175200},
289,289,{coin13=78040;gold=175100},{coin13=78040;gold=175100},
290,290,{coin13=78000;gold=175000},{coin13=78000;gold=175000},
291,291,{coin13=77960;gold=174900},{coin13=77960;gold=174900},
292,292,{coin13=77920;gold=174800},{coin13=77920;gold=174800},
293,293,{coin13=77880;gold=174700},{coin13=77880;gold=174700},
294,294,{coin13=77840;gold=174600},{coin13=77840;gold=174600},
295,295,{coin13=77800;gold=174500},{coin13=77800;gold=174500},
296,296,{coin13=77760;gold=174400},{coin13=77760;gold=174400},
297,297,{coin13=77720;gold=174300},{coin13=77720;gold=174300},
298,298,{coin13=77680;gold=174200},{coin13=77680;gold=174200},
299,299,{coin13=77640;gold=174100},{coin13=77640;gold=174100},
300,300,{coin13=77600;gold=174000},{coin13=77600;gold=174000},
301,301,{coin13=77560;gold=173900},{coin13=77560;gold=173900},
302,302,{coin13=77520;gold=173800},{coin13=77520;gold=173800},
303,303,{coin13=77480;gold=173700},{coin13=77480;gold=173700},
304,304,{coin13=77440;gold=173600},{coin13=77440;gold=173600},
305,305,{coin13=77400;gold=173500},{coin13=77400;gold=173500},
306,306,{coin13=77360;gold=173400},{coin13=77360;gold=173400},
307,307,{coin13=77320;gold=173300},{coin13=77320;gold=173300},
308,308,{coin13=77280;gold=173200},{coin13=77280;gold=173200},
309,309,{coin13=77240;gold=173100},{coin13=77240;gold=173100},
310,310,{coin13=77200;gold=173000},{coin13=77200;gold=173000},
311,311,{coin13=77160;gold=172900},{coin13=77160;gold=172900},
312,312,{coin13=77120;gold=172800},{coin13=77120;gold=172800},
313,313,{coin13=77080;gold=172700},{coin13=77080;gold=172700},
314,314,{coin13=77040;gold=172600},{coin13=77040;gold=172600},
315,315,{coin13=77000;gold=172500},{coin13=77000;gold=172500},
316,316,{coin13=76960;gold=172400},{coin13=76960;gold=172400},
317,317,{coin13=76920;gold=172300},{coin13=76920;gold=172300},
318,318,{coin13=76880;gold=172200},{coin13=76880;gold=172200},
319,319,{coin13=76840;gold=172100},{coin13=76840;gold=172100},
320,320,{coin13=76800;gold=172000},{coin13=76800;gold=172000},
321,321,{coin13=76760;gold=171900},{coin13=76760;gold=171900},
322,322,{coin13=76720;gold=171800},{coin13=76720;gold=171800},
323,323,{coin13=76680;gold=171700},{coin13=76680;gold=171700},
324,324,{coin13=76640;gold=171600},{coin13=76640;gold=171600},
325,325,{coin13=76600;gold=171500},{coin13=76600;gold=171500},
326,326,{coin13=76560;gold=171400},{coin13=76560;gold=171400},
327,327,{coin13=76520;gold=171300},{coin13=76520;gold=171300},
328,328,{coin13=76480;gold=171200},{coin13=76480;gold=171200},
329,329,{coin13=76440;gold=171100},{coin13=76440;gold=171100},
330,330,{coin13=76400;gold=171000},{coin13=76400;gold=171000},
331,331,{coin13=76360;gold=170900},{coin13=76360;gold=170900},
332,332,{coin13=76320;gold=170800},{coin13=76320;gold=170800},
333,333,{coin13=76280;gold=170700},{coin13=76280;gold=170700},
334,334,{coin13=76240;gold=170600},{coin13=76240;gold=170600},
335,335,{coin13=76200;gold=170500},{coin13=76200;gold=170500},
336,336,{coin13=76160;gold=170400},{coin13=76160;gold=170400},
337,337,{coin13=76120;gold=170300},{coin13=76120;gold=170300},
338,338,{coin13=76080;gold=170200},{coin13=76080;gold=170200},
339,339,{coin13=76040;gold=170100},{coin13=76040;gold=170100},
340,340,{coin13=76000;gold=170000},{coin13=76000;gold=170000},
341,341,{coin13=75960;gold=169900},{coin13=75960;gold=169900},
342,342,{coin13=75920;gold=169800},{coin13=75920;gold=169800},
343,343,{coin13=75880;gold=169700},{coin13=75880;gold=169700},
344,344,{coin13=75840;gold=169600},{coin13=75840;gold=169600},
345,345,{coin13=75800;gold=169500},{coin13=75800;gold=169500},
346,346,{coin13=75760;gold=169400},{coin13=75760;gold=169400},
347,347,{coin13=75720;gold=169300},{coin13=75720;gold=169300},
348,348,{coin13=75680;gold=169200},{coin13=75680;gold=169200},
349,349,{coin13=75640;gold=169100},{coin13=75640;gold=169100},
350,350,{coin13=75600;gold=169000},{coin13=75600;gold=169000},
351,351,{coin13=75560;gold=168900},{coin13=75560;gold=168900},
352,352,{coin13=75520;gold=168800},{coin13=75520;gold=168800},
353,353,{coin13=75480;gold=168700},{coin13=75480;gold=168700},
354,354,{coin13=75440;gold=168600},{coin13=75440;gold=168600},
355,355,{coin13=75400;gold=168500},{coin13=75400;gold=168500},
356,356,{coin13=75360;gold=168400},{coin13=75360;gold=168400},
357,357,{coin13=75320;gold=168300},{coin13=75320;gold=168300},
358,358,{coin13=75280;gold=168200},{coin13=75280;gold=168200},
359,359,{coin13=75240;gold=168100},{coin13=75240;gold=168100},
360,360,{coin13=75200;gold=168000},{coin13=75200;gold=168000},
361,361,{coin13=75160;gold=167900},{coin13=75160;gold=167900},
362,362,{coin13=75120;gold=167800},{coin13=75120;gold=167800},
363,363,{coin13=75080;gold=167700},{coin13=75080;gold=167700},
364,364,{coin13=75040;gold=167600},{coin13=75040;gold=167600},
365,365,{coin13=75000;gold=167500},{coin13=75000;gold=167500},
366,366,{coin13=74960;gold=167400},{coin13=74960;gold=167400},
367,367,{coin13=74920;gold=167300},{coin13=74920;gold=167300},
368,368,{coin13=74880;gold=167200},{coin13=74880;gold=167200},
369,369,{coin13=74840;gold=167100},{coin13=74840;gold=167100},
370,370,{coin13=74800;gold=167000},{coin13=74800;gold=167000},
371,371,{coin13=74760;gold=166900},{coin13=74760;gold=166900},
372,372,{coin13=74720;gold=166800},{coin13=74720;gold=166800},
373,373,{coin13=74680;gold=166700},{coin13=74680;gold=166700},
374,374,{coin13=74640;gold=166600},{coin13=74640;gold=166600},
375,375,{coin13=74600;gold=166500},{coin13=74600;gold=166500},
376,376,{coin13=74560;gold=166400},{coin13=74560;gold=166400},
377,377,{coin13=74520;gold=166300},{coin13=74520;gold=166300},
378,378,{coin13=74480;gold=166200},{coin13=74480;gold=166200},
379,379,{coin13=74440;gold=166100},{coin13=74440;gold=166100},
380,380,{coin13=74400;gold=166000},{coin13=74400;gold=166000},
381,381,{coin13=74360;gold=165900},{coin13=74360;gold=165900},
382,382,{coin13=74320;gold=165800},{coin13=74320;gold=165800},
383,383,{coin13=74280;gold=165700},{coin13=74280;gold=165700},
384,384,{coin13=74240;gold=165600},{coin13=74240;gold=165600},
385,385,{coin13=74200;gold=165500},{coin13=74200;gold=165500},
386,386,{coin13=74160;gold=165400},{coin13=74160;gold=165400},
387,387,{coin13=74120;gold=165300},{coin13=74120;gold=165300},
388,388,{coin13=74080;gold=165200},{coin13=74080;gold=165200},
389,389,{coin13=74040;gold=165100},{coin13=74040;gold=165100},
390,390,{coin13=74000;gold=165000},{coin13=74000;gold=165000},
391,391,{coin13=73960;gold=164900},{coin13=73960;gold=164900},
392,392,{coin13=73920;gold=164800},{coin13=73920;gold=164800},
393,393,{coin13=73880;gold=164700},{coin13=73880;gold=164700},
394,394,{coin13=73840;gold=164600},{coin13=73840;gold=164600},
395,395,{coin13=73800;gold=164500},{coin13=73800;gold=164500},
396,396,{coin13=73760;gold=164400},{coin13=73760;gold=164400},
397,397,{coin13=73720;gold=164300},{coin13=73720;gold=164300},
398,398,{coin13=73680;gold=164200},{coin13=73680;gold=164200},
399,399,{coin13=73640;gold=164100},{coin13=73640;gold=164100},
400,400,{coin13=73600;gold=164000},{coin13=73600;gold=164000},
401,401,{coin13=73580;gold=163950},{coin13=73580;gold=163950},
402,402,{coin13=73560;gold=163900},{coin13=73560;gold=163900},
403,403,{coin13=73540;gold=163850},{coin13=73540;gold=163850},
404,404,{coin13=73520;gold=163800},{coin13=73520;gold=163800},
405,405,{coin13=73500;gold=163750},{coin13=73500;gold=163750},
406,406,{coin13=73480;gold=163700},{coin13=73480;gold=163700},
407,407,{coin13=73460;gold=163650},{coin13=73460;gold=163650},
408,408,{coin13=73440;gold=163600},{coin13=73440;gold=163600},
409,409,{coin13=73420;gold=163550},{coin13=73420;gold=163550},
410,410,{coin13=73400;gold=163500},{coin13=73400;gold=163500},
411,411,{coin13=73380;gold=163450},{coin13=73380;gold=163450},
412,412,{coin13=73360;gold=163400},{coin13=73360;gold=163400},
413,413,{coin13=73340;gold=163350},{coin13=73340;gold=163350},
414,414,{coin13=73320;gold=163300},{coin13=73320;gold=163300},
415,415,{coin13=73300;gold=163250},{coin13=73300;gold=163250},
416,416,{coin13=73280;gold=163200},{coin13=73280;gold=163200},
417,417,{coin13=73260;gold=163150},{coin13=73260;gold=163150},
418,418,{coin13=73240;gold=163100},{coin13=73240;gold=163100},
419,419,{coin13=73220;gold=163050},{coin13=73220;gold=163050},
