变量名,level,randomWeight,card1,skillMap1,card2,skillMap2,card3,skillMap3,card4,skillMap4,card5,skillMap5,card6,skillMap6
30,8,100,{id=461},{4611=3;4612=3;4613=3},{id=171;star=1},{1711=3;1712=3;1713=3},{id=1611;star=1},{16111=3;16112=3;16113=3},{id=111;star=1},{1111=3;1112=3;1113=3},,,,
31,8,100,{id=891},{8911=3;8912=3;8913=3},{id=171;star=1},{1711=3;1712=3;1713=3},{id=131;star=1},{1311=3;1312=3;1313=3},{id=121;star=1},{1211=3;1212=3;1213=3},,,,
32,8,100,{id=471},{4711=3;4712=3;4713=3},{id=891;star=1},{8911=3;8912=3;8913=3},{id=1351;star=1},{13511=3;13512=3;13513=3},{id=351;star=1},{3511=3;3512=3;3513=3},,,,
33,8,100,{id=891},{8911=3;8912=3;8913=3},{id=41;star=1},{411=3;412=3;413=3},{id=2011;star=1},{20111=3;20112=3;20113=3},{id=51;star=1},{511=3;512=3;513=3},,,,
34,8,100,{id=171},{1711=3;1712=3;1713=3},{id=301;star=1},{3011=3;3012=3;3013=3},{id=61;star=1},{611=3;612=3;613=3},{id=3561;star=1},{35611=3;35612=3;35613=3},,,,
35,8,100,{id=61},{611=3;612=3;613=3},{id=171;star=1},{1711=3;1712=3;1713=3},{id=461;star=1},{4611=3;4612=3;4613=3},{id=541;star=1},{5411=3;5412=3;5413=3},,,,
36,8,100,{id=11},{111=3;112=3;113=3},{id=1;star=1},{11=3;12=3;13=3},{id=61;star=1},{611=3;612=3;613=3},{id=121;star=1},{1211=3;1212=3;1213=3},,,,
37,8,100,{id=101},{1011=3;1012=3;1013=3},{id=171;star=1},{1711=3;1712=3;1713=3},{id=71;star=1},{711=3;712=3;713=3},{id=351;star=1},{3511=3;3512=3;3513=3},,,,
38,8,100,{id=451},{4511=3;4512=3;4513=3},{id=541;star=1},{5411=3;5412=3;5413=3},{id=461;star=1},{4611=3;4612=3;4613=3},{id=51;star=1},{511=3;512=3;513=3},,,,
39,8,100,{id=111},{1111=3;1112=3;1113=3},{id=81;star=1},{811=3;812=3;813=3},{id=171;star=1},{1711=3;1712=3;1713=3},{id=51;star=1},{511=3;512=3;513=3},,,,
40,8,100,{id=541},{5411=3;5412=3;5413=3},{id=171;star=1},{1711=3;1712=3;1713=3},{id=3561;star=1},{35611=3;35612=3;35613=3},{id=131;star=1},{1311=3;1312=3;1313=3},,,,
41,8,100,{id=131},{1311=5;1312=5;1313=5},{id=301;star=1},{3011=5;3012=5;3013=5},{id=231;star=1},{2311=5;2312=5;2313=5},{id=3561;star=1},{35611=5;35612=5;35613=5},,,,
42,8,100,{id=111},{1111=5;1112=5;1113=5},{id=171;star=1},{1711=5;1712=5;1713=5},{id=2011;star=1},{20111=5;20112=5;20113=5},{id=891;star=1},{8911=5;8912=5;8913=5},,,,
43,8,100,{id=541},{5411=5;5412=5;5413=5},{id=1351;star=1},{13511=5;13512=5;13513=5},{id=171;star=1},{1711=5;1712=5;1713=5},{id=2891;star=1},{28911=5;28912=5;28913=5},,,,
44,8,100,{id=121},{1211=5;1212=5;1213=5},{id=231;star=1},{2311=5;2312=5;2313=5},{id=541;star=1},{5411=5;5412=5;5413=5},{id=461;star=1},{4611=5;4612=5;4613=5},,,,
45,8,100,{id=1351},{13511=5;13512=5;13513=5},{id=81;star=1},{811=5;812=5;813=5},{id=891;star=1},{8911=5;8912=5;8913=5},{id=51;star=1},{511=5;512=5;513=5},,,,
46,8,100,{id=171},{1711=5;1712=5;1713=5},{id=1351;star=1},{13511=5;13512=5;13513=5},{id=451;star=1},{4511=5;4512=5;4513=5},{id=191;star=1},{1911=5;1912=5;1913=5},,,,
47,8,100,{id=41},{411=5;412=5;413=5},{id=171;star=1},{1711=5;1712=5;1713=5},{id=31;star=1},{311=5;312=5;313=5},{id=1351;star=1},{13511=5;13512=5;13513=5},,,,
48,8,100,{id=191},{1911=5;1912=5;1913=5},{id=301;star=1},{3011=5;3012=5;3013=5},{id=3561;star=1},{35611=5;35612=5;35613=5},{id=131;star=1},{1311=5;1312=5;1313=5},,,,
49,8,100,{id=71},{711=5;712=5;713=5},{id=111;star=1},{1111=5;1112=5;1113=5},{id=121;star=1},{1211=5;1212=5;1213=5},{id=191;star=1},{1911=5;1912=5;1913=5},,,,
50,8,100,{id=11},{111=5;112=5;113=5},{id=461;star=1},{4611=5;4612=5;4613=5},{id=781;star=1},{7811=5;7812=5;7813=5},{id=1351;star=1},{13511=5;13512=5;13513=5},,,,
51,8,100,{id=801},{8011=5;8012=5;8013=5},{id=461;star=1},{4611=5;4612=5;4613=5},{id=41;star=1},{411=5;412=5;413=5},{id=61;star=1},{611=5;612=5;613=5},,,,
52,8,100,{id=71},{711=5;712=5;713=5},{id=541;star=1},{5411=5;5412=5;5413=5},{id=1351;star=1},{13511=5;13512=5;13513=5},{id=171;star=1},{1711=5;1712=5;1713=5},,,,
53,8,100,{id=121},{1211=5;1212=5;1213=5},{id=541;star=1},{5411=5;5412=5;5413=5},{id=101;star=1},{1011=5;1012=5;1013=5},{id=461;star=1},{4611=5;4612=5;4613=5},,,,
54,8,100,{id=3561},{35611=5;35612=5;35613=5},{id=101;star=1},{1011=5;1012=5;1013=5},{id=1611;star=1},{16111=5;16112=5;16113=5},{id=541;star=1},{5411=5;5412=5;5413=5},,,,
55,8,100,{id=231},{2311=5;2312=5;2313=5},{id=71;star=1},{711=5;712=5;713=5},{id=121;star=1},{1211=5;1212=5;1213=5},{id=891;star=1},{8911=5;8912=5;8913=5},,,,
56,8,100,{id=451},{4511=5;4512=5;4513=5},{id=111;star=1},{1111=5;1112=5;1113=5},{id=231;star=1},{2311=5;2312=5;2313=5},{id=3561;star=1},{35611=5;35612=5;35613=5},,,,
57,8,100,{id=451},{4511=5;4512=5;4513=5},{id=3561;star=1},{35611=5;35612=5;35613=5},{id=101;star=1},{1011=5;1012=5;1013=5},{id=71;star=1},{711=5;712=5;713=5},,,,
58,8,100,{id=451},{4511=5;4512=5;4513=5},{id=301;star=1},{3011=5;3012=5;3013=5},{id=191;star=1},{1911=5;1912=5;1913=5},{id=2891;star=1},{28911=5;28912=5;28913=5},,,,
59,8,100,{id=891},{8911=5;8912=5;8913=5},{id=3561;star=1},{35611=5;35612=5;35613=5},{id=81;star=1},{811=5;812=5;813=5},{id=71;star=1},{711=5;712=5;713=5},,,,
60,8,100,{id=81},{811=5;812=5;813=5},{id=61;star=1},{611=5;612=5;613=5},{id=71;star=1},{711=5;712=5;713=5},{id=451;star=1},{4511=5;4512=5;4513=5},,,,
61,15,100,{id=541},{5411=7;5412=7;5413=7},{id=131;star=2},{1311=7;1312=7;1313=7},{id=451;star=2},{4511=7;4512=7;4513=7},{id=1351;star=2},{13511=7;13512=7;13513=7},,,,
62,15,100,{id=551},{5511=7;5512=7;5513=7},{id=301;star=2},{3011=7;3012=7;3013=7},{id=541;star=2},{5411=7;5412=7;5413=7},{id=891;star=2},{8911=7;8912=7;8913=7},,,,
63,15,100,{id=3561},{35611=7;35612=7;35613=7},{id=111;star=2},{1111=7;1112=7;1113=7},{id=2891;star=2},{28911=7;28912=7;28913=7},{id=81;star=2},{811=7;812=7;813=7},,,,
64,15,100,{id=131},{1311=7;1312=7;1313=7},{id=101;star=2},{1011=7;1012=7;1013=7},{id=41;star=2},{411=7;412=7;413=7},{id=451;star=2},{4511=7;4512=7;4513=7},,,,
65,15,100,{id=111},{1111=7;1112=7;1113=7},{id=61;star=2},{611=7;612=7;613=7},{id=121;star=2},{1211=7;1212=7;1213=7},{id=101;star=2},{1011=7;1012=7;1013=7},,,,
66,15,100,{id=11},{111=7;112=7;113=7},{id=2891;star=2},{28911=7;28912=7;28913=7},{id=1351;star=2},{13511=7;13512=7;13513=7},{id=171;star=2},{1711=7;1712=7;1713=7},,,,
67,15,100,{id=71},{711=7;712=7;713=7},{id=81;star=2},{811=7;812=7;813=7},{id=1351;star=2},{13511=7;13512=7;13513=7},{id=461;star=2},{4611=7;4612=7;4613=7},,,,
68,15,100,{id=451},{4511=7;4512=7;4513=7},{id=31;star=2},{311=7;312=7;313=7},{id=101;star=2},{1011=7;1012=7;1013=7},{id=131;star=2},{1311=7;1312=7;1313=7},,,,
69,15,100,{id=351},{3511=7;3512=7;3513=7},{id=3561;star=2},{35611=7;35612=7;35613=7},{id=131;star=2},{1311=7;1312=7;1313=7},{id=121;star=2},{1211=7;1212=7;1213=7},,,,
70,15,100,{id=231},{2311=7;2312=7;2313=7},{id=101;star=2},{1011=7;1012=7;1013=7},{id=191;star=2},{1911=7;1912=7;1913=7},{id=111;star=2},{1111=7;1112=7;1113=7},,,,
71,15,100,{id=1351},{13511=7;13512=7;13513=7},{id=111;star=2},{1111=7;1112=7;1113=7},{id=2011;star=2},{20111=7;20112=7;20113=7},{id=461;star=2},{4611=7;4612=7;4613=7},,,,
72,15,100,{id=451},{4511=7;4512=7;4513=7},{id=71;star=2},{711=7;712=7;713=7},{id=541;star=2},{5411=7;5412=7;5413=7},{id=81;star=2},{811=7;812=7;813=7},,,,
73,15,100,{id=3561},{35611=7;35612=7;35613=7},{id=301;star=2},{3011=7;3012=7;3013=7},{id=2011;star=2},{20111=7;20112=7;20113=7},{id=41;star=2},{411=7;412=7;413=7},,,,
74,15,100,{id=91},{911=7;912=7;913=7},{id=301;star=2},{3011=7;3012=7;3013=7},{id=121;star=2},{1211=7;1212=7;1213=7},{id=41;star=2},{411=7;412=7;413=7},,,,
75,15,100,{id=231},{2311=7;2312=7;2313=7},{id=121;star=2},{1211=7;1212=7;1213=7},{id=541;star=2},{5411=7;5412=7;5413=7},{id=171;star=2},{1711=7;1712=7;1713=7},,,,
76,15,100,{id=451},{4511=7;4512=7;4513=7},{id=111;star=2},{1111=7;1112=7;1113=7},{id=231;star=2},{2311=7;2312=7;2313=7},{id=41;star=2},{411=7;412=7;413=7},,,,
77,15,100,{id=171},{1711=7;1712=7;1713=7},{id=451;star=2},{4511=7;4512=7;4513=7},{id=1351;star=2},{13511=7;13512=7;13513=7},{id=2071;star=2},{20711=7;20712=7;20713=7},,,,
78,15,100,{id=891},{8911=7;8912=7;8913=7},{id=111;star=2},{1111=7;1112=7;1113=7},{id=191;star=2},{1911=7;1912=7;1913=7},{id=231;star=2},{2311=7;2312=7;2313=7},,,,
79,15,100,{id=11},{111=7;112=7;113=7},{id=451;star=2},{4511=7;4512=7;4513=7},{id=461;star=2},{4611=7;4612=7;4613=7},{id=131;star=2},{1311=7;1312=7;1313=7},,,,
80,15,100,{id=61},{611=7;612=7;613=7},{id=81;star=2},{811=7;812=7;813=7},{id=111;star=2},{1111=7;1112=7;1113=7},{id=1351;star=2},{13511=7;13512=7;13513=7},,,,
81,15,100,{id=191},{1911=9;1912=9;1913=9},{id=81;star=2},{811=9;812=9;813=9},{id=351;star=2},{3511=9;3512=9;3513=9},{id=1351;star=2},{13511=9;13512=9;13513=9},,,,
82,15,100,{id=31},{311=9;312=9;313=9},{id=301;star=2},{3011=9;3012=9;3013=9},{id=101;star=2},{1011=9;1012=9;1013=9},{id=51;star=2},{511=9;512=9;513=9},,,,
83,15,100,{id=11},{111=9;112=9;113=9},{id=891;star=2},{8911=9;8912=9;8913=9},{id=3561;star=2},{35611=9;35612=9;35613=9},{id=171;star=2},{1711=9;1712=9;1713=9},,,,
84,15,100,{id=781},{7811=9;7812=9;7813=9},{id=61;star=2},{611=9;612=9;613=9},{id=101;star=2},{1011=9;1012=9;1013=9},{id=131;star=2},{1311=9;1312=9;1313=9},,,,
85,15,100,{id=81},{811=9;812=9;813=9},{id=351;star=2},{3511=9;3512=9;3513=9},{id=1611;star=2},{16111=9;16112=9;16113=9},{id=111;star=2},{1111=9;1112=9;1113=9},,,,
86,15,100,{id=11},{111=9;112=9;113=9},{id=31;star=2},{311=9;312=9;313=9},{id=121;star=2},{1211=9;1212=9;1213=9},{id=191;star=2},{1911=9;1912=9;1913=9},,,,
87,15,100,{id=351},{3511=9;3512=9;3513=9},{id=2891;star=2},{28911=9;28912=9;28913=9},{id=191;star=2},{1911=9;1912=9;1913=9},{id=3561;star=2},{35611=9;35612=9;35613=9},,,,
88,15,100,{id=2481},{24811=9;24812=9;24813=9},{id=3561;star=2},{35611=9;35612=9;35613=9},{id=191;star=2},{1911=9;1912=9;1913=9},{id=2891;star=2},{28911=9;28912=9;28913=9},,,,
89,15,100,{id=11},{111=9;112=9;113=9},{id=121;star=2},{1211=9;1212=9;1213=9},{id=231;star=2},{2311=9;2312=9;2313=9},{id=461;star=2},{4611=9;4612=9;4613=9},,,,
90,15,100,{id=171},{1711=9;1712=9;1713=9},{id=301;star=2},{3011=9;3012=9;3013=9},{id=111;star=2},{1111=9;1112=9;1113=9},{id=31;star=2},{311=9;312=9;313=9},,,,
91,15,100,{id=1351},{13511=9;13512=9;13513=9},{id=3561;star=2},{35611=9;35612=9;35613=9},{id=111;star=2},{1111=9;1112=9;1113=9},{id=891;star=2},{8911=9;8912=9;8913=9},,,,
92,15,100,{id=171},{1711=9;1712=9;1713=9},{id=61;star=2},{611=9;612=9;613=9},{id=1611;star=2},{16111=9;16112=9;16113=9},{id=541;star=2},{5411=9;5412=9;5413=9},,,,
93,15,100,{id=191},{1911=9;1912=9;1913=9},{id=171;star=2},{1711=9;1712=9;1713=9},{id=81;star=2},{811=9;812=9;813=9},{id=1351;star=2},{13511=9;13512=9;13513=9},,,,
94,15,100,{id=11},{111=9;112=9;113=9},{id=891;star=2},{8911=9;8912=9;8913=9},{id=2011;star=2},{20111=9;20112=9;20113=9},{id=171;star=2},{1711=9;1712=9;1713=9},,,,
95,15,100,{id=11},{111=9;112=9;113=9},{id=171;star=2},{1711=9;1712=9;1713=9},{id=781;star=2},{7811=9;7812=9;7813=9},{id=71;star=2},{711=9;712=9;713=9},,,,
96,15,100,{id=11},{111=9;112=9;113=9},{id=351;star=2},{3511=9;3512=9;3513=9},{id=171;star=2},{1711=9;1712=9;1713=9},{id=81;star=2},{811=9;812=9;813=9},,,,
97,15,100,{id=801},{8011=9;8012=9;8013=9},{id=391;star=2},{3911=9;3912=9;3913=9},{id=61;star=2},{611=9;612=9;613=9},{id=131;star=2},{1311=9;1312=9;1313=9},,,,
98,15,100,{id=11},{111=9;112=9;113=9},{id=891;star=2},{8911=9;8912=9;8913=9},{id=2011;star=2},{20111=9;20112=9;20113=9},{id=171;star=2},{1711=9;1712=9;1713=9},,,,
99,15,100,{id=81},{811=9;812=9;813=9},{id=1351;star=2},{13511=9;13512=9;13513=9},{id=1611;star=2},{16111=9;16112=9;16113=9},{id=171;star=2},{1711=9;1712=9;1713=9},,,,
100,15,100,{id=131},{1311=9;1312=9;1313=9},{id=111;star=2},{1111=9;1112=9;1113=9},{id=31;star=2},{311=9;312=9;313=9},{id=461;star=2},{4611=9;4612=9;4613=9},,,,
101,15,100,{id=3561},{35611=11;35612=11;35613=11},{id=451;star=2},{4511=11;4512=11;4513=11},{id=31;star=2},{311=11;312=11;313=11},{id=351;star=2},{3511=11;3512=11;3513=11},,,,
102,15,100,{id=31},{311=11;312=11;313=11},{id=101;star=2},{1011=11;1012=11;1013=11},{id=461;star=2},{4611=11;4612=11;4613=11},{id=1351;star=2},{13511=11;13512=11;13513=11},,,,
103,15,100,{id=2071},{20711=11;20712=11;20713=11},{id=301;star=2},{3011=11;3012=11;3013=11},{id=451;star=2},{4511=11;4512=11;4513=11},{id=121;star=2},{1211=11;1212=11;1213=11},,,,
104,15,100,{id=2631},{26311=11;26312=11;26313=11},{id=891;star=2},{8911=11;8912=11;8913=11},{id=171;star=2},{1711=11;1712=11;1713=11},{id=81;star=2},{811=11;812=11;813=11},,,,
105,15,100,{id=121},{1211=11;1212=11;1213=11},{id=171;star=2},{1711=11;1712=11;1713=11},{id=1611;star=2},{16111=11;16112=11;16113=11},{id=111;star=2},{1111=11;1112=11;1113=11},,,,
106,15,100,{id=121},{1211=11;1212=11;1213=11},{id=301;star=2},{3011=11;3012=11;3013=11},{id=101;star=2},{1011=11;1012=11;1013=11},{id=31;star=2},{311=11;312=11;313=11},,,,
107,15,100,{id=351},{3511=11;3512=11;3513=11},{id=231;star=2},{2311=11;2312=11;2313=11},{id=3561;star=2},{35611=11;35612=11;35613=11},{id=891;star=2},{8911=11;8912=11;8913=11},,,,
108,15,100,{id=81},{811=11;812=11;813=11},{id=451;star=2},{4511=11;4512=11;4513=11},{id=231;star=2},{2311=11;2312=11;2313=11},{id=51;star=2},{511=11;512=11;513=11},,,,
109,15,100,{id=451},{4511=11;4512=11;4513=11},{id=231;star=2},{2311=11;2312=11;2313=11},{id=2011;star=2},{20111=11;20112=11;20113=11},{id=171;star=2},{1711=11;1712=11;1713=11},,,,
110,15,100,{id=121},{1211=11;1212=11;1213=11},{id=1351;star=2},{13511=11;13512=11;13513=11},{id=2011;star=2},{20111=11;20112=11;20113=11},{id=2891;star=2},{28911=11;28912=11;28913=11},,,,
111,15,100,{id=131},{1311=11;1312=11;1313=11},{id=1;star=2},{11=11;12=11;13=11},{id=31;star=2},{311=11;312=11;313=11},{id=3561;star=2},{35611=11;35612=11;35613=11},,,,
112,15,100,{id=461},{4611=11;4612=11;4613=11},{id=301;star=2},{3011=11;3012=11;3013=11},{id=351;star=2},{3511=11;3512=11;3513=11},{id=71;star=2},{711=11;712=11;713=11},,,,
113,15,100,{id=3011},{30111=11;30112=11;30113=11},{id=31;star=2},{311=11;312=11;313=11},{id=231;star=2},{2311=11;2312=11;2313=11},{id=191;star=2},{1911=11;1912=11;1913=11},,,,
114,15,100,{id=111},{1111=11;1112=11;1113=11},{id=2891;star=2},{28911=11;28912=11;28913=11},{id=101;star=2},{1011=11;1012=11;1013=11},{id=451;star=2},{4511=11;4512=11;4513=11},,,,
115,15,100,{id=351},{3511=11;3512=11;3513=11},{id=131;star=2},{1311=11;1312=11;1313=11},{id=81;star=2},{811=11;812=11;813=11},{id=2071;star=2},{20711=11;20712=11;20713=11},,,,
116,15,100,{id=61},{611=11;612=11;613=11},{id=111;star=2},{1111=11;1112=11;1113=11},{id=891;star=2},{8911=11;8912=11;8913=11},{id=121;star=2},{1211=11;1212=11;1213=11},,,,
117,15,100,{id=3431},{34311=11;34312=11;34313=11},{id=121;star=2},{1211=11;1212=11;1213=11},{id=351;star=2},{3511=11;3512=11;3513=11},{id=461;star=2},{4611=11;4612=11;4613=11},,,,
118,15,100,{id=891},{8911=11;8912=11;8913=11},{id=171;star=2},{1711=11;1712=11;1713=11},{id=1351;star=2},{13511=11;13512=11;13513=11},{id=461;star=2},{4611=11;4612=11;4613=11},,,,
119,15,100,{id=11},{111=11;112=11;113=11},{id=541;star=2},{5411=11;5412=11;5413=11},{id=111;star=2},{1111=11;1112=11;1113=11},{id=171;star=2},{1711=11;1712=11;1713=11},,,,
120,15,100,{id=891},{8911=11;8912=11;8913=11},{id=71;star=2},{711=11;712=11;713=11},{id=1351;star=2},{13511=11;13512=11;13513=11},{id=171;star=2},{1711=11;1712=11;1713=11},,,,
121,20,100,{id=3291},{32911=13;32912=13;32913=13},{id=371;star=3},{3711=13;3712=13;3713=13},{id=2301;star=3},{23011=13;23012=13;23013=13},{id=2071;star=3},{20711=13;20712=13;20713=13},{id=491;star=3},{4911=13;4912=13;4913=13},,
122,20,100,{id=781},{7811=13;7812=13;7813=13},{id=3281;star=3},{32811=13;32812=13;32813=13},{id=461;star=3},{4611=13;4612=13;4613=13},{id=21;star=3},{211=13;212=13;213=13},{id=11;star=3},{111=13;112=13;113=13},,
123,20,100,{id=781},{7811=13;7812=13;7813=13},{id=1861;star=3},{18611=13;18612=13;18613=13},{id=2481;star=3},{24811=13;24812=13;24813=13},{id=2961;star=3},{29611=13;29612=13;29613=13},{id=1;star=3},{11=13;12=13;13=13},,
124,20,100,{id=2591},{25911=13;25912=13;25913=13},{id=11;star=3},{111=13;112=13;113=13},{id=1171;star=3},{11711=13;11712=13;11713=13},{id=781;star=3},{7811=13;7812=13;7813=13},{id=91;star=3},{911=13;912=13;913=13},,
125,20,100,{id=781},{7811=13;7812=13;7813=13},{id=2071;star=3},{20711=13;20712=13;20713=13},{id=2611;star=3},{26111=13;26112=13;26113=13},{id=371;star=3},{3711=13;3712=13;3713=13},{id=2821;star=3},{28211=13;28212=13;28213=13},,
126,20,100,{id=2011},{20111=13;20112=13;20113=13},{id=2681;star=3},{26811=13;26812=13;26813=13},{id=691;star=3},{6911=13;6912=13;6913=13},{id=3411;star=3},{34111=13;34112=13;34113=13},{id=3291;star=3},{32911=13;32912=13;32913=13},,
127,20,100,{id=2271},{22711=13;22712=13;22713=13},{id=2871;star=3},{28711=13;28712=13;28713=13},{id=2611;star=3},{26111=13;26112=13;26113=13},{id=2921;star=3},{29211=13;29212=13;29213=13},{id=491;star=3},{4911=13;4912=13;4913=13},,
128,20,100,{id=2871},{28711=13;28712=13;28713=13},{id=2071;star=3},{20711=13;20712=13;20713=13},{id=3281;star=3},{32811=13;32812=13;32813=13},{id=3471;star=3},{34711=13;34712=13;34713=13},{id=371;star=3},{3711=13;3712=13;3713=13},,
129,20,100,{id=2961},{29611=13;29612=13;29613=13},{id=2271;star=3},{22711=13;22712=13;22713=13},{id=3281;star=3},{32811=13;32812=13;32813=13},{id=691;star=3},{6911=13;6912=13;6913=13},{id=801;star=3},{8011=13;8012=13;8013=13},,
