﻿变量名,huodongID,pointNode,award1,award2,res,resOpen
1001,1001,50,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
1002,1001,100,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
1003,1001,150,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
1004,1001,200,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
1005,1001,250,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
1006,1001,300,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
,,,,,,
2001,1002,50,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
2002,1002,100,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
2003,1002,150,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
2004,1002,200,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
2005,1002,250,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
2006,1002,300,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
,,,,,,
3001,1003,50,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
3002,1003,100,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
3003,1003,150,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
3004,1003,200,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
3005,1003,250,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
3006,1003,300,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
,,,,,,
4001,1004,50,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
4002,1004,100,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
4003,1004,150,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
4004,1004,200,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
4005,1004,250,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
4006,1004,300,{rmb=50;502=1;gold=100000},{rmb=50;502=1;gold=100000},other/gain_gold/icon_box5.png,other/gain_gold/icon_box_open5.png
