"﻿变量名",huodongID,_beizhu,daySum,amount,desc,desc_tw,desc_en,desc_vn,desc_kr,award,special
212,4013,Continuous recharge of 30 yuan after opening the server,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21421=10;2103=2;gold=70000},
213,4013,Continuous recharge of 30 yuan after opening the server,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21421=10;2103=2;gold=80000},
214,4013,Continuous recharge of 30 yuan after opening the server,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21421=10;2103=2;gold=90000},
215,4013,Continuous recharge of 30 yuan after opening the server,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21421=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
221,4014,Continuous recharge of 30 yuan after server opening-Shuiyueyu,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21311=10;516=6;gold=60000},
222,4014,Continuous recharge of 30 yuan after server opening-Shuiyueyu,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21311=10;516=6;gold=70000},
223,4014,Continuous recharge of 30 yuan after server opening-Shuiyueyu,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21311=10;516=6;gold=80000},
224,4014,Continuous recharge of 30 yuan after server opening-Shuiyueyu,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21311=10;516=6;gold=90000},
225,4014,Continuous recharge of 30 yuan after server opening-Shuiyueyu,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21311=10;516=6;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1001,4101,Continuous recharge 30 yuan - lightning bird,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20731=10;2103=2;gold=60000},
1002,4101,Continuous recharge 30 yuan - lightning bird,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20731=10;2103=2;gold=70000},
1003,4101,Continuous recharge 30 yuan - lightning bird,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20731=10;2103=2;gold=80000},
1004,4101,Continuous recharge 30 yuan - lightning bird,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20731=10;2103=2;gold=90000},
1005,4101,Continuous recharge 30 yuan - lightning bird,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20731=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1011,4102,Continuous recharge 30 yuan - sticky treasure,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23541=10;2103=2;gold=60000},
1012,4102,Continuous recharge 30 yuan - sticky treasure,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23541=10;2103=2;gold=70000},
1013,4102,Continuous recharge 30 yuan - sticky treasure,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23541=10;2103=2;gold=80000},
1014,4102,Continuous recharge 30 yuan - sticky treasure,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{23541=10;2103=2;gold=90000},
1015,4102,Continuous recharge 30 yuan - sticky treasure,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};23541=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1021,4103,Continuous recharge of 30 yuan - Guisi,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20391=10;2103=2;gold=60000},
1022,4103,Continuous recharge of 30 yuan - Guisi,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20391=10;2103=2;gold=70000},
1023,4103,Continuous recharge of 30 yuan - Guisi,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20391=10;2103=2;gold=80000},
1024,4103,Continuous recharge of 30 yuan - Guisi,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20391=10;2103=2;gold=90000},
1025,4103,Continuous recharge of 30 yuan - Guisi,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20391=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1031,4104,Continuous recharge 30 yuan - Suicune,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21241=10;2103=2;gold=60000},
1032,4104,Continuous recharge 30 yuan - Suicune,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21241=10;2103=2;gold=70000},
1033,4104,Continuous recharge 30 yuan - Suicune,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21241=10;2103=2;gold=80000},
1034,4104,Continuous recharge 30 yuan - Suicune,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21241=10;2103=2;gold=90000},
1035,4104,Continuous recharge 30 yuan - Suicune,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21241=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1041,4105,Continuous recharge of 30 yuan - Lalulas,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21391=10;2103=2;gold=60000},
1042,4105,Continuous recharge of 30 yuan - Lalulas,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21391=10;2103=2;gold=70000},
1043,4105,Continuous recharge of 30 yuan - Lalulas,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21391=10;2103=2;gold=80000},
1044,4105,Continuous recharge of 30 yuan - Lalulas,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21391=10;2103=2;gold=90000},
1045,4105,Continuous recharge of 30 yuan - Lalulas,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21391=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1051,4106,Continuous recharge 30 yuan - Frozen Bird,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20721=10;2103=2;gold=60000},
1052,4106,Continuous recharge 30 yuan - Frozen Bird,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20721=10;2103=2;gold=70000},
1053,4106,Continuous recharge 30 yuan - Frozen Bird,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20721=10;2103=2;gold=80000},
1054,4106,Continuous recharge 30 yuan - Frozen Bird,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20721=10;2103=2;gold=90000},
1055,4106,Continuous recharge 30 yuan - Frozen Bird,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20721=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1061,4107,Continuous recharge of 30 yuan - Yandi,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21231=10;2103=2;gold=60000},
1062,4107,Continuous recharge of 30 yuan - Yandi,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21231=10;2103=2;gold=60000},
1063,4107,Continuous recharge of 30 yuan - Yandi,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21231=10;2103=2;gold=60000},
1064,4107,Continuous recharge of 30 yuan - Yandi,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21231=10;2103=2;gold=60000},
1065,4107,Continuous recharge of 30 yuan - Yandi,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21231=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1071,4108,Continuous recharge 30 yuan - duckbill baby,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20601=10;2103=2;gold=60000},
1072,4108,Continuous recharge 30 yuan - duckbill baby,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20601=10;2103=2;gold=70000},
1073,4108,Continuous recharge 30 yuan - duckbill baby,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20601=10;2103=2;gold=80000},
1074,4108,Continuous recharge 30 yuan - duckbill baby,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20601=10;2103=2;gold=90000},
1075,4108,Continuous recharge 30 yuan - duckbill baby,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20601=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1081,4109,Continuous recharge of 30 yuan - Wood Shougong,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20571=10;2103=2;gold=60000},
1082,4109,Continuous recharge of 30 yuan - Wood Shougong,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20571=10;2103=2;gold=70000},
1083,4109,Continuous recharge of 30 yuan - Wood Shougong,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20571=10;2103=2;gold=80000},
1084,4109,Continuous recharge of 30 yuan - Wood Shougong,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20571=10;2103=2;gold=90000},
1085,4109,Continuous recharge of 30 yuan - Wood Shougong,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20571=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1091,4110,Continuous recharge of 30 yuan - wind speed dog,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20241=10;2103=2;gold=60000},
1092,4110,Continuous recharge of 30 yuan - wind speed dog,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20241=10;2103=2;gold=70000},
1093,4110,Continuous recharge of 30 yuan - wind speed dog,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20241=10;2103=2;gold=80000},
1094,4110,Continuous recharge of 30 yuan - wind speed dog,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20241=10;2103=2;gold=90000},
1095,4110,Continuous recharge of 30 yuan - wind speed dog,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20241=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1101,4111,Continuous recharge 30 yuan - flame bird,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20741=10;2103=2;gold=60000},
1102,4111,Continuous recharge 30 yuan - flame bird,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20741=10;2103=2;gold=70000},
1103,4111,Continuous recharge 30 yuan - flame bird,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20741=10;2103=2;gold=80000},
1104,4111,Continuous recharge 30 yuan - flame bird,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20741=10;2103=2;gold=90000},
1105,4111,Continuous recharge 30 yuan - flame bird,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20741=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1111,4112,Continuous recharge of 30 yuan-Hua La,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21081=10;2103=2;gold=60000},
1112,4112,Continuous recharge of 30 yuan-Hua La,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21081=10;2103=2;gold=70000},
1113,4112,Continuous recharge of 30 yuan-Hua La,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21081=10;2103=2;gold=80000},
1114,4112,Continuous recharge of 30 yuan-Hua La,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21081=10;2103=2;gold=90000},
1115,4112,Continuous recharge of 30 yuan-Hua La,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21081=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1121,4113,Continuous recharge 30 yuan - Leigong,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21221=10;2103=2;gold=60000},
1122,4113,Continuous recharge 30 yuan - Leigong,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21221=10;2103=2;gold=70000},
1123,4113,Continuous recharge 30 yuan - Leigong,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21221=10;2103=2;gold=80000},
1124,4113,Continuous recharge 30 yuan - Leigong,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{21221=10;2103=2;gold=90000},
1125,4113,Continuous recharge 30 yuan - Leigong,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};21221=10;2103=2;gold=100000},{card={id=9002}}
,,,,,,,,,,,
1131,4114,Continuous recharge 30 yuan - one-horned rhinoceros,1,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20491=10;2103=2;gold=60000},
1132,4114,Continuous recharge 30 yuan - one-horned rhinoceros,2,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20491=10;2103=2;gold=70000},
1133,4114,Continuous recharge 30 yuan - one-horned rhinoceros,3,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20491=10;2103=2;gold=80000},
1134,4114,Continuous recharge 30 yuan - one-horned rhinoceros,4,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{20491=10;2103=2;gold=90000},
1135,4114,Continuous recharge 30 yuan - one-horned rhinoceros,5,300,Cumulative Recharge 300 Diamond,累計儲值300鑽石,Cumulative Recharge 300 Diamond,Tính gộp lại nạp tiền 300 Kim cương,300다이아 누적 충전,{card={id=9002};20491=10;2103=2;gold=100000},{card={id=9002}}
