"﻿变量名",_beizhu,name,name_tw,name_en,name_vn,name_kr,icon,icon1,rDesc,rDesc_tw,rDesc_en,rDesc_vn,rDesc_kr,type,independent,desc,desc_tw,desc_en,desc_vn,desc_kr,paramMap,clientParam,huodongID,countType,openType,validServerOpenDateRange,validRoleCreatedDateRange,beginDate,beginTime,beginTime_kr,beginTime_en,endDate,endTime,endTime_kr,endTime_en,relativeDayRange,openDuration,leastLevel,leastVipLevel,serverDayRange,roleDayRange,servers,languages,active,sortWeight,redpoint
"16",Welcome Email_kr Reservation Rewards,,,,,,,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,-1,-1,Daily Login Rewards,每日登陸獎勵,Daily login reward,Mỗi ngày đăng lục ban thưởng,일일 로그인 보상,{mailID=131},,,,4,<20160101;20990101>,,20190816,500,0,0,20210224,500,0,0,<0;0>,5000000,,,,,,<kr>,1,0,
"17",Welcome Email_kr Reservation Rewards,,,,,,,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,-1,-1,Daily Login Rewards,每日登陸獎勵,Daily login reward,Mỗi ngày đăng lục ban thưởng,일일 로그인 보상,{mailID=132},,,,4,<20160101;20990101>,,20190816,500,0,0,20210224,500,0,0,<0;0>,5000000,,,,,,<kr>,1,0,
"18",Welcome Email_kr Reservation Rewards,,,,,,,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,-1,-1,Daily Login Rewards,每日登陸獎勵,Daily login reward,Mỗi ngày đăng lục ban thưởng,일일 로그인 보상,{mailID=133},,,,4,<20160101;20990101>,,20190816,500,0,0,20210224,500,0,0,<0;0>,5000000,,,,,,<kr>,1,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20",Formal-Server Opening Carnival Poster,,,,,,,,,,,,,8,-1,Formal-Server Opening Carnival Poster,正式-開服狂歡海報,Official - Open Server Carnival Poster,404404,정식-서버 오픈 축제 포스터,,{res=config/poster/img_hb_kfkh@.png},,,3,<20160101;20990101>,,20190816,500,0,0,,500,0,0,<0;6>,5000000,6,,,,,<cn;tw;en;kr>,1,1,
"21",Formal - Fantasy Poster,,,,,,,,,,,,,8,-1,Formal - Fantasy Poster,正式-夢幻海報,Official - Mew Poster,404404,정식-뮤 포스터,,{res=config/poster/img_hb_kfjnh@.png},,,4,<20160101;20990101>,,20190816,500,0,0,,500,0,0,<0;6>,5000000,6,,,,,<cn;tw;en;kr>,1,1,
"22",Formal - First Punch,,,,,,,,,,,,,8,-1,Formal - First Punch,正式-首沖,Official - First purchase,404404,정식-첫 충전,,{res=config/poster/img_hb_jhrw@.png},,,4,<20160101;20990101>,,20190816,500,0,0,,500,0,0,<0;1>,5000000,6,,,,,<cn;tw;en;kr>,1,1,
"23",Formal-Limited Time Package,,,,,,,,,,,,,8,-1,Formal-Limited Time Package,正式-限時禮包,Official - Time-limited Pack,404404,정식-한정 패키지,,{res=config/poster/img_hb_xianshilibao@.png},,,4,<20160101;20990101>,,20190816,500,0,0,,500,0,0,<0;3>,5000000,6,,,,,<cn;tw;en;kr>,1,1,
"24",Formal-Ten consecutive draw text preview,Login to get ten consecutive draws,登入送十連抽,Free 10x draws,404404,로그인 10연속 뽑기 증정,,,"Log in on the first day of server opening and you will get ten consecutive draws, go and summon the elves!",開服首日登錄即豪送十連抽，快去召喚精靈吧！,Get 10 consecutive draws on the first day of server opening. Time to summon some Pokémons!,404404,오픈 첫 날 로그인 시 10연속 뽑기를 증정합니다. 어서 포켓몬을 소환해 보세요!,8,0,Login to get ten consecutive draws,登入送十連抽,Free 10x draws,404404,로그인 10연속 뽑기 증정,,,,,4,<20160101;20990101>,,20190902,500,0,0,,500,0,0,<0;0>,5000000,6,,,,,<cn;tw;en;kr>,1,1,
,First Test-Welcome Poster_The last test has been deprecated,,,,,,,,,,,,,8,-1,First Charge Poster,首儲海報,First purchase poster,404404,첫 충전 포스터,,{res=config/poster/img_hb_scsl@.png},,,4,,,20190816,500,0,0,,500,0,0,<0;3>,5000000,1,,,,,<cn;tw;en;kr>,1,1,
,First Test-Welcome Poster_The last test has been deprecated,,,,,,,,,,,,,8,-1,First Charge Poster,首儲海報,First purchase poster,404404,첫 충전 포스터,,{res=config/poster/img_hb_scsl@.png},,,4,,,20190816,500,0,0,,500,0,0,<0;3>,5000000,1,,,,,<cn;tw;en;kr>,1,1,
,First Test-Welcome Poster_The last test has been deprecated,,,,,,,,,,,,,8,-1,First Charge Poster,首儲海報,First purchase poster,404404,첫 충전 포스터,,{res=config/poster/img_hb_scsl@.png},,,4,,,20190816,500,0,0,,500,0,0,<0;3>,5000000,1,,,,,<cn;tw;en;kr>,1,1,
,First Test-Item Discount_The last test has been abandoned,,,,,,,3,"During the event period, props are on sale at a discount!",活動時間內，道具打折售賣!,Items are on sale during event period!,404404,이벤트 기간 동안 아이템을 할인된 가격으로 판매합니다!,23,,limited time discount,限時打折,Time-limited sale,404404,한정 할인,,,23131,,4,,,20190705,500,0,0,,500,0,0,<0;7>,5000000,1,,<1;9999>,,,<cn;tw;en;kr>,0,6,1
,The first test-cumulative login_The last test is obsolete,,,,,,,1,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,14,0,Cumulative login,累計登入,Total No. of logins,Đăng nhập tích lũy,누적 로그인,,,8830,,4,,,20190705,500,0,0,,500,0,0,<0;7>,5000000,1,,,,,<cn;tw;en;kr>,1,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30",Temporary use-first charge_fixed,First-purchase Event,首儲活動,First-purchase Event,404404,첫 충전 이벤트,city/main/icon_sc@.png,,,,,,,1,1,First charge activity,首儲活動,First-purchase Event,404404,첫 충전 이벤트,{rmb=0;award={card={id=3301};gold=200000;500=1;11=50;2005=1}},{page=1;resBg=activity/first_recharge/bg_hd_sc1@.png},,,0,,,20191118,500,0,0,,500,0,0,<0;9999>,5000000,,,,,{dev=<1;2>},,0,1,1
"31",Temporarily disabled-luxury first charge_fixed,First-purchase Event,首儲活動,First-purchase Event,404404,첫 충전 이벤트,city/main/icon_sc@.png,,,,,,,1,1,First charge activity,首儲活動,First-purchase Event,404404,첫 충전 이벤트,{rmb=300;award={2204=1;19=5;card={id=9001};13=20;gold=200000}},{page=2;resBg=activity/first_recharge/bg_hd_sc2@.png},,,0,,,20191118,500,0,0,,500,0,0,<0;9999>,5000000,,,,,{dev=<1;2>},,0,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32",Official version 2 - first charge_fixed,First-purchase Event,首儲活動,First-purchase Event,404404,첫 충전 이벤트,city/main/icon_sc@.png,,,,,,,1,1,First charge activity,首儲活動,First-purchase Event,404404,첫 충전 이벤트,{rmb=0;award={card={id=3301};gold=200000;500=1;11=50;2005=1}},{page=1;resBg=activity/first_recharge/bg_hd_sc1@.png},,,0,<20160101;20990101>,,20191118,500,0,0,,500,0,0,<0;9999>,5000000,,,,,{dev=<1;999999>;cn=<1;999999>;cn_qd=<1;999999>;kr=<1;999999>;xy=<1;999999>;en=<1;999999>;tw=<1;999999>},<cn;tw;en;kr>,1,1,1
"33",Official Version 2-Luxury First Charge_Fixed,First-purchase Event,首儲活動,First-purchase Event,404404,첫 충전 이벤트,city/main/icon_sc@.png,,,,,,,1,1,First charge activity,首儲活動,First-purchase Event,404404,첫 충전 이벤트,{rmb=980;award={922=1;942=1;19=10;13=20;gold=500000}},{page=2;resBg=activity/first_recharge/bg_hd_sc3@.png},,,0,<20160101;20990101>,,20191118,500,0,0,,500,0,0,<0;9999>,5000000,,,,,{dev=<1;999999>;cn=<1;999999>;cn_qd=<1;999999>;kr=<1;999999>;xy=<1;999999>;en=<1;999999>;tw=<1;999999>},<cn;tw;en;kr>,1,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35",Formal - Server Opening Carnival,,,,,,city/main/icon_kfjnh.png,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,15,1,Open Server Carnival,開服嘉年華,Open Server Carnival,404404,서버 오픈 축제,{itemId=20771},{type=kaifu},12002,,4,<20160101;20990101>,,20190705,500,0,0,,500,0,0,<0;29>,5000000,6,,,,,<cn;tw;en;kr>,1,22,1
"36",Formal-Strength Ranking_Server Opening Event_Independent Entrance,,,,,,city/main/icon_zlph.png,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,16,1,Power Ranking,戰力排行,Combat power ranking,Chiến lực xếp hạng,전투력 순위,{card=1271},,1001,,3,<20160101;20990101>,,20190719,500,0,0,,500,0,0,<0;7>,5000000,20,,,,{dev=<1;1>;cn=<45;57>;cn_qd=<58;188>},<cn;tw;en;kr>,1,15,1
"37",Formal-Strength Ranking_Server Opening Event_Independent Entrance,After Qingming,清明之後,404,404404,청명 이후,city/main/icon_zlph.png,,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,16,1,Power Ranking,戰力排行,Combat power ranking,Chiến lực xếp hạng,전투력 순위,{card=1271},,1001,,3,<20160101;20990101>,,20190719,500,0,0,,500,0,0,<0;6>,5000000,20,,,,{dev=<1;9999>;cn=<58;999999>;cn_qd=<189;999999>;kr=<1;999999>;xy=<1;999999>;en=<1;999999>;tw=<1;999999>},<cn;tw;en;kr>,1,15,1
,Formal-Level Package,,,,,,,2,"During the event time, complete the corresponding goals to get rewards!",活動時間內，完成對應目標就可以獲得獎勵！,"During the event period, you can win rewards by completing the corresponding target!","Thời gian hoạt động bên trong, hoàn thành đối ứng mục tiêu liền có thể thu hoạch được ban thưởng!",이벤트 기간에 해당 목표 완료 시 보상을 획득할 수 있습니다!,14,0,Level gift pack,等級禮包,Level Pack,404404,레벨 패키지,,,8827,,4,,,20190705,500,0,0,,500,0,0,<0;999>,5000000,1,,,,,<cn;tw;en;kr>,1,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40",Formal - direct purchase package - Chuangjiao 3 days,,,,,,,1,,,,,,33,,direct purchase package,直購禮包,Direct Purchase Pack,404404,직구 패키지,,,23101,1,4,,,20190902,500,0,0,,500,0,0,<0;2>,5000000,1,,,,{dev=<1;2>;cn=<1;2>;xy=<1;999999>},<cn;tw;en;kr>,1,10,1
"41",Formal - direct purchase package - Chuangjiao 6 days,,,,,,,1,,,,,,33,,direct purchase package,直購禮包,Direct Purchase Pack,404404,직구 패키지,,,23102,1,4,,,20190902,500,0,0,,500,0,0,<3;6>,5000000,1,,,,{dev=<1;2>;cn=<1;2>;xy=<1;999999>},<cn;tw;en;kr>,1,10,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45",Formal - direct purchase package - Chuangjiao 3 days,,,,,,,1,,,,,,33,,limited time package,限時禮包,Time-limited Pack,404404,기간한정 패키지,,,23103,1,4,,,20190902,500,0,0,,500,0,0,<0;2>,5000000,1,,,,{dev=<3;9999>;cn=<3;999999>;cn_qd=<1;999999>;xy=<1;999999>},<cn;tw;en;kr>,1,10,1
"46",Formal - direct purchase package - Chuangjiao 6 days,,,,,,,1,,,,,,33,,limited time package,限時禮包,Time-limited Pack,404404,기간한정 패키지,,,23104,1,4,,,20190902,500,0,0,,500,0,0,<3;6>,5000000,1,,,,{dev=<3;9999>;cn=<3;999999>;cn_qd=<1;999999>;xy=<1;999999>},<cn;tw;en;kr>,1,10,1
"47",Formal-direct purchase gift package-day gift package,,,,,,,1,,,,,,33,,Daily gift pack,每日禮包,Daily Pack,404404,일일 패키지,,,23111,1,4,,,20190902,500,0,0,,500,0,0,<0;6>,5000000,1,,,,{dev=<3;9999>;cn=<3;999999>;cn_qd=<1;999999>;xy=<1;999999>},<cn;tw;en;kr>,1,19,1
,Formal-direct purchase gift package-weekly gift package,,,,,,,1,,,,,,33,,direct purchase package,直購禮包,Direct Purchase Pack,404404,직구 패키지,,,23112,1,4,,,20190902,500,0,0,,500,0,0,<0;6>,5000000,1,,,,,<cn;tw;en;kr>,1,10,1
,Formal - direct purchase package - Chuangjiao 3 days,,,,,,,1,,,,,,33,,direct purchase package,直購禮包,Direct Purchase Pack,404404,직구 패키지,,,23101,1,0,,,20200105,500,0,0,20200109,500,0,0,,96,1,,,<3;9999>,,<cn;tw;en;kr>,1,10,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50",Official - daily recharge 30 - first week - old server,,,,,,,2,"During the activity period, recharge for 5 consecutive days to get the target reward",活動時間內，連續儲值5天即可獲得目標獎勵,"During the event period, make purchases for 5 consecutive days to get the target rewards",404404,이벤트 기간 동안 연속 5일 충전 시 목표 보상을 획득할 수 있습니다!,4,0,Daily recharge,每日連續儲值,Daily Top-up,404404,일일 연속 충전,,{hero=config/big_hero/normal/img_132_bbg_c@.png},4011,,4,,,20190902,500,0,0,,500,0,0,<0;6>,5000000,1,,,,,<cn;tw;en;kr>,1,20,1
"51",Formal - daily continuous recharge 30 - second week - all,,,,,,,2,"During the activity period, recharge for 5 consecutive days to get the target reward",活動時間內，連續儲值5天即可獲得目標獎勵,"During the event period, make purchases for 5 consecutive days to get the target rewards",404404,이벤트 기간 동안 연속 5일 충전 시 목표 보상을 획득할 수 있습니다!,4,0,Daily recharge,每日連續儲值,Daily Top-up,404404,일일 연속 충전,,{hero=config/big_hero/normal/img_132_bbg_c@.png},4012,,4,<20160101;20990101>,,20190902,500,0,0,,500,0,0,<7;13>,5000000,1,,,,,<cn;tw;en;kr>,1,20,1
"52",Formal - daily continuous recharge 30 - the third week - all,,,,,,,2,"During the activity period, recharge for 5 consecutive days to get the target reward",活動時間內，連續儲值5天即可獲得目標獎勵,"During the event period, make purchases for 5 consecutive days to get the target rewards",404404,이벤트 기간 동안 연속 5일 충전 시 목표 보상을 획득할 수 있습니다!,4,0,Daily recharge,每日連續儲值,Daily Top-up,404404,일일 연속 충전,,{hero=config/big_hero/normal/img_132_bbg_c@.png},4013,,4,<20160101;20990101>,,20190902,500,0,0,,500,0,0,<14;20>,5000000,1,,," ",,<cn;tw;en;kr>,1,20,1
"53",Formal - 30 consecutive daily recharges - the first week - formal,Channel Test Adjustments,管道測試調整,404,404404,채널 테스트 조정,,2,"During the activity period, recharge for 5 consecutive days to get the target reward",活動時間內，連續儲值5天即可獲得目標獎勵,"During the event period, make purchases for 5 consecutive days to get the target rewards",404404,이벤트 기간 동안 연속 5일 충전 시 목표 보상을 획득할 수 있습니다!,4,0,Daily recharge,每日連續儲值,Daily Top-up,404404,일일 연속 충전,,{hero=config/big_hero/normal/img_132_bbg_c@.png},4014,,4,<20200220;20990101>,,20190902,500,0,0,,500,0,0,<0;6>,5000000,1,,,,,<cn;tw;en;kr>,1,20,1
"54",Officially - daily recharge 30 consecutively - the fourth week - Cocoa Dora,Channel Test Adjustments,管道測試調整,404,404404,채널 테스트 조정,,2,"During the activity period, recharge for 5 consecutive days to get the target reward",活動時間內，連續儲值5天即可獲得目標獎勵,"During the event period, make purchases for 5 consecutive days to get the target rewards",404404,이벤트 기간 동안 연속 5일 충전 시 목표 보상을 획득할 수 있습니다!,4,0,Daily recharge,每日連續儲值,Daily Top-up,404404,일일 연속 충전,,{hero=config/big_hero/normal/img_132_bbg_c@.png},4115,,4,<20200220;20990101>,,20190902,500,0,0,,500,0,0,<21;27>,5000000,1,,,,,<cn;tw;en;kr>,1,20,1
"55",Formal-daily continuous recharge 30-sticky treasure,Channel Test Adjustments,管道測試調整,,404404,채널 테스트 조정,,2,"During the activity period, recharge for 5 consecutive days to get the target reward",活動時間內，連續儲值5天即可獲得目標獎勵,"During the event period, make purchases for 5 consecutive days to get the target rewards",404404,이벤트 기간 동안 연속 5일 충전 시 목표 보상을 획득할 수 있습니다!,4,0,Daily recharge,每日連續儲值,Daily Top-up,404404,일일 연속 충전,,{hero=config/big_hero/normal/img_132_bbg_c@.png},4102,,4,<20200220;20990101>,,20190902,500,0,0,,500,0,0,<28;34>,5000000,1,,,,,<cn;tw;en;kr>,1,20,1
