"﻿变量名",_beizhu,huodongID,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,award,vip
202,Normal dungeon challenge,8828,29,15,,Fight in Normal Level 20 times,普通關卡戰鬥20次,Fight in Normal Level 20 times,Chiến đấu Ải Thường 20 lần,일반 스테이지 20회 전투,{gold=20000;rmb=200},
203,Normal dungeon challenge,8828,29,30,,Fight in Normal Level 30 times,普通關卡戰鬥30次,Fight in Normal Level 30 times,Chiến đấu Ải Thường 30 lần,일반 스테이지 30회 전투,{gold=20000;rmb=300},
204,Normal dungeon challenge,8828,29,40,,Fight in Normal Level 40 times,普通關卡戰鬥40次,Fight in Normal Level 40 times,Chiến đấu Ải Thường 40 lần,일반 스테이지 40회 전투,{gold=20000;rmb=400},
205,Normal dungeon challenge,8828,29,50,,Fight in Normal Level 50 times,普通關卡戰鬥50次,Fight in Normal Level 50 times,404404,일반 스테이지 50회 전투,{gold=20000;13=14},
206,Normal dungeon challenge,8828,29,60,,Fight in Normal Level 60 times,普通關卡戰鬥60次,Fight in Normal Level 60 times,Chiến đấu Ải Thường 60 lần,일반 스테이지 60회 전투,{gold=20000;12=15},
207,Normal dungeon challenge,8828,29,70,,Fight in Normal Level 70 times,普通關卡戰鬥70次,Fight in Normal Level 70 times,Chiến đấu Ải Thường 70 lần,일반 스테이지 70회 전투,{gold=20000;11=16},
,,,,,,,,,,,,
301,Purchasing Stamina_Test Mission,8829,26,1,,Purchase Vitality once,購買體力1次,Purchase Vitality once,404404,체력 1회 구매,{gold=20000;rmb=10},
302,buy stamina,8829,26,2,,Buy Energy 2 times,購買體力2次,Buy Energy 2 times,404404,체력 2회 구매,{gold=20000;rmb=11},
303,buy stamina,8829,26,3,,Purchase Vitality 3 times,購買體力3次,Purchase Vitality 3 times,404404,체력 3회 구매,{31301=1;rmb=12},
304,buy stamina,8829,26,4,,Buy Energy 4 times,購買體力4次,Buy Energy 4 times,404404,체력 4회 구매,{card={id=12};rmb=12},
305,buy stamina,8829,26,5,,Buy Energy 5 times,購買體力5次,Buy Energy 5 times,404404,체력 5회 구매,{card={id=13};rmb=12},
306,buy stamina,8829,26,6,,Buy Energy 6 times,購買體力6次,Buy Energy 6 times,404404,체력 6회 구매,{card={id=1};rmb=12},
307,buy stamina,8829,26,7,,Purchase Vitality 7 times,購買體力7次,Purchase Vitality 7 times,404404,체력 7회 구매,{card={id=21};rmb=12},
,,,,,,,,,,,,
401,Cumulative login_test task,8830,17,1,,Login 1 days in total,累計登錄1天,Login 1 days in total,Tích luỹ đăng nhập 1 ngày,누적 1일 로그인,{gold=2000;rmb=10},
402,Cumulative login,8830,17,2,,Login 2 days in total,累計登錄2天,Login 2 days in total,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,{gold=2000;rmb=10},
403,Cumulative login,8830,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,{gold=2000;rmb=10},
404,Cumulative login,8830,17,4,,Login 4 days in total,累計登錄4天,Login 4 days in total,Tích luỹ đăng nhập 4 ngày,누적 4일 로그인,{gold=2000;rmb=10},
405,Cumulative login,8830,17,5,,Login 5 days in total,累計登錄5天,Login 5 days in total,Tích luỹ đăng nhập 5 ngày,누적 5일 로그인,{gold=2000;rmb=10},
406,Cumulative login,8830,17,6,,Login 6 days in total,累計登錄6天,Login 6 days in total,Tích luỹ đăng nhập 6 ngày,누적 6일 로그인,{gold=2000;rmb=10},
407,Cumulative login,8830,17,7,,Login 7 days in total,累計登錄7天,Login 7 days in total,Tích luỹ đăng nhập 7 ngày,누적 7일 로그인,{gold=2000;rmb=10},
,,,,,,,,,,,,
501,test task,100033,1,25,,Trainer reaches level 25,角色等級達到25級,Trainer reaches level 25,Nhân vật đạt LV25,캐릭터 25레벨 달성,{gold=2000;rmb=10},
502,test task,100033,2,10102,,Clear Chapter 1 - Level 2,通關第一章第2關卡,Clear Chapter 1 - Level 2,Vượt Chương 1 Ải 2,챕터1 스테이지2 클리어,{gold=2000;rmb=10},
503,test task,100033,3,5,,Own any 5 Pokémons,擁有5個任意精靈,Own any 5 Pokémons,Có 5 Pokémon bất kỳ,임의의 포켓몬 5마리 보유,{gold=2000;rmb=10},
504,test task,100033,5,7,,Attain VIP level 7,VIP等級達到7級,Attain VIP level 7,VIP đạt LV7,VIP 7레벨 달성,{gold=2000;rmb=10},
505,test task,100033,6,10000,,C.P. reaches 10000,戰鬥力達到10000,C.P. reaches 10000,404404,전투력 10000 달성,{gold=2000;rmb=10},
506,test task,100033,9,,{5=3},Own 5 A-grade Pokémon,擁有5個A級精靈,Own 5 A-grade Pokémon,Có 5 Pokémon cấp A,A급 포켓몬 5마리 보유,{gold=2000;rmb=10},
507,test task,100033,10,,{2=4},Own 2 3-star Pokémons,擁有4星精靈2個,Own 2 3-star Pokémons,Có 2 Pokémon 4 Sao,4성 포켓몬 2마리 보유,{gold=2000;rmb=10},
508,test task,100033,11,,{1=3},Own 1 Rare Trinket,擁有藍色飾品1個,Own 1 Rare Trinket,Có 1 Trang Sức Lam,파란색 액세서리 1개 보유,{gold=2000;rmb=10},
509,test task,100033,12,,{1=2},Own 1 2-star trinket,擁有2星飾品1個,Own 1 2-star trinket,Có 1 Trang Sức 2 Sao,2성 액세서리 1개 보유,{gold=2000;rmb=10},
510,test task,100033,13,1,,Activate Bulbasaur,啟動妙蛙種子,Activate Bulbasaur,Kích hoạt Bulbasaur,이상해씨 활성화,{gold=2000;rmb=10},
511,test task,100033,15,,,Today's login,今日登錄,Today's login,Đăng nhập hôm nay,오늘 로그인,{gold=2000;rmb=10},
512,test task,100033,17,2,,Login 2 day,登錄2天,Login 2 day,404404,2일 로그인,{gold=2000;rmb=10},
513,test task,100033,18,2,,Get treasure pot 2 time in total,累計聚寶2次,Get treasure pot 2 time in total,Tích luỹ Tụ Bảo 2 lần,보물단지 누적 2회,{gold=2000;rmb=10},
514,test task,100033,19,10000,,"Get 10,000 coins in total",累計獲得10000金幣,"Get 10,000 coins in total",Tích luỹ nhận 10000 Gold,10000코인 누적 획득,{gold=2000;rmb=10},
515,test task,100033,20,10000,,"Spend 10,000 coins in total",累計消耗10000金幣,"Spend 10,000 coins in total",Tích luỹ tiêu hao 10000 Gold,10000코인 누적 소모,{gold=2000;rmb=10},
516,test task,100033,21,500,,Spend 500 diamonds in total,累計消費500鑽石,Spend 500 diamonds in total,Tích luỹ tiêu phí 500 Diamond,500다이아 누적 소모,{gold=2000;rmb=10},
517,test task,100033,22,500,,Purchase 500 diamonds in total,累計儲值500鑽石,Purchase 500 diamonds in total,Tích luỹ nạp 500 Diamond,500다이아 누적 충전,{gold=2000;rmb=10},
518,test task,100033,26,2,,Buy Energy for 2 times in total,累計購買體力2次,Buy Energy for 2 times in total,Tích luỹ mua Thể Lực 2 lần,체력 누적 2회 구매,{gold=2000;rmb=10},
519,test task,100033,29,2,,Clear Normal levels 2 times in total,累計挑戰普通關卡2次,Clear Normal levels 2 times in total,Tích luỹ thách đấu Ải Thường 2 lần,일반 스테이지 누적 2회 도전,{gold=2000;rmb=10},
520,test task,100033,30,1,,Challenge the Elite Level 1 time in total,累計挑戰困難關卡1次,Challenge the Elite Level 1 time in total,404404,하드 스테이지 누적 1회 도전,{gold=2000;rmb=10},
521,test task,100033,31,1,,Challenge the Nightmare Level 1 time in total,累計挑戰噩夢關卡1次,Challenge the Nightmare Level 1 time in total,Tích luỹ thách đấu Ải Ác Mộng 1 lần,악몽 스테이지 누적 1회 도전,{gold=2000;rmb=10},
522,test task,100033,32,2,,Clear Event Dungeon 2 times,累計通關活動副本2次,Clear Event Dungeon 2 times,Tích luỹ vượt Phụ Bản Sự Kiện 2 lần,이벤트 던전 누적 2회 클리어,{gold=2000;rmb=10},
523,test task,100033,33,2,,Clear any level 2 times in total,累計通關任意關卡2次,Clear any level 2 times in total,Tích luỹ vượt ải bất kỳ 2 lần,임의의 스테이지 누적 2회 클리어,{gold=2000;rmb=10},
524,test task,100033,34,10,,Upgrade skill for any Pokémon 10 times,任意精靈技能升級10次,Upgrade skill for any Pokémon 10 times,Tăng cấp kỹ năng Pokémon bất kỳ 10 lần,임의의 포켓몬 스킬 10회 레벨업,{gold=2000;rmb=10},
525,test task,100033,35,5,,Upgrade Pokémon 5 times in total,累計精靈進階5次,Upgrade Pokémon 5 times in total,Tích luỹ tăng bậc Pokémon 5 lần,포켓몬 누적 5회 진화,{gold=2000;rmb=10},
526,test task,100033,36,5,,Level up Pokémon 5 times in total,累計精靈升級5次,Level up Pokémon 5 times in total,Tích luỹ tăng cấp Pokémon 5 lần,포켓몬 누적 5회 레벨업,{gold=2000;rmb=10},
527,test task,100033,37,5,,Star up Pokémon 5 times in total,累計精靈升星5次,Star up Pokémon 5 times in total,Tích luỹ tăng sao Pokémon 5 lần,포켓몬 누적 5회 승급,{gold=2000;rmb=10},
528,test task,100033,38,5,,Enhance Trinket 5 times in total,累計飾品強化5次,Enhance Trinket 5 times in total,Tích luỹ cường hoá Trang Sức 5 lần,액세서리 누적 5회 강화,{gold=2000;rmb=10},
529,test task,100033,39,2,,Breakthrough trinket 2 times in total,累計飾品突破2次,Breakthrough trinket 2 times in total,Tích luỹ đột phá Trang Sức 2 lần,액세서리 누적 2회 돌파,{gold=2000;rmb=10},
530,test task,100033,40,2,,Star up trinket 2 times,累計飾品升星2次,Star up trinket 2 times,Tích luỹ tăng sao Trang Sức 2 lần,액세서리 누적 2회 승급,{gold=2000;rmb=10},
531,test task,100033,41,5,,Engage in arena battle for 5 times,競技場戰鬥5次,Engage in arena battle for 5 times,404404,아레나 전투 5회 진행,{gold=2000;rmb=10},
532,test task,100033,43,500,,Arena Points reach 20 Points,競技場積分達到20,Arena Points reach 20 Points,404404,아레나 포인트 20 달성,{gold=2000;rmb=10},
533,test task,100033,44,10,,Arena Ranking reach No.10,競技場排名達到10,Arena Ranking reach No.10,404404,아레나 순위 10위 달성,{gold=2000;rmb=10},
534,test task,100033,46,2,,Perform 10 consecutive diamond draw 2 times,進行鑽石10連抽2次,Perform 10 consecutive diamond draw 2 times,Rút 10 Lần Diamond 2 lần,다이아 10연속 뽑기 2회 진행,{gold=2000;rmb=10},
535,test task,100033,47,2,,Perform Single Diamond Draw 2 times,進行鑽石單抽2次,Perform Single Diamond Draw 2 times,Rút Diamond 2 lần,다이아 뽑기 2회 진행,{gold=2000;rmb=10},
536,test task,100033,48,2,,Perform 10 consecutive coin draw 2 times,進行金幣10連抽2次,Perform 10 consecutive coin draw 2 times,Rút 10 Lần Gold 2 lần,코인 10연속 뽑기 2회 진행,{gold=2000;rmb=10},
537,test task,100033,49,2,,Perform Single Coin Draw 2 times,進行金幣單抽2次,Perform Single Coin Draw 2 times,Rút Gold 2 lần,코인 뽑기 2회 진행,{gold=2000;rmb=10},
538,test task,100033,50,6,,Diamond Card Draw for 5 times,鑽石抽卡5次,Diamond Card Draw for 5 times,Rút Thẻ Diamond 5 lần,다이아 뽑기 5회,{gold=2000;rmb=10},
539,test task,100033,51,6,,Perform Coin Card Draw 5 times,金幣抽卡5次,Perform Coin Card Draw 5 times,Rút Thẻ Gold 5 lần,코인 뽑기 5회,{gold=2000;rmb=10},
540,test task,100033,52,6,,Draw Trinket Card 5 times,飾品抽卡5次,Draw Trinket Card 5 times,Rút Thẻ Trang Sức 5 lần,액세서리 뽑기 5회,{gold=2000;rmb=10},
541,test task,100033,53,2,,Draw 10 trinkets consecutively for 2 times,進行飾品10連抽2次,Draw 10 trinkets consecutively for 2 times,Rút 10 Lần Trang Sức 2 lần,액세서리 10연속 뽑기 2회 진행,{gold=2000;rmb=10},
542,test task,100033,54,2,,Perform Single Trinket Draw 2 times,進行飾品單抽2次,Perform Single Trinket Draw 2 times,Rút Trang Sức 2 lần,액세서리 뽑기 2회 진행,{gold=2000;rmb=10},
543,test task,100033,55,3,,Donate to guild 3 times,公會捐獻3次,Donate to guild 3 times,Cống Hiến Guild 3 lần,길드 기부 3회,{gold=2000;rmb=10},
544,test task,100033,57,2,,Give Red Envelope 2 times,公會發紅包2次,Give Red Envelope 2 times,404404,길드 보너스 2회 보내기,{gold=2000;rmb=10},
545,test task,100033,58,2,,Grab Guild Red Packet 2 times,公會搶紅包2次,Grab Guild Red Packet 2 times,Cướp Lì Xì Guild 2 lần,길드 보너스 2회 얻기,{gold=2000;rmb=10},
546,test task,100033,59,1,,Participate in Guild Dungeon 1 time,參與公會副本1次,Participate in Guild Dungeon 1 time,Tham gia Phụ Bản Guild 1 lần,길드 던전 1회 참가,{gold=2000;rmb=10},
547,test task,100033,60,2,,Clear 2 rooms in Aether Paradise,以太樂園通關2個房間,Clear 2 rooms in Aether Paradise,Vượt ải 2 Phòng Aether Paradise,에테르파라다이스 2개 방 클리어,{gold=2000;rmb=10},
548,test task,100033,61,6,,Open Aether Paradise chest 6 times,以太樂園寶箱開啟6次,Open Aether Paradise chest 6 times,Mở Rương Aether Paradise 6 lần,에테르파라다이스 보물상자 6회 개방,{gold=2000;rmb=10},
549,test task,100033,62,100,,Attain 100 points in Aether Paradise on the day,以太樂園當日積分達到100,Attain 100 points in Aether Paradise on the day,Điểm Aether Paradise trong ngày đạt 100,에테르파라다이스 당일 포인트 100 달성,{gold=2000;rmb=10},
550,test task,100033,63,300,,Attain 300 points in Aether Paradise,以太樂園積分達到300,Attain 300 points in Aether Paradise,Điểm Aether Paradise đạt 100,에테르파라다이스 포인트 300 달성,{gold=2000;rmb=10},
551,test task,100033,64,2,,Clear 2 levels in random Trial Tower in total,隨機試煉塔累計通過2層數,Clear 2 levels in random Trial Tower in total,Tích luỹ vượt 2 tầng Tháp Thí Luyện ngẫu nhiên,랜덤 시련의 탑 누적 2층 클리어,{gold=2000;rmb=11},
552,test task,100033,66,3,,Win Element Challenge 3 times,參與元素挑戰勝利3次,Win Element Challenge 3 times,Chiến thắng Thách Đấu Nguyên Tố 3 lần,엘리멘탈 챌린지 3회 승리,{gold=2000;rmb=12},
553,test task,100033,67,3,,Clear at most 3 levels in random Trial Tower,隨機試煉塔最高通過3層數,Clear at most 3 levels in random Trial Tower,Vượt qua tối đa 3 tầng Tháp Thí Luyện ngẫu nhiên,랜덤 시련의 탑 최고 3층 클리어,{gold=2000;rmb=13},
554,test task,100033,70,3,,Complete daily quests 3 times,日常任務完成3次,Complete daily quests 3 times,Hoàn thành nhiệm vụ hàng ngày 3 lần,일일 퀘스트 3회 완료,{gold=2000;rmb=14},
555,test task,100033,83,3,,Level up Explorer Device Component 3 times,探險器組件升級3次,Level up Explorer Device Component 3 times,Tăng cấp linh kiện Explorer Device 3 lần,탐지기 부품 3회 레벨업,{gold=2000;rmb=10},
556,test task,100033,84,3,,Explorer Device Activation/Upgrade 3 times,探險器啟動/進階3次,Explorer Device Activation/Upgrade 3 times,Kích hoạt/ Tăng bậc Explorer Device 3 lần,탐지기 3회 활성화/진급,{gold=2000;rmb=10},
557,test task,100033,85,3,,Complete Dispatch Quest 3 times,完成派遣任務3次,Complete Dispatch Quest 3 times,Hoàn thành nhiệm vụ điều phái 3 lần,파견 퀘스트 3회 완료,{gold=2000;rmb=10},
558,test task,100033,86,,{3=4},Complete S Dispatch Mission 3 times,完成S品質派遣任務3次,Complete S Dispatch Mission 3 times,Hoàn thành nhiệm vụ điều phái S 3 lần,S등급 파견 퀘스트 3회 완료,{gold=2000;rmb=10},
559,test task,100033,87,3,,Enhance Held Items 3 times,攜帶道具強化3次,Enhance Held Items 3 times,Cường hoá Held Item 3 lần,휴대 아이템 3회 강화,{gold=2000;rmb=10},
560,test task,100033,88,3,,Breakthrough Held Items 3 times,攜帶道具突破3次,Breakthrough Held Items 3 times,Đột phá Held Item 3 lần,휴대 아이템 3회 돌파,{gold=2000;rmb=10},
561,test task,100033,89,20,,Train EV for 20 times,努力值培養20次,Train EV for 20 times,Bồi dưỡng Nỗ Lực 20 lần,노력치 20회 육성,{gold=2000;rmb=10},
562,test task,100033,90,10,,Perform Normal EV Training for 10 times,努力值普通培養10次,Perform Normal EV Training for 10 times,Bồi dưỡng thường Nỗ Lực 10 lần,노력치 일반 육성 10회,{gold=2000;rmb=10},
563,test task,100033,91,10,,Train Advanced EV for 10 times,努力值高級培養10次,Train Advanced EV for 10 times,Bồi dưỡng cao cấp Nỗ Lực 10 lần,노력치 고급 육성 10회,{gold=2000;rmb=10},
564,test task,100033,92,3,,Upgrade potential ability 3 times,潛能升級3次,Upgrade potential ability 3 times,Tăng cấp Tiềm Năng 3 lần,잠재력 3회 레벨업,{gold=2000;rmb=10},
565,test task,100033,95,10,,Perform Limited Draw 10 times,限定抽卡10次,Perform Limited Draw 10 times,Rút Thẻ Giới Hạn 10 lần,한정 뽑기 10회,{gold=2000;rmb=10},
566,test task,100033,96,3,,Perform Diamond and Limited Draw 3 times,鑽石和限定抽卡3次,Perform Diamond and Limited Draw 3 times,Rút Thẻ Diamond và Giới Hạn 3 lần,다이아 및 한정 뽑기 3회,{gold=2000;rmb=10},
,,,,,,,,,,,,
601,test task,100034,64,2,,Clear 2 levels in random Trial Tower in total,隨機試煉塔累計通過2層數,Clear 2 levels in random Trial Tower in total,Tích luỹ vượt 2 tầng Tháp Thí Luyện ngẫu nhiên,랜덤 시련의 탑 누적 2층 클리어,{gold=2000;rmb=11},
602,test task,100034,67,3,,Clear at most 3 levels in random Trial Tower,隨機試煉塔最高通過3層數,Clear at most 3 levels in random Trial Tower,Vượt qua tối đa 3 tầng Tháp Thí Luyện ngẫu nhiên,랜덤 시련의 탑 최고 3층 클리어,{gold=2000;rmb=13},
603,test task,100034,60,2,,Clear 2 rooms in Aether Paradise,以太樂園通關2個房間,Clear 2 rooms in Aether Paradise,Vượt ải 2 Phòng Aether Paradise,에테르파라다이스 2개 방 클리어,{gold=2000;rmb=10},
,,,,,,,,,,,,
611,Level 5 Gift Pack_Test Mission,100035,1,5,,Attain level 5,等級達到5級,Attain level 5,Đạt LV5,레벨 5 달성,{gold=100000;rmb=100;11=30;5000=10},
612,Level 10 Gift Pack,100035,1,10,,Attain level 10,等級達到10級,Attain level 10,Đạt LV10,레벨 10 달성,{gold=150000;rmb=200;11=30;19=5},
613,Level 15 Gift Pack,100035,1,15,,Attain level 15,等級達到15級,Attain level 15,Đạt LV15,레벨 15 달성,{gold=200000;rmb=300;11=30;100=5},
,,,,,,,,,,,,
621,Level 20 gift pack,100036,1,20,,Attain level 20,等級達到20級,Attain level 20,Đạt LV20,레벨 20 달성,{gold=250000;rmb=300;12=20;800=5},
622,Level 25 gift pack,100036,1,25,,Attain level 25,等級達到25級,Attain level 25,Đạt LV25,레벨 25 달성,{gold=300000;rmb=400;12=20;801=5},
623,Level 30 gift pack,100036,1,30,,Attain level 30,等級達到30級,Attain level 30,Đạt LV30,레벨 30 달성,{gold=350000;rmb=400;12=20;451=5},
,,,,,,,,,,,,
,,,,,,,,,,,,
1001,Server Opening Event - Draw a card to send Gyarados,1001,51,10,,Gold Draw 10 times,在金幣抽卡中抽卡10次,Gold Draw 10 times,404404,코인 뽑기 10회 진행,{20631=2;gold=10000;13=10},
1002,Server Opening Event - Draw a card to send Gyarados,1001,51,20,,Gold Draw 20 times,在金幣抽卡中抽卡20次,Gold Draw 20 times,404404,코인 뽑기 20회 진행,{20631=2;gold=20000;13=10},
1003,Server Opening Event - Draw a card to send Gyarados,1001,50,2,,Diamond Draw 2 times,在鑽石抽卡中抽卡2次,Diamond Draw 2 times,404404,다이아 뽑기 2회 진행,{20631=2;gold=20000;13=10},
1004,Server Opening Event - Draw a card to send Gyarados,1001,50,10,,Diamond Draw 10 times,在鑽石抽卡中抽卡10次,Diamond Draw 10 times,404404,다이아 뽑기 10회 진행,{20631=4;gold=20000;13=10},
1005,Server Opening Event - Draw a card to send Gyarados,1001,50,20,,Diamond Draw 20 times,在鑽石抽卡中抽卡20次,Diamond Draw 20 times,404404,다이아 뽑기 20회 진행,{20631=6;gold=30000;13=10},
1006,Server Opening Event - Draw a card to send Gyarados,1001,50,30,,Diamond Draw 30 times,在鑽石抽卡中抽卡30次,Diamond Draw 30 times,404404,다이아 뽑기 30회 진행,{20631=6;gold=40000;13=10},
1007,Server Opening Event - Draw a card to send Gyarados,1001,50,40,,Diamond Draw 40 times,在鑽石抽卡中抽卡40次,Diamond Draw 40 times,404404,다이아 뽑기 40회 진행,{20631=8;gold=50000;14=10},
1008,Server Opening Event - Draw a card to send Gyarados,1001,50,60,,Diamond Draw 60 times,在鑽石抽卡中抽卡60次,Diamond Draw 60 times,404404,다이아 뽑기 60회 진행,{card={id=631};14=10;gold=60000},
1009,Server Opening Event - Draw a card to send Gyarados,1001,50,80,,Diamond Draw 80 times,在鑽石抽卡中抽卡80次,Diamond Draw 80 times,404404,다이아 뽑기 80회 진행,{talent_point=6;gold=80000;14=10},
1010,Server Opening Event - Draw a card to send Gyarados,1001,50,100,,Diamond Draw 100 times,在鑽石抽卡中抽卡100次,Diamond Draw 100 times,404404,다이아 뽑기 100회 진행,{20631=10;gold=100000;15=10},
1011,Server Opening Event - Draw a card to send Gyarados,1001,50,120,,Diamond Draw 120 times,在鑽石抽卡中抽卡120次,Diamond Draw 120 times,404404,다이아 뽑기 120회 진행,{20631=10;gold=120000;15=10},
1012,Server Opening Event - Draw a card to send Gyarados,1001,50,150,,Diamond Card Draw for 150 times,在鑽石抽卡中抽卡150次,Diamond Card Draw for 150 times,404404,다이아 뽑기 150회 진행,{card={id=631};15=10;gold=150000},
,,,,,,,,,,,,
1031,Server opening event - recharge to send sticky beauty dragon,1002,22,60,,Purchase 60 Diamonds,儲值60鑽石,Purchase 60 Diamonds,404404,60다이아 충전,{gold=60000;rmb=60;5000=20;501=1},
1032,Server opening event - recharge to send sticky beauty dragon,1002,22,300,,Purchase 300 Diamonds,儲值300鑽石,Purchase 300 Diamonds,404404,300다이아 충전,{gold=80000;503=3;13=20;501=1},
1033,Server opening event - recharge to send sticky beauty dragon,1002,22,600,,Purchase 600 Diamonds,儲值600鑽石,Purchase 600 Diamonds,404404,600다이아 충전,{gold=100000;503=5;2102=3;930=30},
1034,Server opening event - recharge to send sticky beauty dragon,1002,22,980,,Purchase 980 Diamonds,儲值980鑽石,Purchase 980 Diamonds,404404,980다이아 충전,{gold=120000;901=20;2102=3;501=1},
1035,Server opening event - recharge to send sticky beauty dragon,1002,22,1980,,Purchase 1980 Diamonds,儲值1980鑽石,Purchase 1980 Diamonds,404404,1980다이아 충전,{card={id=3541};gold=140000;902=30;2102=3},
1036,Server opening event - recharge to send sticky beauty dragon,1002,22,3280,,Purchase 3280 Diamonds,儲值3280鑽石,Purchase 3280 Diamonds,404404,3280다이아 충전,{gold=160000;502=15;2103=1;501=3},
1037,Server opening event - recharge to send sticky beauty dragon,1002,22,6480,,Purchase 6480 Diamonds,儲值6480鑽石,Purchase 6480 Diamonds,404404,6480다이아 충전,{gold=180000;23541=50;2103=1;14=20},
1038,Server opening event - recharge to send sticky beauty dragon,1002,22,9680,,Purchase 9680 Diamonds,儲值9680鑽石,Purchase 9680 Diamonds,404404,9680다이아 충전,{gold=200000;213=1;223=1;14=20},
1039,Server opening event - recharge to send sticky beauty dragon,1002,22,12000,,Purchase 12000 Diamonds,儲值12000鑽石,Purchase 12000 Diamonds,404404,12000다이아 충전,{gold=220000;23541=100;2103=2;14=30},
1040,Server opening event - recharge to send sticky beauty dragon,1002,22,15000,,Purchase 15000 Diamonds,儲值15000鑽石,Purchase 15000 Diamonds,404404,15000다이아 충전,{gold=250000;203=1;233=1;14=50},
1041,Server opening event - recharge to send sticky beauty dragon,1002,22,20000,,Purchase 20000 Diamonds,儲值20000鑽石,Purchase 20000 Diamonds,404404,20000다이아 충전,{gold=300000;23541=100;942=1;14=50},
1042,Server opening event - recharge to send sticky beauty dragon,1002,22,25000,,Purchase 25000 Diamonds,儲值25000鑽石.,Purchase 25000 Diamonds,Nạp 25000 Diamond.,25000다이아 충전,{gold=500000;502=50;902=50;14=50},
,,,,,,,,,,,,
1051,Server Opening Event - Recharge to get Flamingo,1003,22,60,,Purchase 60 Diamonds,儲值60鑽石,Purchase 60 Diamonds,404404,60다이아 충전,{gold=60000;rmb=60;5000=20;14=10},
1052,Server Opening Event - Recharge to get Flamingo,1003,22,300,,Purchase 300 Diamonds,儲值300鑽石,Purchase 300 Diamonds,404404,300다이아 충전,{gold=80000;901=20;2102=3;14=10},
1053,Server Opening Event - Recharge to get Flamingo,1003,22,600,,Purchase 600 Diamonds,儲值600鑽石,Purchase 600 Diamonds,404404,600다이아 충전,{gold=100000;501=2;2102=3;14=10},
1054,Server Opening Event - Recharge to get Flamingo,1003,22,1280,,Purchase 1280 Diamonds,儲值1280鑽石,Purchase 1280 Diamonds,Nạp 1280 Diamond,1280다이아 충전,{gold=120000;519=10;2102=3;14=15},
1055,Server Opening Event - Recharge to get Flamingo,1003,22,1980,,Purchase 1980 Diamonds,儲值1980鑽石,Purchase 1980 Diamonds,404404,1980다이아 충전,{gold=140000;502=10;19=10;14=15},
1056,Server Opening Event - Recharge to get Flamingo,1003,22,3280,,Purchase 3280 Diamonds,儲值3280鑽石,Purchase 3280 Diamonds,404404,3280다이아 충전,{gold=160000;519=10;2103=1;14=20},
1057,Server Opening Event - Recharge to get Flamingo,1003,22,6480,,Purchase 6480 Diamonds,儲值6480鑽石,Purchase 6480 Diamonds,404404,6480다이아 충전,{card={id=741};gold=180000;2103=1;14=20},
