"﻿变量名",huodongID,daySum,themeType,themeName,themeName_tw,themeName_en,themeName_vn,themeName_kr,tabIndex,tabName,tabName_tw,tabName_en,tabName_vn,tabName_kr,countType,taskType,taskParam,taskSpecialParam,desc,desc_tw,desc_en,desc_vn,desc_kr,award,costMap,priceShow,buyMax
9,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Level Pack,等級禮包,Level Pack,404404,레벨 패키지,1,1,35,,Attain level 35,等級達到35,Attain level 35,404404,레벨 35 달성,{20391=1;gold=14000;12=20},,,
10,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Level Pack,等級禮包,Level Pack,404404,레벨 패키지,1,1,40,,Attain level 40,等級達到40,Attain level 40,404404,레벨 40 달성,{20391=1;gold=16000;12=20},,,
11,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Level Pack,等級禮包,Level Pack,404404,레벨 패키지,1,1,45,,Attain level 45,等級達到45,Attain level 45,404404,레벨 45 달성,{20391=1;gold=18000;12=20},,,
12,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,1,Level Pack,等級禮包,Level Pack,404404,레벨 패키지,1,1,50,,Attain level 50,等級達到50,Attain level 50,404404,레벨 50 달성,{20391=1;gold=20000;12=20},,,
13,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10103,,Clear Chapter 1-3,通過第一章3關,Clear Chapter 1-3,404404,챕터1 스테이지3 클리어,{20391=1;gold=10000;12=20},,,
14,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10208,,Clear Chapter 2-8,通過第二章8關,Clear Chapter 2-8,404404,챕터2 스테이지8 클리어,{20391=1;gold=12000;12=20},,,
15,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10308,,Clear Chapter 3-8,通過第三章8關,Clear Chapter 3-8,404404,챕터3 스테이지8 클리어,{20391=1;gold=14000;12=20},,,
16,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10408,,"Clear Chapter 4-8 ",通過第四章8關,"Clear Chapter 4-8 ",404404,챕터4 스테이지8 클리어,{20391=1;gold=16000;12=20},,,
17,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10510,,Clear Chapter 5-10,通過第五章10關,Clear Chapter 5-10,404404,챕터5 스테이지10 클리어,{20391=1;gold=18000;12=20},,,
18,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10610,,Clear Chapter 6-10,通過第六章10關,Clear Chapter 6-10,404404,챕터6 스테이지10 클리어,{20391=1;gold=20000;12=20},,,
19,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10710,,Clear Chapter 7-10,通過第七章10關,Clear Chapter 7-10,404404,챕터7 스테이지10 클리어,{20391=1;gold=18000;12=20},,,
20,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,2,Endless Tower,通關之路,Endless Tower,404404,클리어의 길,1,2,10810,,Clear Chapter 8-10,通過第八章10關,Clear Chapter 8-10,404404,챕터8 스테이지10 클리어,{20391=1;gold=18000;12=20},,,
21,11001,1,0,Day1,第1天,Day1,Thứ 1 Trời,1일 차,3,Time-limited discount,限時折扣,Time-limited discount,404404,기간한정 할인,3,72,,,Time-limited discount,限時折扣,Time-limited discount,404404,기간한정 할인,{20391=1;13=10;504=10;gold=30000},{rmb=600},{rmb=6000},
,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,1,15,1,,Daily login Deluxe Pack,每日登錄豪禮,Daily login Deluxe Pack,404404,매일 로그인 호화 선물,{20391=1;13=10;504=10;gold=30000},,,
23,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,2,22,300,,Purchase 300 diamonds in total today,當日累積儲值300鑽石,Purchase 300 diamonds in total today,404404,당일 300다이아 누적 충전,{20391=1;13=10;504=10;gold=30000},,,
24,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,1,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,1,9,,{3=3},Upgrade 3Pokémons to Uncommon +1,3個寶可精靈升級至綠+1品質,Upgrade 3Pokémons to Uncommon +1,404404,포켓몬 3마리 초록색+1 등급 달성,{20391=1;gold=4000;12=20},,,
25,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,1,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,1,9,,{5=2},Upgrade 5 Pokémons to Uncommon,5個寶可精靈升級至綠色品質,Upgrade 5 Pokémons to Uncommon,404404,포켓몬 5마리 초록색 등급 달성,{20391=1;gold=6000;12=20},,,
26,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,1,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,1,9,,{5=4},Upgrade 5Pokémons to Uncommon +2,5個寶可精靈升級至綠+2品質,Upgrade 5Pokémons to Uncommon +2,404404,포켓몬 5마리 초록색+2 등급 달성,{20391=1;gold=8000;12=20},,,
27,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,1,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,1,9,,{3=5},Upgrade 3 Pokémons to Rare,3個寶可精靈升級至藍色品質,Upgrade 3 Pokémons to Rare,404404,포켓몬 3마리 파란색 등급 달성,{20391=1;gold=10000;12=20},,,
28,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,1,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,1,9,,{6=5},Upgrade 6 Pokémons to Rare,6個寶可精靈升級至藍色品質,Upgrade 6 Pokémons to Rare,404404,포켓몬 6마리 파란색 등급 달성,{20391=1;gold=12000;12=20},,,
29,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,1,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,1,9,,{6=6},Upgrade 6Pokémons to Rare +1 grade,6個寶可精靈升級至藍+1品質,Upgrade 6Pokémons to Rare +1 grade,404404,포켓몬 6마리 파란색+1 등급 달성,{20391=1;gold=14000;12=20},,,
30,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,1,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,1,9,,{6=7},Upgrade 6Pokémons to Rare +2 grade,6個寶可精靈升級至藍+2品質,Upgrade 6Pokémons to Rare +2 grade,404404,포켓몬 6마리 파란색+2 등급 달성,{20391=1;gold=16000;12=20},,,
31,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,1,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,1,9,,{6=8},Upgrade 6Pokémons to Rare +3 grade,6個寶可精靈升級至藍+3品質,Upgrade 6Pokémons to Rare +3 grade,404404,포켓몬 6마리 파란색+3 등급 달성,{20391=1;gold=18000;12=20},,,
32,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,1,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,1,9,,{6=9},Upgrade 6 Pokémons to Epic,6個寶可精靈升級至紫色品質,Upgrade 6 Pokémons to Epic,404404,포켓몬 6마리 보라색 등급 달성,{20391=1;gold=20000;12=20},,,
33,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,1,Pokémon Upgrade,精靈進階,Pokémon Upgrade,404404,포켓몬 진화,1,9,,{6=10},Upgrade 6 Pokémons to Epic +1,6個寶可精靈升級至紫+1品質,Upgrade 6 Pokémons to Epic +1,404404,포켓몬 6마리 보라색+1 등급 달성,{20391=1;gold=10000;12=20},,,
34,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,2,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{2=3},Own  2 3-star Pokémons,獲得2個3星寶可精靈,Own  2 3-star Pokémons,404404,3성 포켓몬 2마리 획득,{20391=1;gold=12000;12=20},,,
35,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,2,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{4=3},Own  4 3-star Pokémons,獲得4個3星寶可精靈,Own  4 3-star Pokémons,404404,3성 포켓몬 4마리 획득,{20391=1;gold=4000;12=20},,,
36,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,2,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{6=3},Own  6 3-star Pokémons,獲得6個3星寶可精靈,Own  6 3-star Pokémons,404404,3성 포켓몬 6마리 획득,{20391=1;gold=6000;12=20},,,
37,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,2,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{2=4},Own  2 4-star Pokémons,獲得2個4星寶可精靈,Own  2 4-star Pokémons,404404,4성 포켓몬 2마리 획득,{20391=1;gold=8000;12=20},,,
38,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,2,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{4=4},Own  4 4-star Pokémons,獲得4個4星寶可精靈,Own  4 4-star Pokémons,404404,4성 포켓몬 4마리 획득,{20391=1;gold=10000;12=20},,,
39,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,2,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{6=4},Own  6 4-star Pokémons,獲得6個4星寶可精靈,Own  6 4-star Pokémons,404404,4성 포켓몬 6마리 획득,{20391=1;gold=12000;12=20},,,
40,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,2,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{1=5},Own  1 5-star Pokémons,獲得1個5星寶可精靈,Own  1 5-star Pokémons,404404,5성 포켓몬 1마리 획득,{20391=1;gold=14000;12=20},,,
41,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,2,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{3=5},Own  3 5-star Pokémons,獲得3個5星寶可精靈,Own  3 5-star Pokémons,404404,5성 포켓몬 3마리 획득,{20391=1;gold=8000;12=20},,,
42,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,2,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{2=6},Own  2 6-star Pokémons,獲得2個6星寶可精靈,Own  2 6-star Pokémons,404404,6성 포켓몬 2마리 획득,{20391=1;gold=10000;12=20},,,
43,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,2,Star Up,精靈升星,Star Up,404404,포켓몬 승급,1,10,,{1=7},Own  1 7-star Pokémons,獲得1個7星寶可精靈,Own  1 7-star Pokémons,404404,7성 포켓몬 1마리 획득,{20391=1;gold=12000;12=20},,,
44,11001,2,1,Day2,第2天,Day2,Thứ 2 Trời,2일 차,3,Time-limited discount,限時折扣,Time-limited discount,404404,기간한정 할인,3,72,,,Time-limited discount,限時折扣,Time-limited discount,404404,기간한정 할인,{20391=1;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,1,15,1,,Daily login Deluxe Pack,每日登錄豪禮,Daily login Deluxe Pack,404404,매일 로그인 호화 선물,{20391=1;13=10;504=10;gold=30000},,,
46,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,2,22,300,,Purchase 300 diamonds in total today,當日累積儲值300鑽石,Purchase 300 diamonds in total today,404404,당일 300다이아 누적 충전,{20391=1;13=10;504=10;gold=30000},,,
47,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,1,Equip. Advance,裝備進階,Equip. Advance,404404,장비 진화,1,11,,{10=2},Upgrade 10 equipment to Uncommon,10件裝備升級至綠色品質,Upgrade 10 equipment to Uncommon,404404,장비 10개 초록색 등급 달성,{20391=1;gold=4000;12=20},,,
48,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,1,Equip. Advance,裝備進階,Equip. Advance,404404,장비 진화,1,11,,{20=2},Upgrade 20 equipment to Uncommon,20件裝備升級至綠色品質,Upgrade 20 equipment to Uncommon,404404,장비 20개 초록색 등급 달성,{20391=1;gold=6000;12=20},,,
49,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,1,Equip. Advance,裝備進階,Equip. Advance,404404,장비 진화,1,11,,{10=3},Increase 10 equipment to uncommon +1,10件裝備升級至綠色+1品質,Increase 10 equipment to uncommon +1,404404,장비 10개 초록색+1 등급 달성,{20391=1;gold=8000;12=20},,,
50,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,1,Equip. Advance,裝備進階,Equip. Advance,404404,장비 진화,1,11,,{20=3},Increase 20 equipment to uncommon +1,20件裝備升級至綠色+1品質,Increase 20 equipment to uncommon +1,404404,장비 20개 초록색+1 등급 달성,{20391=1;gold=10000;12=20},,,
51,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,1,Equip. Advance,裝備進階,Equip. Advance,404404,장비 진화,1,11,,{10=4},Increase 10 equipment to uncommon +2,10件裝備升級至綠色+2品質,Increase 10 equipment to uncommon +2,404404,장비 10개 초록색+2 등급 달성,{20391=1;gold=12000;12=20},,,
52,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,1,Equip. Advance,裝備進階,Equip. Advance,404404,장비 진화,1,11,,{20=4},Increase 20 equipment to uncommon +2,20件裝備升級至綠色+2品質,Increase 20 equipment to uncommon +2,404404,장비 20개 초록색+2 등급 달성,{20391=1;gold=14000;12=20},,,
53,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,1,Equip. Advance,裝備進階,Equip. Advance,404404,장비 진화,1,11,,{10=5},Enhance 10 equipment to Rare grade,10件裝備升級至藍色品質,Enhance 10 equipment to Rare grade,404404,장비 10개 파란색 등급 달성,{20391=1;gold=16000;12=20},,,
54,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,1,Equip. Advance,裝備進階,Equip. Advance,404404,장비 진화,1,11,,{20=5},Enhance 20 equipment to Rare grade,20件裝備升級至藍色品質,Enhance 20 equipment to Rare grade,404404,장비 20개 파란색 등급 달성,{20391=1;gold=18000;12=20},,,
55,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,1,Equip. Advance,裝備進階,Equip. Advance,404404,장비 진화,1,11,,{20=6},Increase 20 equipment to Rare +1,20件裝備升級至藍色+1品質,Increase 20 equipment to Rare +1,404404,장비 20개 파란색+1 등급 달성,{20391=1;gold=20000;12=20},,,
56,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,1,Equip. Advance,裝備進階,Equip. Advance,404404,장비 진화,1,11,,{20=7},Increase 20 equipment to Rare +2,20件裝備升級至藍色+2品質,Increase 20 equipment to Rare +2,404404,장비 20개 파란색+2 등급 달성,{20391=1;gold=10000;12=20},,,
57,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,1,Equip. Advance,裝備進階,Equip. Advance,404404,장비 진화,1,11,,{20=8},Increase 20 equipment to Rare +3,20件裝備升級至藍色+3品質,Increase 20 equipment to Rare +3,404404,장비 20개 파란색+3 등급 달성,{20391=1;gold=4000;12=20},,,
58,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,1,Equip. Advance,裝備進階,Equip. Advance,404404,장비 진화,1,11,,{20=9},Upgrade 20 equipment to Epic,20件裝備升級至紫色品質,Upgrade 20 equipment to Epic,404404,장비 20개 보라색 등급 달성,{20391=1;gold=6000;12=20},,,
59,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,2,Equip. Star Activation,裝備升星,Equip. Star Activation,404404,장비 승급,1,12,,{3=1},Increase 3 stars for 1 equipment,3件裝備升級到1星,Increase 3 stars for 1 equipment,404404,장비 3개 1성 달성,{20391=1;gold=8000;12=20},,,
60,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,2,Equip. Star Activation,裝備升星,Equip. Star Activation,404404,장비 승급,1,12,,{10=1},Increase 10 stars for 1 equipment,10件裝備升級到1星,Increase 10 stars for 1 equipment,404404,장비 10개 1성 달성,{20391=1;gold=10000;12=20},,,
61,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,2,Equip. Star Activation,裝備升星,Equip. Star Activation,404404,장비 승급,1,12,,{20=1},Increase 20 stars for 1 equipment,20件裝備升級到1星,Increase 20 stars for 1 equipment,404404,장비 20개 1성 달성,{20391=1;gold=12000;12=20},,,
62,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,2,Equip. Star Activation,裝備升星,Equip. Star Activation,404404,장비 승급,1,12,,{3=2},Increase 3 stars for 2 equipment,3件裝備升級到2星,Increase 3 stars for 2 equipment,404404,장비 3개 2성 달성,{20391=1;gold=14000;12=20},,,
63,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,2,Equip. Star Activation,裝備升星,Equip. Star Activation,404404,장비 승급,1,12,,{10=2},Increase 10 stars for 2 equipment,10件裝備升級到2星,Increase 10 stars for 2 equipment,404404,장비 10개 2성 달성,{20391=1;gold=16000;12=20},,,
64,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,2,Equip. Star Activation,裝備升星,Equip. Star Activation,404404,장비 승급,1,12,,{20=2},Increase 20 stars for 2 equipment,20件裝備升級到2星,Increase 20 stars for 2 equipment,404404,장비 20개 2성 달성,{20391=1;gold=18000;12=20},,,
65,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,2,Equip. Star Activation,裝備升星,Equip. Star Activation,404404,장비 승급,1,12,,{3=3},Increase 3 stars for 3 equipment,3件裝備升級到3星,Increase 3 stars for 3 equipment,404404,장비 3개 3성 달성,{20391=1;gold=20000;12=20},,,
66,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,2,Equip. Star Activation,裝備升星,Equip. Star Activation,404404,장비 승급,1,12,,{10=3},Increase 10 stars for 3 equipment,10件裝備升級到3星,Increase 10 stars for 3 equipment,404404,장비 10개 3성 달성,{20391=1;gold=10000;12=20},,,
67,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,2,Equip. Star Activation,裝備升星,Equip. Star Activation,404404,장비 승급,1,12,,{20=3},Increase 20 stars for 3 equipment,20件裝備升級到3星,Increase 20 stars for 3 equipment,404404,장비 20개 3성 달성,{20391=1;gold=10000;12=20},,,
68,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,2,Equip. Star Activation,裝備升星,Equip. Star Activation,404404,장비 승급,1,12,,{20=4},Increase 20 stars for 4 equipment,20件裝備升級到4星,Increase 20 stars for 4 equipment,404404,장비 20개 4성 달성,{20391=1;gold=10000;12=20},,,
69,11001,3,2,Day3,第3天,Day3,Thứ 3 Trời,3일 차,3,Time-limited discount,限時折扣,Time-limited discount,404404,기간한정 할인,3,72,,,Time-limited discount,限時折扣,Time-limited discount,404404,기간한정 할인,{20391=1;13=10;504=10;gold=30000},{rmb=99},{rmb=9999},
,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,1,15,1,,Daily login Deluxe Pack,每日登錄豪禮,Daily login Deluxe Pack,404404,매일 로그인 호화 선물,{20391=1;13=10;504=10;gold=30000},,,
71,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,0,Daily Bonus,每日福利,Daily Bonus,404404,일일 혜택,2,22,300,,Purchase 300 diamonds in total today,當日累積儲值300鑽石,Purchase 300 diamonds in total today,404404,당일 300다이아 누적 충전,{20391=1;13=10;504=10;gold=30000},,,
72,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,1,Arena points,競技積分,Arena points,404404,아레나 포인트,1,43,6,,6 points obtained,獲得積分6,6 points obtained,404404,6포인트 획득,{20391=1;gold=4000;12=20},,,
73,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,1,Arena points,競技積分,Arena points,404404,아레나 포인트,1,43,12,,12 points obtained,獲得積分12,12 points obtained,404404,12포인트 획득,{20391=1;gold=6000;12=20},,,
74,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,1,Arena points,競技積分,Arena points,404404,아레나 포인트,1,43,24,,24 points obtained,獲得積分24,24 points obtained,404404,24포인트 획득,{20391=1;gold=8000;12=20},,,
75,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,1,Arena points,競技積分,Arena points,404404,아레나 포인트,1,43,36,,36 points obtained,獲得積分36,36 points obtained,404404,36포인트 획득,{20391=1;gold=10000;12=20},,,
76,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,1,Arena points,競技積分,Arena points,404404,아레나 포인트,1,43,48,,48 points obtained,獲得積分48,48 points obtained,404404,48포인트 획득,{20391=1;gold=12000;12=20},,,
77,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,1,Arena points,競技積分,Arena points,404404,아레나 포인트,1,43,60,,60 points obtained,獲得積分60,60 points obtained,404404,60포인트 획득,{20391=1;gold=14000;12=20},,,
78,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,1,Arena points,競技積分,Arena points,404404,아레나 포인트,1,43,80,,80 points obtained,獲得積分80,80 points obtained,404404,80포인트 획득,{20391=1;gold=4000;12=20},,,
79,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,1,Arena points,競技積分,Arena points,404404,아레나 포인트,1,43,100,,100 points obtained,獲得積分100,100 points obtained,404404,100포인트 획득,{20391=1;gold=6000;12=20},,,
80,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,2,Arena Rank,競技排名,Arena Rank,404404,아레나 순위,1,44,3000,,"Obtained rank No. 3000 ",獲得排名3000,"Obtained rank No. 3000 ",404404,순위 3000위 달성,{20391=1;gold=8000;12=20},,,
81,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,2,Arena Rank,競技排名,Arena Rank,404404,아레나 순위,1,44,1000,,"Obtained rank No. 1000 ",獲得排名1000,"Obtained rank No. 1000 ",404404,순위 1000위 달성,{20391=1;gold=10000;12=20},,,
82,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,2,Arena Rank,競技排名,Arena Rank,404404,아레나 순위,1,44,300,,"Obtained rank No. 300 ",獲得排名300,"Obtained rank No. 300 ",404404,순위 300위 달성,{20391=1;gold=6000;12=20},,,
83,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,2,Arena Rank,競技排名,Arena Rank,404404,아레나 순위,1,44,100,,"Obtained rank No. 100 ",獲得排名100,"Obtained rank No. 100 ",404404,순위 100위 달성,{20391=1;gold=8000;12=20},,,
84,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,2,Arena Rank,競技排名,Arena Rank,404404,아레나 순위,1,44,30,,"Obtained rank No. 30 ",獲得排名30,"Obtained rank No. 30 ",404404,순위 30위 달성,{20391=1;gold=10000;12=20},,,
85,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,2,Arena Rank,競技排名,Arena Rank,404404,아레나 순위,1,44,10,,"Obtained rank No. 10 ",獲得排名10,"Obtained rank No. 10 ",404404,순위 10위 달성,{20391=1;gold=6000;12=20},,,
86,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,2,Arena Rank,競技排名,Arena Rank,404404,아레나 순위,1,44,3,,"Obtained rank No. 3 ",獲得排名3,"Obtained rank No. 3 ",404404,순위 3위 달성,{20391=1;gold=8000;12=20},,,
87,11001,4,3,Day4,第4天,Day4,Thứ 4 Trời,4일 차,2,Arena Rank,競技排名,Arena Rank,404404,아레나 순위,1,44,1,,"Obtained rank No. 1 ",獲得排名1,"Obtained rank No. 1 ",404404,순위 1위 달성,{20391=1;gold=6000;12=20},,,
