"﻿变量名",huodongID,vip,item,title,title_tw,title_en,title_vn,title_kr,displayRMB,rmb
94,21006,13,{411=1000},VIP 13 Giftpack,VIP13禮包,VIP 13 Giftpack,VIP13 Gói quà,VIP13 패키지,6000,3000
95,21006,14,{603=150},VIP 14 Giftpack,VIP14禮包,VIP 14 Giftpack,VIP14 Gói quà,VIP14 패키지,6000,3000
96,21006,15,{348=100},VIP 15 Pack,VIP15禮包,VIP 15 Pack,VIP15 Gói quà,VIP15 선물,10000,5000
,,,,,,,,,,
100,21007,0,{gold=400000},VIP 0 Pack,VIP0禮包,VIP 0 Pack,VIP0 Gói quà,VIP0 패키지,200,100
101,21007,1,{520=5},VIP 1 Giftpack,VIP1禮包,VIP 1 Giftpack,VIP1 Gói quà,VIP1 패키지,400,200
102,21007,2,{500=5},VIP 2 Giftpack,VIP2禮包,VIP 2 Giftpack,VIP2 Gói quà,VIP2 패키지,500,360
103,21007,3,{626=10},VIP 3 Giftpack,VIP3禮包,VIP 3 Giftpack,VIP3 Gói quà,VIP3 패키지,800,400
104,21007,4,{501=2},VIP 4 Giftpack,VIP4禮包,VIP 4 Giftpack,VIP4 Gói quà,VIP4 패키지,1600,500
105,21007,5,{122=5},VIP 5 Giftpack,VIP5禮包,VIP 5 Giftpack,VIP5 Gói quà,VIP5 패키지,1600,800
106,21007,6,{127=5},VIP 6 Giftpack,VIP6禮包,VIP 6 Giftpack,VIP6 Gói quà,VIP6 패키지,1600,800
107,21007,7,{504=50},VIP 7 Giftpack,VIP7禮包,VIP 7 Giftpack,VIP7 Gói quà,VIP7 패키지,1600,800
108,21007,8,{21048=10},VIP 8 Giftpack,VIP8禮包,VIP 8 Giftpack,VIP8 Gói quà,VIP8 패키지,1500,600
109,21007,9,{603=50},VIP 9 Giftpack,VIP9禮包,VIP 9 Giftpack,VIP9 Gói quà,VIP9 패키지,2000,1000
110,21007,10,{talent_point=15},VIP 10 Giftpack,VIP10禮包,VIP 10 Giftpack,VIP10 Gói quà,VIP10 패키지,2500,1000
111,21007,11,{502=8},VIP 11 Giftpack,VIP11禮包,VIP 11 Giftpack,VIP11 Gói quà,VIP11 패키지,3000,1000
112,21007,12,{501=6},VIP 12 Giftpack,VIP12禮包,VIP 12 Giftpack,VIP12 Gói quà,VIP12 패키지,4800,1500
113,21007,13,{411=1000},VIP 13 Giftpack,VIP13禮包,VIP 13 Giftpack,VIP13 Gói quà,VIP13 패키지,6000,3000
114,21007,14,{603=150},VIP 14 Giftpack,VIP14禮包,VIP 14 Giftpack,VIP14 Gói quà,VIP14 패키지,6000,3000
115,21007,15,{339=100},VIP 15 Pack,VIP15禮包,VIP 15 Pack,VIP15 Gói quà,VIP15 선물,10000,5000
,,,,,,,,,,
120,21008,0,{gold=400000},VIP 0 Pack,VIP0禮包,VIP 0 Pack,VIP0 Gói quà,VIP0 패키지,200,100
121,21008,1,{520=5},VIP 1 Giftpack,VIP1禮包,VIP 1 Giftpack,VIP1 Gói quà,VIP1 패키지,400,200
122,21008,2,{500=5},VIP 2 Giftpack,VIP2禮包,VIP 2 Giftpack,VIP2 Gói quà,VIP2 패키지,500,360
123,21008,3,{626=10},VIP 3 Giftpack,VIP3禮包,VIP 3 Giftpack,VIP3 Gói quà,VIP3 패키지,800,400
124,21008,4,{501=2},VIP 4 Giftpack,VIP4禮包,VIP 4 Giftpack,VIP4 Gói quà,VIP4 패키지,1600,500
125,21008,5,{122=5},VIP 5 Giftpack,VIP5禮包,VIP 5 Giftpack,VIP5 Gói quà,VIP5 패키지,1600,800
126,21008,6,{127=5},VIP 6 Giftpack,VIP6禮包,VIP 6 Giftpack,VIP6 Gói quà,VIP6 패키지,1600,800
127,21008,7,{504=50},VIP 7 Giftpack,VIP7禮包,VIP 7 Giftpack,VIP7 Gói quà,VIP7 패키지,1600,800
128,21008,8,{21049=10},VIP 8 Giftpack,VIP8禮包,VIP 8 Giftpack,VIP8 Gói quà,VIP8 패키지,1500,600
129,21008,9,{603=50},VIP 9 Giftpack,VIP9禮包,VIP 9 Giftpack,VIP9 Gói quà,VIP9 패키지,2000,1000
130,21008,10,{talent_point=15},VIP 10 Giftpack,VIP10禮包,VIP 10 Giftpack,VIP10 Gói quà,VIP10 패키지,2500,1000
131,21008,11,{502=8},VIP 11 Giftpack,VIP11禮包,VIP 11 Giftpack,VIP11 Gói quà,VIP11 패키지,3000,1000
132,21008,12,{501=6},VIP 12 Giftpack,VIP12禮包,VIP 12 Giftpack,VIP12 Gói quà,VIP12 패키지,4800,1500
133,21008,13,{411=1000},VIP 13 Giftpack,VIP13禮包,VIP 13 Giftpack,VIP13 Gói quà,VIP13 패키지,6000,3000
134,21008,14,{603=150},VIP 14 Giftpack,VIP14禮包,VIP 14 Giftpack,VIP14 Gói quà,VIP14 패키지,6000,3000
135,21008,15,{348=100},VIP 15 Pack,VIP15禮包,VIP 15 Pack,VIP15 Gói quà,VIP15 선물,10000,5000
,,,,,,,,,,
140,21009,0,{gold=400000},VIP 0 Pack,VIP0禮包,VIP 0 Pack,VIP0 Gói quà,VIP0 패키지,200,100
141,21009,1,{520=5},VIP 1 Giftpack,VIP1禮包,VIP 1 Giftpack,VIP1 Gói quà,VIP1 패키지,400,200
142,21009,2,{500=5},VIP 2 Giftpack,VIP2禮包,VIP 2 Giftpack,VIP2 Gói quà,VIP2 패키지,500,360
143,21009,3,{626=10},VIP 3 Giftpack,VIP3禮包,VIP 3 Giftpack,VIP3 Gói quà,VIP3 패키지,800,400
144,21009,4,{501=2},VIP 4 Giftpack,VIP4禮包,VIP 4 Giftpack,VIP4 Gói quà,VIP4 패키지,1600,500
145,21009,5,{122=5},VIP 5 Giftpack,VIP5禮包,VIP 5 Giftpack,VIP5 Gói quà,VIP5 패키지,1600,800
146,21009,6,{127=5},VIP 6 Giftpack,VIP6禮包,VIP 6 Giftpack,VIP6 Gói quà,VIP6 패키지,1600,800
147,21009,7,{504=50},VIP 7 Giftpack,VIP7禮包,VIP 7 Giftpack,VIP7 Gói quà,VIP7 패키지,1600,800
148,21009,8,{21045=10},VIP 8 Giftpack,VIP8禮包,VIP 8 Giftpack,VIP8 Gói quà,VIP8 패키지,1500,600
149,21009,9,{603=50},VIP 9 Giftpack,VIP9禮包,VIP 9 Giftpack,VIP9 Gói quà,VIP9 패키지,2000,1000
150,21009,10,{talent_point=15},VIP 10 Giftpack,VIP10禮包,VIP 10 Giftpack,VIP10 Gói quà,VIP10 패키지,2500,1000
151,21009,11,{502=8},VIP 11 Giftpack,VIP11禮包,VIP 11 Giftpack,VIP11 Gói quà,VIP11 패키지,3000,1000
152,21009,12,{501=6},VIP 12 Giftpack,VIP12禮包,VIP 12 Giftpack,VIP12 Gói quà,VIP12 패키지,4800,1500
153,21009,13,{411=1000},VIP 13 Giftpack,VIP13禮包,VIP 13 Giftpack,VIP13 Gói quà,VIP13 패키지,6000,3000
154,21009,14,{603=150},VIP 14 Giftpack,VIP14禮包,VIP 14 Giftpack,VIP14 Gói quà,VIP14 패키지,6000,3000
155,21009,15,{345=100},VIP 15 Pack,VIP15禮包,VIP 15 Pack,VIP15 Gói quà,VIP15 선물,10000,4000
