"﻿变量名",_beizhu,huodongID,periodType,weekParam,taskAttribute,taskType,taskParam,taskSpecialParam,title,title_tw,title_en,title_vn,title_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,exp,goToPanel
11,Pass first week missions,1001,2,1,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,30,
12,Pass first week missions,1001,2,1,,26,10,,Purchase 10 energy,購買10次體力,Purchase 10 energy,404404,체력 10회 구매,,,,,,30,gainStamina
13,Pass first week missions,1001,2,1,,29,80,,Clear Normal levels 80 times,挑戰普通關卡80次,Clear Normal levels 80 times,404404,일반 스테이지 80회 도전,,,,,,30,10000
14,Pass first week missions,1001,2,1,,30,30,,Challenge Elite levels 30 times,挑戰困難關卡30次,Challenge Elite levels 30 times,404404,하드 스테이지 도전 30회,,,,,,30,20000
15,Pass first week missions,1001,2,1,,36,30,,Upgrade Pokémons 30 times,精靈升級30次,Upgrade Pokémons 30 times,404404,포켓몬 30회 레벨업,,,,,,30,strengthen-1
16,Pass first week missions,1001,2,1,,41,20,,Engage in arena battle for 20 times,競技場戰鬥20次,Engage in arena battle for 20 times,404404,아레나 전투 20회 진행,,,,,,30,
,,,,,,,,,,,,,,,,,,,,
17,Pass Week 2 Missions,1001,2,2,4,18,10,,Get Treasure Pot 10 times,進行10次聚寶,Get Treasure Pot 10 times,404404,보물단지 10회 진행,,,,,,20,gainGold
18,Pass Week 2 Missions,1001,2,2,,20,1000000,,Spend 1000000 coins,消耗1000000金幣,Spend 1000000 coins,404404,1000000코인 소모,,,,,,20,
19,Pass Week 2 Missions,1001,2,2,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,30,
20,Pass Week 2 Missions,1001,2,2,,26,10,,Purchase 10 energy,購買10次體力,Purchase 10 energy,404404,체력 10회 구매,,,,,,30,gainStamina
21,Pass Week 2 Missions,1001,2,2,,29,80,,Clear Normal levels 80 times,挑戰普通關卡80次,Clear Normal levels 80 times,404404,일반 스테이지 80회 도전,,,,,,30,10000
22,Pass Week 2 Missions,1001,2,2,,30,30,,Challenge Elite levels 30 times,挑戰困難關卡30次,Challenge Elite levels 30 times,404404,하드 스테이지 도전 30회,,,,,,30,20000
23,Pass Week 2 Missions,1001,2,2,,36,30,,Upgrade Pokémons 30 times,精靈升級30次,Upgrade Pokémons 30 times,404404,포켓몬 30회 레벨업,,,,,,30,strengthen-1
24,Pass Week 2 Missions,1001,2,2,,41,20,,Engage in arena battle for 20 times,競技場戰鬥20次,Engage in arena battle for 20 times,404404,아레나 전투 20회 진행,,,,,,30,
,,,,,,,,,,,,,,,,,,,,
25,Pass Week 3 Missions,1001,2,3,4,18,10,,Get Treasure Pot 10 times,進行10次聚寶,Get Treasure Pot 10 times,404404,보물단지 10회 진행,,,,,,20,gainGold
26,Pass Week 3 Missions,1001,2,3,,20,1000000,,Spend 1000000 coins,消耗1000000金幣,Spend 1000000 coins,404404,1000000코인 소모,,,,,,20,
27,Pass Week 3 Missions,1001,2,3,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,30,
28,Pass Week 3 Missions,1001,2,3,,26,10,,Purchase 10 energy,購買10次體力,Purchase 10 energy,404404,체력 10회 구매,,,,,,30,gainStamina
29,Pass Week 3 Missions,1001,2,3,,29,80,,Clear Normal levels 80 times,挑戰普通關卡80次,Clear Normal levels 80 times,404404,일반 스테이지 80회 도전,,,,,,30,10000
30,Pass Week 3 Missions,1001,2,3,,30,30,,Challenge Elite levels 30 times,挑戰困難關卡30次,Challenge Elite levels 30 times,404404,하드 스테이지 도전 30회,,,,,,30,20000
31,Pass Week 3 Missions,1001,2,3,,36,30,,Upgrade Pokémons 30 times,精靈升級30次,Upgrade Pokémons 30 times,404404,포켓몬 30회 레벨업,,,,,,30,strengthen-1
32,Pass Week 3 Missions,1001,2,3,,41,20,,Engage in arena battle for 20 times,競技場戰鬥20次,Engage in arena battle for 20 times,404404,아레나 전투 20회 진행,,,,,,30,
,,,,,,,,,,,,,,,,,,,,
33,Pass Week 4 Missions,1001,2,4,4,18,10,,Get Treasure Pot 10 times,進行10次聚寶,Get Treasure Pot 10 times,404404,보물단지 10회 진행,,,,,,20,gainGold
34,Pass Week 4 Missions,1001,2,4,,20,1000000,,Spend 1000000 coins,消耗1000000金幣,Spend 1000000 coins,404404,1000000코인 소모,,,,,,20,
35,Pass Week 4 Missions,1001,2,4,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,30,
36,Pass Week 4 Missions,1001,2,4,,26,10,,Purchase 10 energy,購買10次體力,Purchase 10 energy,404404,체력 10회 구매,,,,,,30,gainStamina
37,Pass Week 4 Missions,1001,2,4,,29,80,,Clear Normal levels 80 times,挑戰普通關卡80次,Clear Normal levels 80 times,404404,일반 스테이지 80회 도전,,,,,,30,10000
38,Pass Week 4 Missions,1001,2,4,,30,30,,Challenge Elite levels 30 times,挑戰困難關卡30次,Challenge Elite levels 30 times,404404,하드 스테이지 도전 30회,,,,,,30,20000
39,Pass Week 4 Missions,1001,2,4,,36,30,,Upgrade Pokémons 30 times,精靈升級30次,Upgrade Pokémons 30 times,404404,포켓몬 30회 레벨업,,,,,,30,strengthen-1
40,Pass Week 4 Missions,1001,2,4,,41,20,,Engage in arena battle for 20 times,競技場戰鬥20次,Engage in arena battle for 20 times,404404,아레나 전투 20회 진행,,,,,,30,
,,,,,,,,,,,,,,,,,,,,
1001,Pass Day Mission,1002,1,,4,15,1,,Daily login,每日登陸,Daily login,404404,일일 로그인,,,,,,15,
1002,Pass Day Mission,1002,1,,4,29,30,,Fight in Normal level 30 times,挑戰普通關卡30次,Fight in Normal level 30 times,404404,일반 스테이지 30회 도전,,,,,,15,10000
1003,Pass Day Mission,1002,1,,4,39,1,,Breakthrough trinket 1 time,飾品突破1次,Breakthrough trinket 1 time,404404,액세서리 1회 돌파,,,,,,15,
1004,Pass Day Mission,1002,1,,3,41,5,,Engage in arena battle for 5 times,競技場戰鬥5次,Engage in arena battle for 5 times,404404,아레나 전투 5회 진행,,,,,,15,
1005,Pass Day Mission,1002,1,,3,66,2,,Enter Element Challenge 2 times,元素挑戰戰鬥2次,Enter Element Challenge 2 times,404404,엘리멘탈 챌린지 2회 전투,,,,,,15,
1006,Pass Day Mission,1002,1,,3,20,1000000,,Spend 1000000 coins,消耗1000000金幣,Spend 1000000 coins,404404,1000000코인 소모,,,,,,15,
1007,Pass Day Mission,1002,1,,3,21,300,,Spend 300 diamonds,消耗300鑽石,Spend 300 diamonds,404404,300다이아 소모,,,,,,15,
,,,,,,,,,,,,,,,,,,,,
1101,Pass first week missions,1002,2,1,4,17,2,,Login 2 days in total,累計登錄2天,Login 2 days in total,Tích luỹ đăng nhập 2 ngày,누적 2일 로그인,,,,,,50,
1102,Pass first week missions,1002,2,1,4,36,30,,Upgrade Pokémons 30 times,精靈升級30次,Upgrade Pokémons 30 times,404404,포켓몬 30회 레벨업,,,,,,50,strengthen-1
1103,Pass first week missions,1002,2,1,4,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,50,
1104,Pass first week missions,1002,2,1,,43,25,,Arena Points:25pts,競技場積分25分,Arena Points:25pts,404404,아레나 포인트 25점,,,,,,50,
1105,Pass first week missions,1002,2,1,3,63,25000,,Accumulate a total of 25000 Aether Points,乙太積分累計25000分,Accumulate a total of 25000 Aether Points,404404,에테르 포인트 누적 25000점,,,,,,50,
1106,Pass first week missions,1002,2,1,3,55,10,,Donate 10 times,公會捐獻10次,Donate 10 times,404404,길드 기부 10회,,,,,,50,
1107,Pass first week missions,1002,2,1,3,50,10,,Draw 10 times in Diamond Draw,在鑽石抽卡中抽卡10次,Draw 10 times in Diamond Draw,404404,다이아 뽑기 10회 진행,,,,,,50,
1108,Pass first week missions,1002,2,1,4,29,150,,Fight in Normal level 150 times,挑戰普通關卡150次,Fight in Normal level 150 times,404404,일반 스테이지 150회 도전,,,,,,50,10000
1109,Pass first week missions,1002,2,1,,30,30,,Challenge Elite levels 30 times,挑戰困難關卡30次,Challenge Elite levels 30 times,404404,하드 스테이지 도전 30회,,,,,,50,20000
1110,Pass first week missions,1002,2,1,3,85,15,,Complete Dispatch Quest 15 times,派遣任務完成15次,Complete Dispatch Quest 15 times,404404,파견 퀘스트 15회 완료,,,,,,50,
1111,Pass first week missions,1002,2,1,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,50,
1112,Pass first week missions,1002,2,1,4,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,50,
1113,Pass first week missions,1002,2,1,3,86,3,{3=4},Complete S and above Dispatch Quest 3 times,完成S以上派遣3次,Complete S and above Dispatch Quest 3 times,404404,S급 이상 파견 3회 완료,,,,,,50,
,,,,,,,,,,,,,,,,,,,,
1201,Pass first week missions,1002,2,2,4,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,50,
1202,Pass first week missions,1002,2,2,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,50,strengthen-1
1203,Pass first week missions,1002,2,2,3,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,50,
1204,Pass first week missions,1002,2,2,,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,50,
1205,Pass first week missions,1002,2,2,,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,50,
1206,Pass first week missions,1002,2,2,4,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,50,
1207,Pass first week missions,1002,2,2,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,50,
1208,Pass first week missions,1002,2,2,4,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,50,10000
1209,Pass first week missions,1002,2,2,,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,50,20000
1210,Pass first week missions,1002,2,2,4,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,50,
1211,Pass first week missions,1002,2,2,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,50,
1212,Pass first week missions,1002,2,2,,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,50,
1213,Pass first week missions,1002,2,2,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,50,
,,,,,,,,,,,,,,,,,,,,
1301,Pass first week missions,1002,2,3,4,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,50,
1302,Pass first week missions,1002,2,3,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,50,strengthen-1
1303,Pass first week missions,1002,2,3,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,100,
1304,Pass first week missions,1002,2,3,,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,50,
1305,Pass first week missions,1002,2,3,4,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,50,
1306,Pass first week missions,1002,2,3,,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,50,
1307,Pass first week missions,1002,2,3,4,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,100,
1308,Pass first week missions,1002,2,3,,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,100,10000
1309,Pass first week missions,1002,2,3,4,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,100,20000
1310,Pass first week missions,1002,2,3,4,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,50,
1311,Pass first week missions,1002,2,3,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,100,
1312,Pass first week missions,1002,2,3,4,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,100,
1313,Pass first week missions,1002,2,3,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,100,
,,,,,,,,,,,,,,,,,,,,
1401,Pass first week missions,1002,2,4,3,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,50,
1402,Pass first week missions,1002,2,4,3,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,50,strengthen-1
1403,Pass first week missions,1002,2,4,4,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,100,
1404,Pass first week missions,1002,2,4,4,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,50,
1405,Pass first week missions,1002,2,4,,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,50,
1406,Pass first week missions,1002,2,4,4,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,50,
1407,Pass first week missions,1002,2,4,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,100,
1408,Pass first week missions,1002,2,4,4,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,100,10000
1409,Pass first week missions,1002,2,4,,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,100,20000
1410,Pass first week missions,1002,2,4,3,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,50,
1411,Pass first week missions,1002,2,4,3,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,100,
1412,Pass first week missions,1002,2,4,3,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,100,
1413,Pass first week missions,1002,2,4,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,100,
,,,,,,,,,,,,,,,,,,,,
1501,Pass first week missions,1002,2,5,4,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,50,
1502,Pass first week missions,1002,2,5,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,50,strengthen-1
1503,Pass first week missions,1002,2,5,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,100,
1504,Pass first week missions,1002,2,5,3,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,50,
1505,Pass first week missions,1002,2,5,,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,50,
1506,Pass first week missions,1002,2,5,3,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,50,
1507,Pass first week missions,1002,2,5,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,100,
1508,Pass first week missions,1002,2,5,3,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,100,10000
1509,Pass first week missions,1002,2,5,3,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,100,20000
1510,Pass first week missions,1002,2,5,,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,50,
1511,Pass first week missions,1002,2,5,,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,100,
1512,Pass first week missions,1002,2,5,,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,100,
1513,Pass first week missions,1002,2,5,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,100,
,,,,,,,,,,,,,,,,,,,,
1601,Pass first week missions,1002,2,6,4,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,50,
1602,Pass first week missions,1002,2,6,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,50,strengthen-1
1603,Pass first week missions,1002,2,6,3,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,100,
1604,Pass first week missions,1002,2,6,3,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,50,
1605,Pass first week missions,1002,2,6,3,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,50,
1606,Pass first week missions,1002,2,6,4,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,50,
1607,Pass first week missions,1002,2,6,4,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,100,
1608,Pass first week missions,1002,2,6,4,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,100,10000
1609,Pass first week missions,1002,2,6,3,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,100,20000
1610,Pass first week missions,1002,2,6,,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,50,
1611,Pass first week missions,1002,2,6,3,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,100,
1612,Pass first week missions,1002,2,6,,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,100,
1613,Pass first week missions,1002,2,6,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,100,
,,,,,,,,,,,,,,,,,,,,
1701,Pass first week missions,1002,2,7,4,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,50,
1702,Pass first week missions,1002,2,7,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,50,strengthen-1
1703,Pass first week missions,1002,2,7,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,100,
1704,Pass first week missions,1002,2,7,,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,50,
1705,Pass first week missions,1002,2,7,,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,50,
1706,Pass first week missions,1002,2,7,,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,50,
1707,Pass first week missions,1002,2,7,,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,100,
1708,Pass first week missions,1002,2,7,,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,100,10000
1709,Pass first week missions,1002,2,7,,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,100,20000
1710,Pass first week missions,1002,2,7,4,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,50,
1711,Pass first week missions,1002,2,7,4,21,3000,,Spend 3000 diamonds,消耗3000鑽石,Spend 3000 diamonds,404404,3000다이아 소모,,,,,,100,
1712,Pass first week missions,1002,2,7,4,67,7,,Clear Aether Paradise level 7,乙太樂園通過7層,Clear Aether Paradise level 7,404404,에테르파라다이스 7층 클리어,,,,,,100,
1713,Pass first week missions,1002,2,7,,86,6,{6=4},Complete S and above Dispatch Quest 6 times,完成S以上派遣6次,Complete S and above Dispatch Quest 6 times,404404,S급 이상 파견 6회 완료,,,,,,100,
,,,,,,,,,,,,,,,,,,,,
1801,Pass first week missions,1002,2,8,4,17,3,,Login 3 days in total,累計登錄3天,Login 3 days in total,Tích luỹ đăng nhập 3 ngày,누적 3일 로그인,,,,,,50,
1802,Pass first week missions,1002,2,8,,36,50,,Upgrade Pokémon 50 times.,精靈升級50次,Upgrade Pokémon 50 times.,404404,포켓몬 50회 레벨업,,,,,,50,strengthen-1
1803,Pass first week missions,1002,2,8,,21,1000,,Spend 1000 diamonds,消耗1000鑽石,Spend 1000 diamonds,404404,1000다이아 소모,,,,,,100,
1804,Pass first week missions,1002,2,8,,43,50,,Arena Points:50pts,競技場積分50分,Arena Points:50pts,404404,아레나 포인트 50점,,,,,,50,
1805,Pass first week missions,1002,2,8,,63,50000,,Accumulate a total of 50000 Aether Points,乙太積分累計50000分,Accumulate a total of 50000 Aether Points,404404,에테르 포인트 누적 50000점,,,,,,50,
1806,Pass first week missions,1002,2,8,,55,20,,Donate 20 times,公會捐獻20次,Donate 20 times,404404,길드 기부 20회,,,,,,50,
1807,Pass first week missions,1002,2,8,4,50,20,,Draw 20 times in Diamond Draw,在鑽石抽卡中抽卡20次,Draw 20 times in Diamond Draw,404404,다이아 뽑기 20회 진행,,,,,,100,
1808,Pass first week missions,1002,2,8,,29,300,,Fight in Normal level 300 times,挑戰普通關卡300次,Fight in Normal level 300 times,404404,일반 스테이지 300회 도전,,,,,,100,10000
1809,Pass first week missions,1002,2,8,,30,60,,Challenge Elite level 60 times,挑戰困難關卡60次,Challenge Elite level 60 times,404404,하드 스테이지 도전 60회,,,,,,100,20000
1810,Pass first week missions,1002,2,8,4,85,30,,Complete Dispatch Quest 30 times,派遣任務完成30次,Complete Dispatch Quest 30 times,404404,파견 퀘스트 30회 완료,,,,,,50,
