"﻿变量名",huodongID,_beizhu,name,name_tw,name_en,name_kr,item,rmbCost,rechargeID,duration,sort,group,sumRechargeRMB,targetType1,targetArg1_1,targetArg1_2,targetType2,targetArg2_1,targetArg2_2,bgPath,countPath
1001,23001,Level 10pack,10级礼包,10級禮包,Level 10pack,10레벨 패키지,{card={id=21};rmb=12},,101,120,,,,1,10,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
1002,23001,Level 20pack,20级礼包,20級禮包,Level 20pack,20레벨 패키지,{card={id=21};rmb=12},,102,120,,,,1,20,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
1003,23001,Level 30pack,30级礼包,30級禮包,Level 30pack,30레벨 패키지,{card={id=21};rmb=12},,103,120,,,,1,30,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
1004,23001,Level 40pack,40级礼包,40級禮包,Level 40pack,40레벨 패키지,{card={id=21};rmb=12},,104,120,,,,1,40,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
1005,23001,Level Aid Pack,关卡助力礼包,關卡助力禮包,Level Aid Pack,스테이지 조력 선물,{card={id=21};rmb=12},,105,120,,,,2,10101,,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1006,23001,Legendary Pokémon Breakthrough Pack,神兽突破礼包,神獸突破禮包,Legendary Pokémon Breakthrough Pack,전설 돌파 선물,{card={id=21};rmb=12},,106,120,,,,3,1,11,,,,activity/limit_buy_gift/bg_xslb_sstp.png,activity/limit_buy_gift/bg_sstp_1.png
1007,23001,Activate Pack immediately,立即激活礼包,立即啟動禮包,Activate Pack immediately,즉시 활성화 선물,{card={id=21};rmb=12},,107,120,,,,7,,,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1008,23001,Days of Character Creation Pack,创角天数礼包,創角天數禮包,Days of Character Creation Pack,캐릭터 생성 일수 선물,{12=3},,108,120,,,,4,2,,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1009,23001,VIP 15 Pack,VIP15礼包,VIP15禮包,VIP 15 Pack,VIP15 선물,{12=3},,109,120,,,,5,15,,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1010,23001,Rarity 2S2A Pack,稀有度2S2A礼包,稀有度2S2A禮包,Rarity 2S2A Pack,희귀도 2S2A 선물,{12=3},,110,120,,,,6,2,4,6,2,3,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1011,23001,Rarity 10B Pack,稀有度10B礼包,稀有度10B禮包,Rarity 10B Pack,희귀도 10B 선물,{12=3},,111,120,,,,6,10,2,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
1012,23001,VIP +  Dragonite Pack,VIP+快龙礼包,VIP+快龍禮包,VIP +  Dragonite Pack,VIP+ 망나뇽 선물,{12=3},,112,120,,,,5,15,,3,1,751,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
,,,,,,,,,,,,,,,,,,,,,
2001,20001,Level 30 Time-limited Pack,30级限时礼包,30級限時禮包,Level 30 Time-limited Pack,30레벨 한정 선물,{rmb=600;503=10;452=100},,106,240,,1,<0;100>,1,30,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2002,20001,Level 50 Time-limited Pack,50级限时礼包,50級限時禮包,Level 50 Time-limited Pack,50레벨 한정 선물,{rmb=600;503=10;452=100},,106,240,,2,<0;100>,1,50,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2003,20001,Level 60 Time-limited Pack,60级限时礼包,60級限時禮包,Level 60 Time-limited Pack,60레벨 한정 선물,{rmb=600;503=10;452=100},,106,240,,3,<0;100>,1,60,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2004,20001,Level 70 Time-limited Pack,70级限时礼包,70級限時禮包,Level 70 Time-limited Pack,70레벨 한정 선물,{rmb=600;503=10;452=100},,106,240,,4,<0;100>,1,70,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2005,20001,Level 80 Time-limited Pack,80级限时礼包,80級限時禮包,Level 80 Time-limited Pack,80레벨 한정 선물,{rmb=600;503=10;452=100},,106,240,,5,<0;100>,1,80,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2006,20001,Level 90 Time-limited Pack,90级限时礼包,90級限時禮包,Level 90 Time-limited Pack,90레벨 한정 선물,{rmb=600;503=10;452=100},,106,240,,6,<0;100>,1,90,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2007,20001,Level 100 Time-limited Pack,100级限时礼包,100級限時禮包,Level 100 Time-limited Pack,100레벨 한정 선물,{rmb=600;503=10;452=100},,106,240,,7,<0;100>,1,100,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
,,,,,,,,,,,,,,,,,,,,,
2021,20001,Level 30 Deluxe Pack,30级豪华礼包,30級豪華禮包,Level 30 Deluxe Pack,30레벨 호화 선물,{card={id=9002};rmb=3280;519=10;942=1},,112,240,,1,<101;999999999>,1,30,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2022,20001,Level 50 Deluxe Pack,50级豪华礼包,50級豪華禮包,Level 50 Deluxe Pack,50레벨 호화 선물,{card={id=9002};rmb=3280;519=10;942=1},,112,240,,2,<101;999999999>,1,50,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2023,20001,Level 60 Deluxe Pack,60级豪华礼包,60級豪華禮包,Level 60 Deluxe Pack,60레벨 호화 선물,{card={id=9002};rmb=3280;519=10;942=1},,112,240,,3,<101;999999999>,1,60,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2024,20001,Level 70 Deluxe Pack,70级豪华礼包,70級豪華禮包,Level 70 Deluxe Pack,70레벨 호화 선물,{card={id=9002};rmb=3280;519=10;942=1},,112,240,,4,<101;999999999>,1,70,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2025,20001,Level 80 Deluxe Pack,80级豪华礼包,80級豪華禮包,Level 80 Deluxe Pack,80레벨 호화 선물,{card={id=9002};rmb=3280;519=10;942=1},,112,240,,5,<101;999999999>,1,80,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2026,20001,Level 90 Deluxe Pack,90级豪华礼包,90級豪華禮包,Level 90 Deluxe Pack,90레벨 호화 선물,{card={id=9002};rmb=3280;519=10;942=1},,112,240,,6,<101;999999999>,1,90,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
2027,20001,Level 100 Deluxe Pack,100级豪华礼包,100級豪華禮包,Level 100 Deluxe Pack,100레벨 호화 선물,{card={id=9002};rmb=3280;519=10;942=1},,112,240,,7,<101;999999999>,1,100,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
,,,,,,,,,,,,,,,,,,,,,
2101,20001,Full-Month Time-limited Pack,满月限时礼包,滿月限時禮包,Full-Month Time-limited Pack,만월 한정 선물,{rmb=980;6211=1;602=30;gold=300000},,108,240,,,,4,2,,,,,activity/limit_buy_gift/bg_xslb_tgzl.png,activity/limit_buy_gift/bg_tgzl_1.png
,,,,,,,,,,,,,,,,,,,,,
2111,20001,Legendary Beast Growth Pack,神兽成长礼包,神獸成長禮包,Legendary Beast Growth Pack,전설 성장 선물,{rmb=6480;521=80;gold=1000000},,113,240,,,,6,1,5,,,,activity/limit_buy_gift/bg_xslb_sstp.png,activity/limit_buy_gift/bg_sstp_1.png
,,,,,,,,,,,,,,,,,,,,,
3001,20011,Level 30 Time-limited Pack,30级限时礼包,30級限時禮包,Level 30 Time-limited Pack,30레벨 한정 선물,{rmb=1200;519=10;5000=50;930=50},,107,360,,101,<0;1000>,1,30,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3002,20011,Level 40 Time-limited Pack,40级限时礼包,40級限時禮包,Level 40 Time-limited Pack,40레벨 한정 선물,{rmb=1200;519=10;5000=50;930=50},,107,360,,102,<0;1000>,1,40,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3003,20011,Level 50 Time-limited Pack,50级限时礼包,50級限時禮包,Level 50 Time-limited Pack,50레벨 한정 선물,{rmb=1200;519=10;5000=50;930=50},,107,360,,103,<0;1000>,1,50,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3004,20011,Level 55 Time-limited Pack,55级限时礼包,55級限時禮包,Level 55 Time-limited Pack,55레벨 한정 선물,{rmb=1200;519=10;5000=50;930=50},,107,360,,104,<0;1000>,1,55,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3005,20011,Level 60 Time-limited Pack,60级限时礼包,60級限時禮包,Level 60 Time-limited Pack,60레벨 한정 선물,{rmb=1200;519=10;5000=50;930=50},,107,360,,105,<0;1000>,1,60,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3006,20011,Level 65 Time-limited Pack,65级限时礼包,65級限時禮包,Level 65 Time-limited Pack,65레벨 한정 선물,{rmb=1200;519=10;5000=50;930=50},,107,360,,106,<0;1000>,1,65,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3007,20011,Level 70 Time-limited Pack,70级限时礼包,70級限時禮包,Level 70 Time-limited Pack,70레벨 한정 선물,{rmb=1200;519=10;5000=50;930=50},,107,360,,107,<0;1000>,1,70,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3008,20011,Level 75 Time-limited Pack,75级限时礼包,75級限時禮包,Level 75 Time-limited Pack,75레벨 한정 선물,{rmb=1200;519=10;5000=50;930=50},,107,360,,108,<0;1000>,1,75,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3009,20011,Level 80 Time-limited Pack,80级限时礼包,80級限時禮包,Level 80 Time-limited Pack,80레벨 한정 선물,{rmb=1200;519=10;5000=50;930=50},,107,360,,109,<0;1000>,1,80,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3010,20011,Level 85 Time-limited Pack,85级限时礼包,85級限時禮包,Level 85 Time-limited Pack,85레벨 한정 선물,{rmb=1200;519=10;5000=50;930=50},,107,360,,110,<0;1000>,1,85,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3011,20011,Level 90 Time-limited Pack,90级限时礼包,90級限時禮包,Level 90 Time-limited Pack,90레벨 한정 선물,{rmb=1200;519=10;5000=50;930=50},,107,360,,111,<0;1000>,1,90,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3012,20011,Level 95 Time-limited Pack,95级限时礼包,95級限時禮包,Level 95 Time-limited Pack,95레벨 한정 선물,{rmb=1200;519=10;5000=50;930=50},,107,360,,112,<0;1000>,1,95,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3013,20011,Level 100 Time-limited Pack,100级限时礼包,100級限時禮包,Level 100 Time-limited Pack,100레벨 한정 선물,{rmb=1200;519=10;5000=50;930=50},,107,360,,113,<0;1000>,1,100,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
,,,,,,,,,,,,,,,,,,,,,
3101,20011,Level 30 Time-limited Pack,30级限时礼包,30級限時禮包,Level 30 Time-limited Pack,30레벨 한정 선물,{rmb=2680;519=20;5000=100;930=100;502=50},,111,360,,101,<1001;6000>,1,30,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3102,20011,Level 40 Time-limited Pack,40级限时礼包,40級限時禮包,Level 40 Time-limited Pack,40레벨 한정 선물,{rmb=2680;519=20;5000=100;930=100;502=50},,111,360,,102,<1001;6000>,1,40,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3103,20011,Level 50 Time-limited Pack,50级限时礼包,50級限時禮包,Level 50 Time-limited Pack,50레벨 한정 선물,{rmb=2680;519=20;5000=100;930=100;502=50},,111,360,,103,<1001;6000>,1,50,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3104,20011,Level 55 Time-limited Pack,55级限时礼包,55級限時禮包,Level 55 Time-limited Pack,55레벨 한정 선물,{rmb=2680;519=20;5000=100;930=100;502=50},,111,360,,104,<1001;6000>,1,55,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3105,20011,Level 60 Time-limited Pack,60级限时礼包,60級限時禮包,Level 60 Time-limited Pack,60레벨 한정 선물,{rmb=2680;519=20;5000=100;930=100;502=50},,111,360,,105,<1001;6000>,1,60,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3106,20011,Level 65 Time-limited Pack,65级限时礼包,65級限時禮包,Level 65 Time-limited Pack,65레벨 한정 선물,{rmb=2680;519=20;5000=100;930=100;502=50},,111,360,,106,<1001;6000>,1,65,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3107,20011,Level 70 Time-limited Pack,70级限时礼包,70級限時禮包,Level 70 Time-limited Pack,70레벨 한정 선물,{rmb=2680;519=20;5000=100;930=100;502=50},,111,360,,107,<1001;6000>,1,70,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3108,20011,Level 75 Time-limited Pack,75级限时礼包,75級限時禮包,Level 75 Time-limited Pack,75레벨 한정 선물,{rmb=2680;519=20;5000=100;930=100;502=50},,111,360,,108,<1001;6000>,1,75,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3109,20011,Level 80 Time-limited Pack,80级限时礼包,80級限時禮包,Level 80 Time-limited Pack,80레벨 한정 선물,{rmb=2680;519=20;5000=100;930=100;502=50},,111,360,,109,<1001;6000>,1,80,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3110,20011,Level 85 Time-limited Pack,85级限时礼包,85級限時禮包,Level 85 Time-limited Pack,85레벨 한정 선물,{rmb=2680;519=20;5000=100;930=100;502=50},,111,360,,110,<1001;6000>,1,85,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3111,20011,Level 90 Time-limited Pack,90级限时礼包,90級限時禮包,Level 90 Time-limited Pack,90레벨 한정 선물,{rmb=2680;519=20;5000=100;930=100;502=50},,111,360,,111,<1001;6000>,1,90,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3112,20011,Level 95 Time-limited Pack,95级限时礼包,95級限時禮包,Level 95 Time-limited Pack,95레벨 한정 선물,{rmb=2680;519=20;5000=100;930=100;502=50},,111,360,,112,<1001;6000>,1,95,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3113,20011,Level 100 Time-limited Pack,100级限时礼包,100級限時禮包,Level 100 Time-limited Pack,100레벨 한정 선물,{rmb=2680;519=20;5000=100;930=100;502=50},,111,360,,113,<1001;6000>,1,100,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
,,,,,,,,,,,,,,,,,,,,,
3201,20011,Level 30 Time-limited Pack,30级限时礼包,30級限時禮包,Level 30 Time-limited Pack,30레벨 한정 선물,{rmb=8880;519=30;5000=200;930=200;502=150},,113,360,,101,<6001;99999999>,1,30,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3202,20011,Level 40 Time-limited Pack,40级限时礼包,40級限時禮包,Level 40 Time-limited Pack,40레벨 한정 선물,{rmb=8880;519=30;5000=200;930=200;502=150},,113,360,,102,<6001;99999999>,1,40,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3203,20011,Level 50 Time-limited Pack,50级限时礼包,50級限時禮包,Level 50 Time-limited Pack,50레벨 한정 선물,{rmb=8880;519=30;5000=200;930=200;502=150},,113,360,,103,<6001;99999999>,1,50,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3204,20011,Level 55 Time-limited Pack,55级限时礼包,55級限時禮包,Level 55 Time-limited Pack,55레벨 한정 선물,{rmb=8880;519=30;5000=200;930=200;502=150},,113,360,,104,<6001;99999999>,1,55,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3205,20011,Level 60 Time-limited Pack,60级限时礼包,60級限時禮包,Level 60 Time-limited Pack,60레벨 한정 선물,{rmb=8880;519=30;5000=200;930=200;502=150},,113,360,,105,<6001;99999999>,1,60,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3206,20011,Level 65 Time-limited Pack,65级限时礼包,65級限時禮包,Level 65 Time-limited Pack,65레벨 한정 선물,{rmb=8880;519=30;5000=200;930=200;502=150},,113,360,,106,<6001;99999999>,1,65,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3207,20011,Level 70 Time-limited Pack,70级限时礼包,70級限時禮包,Level 70 Time-limited Pack,70레벨 한정 선물,{rmb=8880;519=30;5000=200;930=200;502=150},,113,360,,107,<6001;99999999>,1,70,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3208,20011,Level 75 Time-limited Pack,75级限时礼包,75級限時禮包,Level 75 Time-limited Pack,75레벨 한정 선물,{rmb=8880;519=30;5000=200;930=200;502=150},,113,360,,108,<6001;99999999>,1,75,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3209,20011,Level 80 Time-limited Pack,80级限时礼包,80級限時禮包,Level 80 Time-limited Pack,80레벨 한정 선물,{rmb=8880;519=30;5000=200;930=200;502=150},,113,360,,109,<6001;99999999>,1,80,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3210,20011,Level 85 Time-limited Pack,85级限时礼包,85級限時禮包,Level 85 Time-limited Pack,85레벨 한정 선물,{rmb=8880;519=30;5000=200;930=200;502=150},,113,360,,110,<6001;99999999>,1,85,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3211,20011,Level 90 Time-limited Pack,90级限时礼包,90級限時禮包,Level 90 Time-limited Pack,90레벨 한정 선물,{rmb=8880;519=30;5000=200;930=200;502=150},,113,360,,111,<6001;99999999>,1,90,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3212,20011,Level 95 Time-limited Pack,95级限时礼包,95級限時禮包,Level 95 Time-limited Pack,95레벨 한정 선물,{rmb=8880;519=30;5000=200;930=200;502=150},,113,360,,112,<6001;99999999>,1,95,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
3213,20011,Level 100 Time-limited Pack,100级限时礼包,100級限時禮包,Level 100 Time-limited Pack,100레벨 한정 선물,{rmb=8880;519=30;5000=200;930=200;502=150},,113,360,,113,<6001;99999999>,1,100,,,,,activity/limit_buy_gift/bg_xslb_djlb.png,activity/limit_buy_gift/bg_djlb_1.png
,,,,,,,,,,,,,,,,,,,,,
3501,20011,Legendary Beast Growth Pack,神兽成长礼包,神獸成長禮包,Legendary Beast Growth Pack,전설 성장 선물,{card={id=9003};rmb=6480;19=100;604=100;452=300},,113,1080,,,,3,1,1971,,,,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3502,20011,Legendary Beast Growth Pack,神兽成长礼包,神獸成長禮包,Legendary Beast Growth Pack,전설 성장 선물,{card={id=9003};rmb=6480;19=100;604=100;452=300},,113,1080,,,,3,1,1261,,,,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3503,20011,Legendary Beast Growth Pack,神兽成长礼包,神獸成長禮包,Legendary Beast Growth Pack,전설 성장 선물,{card={id=9003};rmb=6480;19=100;604=100;452=300},,113,1080,,,,3,1,3631,,,,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3504,20011,Legendary Beast Growth Pack,神兽成长礼包,神獸成長禮包,Legendary Beast Growth Pack,전설 성장 선물,{card={id=9003};rmb=6480;19=100;604=100;452=300},,113,1080,,,,3,1,1981,,,,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3505,20011,Legendary Beast Growth Pack,神兽成长礼包,神獸成長禮包,Legendary Beast Growth Pack,전설 성장 선물,{card={id=9003};rmb=6480;19=100;604=100;452=300},,113,1080,,,,3,1,1961,,,,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3506,20011,Legendary Beast Growth Pack,神兽成长礼包,神獸成長禮包,Legendary Beast Growth Pack,전설 성장 선물,{card={id=9003};rmb=6480;19=100;604=100;452=300},,113,1080,,,,3,1,2431,,,,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3507,20011,Legendary Beast Growth Pack,神兽成长礼包,神獸成長禮包,Legendary Beast Growth Pack,전설 성장 선물,{card={id=9003};rmb=6480;19=100;604=100;452=300},,113,1080,,,,3,1,2381,,,,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3508,20011,Legendary Beast Growth Pack,神兽成长礼包,神獸成長禮包,Legendary Beast Growth Pack,전설 성장 선물,{card={id=9003};rmb=6480;19=100;604=100;452=300},,113,1080,,,,3,1,2351,,,,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
3509,20011,Legendary Beast Growth Pack,神兽成长礼包,神獸成長禮包,Legendary Beast Growth Pack,전설 성장 선물,{card={id=9003};rmb=6480;19=100;604=100;452=300},,113,1080,,,,3,1,2361,,,,activity/limit_buy_gift/bg_xslb.png,activity/limit_buy_gift/bg_sstp_1.png
