变量名,huodongID,drawID,rmbCost,goldCost,vip,vipIcon,rmbRndMax,range1,weight1,range2,weight2,range3,weight3,range4,weight4,range5,weight5
21,17003,0,88,,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
22,17003,1,288,,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
23,17003,2,888,,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
24,17003,3,2088,,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
25,17003,4,5088,,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
26,17003,5,10888,,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
27,17003,6,20888,,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
28,17003,7,40888,,10,,78888,<44000;48000>,60,<44000;48000>,40,<44000;48000>,60,<44000;48000>,40,<44000;48000>,40
,,,,,,,,,,,,,,,,,
31,17004,0,88,,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
32,17004,1,288,,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
33,17004,2,888,,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
34,17004,3,2088,,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
35,17004,4,5088,,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
36,17004,5,10888,,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
37,17004,6,20888,,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
38,17004,7,40888,,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
,,,,,,,,,,,,,,,,,
41,17005,0,88,,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
42,17005,1,288,,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
43,17005,2,888,,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
44,17005,3,2088,,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
45,17005,4,5088,,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
46,17005,5,10888,,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
47,17005,6,20888,,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
48,17005,7,40888,,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
,,,,,,,,,,,,,,,,,
51,17006,0,88,,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
52,17006,1,288,,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
53,17006,2,888,,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
54,17006,3,2088,,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
55,17006,4,5088,,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
56,17006,5,10888,,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
57,17006,6,20888,,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
58,17006,7,40888,,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
,,,,,,,,,,,,,,,,,
61,17007,0,88,,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
62,17007,1,288,,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
63,17007,2,888,,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
64,17007,3,2088,,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
65,17007,4,5088,,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
66,17007,5,10888,,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
67,17007,6,20888,,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
68,17007,7,40888,,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
,,,,,,,,,,,,,,,,,
71,17008,0,88,,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
72,17008,1,288,,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
73,17008,2,888,,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
74,17008,3,2088,,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
75,17008,4,5088,,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
76,17008,5,10888,,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
77,17008,6,20888,,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
78,17008,7,40888,,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
,,,,,,,,,,,,,,,,,
81,17009,0,88,,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
82,17009,1,288,,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
83,17009,2,888,,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
84,17009,3,2088,,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
85,17009,4,5088,,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
86,17009,5,10888,,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
87,17009,6,20888,,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
88,17009,7,40888,,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
,,,,,,,,,,,,,,,,,
89,17010,0,,660000,0,,2060000,<1460000;1860000>,60,<1460000;1860000>,40,<1460000;1860000>,60,<1460000;1860000>,40,<1460000;1860000>,40
90,17010,1,,1660000,0,,3060000,<2660000;3060000>,60,<2660000;3060000>,40,<2660000;3060000>,60,<2660000;3060000>,40,<2660000;3060000>,40
91,17010,2,,5660000,0,,10600000,<7360000;8260000>,60,<7360000;8260000>,40,<7360000;8260000>,60,<7360000;8260000>,40,<7360000;8260000>,40
92,17010,3,,10600000,0,,16660000,<12560000;13560000>,60,<12560000;13560000>,40,<12560000;13560000>,60,<12560000;13560000>,40,<12560000;13560000>,40
93,17010,4,,15600000,1,,25660000,<17360000;18560000>,60,<17360000;18560000>,40,<17360000;18560000>,60,<17360000;18560000>,40,<17360000;18560000>,40
94,17010,5,,21600000,6,,32660000,<23560000;24760000>,60,<23560000;24760000>,40,<23560000;24760000>,60,<23560000;24760000>,40,<23560000;24760000>,40
95,17010,6,,27600000,10,,38660000,<29760000;30960000>,60,<29760000;30960000>,40,<29760000;30960000>,60,<29760000;30960000>,40,<29760000;30960000>,40
,,,,,,,,,,,,,,,,,
100,17011,0,88,,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
101,17011,1,288,,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
102,17011,2,888,,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
103,17011,3,2088,,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
104,17011,4,5088,,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
105,17011,5,10888,,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
106,17011,6,20888,,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
107,17011,7,40888,,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
,,,,,,,,,,,,,,,,,
110,17012,0,88,,0,,288,<170;200>,60,<170;200>,40,<170;200>,60,<170;200>,40,<170;200>,40
111,17012,1,288,,0,,688,<460;510>,60,<460;510>,40,<460;510>,60,<460;510>,40,<460;510>,40
112,17012,2,888,,0,,1888,<1150;1200>,60,<1150;1200>,40,<1150;1200>,60,<1150;1200>,40,<1150;1200>,40
113,17012,3,2088,,0,,4888,<2500;3000>,60,<2500;3000>,40,<2500;3000>,60,<2500;3000>,40,<2500;3000>,40
114,17012,4,5088,,0,,9888,<6500;7000>,60,<6500;7000>,40,<6500;7000>,60,<6500;7000>,40,<6500;7000>,40
115,17012,5,10888,,5,,18888,<13000;14000>,60,<13000;14000>,40,<13000;14000>,60,<13000;14000>,40,<13000;14000>,40
116,17012,6,20888,,7,,38888,<23000;25000>,60,<23000;25000>,40,<23000;25000>,60,<23000;25000>,40,<23000;25000>,40
117,17012,7,40888,,10,,78888,<44000;47500>,60,<44000;47500>,40,<44000;47500>,60,<44000;47500>,40,<44000;47500>,40
118,17012,8,68888,,15,,98888,<72000;75500>,60,<72000;75500>,40,<72000;75500>,60,<72000;75500>,40,<72000;75500>,40
