变量名,huodongID,level,gold,roleExp,advanceItems,expItems,equipItems,energyItems,cost
默认值,0,1,{},{},{},{},{},{},{}
ID,活动版本ID,等级,金币找回,经验找回,突破材料找回,经验饮料找回,饰品图纸找回,能力核心找回,找回花费钻石
1,22002,1,{gold=60000},{role_exp=1500},{930=100},{13=10},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=0;expItems=50;equipItems=0;energyItems=0}
53,22002,53,{gold=1390000},{role_exp=1500},{930=100},{14=132},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
54,22002,54,{gold=1430000},{role_exp=1500},{930=100},{14=132},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
55,22002,55,{gold=1450000},{role_exp=1500},{930=100},{14=145},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
56,22002,56,{gold=1450000},{role_exp=1500},{930=100},{14=145},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
57,22002,57,{gold=1450000},{role_exp=1500},{930=100},{14=145},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
58,22002,58,{gold=1450000},{role_exp=1500},{930=100},{14=145},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
59,22002,59,{gold=1570000},{role_exp=1500},{930=100},{14=145},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
60,22002,60,{gold=1640000},{role_exp=1500},{930=100},{14=155},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
61,22002,61,{gold=1690000},{role_exp=1500},{930=100},{14=155},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
62,22002,62,{gold=1740000},{role_exp=1500},{930=100},{14=228},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
63,22002,63,{gold=1790000},{role_exp=1500},{930=100},{14=228},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
64,22002,64,{gold=1840000},{role_exp=1500},{930=100},{14=228},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
65,22002,65,{gold=1850000},{role_exp=1500},{930=100},{14=238},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
66,22002,66,{gold=1850000},{role_exp=1500},{930=100},{14=238},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
67,22002,67,{gold=1850000},{role_exp=1500},{930=100},{14=238},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
68,22002,68,{gold=1850000},{role_exp=1500},{930=100},{14=238},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
69,22002,69,{gold=2040000},{role_exp=1500},{930=100},{14=238},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
70,22002,70,{gold=2120000},{role_exp=1500},{930=100},{14=251},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
71,22002,71,{gold=2190000},{role_exp=1500},{930=100},{14=251},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
72,22002,72,{gold=2260000},{role_exp=1500},{930=100},{14=251},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
73,22002,73,{gold=2320000},{role_exp=1500},{930=100},{14=251},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
74,22002,74,{gold=2390000},{role_exp=1500},{930=100},{14=251},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
75,22002,75,{gold=2400000},{role_exp=1500},{930=100},{14=284},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
76,22002,76,{gold=2400000},{role_exp=1500},{930=100},{14=411},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
77,22002,77,{gold=2400000},{role_exp=1500},{930=100},{14=411},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
78,22002,78,{gold=2400000},{role_exp=1500},{930=100},{14=411},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
79,22002,79,{gold=2400000},{role_exp=1500},{930=100},{14=411},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
80,22002,80,{gold=2420000},{role_exp=1500},{930=100},{14=443},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
81,22002,81,{gold=2420000},{role_exp=1500},{930=100},{14=443},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
82,22002,82,{gold=2420000},{role_exp=1500},{930=100},{14=443},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
83,22002,83,{gold=2420000},{role_exp=1500},{930=100},{14=443},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
84,22002,84,{gold=2420000},{role_exp=1500},{930=100},{14=443},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
85,22002,85,{gold=2420000},{role_exp=1500},{930=100},{14=443},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
86,22002,86,{gold=2420000},{role_exp=1500},{930=100},{14=443},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
87,22002,87,{gold=2420000},{role_exp=1500},{930=100},{14=443},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
88,22002,88,{gold=2420000},{role_exp=1500},{930=100},{14=443},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
89,22002,89,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
90,22002,90,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
91,22002,91,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
92,22002,92,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
93,22002,93,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
94,22002,94,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
95,22002,95,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
96,22002,96,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
97,22002,97,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
98,22002,98,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
99,22002,99,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
100,22002,100,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
101,22002,101,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
102,22002,102,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
103,22002,103,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
104,22002,104,{gold=2420000},{role_exp=1500},{930=100},{14=663},{100=10},{5000=100},{gold=50;roleExp=50;advanceItems=50;expItems=50;equipItems=50;energyItems=50}
