变量名,huodongID,pointRequire,award,boxIcon,desc,desc_en
180,1018,30,{23161=3;501=1;gold=60000},1,,
181,1018,100,{23161=5;501=2;gold=80000},1,,
182,1018,300,{23161=5;501=2;gold=100000},1,,
183,1018,600,{23161=7;501=3;gold=120000},2,,
184,1018,1200,{23161=10;501=3;gold=140000},2,,
185,1018,1800,{23161=10;501=4;gold=160000},2,,
186,1018,2700,{23161=15;501=5;gold=180000},3,,
187,1018,3600,{23161=15;501=6;gold=200000},3,,
188,1018,5000,{23161=30;501=8;gold=220000},3,,
,,,,,,
190,1019,30,{23171=3;501=1;gold=60000},1,,
191,1019,100,{23171=5;501=2;gold=80000},1,,
192,1019,300,{23171=5;501=2;gold=100000},1,,
193,1019,600,{23171=7;501=3;gold=120000},2,,
194,1019,1200,{23171=10;501=3;gold=140000},2,,
195,1019,1800,{23171=10;501=4;gold=160000},2,,
196,1019,2700,{23171=15;501=5;gold=180000},3,,
197,1019,3600,{23171=15;501=6;gold=200000},3,,
198,1019,5000,{23171=30;501=8;gold=220000},3,,
,,,,,,
200,1020,30,{23181=3;501=1;gold=60000},1,,
201,1020,100,{23181=5;501=2;gold=80000},1,,
202,1020,300,{23181=5;501=2;gold=100000},1,,
203,1020,600,{23181=7;501=3;gold=120000},2,,
204,1020,1200,{23181=10;501=3;gold=140000},2,,
205,1020,1800,{23181=10;501=4;gold=160000},2,,
206,1020,2700,{23181=15;501=5;gold=180000},3,,
207,1020,3600,{23181=15;501=6;gold=200000},3,,
208,1020,5000,{23181=30;501=8;gold=220000},3,,
209,1020,7000,{6059=1;501=10;gold=250000},3,,
210,1020,10000,{6059=1;501=12;gold=300000},3,,
211,1020,15000,{2153=1;501=15;gold=300000},3,,
,,,,,,
220,1021,30,{20381=3;501=1;gold=60000},1,,
221,1021,100,{20381=5;501=2;gold=80000},1,,
222,1021,300,{20381=5;501=2;gold=100000},1,,
223,1021,600,{20381=7;501=3;gold=120000},2,,
224,1021,1200,{20381=10;501=3;gold=140000},2,,
225,1021,1800,{20381=10;501=4;gold=160000},2,,
226,1021,2700,{20381=15;501=5;gold=180000},3,,
227,1021,3600,{20381=15;501=6;gold=200000},3,,
228,1021,5000,{20381=30;501=8;gold=220000},3,,
229,1021,7000,{6059=1;501=10;gold=250000},3,,
230,1021,10000,{6059=1;501=12;gold=300000},3,,
231,1021,15000,{2153=1;501=15;gold=300000},3,,
,,,,,,
240,1022,30,{20501=3;501=1;gold=60000},1,,
241,1022,100,{20501=5;501=2;gold=80000},1,,
242,1022,300,{20501=5;501=2;gold=100000},1,,
243,1022,600,{20501=7;501=3;gold=120000},2,,
244,1022,1200,{20501=10;501=3;gold=140000},2,,
245,1022,1800,{20501=10;501=4;gold=160000},2,,
246,1022,2700,{20501=15;501=5;gold=180000},3,,
247,1022,3600,{20501=15;501=6;gold=200000},3,,
248,1022,5000,{20501=30;501=8;gold=220000},3,,
249,1022,7000,{6059=1;501=10;gold=250000},3,,
250,1022,10000,{6059=1;501=12;gold=300000},3,,
251,1022,15000,{2153=1;501=15;gold=300000},3,,
,,,,,,
260,1023,30,{20611=3;501=1;gold=60000},1,,
261,1023,100,{20611=5;501=2;gold=80000},1,,
262,1023,300,{20611=5;501=2;gold=100000},1,,
263,1023,600,{20611=7;501=3;gold=120000},2,,
264,1023,1200,{20611=10;501=3;gold=140000},2,,
265,1023,1800,{20611=10;501=4;gold=160000},2,,
266,1023,2700,{20611=15;501=5;gold=180000},3,,
267,1023,3600,{20611=15;501=6;gold=200000},3,,
268,1023,5000,{20611=30;501=8;gold=220000},3,,
269,1023,7000,{6059=1;501=10;gold=250000},3,,
270,1023,10000,{6059=1;501=12;gold=300000},3,,
271,1023,15000,{2153=1;501=15;gold=300000},3,,
,,,,,,
280,1024,30,{23681=3;501=1;gold=60000},1,,
281,1024,100,{23681=5;501=2;gold=80000},1,,
282,1024,300,{23681=5;501=2;gold=100000},1,,
283,1024,600,{23681=7;501=3;gold=120000},2,,
284,1024,1200,{23681=10;501=3;gold=140000},2,,
285,1024,1800,{23681=10;501=4;gold=160000},2,,
286,1024,2700,{23681=15;501=5;gold=180000},3,,
287,1024,3600,{23681=15;501=6;gold=200000},3,,
288,1024,5000,{23681=30;501=8;gold=220000},3,,
289,1024,7000,{6059=1;501=10;gold=250000},3,,
290,1024,10000,{6059=1;501=12;gold=300000},3,,
291,1024,15000,{2153=1;501=15;gold=300000},3,,
,,,,,,
300,1025,30,{23201=3;501=1;gold=60000},1,,
301,1025,100,{23201=5;501=2;gold=80000},1,,
302,1025,300,{23201=5;501=2;gold=100000},1,,
303,1025,600,{23201=7;501=3;gold=120000},2,,
304,1025,1200,{23201=10;501=3;gold=140000},2,,
305,1025,1800,{23201=10;501=4;gold=160000},2,,
306,1025,2700,{23201=15;501=5;gold=180000},3,,
307,1025,3600,{23201=15;501=6;gold=200000},3,,
308,1025,5000,{23201=30;501=8;gold=220000},3,,
309,1025,7000,{6059=1;501=10;gold=250000},3,,
310,1025,10000,{6059=1;501=12;gold=300000},3,,
311,1025,15000,{2153=1;501=15;gold=300000},3,,
