"﻿变量名",huodongID,_beizhu,name,name_tw,name_en,name_vn,name_kr,res,item,rechargeID,limitType,limitNum
106,1001,Returning star gift package - 328 yuan - purchase limit 1 time per week,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx19.png,{card={id=9002};rmb=4880;gold=300000},112,2,1
,,,comeback pack,,,,,,,,,
201,1002,Return to growth gift pack - 6 yuan - purchase once,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_cjbx1.png,{rmb=180;stamina=100;503=1},102,2,1
202,1002,Gold coin gift pack - 30 yuan - purchase once,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_cjbx16.png,{rmb=600;gold=1000000;518=5},106,2,1
203,1002,Return Fragment Gift Pack - 98 yuan - limited to one purchase,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx17.png,{rmb=1960;502=20;gold=50000},108,2,1
204,1002,Draw card gift package - 198 yuan - purchase limit 1 time per week,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx1.png,{rmb=3280;519=20},111,2,1
205,1002,Purple gift bag - 328 yuan - purchase once a week,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx18.png,{rmb=4880;942=1;2103=60},112,2,1
206,1002,Returning star gift package - 328 yuan - purchase limit 1 time per week,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx19.png,{card={id=9002};rmb=4880;gold=300000},112,2,1
,,,comeback pack,,,,,,,,,
301,1003,Return to growth gift pack - 6 yuan - purchase once,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_cjbx1.png,{rmb=180;stamina=100;503=1},102,2,1
302,1003,Gold coin gift pack - 30 yuan - purchase once,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_cjbx16.png,{rmb=600;gold=1000000;518=5},106,2,1
303,1003,Return Fragment Gift Pack - 98 yuan - limited to one purchase,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx17.png,{rmb=1960;502=20;gold=50000},108,2,1
304,1003,Draw card gift package - 198 yuan - purchase limit 1 time per week,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx1.png,{rmb=3280;519=20},111,2,1
305,1003,Purple gift bag - 328 yuan - purchase once a week,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx18.png,{rmb=4880;942=1;2103=60},112,2,1
306,1003,Returning star gift package - 328 yuan - purchase limit 1 time per week,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx19.png,{card={id=9002};rmb=4880;gold=300000},112,2,1
,,,comeback pack,,,,,,,,,
401,1004,Return to growth gift pack - 6 yuan - purchase once,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_cjbx1.png,{rmb=180;stamina=100;503=1},102,2,1
402,1004,Gold coin gift pack - 30 yuan - purchase once,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_cjbx16.png,{rmb=600;gold=1000000;518=5},106,2,1
403,1004,Return Fragment Gift Pack - 98 yuan - limited to one purchase,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx17.png,{rmb=1960;502=20;gold=50000},108,2,1
404,1004,Draw card gift package - 198 yuan - purchase limit 1 time per week,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx1.png,{rmb=3280;519=20},111,2,1
405,1004,Purple gift bag - 328 yuan - purchase once a week,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx18.png,{rmb=4880;942=1;2103=60},112,2,1
406,1004,Returning star gift package - 328 yuan - purchase limit 1 time per week,comeback pack,回歸禮包,404,404,컴백 선물,activity/direct_gift/icon_gjbx19.png,{card={id=9002};rmb=4880;gold=300000},112,2,1
