"﻿变量名",huodongID,_beizhu,name,name_tw,name_en,name_kr,limit,levelLimit,item,rechargeID,rmbCost,sort,refresh,status,icon,hot,oldPrice,languages
102,23101,Jewelry growth gift pack - 30 yuan - purchase once,Trinket Pack,飾品禮包,Trinket Pack,액세서리 패키지,1,,{501=3;100=5;930=10;13=10},106,,,,,activity/direct_gift/icon_cjbx7.png,,,
103,23101,Personal value gift pack - 30 yuan - purchase once,Individual Value Pack,個體值禮包,Individual Value Pack,개체값 패키지,1,,{rmb=300;19=10;gold=100000;13=10},106,,,,,activity/direct_gift/icon_cjbx5.png,,,
104,23101,Card draw package - 98 yuan - purchase once,Draw Card Pack,抽卡禮包,Draw Card Pack,뽑기 패키지,1,,{519=10;gold=100000;13=20},108,,,,,activity/direct_gift/icon_zjbx6.png,,,
105,23101,Card draw package - 198 yuan - purchase once,Deluxe Card Pack,豪華抽卡禮包,Deluxe Card Pack,호화 뽑기 패키지,1,,{519=20;gold=200000;13=30},111,,,,,activity/direct_gift/icon_gjbx8.png,,,
,,,,,,,,,,,,,,,,,,
111,23102,Growth gift pack - 6 yuan - purchase once,Growth Pack,成長禮包,Growth Pack,성장 패키지,1,,{rmb=60;stamina=100;gold=50000;12=10},102,,,,,activity/direct_gift/icon_cjbx4.png,,,
112,23102,Training value gift pack - 30 yuan - purchase once only,Effort Value Pack,努力值禮包,Effort Value Pack,노력치 패키지,1,,{452=30;451=100},106,,,,,activity/direct_gift/icon_cjbx8.png,,,
113,23102,Explorer gift pack-98 yuan-limited purchase once,Explorer Device Pack,探險器禮包,Explorer Device Pack,탐지기 패키지,1,,{520=10;4000=100},108,,,,,activity/direct_gift/icon_zjbx4.png,,,
114,23102,Jewelry drawing card gift pack - 98 yuan - purchase once,Trinket Card Draw Pack,飾品抽卡禮包,Trinket Card Draw Pack,액세서리 뽑기 패키지,1,,{503=20;941=1},108,,,,,activity/direct_gift/icon_zjbx5.png,,,
115,23102,Carrying enhanced gift bag - 198 yuan - purchase once only,Held Items Enhancement Pack,攜帶道具強化禮包,Held Items Enhancement Pack,휴대 아이템 강화 패키지,1,,{2103=50;gold=200000},111,,,,,activity/direct_gift/icon_gjbx7.png,,,
116,23102,Ascension star package - 328 yuan - purchase once,Star Up Pack,升星禮包,Star Up Pack,승급 패키지,1,,{card={id=9002};gold=150000;13=20},112,,,,,activity/direct_gift/icon_gjbx6.png,,,
,,,,,,,,,,,,,,,,,,
121,23103,Growth gift pack - 6 yuan - purchase once,Growth Pack,成長禮包,Growth Pack,성장 패키지,1,,{rmb=60;stamina=100;gold=50000;12=10},102,,,,,activity/direct_gift/icon_cjbx4.png,,,
122,23103,Jewelry growth gift pack - 30 yuan - purchase once,Trinket Pack,飾品禮包,Trinket Pack,액세서리 패키지,1,,{501=3;100=5;930=20;13=10},106,,,,,activity/direct_gift/icon_cjbx7.png,,,
123,23103,Personal value gift pack - 30 yuan - purchase once,Individual Value Pack,個體值禮包,Individual Value Pack,개체값 패키지,1,,{19=20;gold=100000;13=10},106,,,,,activity/direct_gift/icon_cjbx6.png,,,
124,23103,Card draw package - 98 yuan - purchase once,Draw Card Pack,抽卡禮包,Draw Card Pack,뽑기 패키지,1,,{519=10;gold=200000;13=20},108,,,,,activity/direct_gift/icon_zjbx6.png,,,
125,23103,Card draw package - 198 yuan - purchase once,Deluxe Card Pack,豪華抽卡禮包,Deluxe Card Pack,호화 뽑기 패키지,1,,{519=20;gold=300000;13=30},111,,,,,activity/direct_gift/icon_gjbx8.png,,,
,,,,,,,,,,,,,,,,,,
131,23104,Growth gift pack - 6 yuan - purchase once,Growth Pack,成長禮包,Growth Pack,성장 패키지,1,,{rmb=60;stamina=100;gold=50000;12=10},102,,,,,activity/direct_gift/icon_cjbx4.png,,,
132,23104,Training value gift pack - 30 yuan - purchase limit 2 times,Effort Value Pack,努力值禮包,Effort Value Pack,노력치 패키지,2,,{452=50;451=100},106,,,,,activity/direct_gift/icon_cjbx8.png,,,
133,23104,Explorer gift pack-98 yuan-limited purchase once,Explorer Device Pack,探險器禮包,Explorer Device Pack,탐지기 패키지,1,,{520=15;4000=100},108,,,,,activity/direct_gift/icon_zjbx4.png,,,
134,23104,Jewelry drawing card gift pack - 98 yuan - purchase once,Trinket Card Draw Pack,飾品抽卡禮包,Trinket Card Draw Pack,액세서리 뽑기 패키지,1,,{503=30;941=1},108,,,,,activity/direct_gift/icon_zjbx5.png,,,
135,23104,Carrying enhanced gift bag - 98 yuan - limited to 2 purchases,Held Items Enhancement Pack,攜帶道具強化禮包,Held Items Enhancement Pack,휴대 아이템 강화 패키지,2,,{2103=60;gold=200000},108,,,,,activity/direct_gift/icon_gjbx7.png,,,
136,23104,Ascension star package - 328 yuan - purchase once,Star Up Pack,升星禮包,Star Up Pack,승급 패키지,1,,{card={id=9002};rmb=2000;13=20},112,,,,,activity/direct_gift/icon_gjbx4.png,,,
137,23104,Purple carrying gift bag - 328 yuan - purchase once,Held Item Pack,攜帶道具禮包,Held Item Pack,휴대 아이템 패키지,1,,{942=1;rmb=2000;13=20},112,,,,,activity/direct_gift/icon_gjbx5.png,,,
,,,,,,,,,,,,,,,,,,
140,23105,Special gift package - free collection,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지,1,,{rmb=50;519=1;gold=10000},,0,,,,activity/direct_gift/icon_cjbx.png,,,
141,23105,Special gift package-6 yuan-limited purchase once-novice gift package,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지1호,1,,{rmb=120;stamina=100;gold=30000},102,,,,,activity/direct_gift/icon_cjbx1.png,,,
142,23105,Special gift package-6 yuan-limited purchase once-novice gift package,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지2호,1,,{rmb=120;519=1;gold=30000},102,,,,,activity/direct_gift/icon_cjbx2.png,,,
143,23105,Special gift package-30 yuan-limited purchase once-novice gift package,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지3호,1,,{rmb=600;452=100;451=200},106,,,,,activity/direct_gift/icon_cjbx9.png,,,
144,23105,Special gift package-60 yuan-limited purchase once-novice gift package,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지4호,1,,{rmb=900;519=10},107,,,,,activity/direct_gift/icon_zjbx3.png,,,
145,23105,Explorer gift pack-98 yuan-limited purchase 2 times-novice gift pack,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,탐험 패키지,2,,{rmb=1680;520=10;4000=100},108,,,,,activity/direct_gift/icon_zjbx7.png,,,
146,23105,Jewelry drawing gift pack-98 yuan-limited purchase 2 times-novice gift pack,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,액세서리 뽑기 패키지,2,,{rmb=1680;503=20;501=1},108,,,,,activity/direct_gift/icon_zjbx8.png,,,
147,23105,Purple gift bag-198 yuan-limited purchase 2 times-novice gift bag,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,자색 패키지 1호,2,,{rmb=2680;2103=100;gold=500000},111,,,,,activity/direct_gift/icon_gjbx9.png,,,
148,23105,Purple gift bag-198 yuan-limited purchase 2 times-novice gift bag,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,자색 패키지 2호,2,,{rmb=2680;942=1;gold=500000},111,,,,,activity/direct_gift/icon_gjbx10.png,,,
149,23105,Ascension Star Gift Pack-198RMB-Limited Purchase 2 Times-Novice Gift Pack,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,승급 패키지 1호,2,,{card={id=9002};rmb=2680;gold=200000},111,,,,,activity/direct_gift/icon_gjbx4.png,,,
150,23105,Awakening gift pack-328 yuan-limited purchase 2 times-novice gift pack,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,각성 패키지,2,,{rmb=3980;6059=2;501=5},112,,,,,activity/direct_gift/icon_gjbx11.png,,,
151,23105,Ascension Star Gift Pack-648RMB-Limited Purchase 2 Times-Novice Gift Pack,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,승급 패키지 2호,2,,{card={id=9003};rmb=6480;gold=600000},113,,,,,activity/direct_gift/icon_gjbx13.png,,,
,,,,,,,,,,,,,,,,,,
159,23106,Daily beast pack - 12 yuan - purchase once only,Daily Shard Pack,每日神獸禮包,Daily Shard Pack,매일 포겟몬 패기지,1,,{rmb=120;521=1;520=1},103,,1,TRUE,,activity/direct_gift/icon_cjbx3.png,,,
160,23106,Daily gift bag - free collection,Free pack,免費禮包,Free pack,무료 패키지,1,,{rmb=10;516=1;gold=10000},,0,0,TRUE,,activity/direct_gift/icon_cjbx.png,,,
161,23106,Daily growth gift pack - 6 yuan - limited to one purchase,Daily Growth Pack,每日成長禮包,Daily Growth Pack,매일 성장 패키지,1,,{rmb=120;stamina=100;503=1},102,,0,TRUE,,activity/direct_gift/icon_cjbx13.png,,,
162,23106,Daily card draw package - 6 yuan - purchase once,Daily Draw Pack,每日抽卡禮包,Daily Draw Pack,매일 뽑기 패키지,1,,{rmb=120;519=1;gold=50000},102,,0,TRUE,,activity/direct_gift/icon_cjbx2.png,,,
163,23106,Daily shard gift pack - 6 yuan - limited to one purchase,Daily Shard Pack,每日碎片禮包,Daily Shard Pack,매일 조각 패키지,1,,{rmb=120;502=2;gold=50000},102,,0,TRUE,,activity/direct_gift/icon_cjbx3.png,,,
164,23106,Efforts to develop a gift package - 30 yuan - purchase once,Effort Value Training Pack,努力養成禮包,Effort Value Training Pack,노력 육성 패키지,1,,{rmb=300;452=50;451=100},106,,2,TRUE,,activity/direct_gift/icon_cjbx9.png,,,
165,23106,Carrying a gift bag - 30 yuan - limited to one purchase,Held Training Pack,攜帶養成禮包,Held Training Pack,휴대 육성 패키지,1,,{rmb=300;2103=20;gold=200000},106,,2,TRUE,,activity/direct_gift/icon_zjbx2.png,,,
166,23106,Favorability gift pack - 30 yuan - limited to one purchase,Friendship Gift Pack,好感度禮包,Friendship Gift Pack,호감도 패키지,1,,{rmb=300;602=10;902=20},106,,2,TRUE,,activity/direct_gift/icon_cjbx14.png,,,
167,23106,Gold coin gift pack - 30 yuan - purchase once,Coin Pack,金幣禮包,Coin Pack,코인 패키지,1,,{rmb=300;gold=1000000},106,,2,TRUE,,activity/direct_gift/icon_cjbx16.png,,,
168,23106,Cleansing gift bag - 30 yuan - purchase once,Individual Value Pack,個體值禮包,Individual Value Pack,개체값 패키지,1,,{rmb=300;19=10},106,,2,TRUE,,activity/direct_gift/icon_cjbx15.png,,,
169,23106,Runestone gift pack - 30 yuan - event limited to 1 purchase,Rune Pack,符石禮包,Rune Pack,룬스톤 패키지,1,,{rmb=300;529=1000},106,,2,TRUE,,activity/direct_gift/icon_zjbx.png,,,
10170,23106,Gym gift bag - 30 yuan - purchase once only,Gym package,道館禮包,,,1,68,{rmb=300;151=300;152=30},106,,2,TRUE,,activity/direct_gift/icon_zjbx.png,,,<cn>
10171,23106,Chip gift pack - 30 yuan - purchase once,Chip gift pack,晶片禮包,,,1,80,{rmb=300;124=15},106,,2,TRUE,,activity/direct_gift/icon_zjbx.png,,,<cn>
,,,,,,,,,,,,,,,,,,
170,23107,Weekly gift bag - free collection,Free pack,免費禮包,Free pack,무료 패키지,1,,{rmb=30;502=1;gold=30000},,0,0,,1,activity/direct_gift/icon_cjbx.png,,,
171,23107,Draw card gift package - 98 yuan - purchase limit 1 time per week,Draw Card Pack,抽卡禮包,Draw Card Pack,뽑기 패키지,2,,{rmb=980;519=10},108,,0,,1,activity/direct_gift/icon_zjbx3.png,,,
172,23107,Explorer gift pack - 98 yuan - limited to 2 purchases per week,Explorer Device Pack,探險器禮包,Explorer Device Pack,탐지기 패키지,2,,{rmb=980;520=10;4000=100},108,,0,,1,activity/direct_gift/icon_zjbx7.png,,,
173,23107,Jewelry drawing card gift pack - 98 yuan - purchase limit 2 times a week,Trinket Card Draw Pack,飾品抽卡禮包,Trinket Card Draw Pack,액세서리 뽑기 패키지,2,,{rmb=980;503=20;501=1},108,,0,,1,activity/direct_gift/icon_zjbx8.png,,,
174,23107,Universal Fragment Gift Pack - 198 yuan - limited to 2 purchases per week,Star Up Pack,升星禮包,Star Up Pack,승급 패키지,2,,{rmb=1980;502=30},111,,0,,1,activity/direct_gift/icon_gjbx17.png,,,
175,23107,Draw card gift package - 328 yuan - purchase limit 2 times per week,Draw Card Pack,抽卡禮包,Draw Card Pack,뽑기 패키지,2,,{rmb=3280;519=20},112,,2,,1,activity/direct_gift/icon_gjbx1.png,,,
176,23107,Ascension star package - 328 yuan - purchase limit 2 times a week,Star Up Pack,升星禮包,Star Up Pack,승급 패키지,2,,{card={id=9002};rmb=3280;gold=300000},112,,2,,1,activity/direct_gift/icon_gjbx4.png,,,
177,23107,Purple gift bag - 328 yuan - purchase limit 2 times a week,Held Item Pack,攜帶道具禮包,Held Item Pack,휴대 아이템 패키지,2,,{rmb=3280;942=1;2103=60},112,,2,,1,activity/direct_gift/icon_gjbx18.png,,,
178,23107,Ascension star package - 648 yuan - purchase limit 2 times per week,Star Up Pack,升星禮包,Star Up Pack,승급 패키지,2,,{rmb=6480;521=30;gold=500000},113,,3,,1,activity/direct_gift/icon_gjbx19.png,,,
10179,23107,Runestone gift pack - 198 yuan - limited to 2 purchases per week,Rune Pack,符石禮包,Rune Pack,룬스톤 패키지,2,,{rmb=1980;531=30;529=3000},111,,1,,1,activity/direct_gift/icon_zjbx.png,,,
10180,23107,Gym gift bag - 198 yuan - limited to 2 purchases per week,Gym package,道館禮包,,,2,68,{rmb=1980;151=1500;152=150},111,,1,,1,activity/direct_gift/icon_zjbx.png,,,<cn>
10181,23107,Jewelry gift pack - 328 yuan - limited to 2 purchases per week,Star Up Pack,飾品升星禮包,Star Up Pack,승급 패키지,2,,{rmb=3280;6059=1;501=8},112,,2,,1,activity/direct_gift/icon_zjbx8.png,,,
10182,23107,Engraved gift pack - 198 yuan - limited to 2 purchases per week,engraved gift bag,刻印禮包,,,2,78,{rmb=1980;111=750;112=150},111,,1,,1,activity/direct_gift/icon_zjbx.png,,,<cn>
,,,,,,,,,,,,,,,,,,
179,23108,Special gift package - free collection,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지,1,,{rmb=50;519=1;gold=10000},,0,,,,activity/direct_gift/icon_cjbx.png,,,
180,23108,Special gift package-6 yuan-limited purchase once-novice gift package,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지1호,1,,{rmb=120;stamina=100;gold=30000},102,,,,,activity/direct_gift/icon_cjbx1.png,,,
181,23108,Special gift package-6 yuan-limited purchase once-novice gift package,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지2호,1,,{rmb=120;519=1;gold=30000},102,,,,,activity/direct_gift/icon_cjbx2.png,,,
182,23108,Special gift package-30 yuan-limited purchase once-novice gift package,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지3호,1,,{rmb=600;452=100;451=200},106,,,,,activity/direct_gift/icon_cjbx9.png,,,
183,23108,Special gift package-60 yuan-limited purchase once-novice gift package,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지4호,1,,{rmb=900;519=10},107,,,,,activity/direct_gift/icon_zjbx3.png,,,
184,23108,Explorer gift pack-98 yuan-limited purchase 2 times-novice gift pack,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,탐험 패키지,2,,{rmb=1680;520=10;4000=100},108,,,,,activity/direct_gift/icon_zjbx7.png,,,
185,23108,Jewelry drawing gift pack-98 yuan-limited purchase 2 times-novice gift pack,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,액세서리 뽑기 패키지,2,,{rmb=1680;503=20;501=1},108,,,,,activity/direct_gift/icon_zjbx8.png,,,
186,23108,Purple gift bag-198 yuan-limited purchase 2 times-novice gift bag,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,자색 패키지 1호,2,,{rmb=2680;2103=100;gold=500000},111,,,,,activity/direct_gift/icon_gjbx9.png,,,
187,23108,Purple gift bag-198 yuan-limited purchase 2 times-novice gift bag,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,자색 패키지 2호,2,,{rmb=2680;942=1;gold=500000},111,,,,,activity/direct_gift/icon_gjbx10.png,,,
188,23108,Ascension Star Gift Pack-198RMB-Limited Purchase 2 Times-Novice Gift Pack,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,승급 패키지 1호,2,,{card={id=9002};rmb=2680;gold=150000;13=20},111,,,,,activity/direct_gift/icon_gjbx4.png,,,
189,23108,Awakening gift pack-328 yuan-limited purchase 2 times-novice gift pack,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,각성 패키지,2,,{rmb=3980;6059=2;501=5},112,,,,,activity/direct_gift/icon_gjbx11.png,,,
190,23108,Ascension Star Gift Pack-648RMB-Limited Purchase 2 Times-Novice Gift Pack,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,승급 패키지 2호,2,,{card={id=9003};rmb=6480;gold=500000;13=50},113,,,,,activity/direct_gift/icon_gjbx13.png,,,
,,,,,,,,,,,,,,,,,,
200,23109,Special gift package - free collection - Hanbok increase the number,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지,1,,{rmb=50;519=1;gold=10000},,0,,,,activity/direct_gift/icon_cjbx.png,,,
201,23109,Special gift pack-6 yuan-limited purchase once-novice gift pack-Hanbok increase quantity,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지1호,1,,{rmb=120;stamina=100;gold=30000},102,,,,,activity/direct_gift/icon_cjbx1.png,,,
202,23109,Special gift pack-6 yuan-limited purchase once-novice gift pack-Hanbok increase quantity,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지2호,1,,{rmb=120;519=1;gold=30000},102,,,,,activity/direct_gift/icon_cjbx2.png,,,
203,23109,Special gift pack-30 yuan-limited purchase once-novice gift pack-Hanbok increase quantity,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지3호,2,,{rmb=600;452=100;451=200},106,,,,,activity/direct_gift/icon_cjbx9.png,,,
204,23109,Special gift package - 60 yuan - one time purchase - novice gift package - increase the number of Hanbok,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,서버 오픈 특혜 패키지4호,2,,{rmb=900;519=10},107,,,,,activity/direct_gift/icon_zjbx3.png,,,
205,23109,Explorer gift pack-98 yuan-limited purchase 2 times-novice gift pack-Hanbok increase quantity,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,탐험 패키지,3,,{rmb=1680;520=10;4000=100},108,,,,,activity/direct_gift/icon_zjbx7.png,,,
206,23109,Jewelry draw card gift pack-98 yuan-limited purchase 2 times-novice gift pack-hanbok increase quantity,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,액세서리 뽑기 패키지,3,,{rmb=1680;503=20;501=1},108,,,,,activity/direct_gift/icon_zjbx8.png,,,
207,23109,Purple gift bag-198 yuan-limited purchase 2 times-novice gift bag-Hanbok increase quantity,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,자색 패키지 1호,3,,{rmb=2680;2103=100;gold=500000},111,,,,,activity/direct_gift/icon_gjbx9.png,,,
208,23109,Purple gift bag-198 yuan-limited purchase 2 times-novice gift bag-Hanbok increase quantity,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,자색 패키지 2호,3,,{rmb=2680;942=1;gold=500000},111,,,,,activity/direct_gift/icon_gjbx10.png,,,
209,23109,Ascension Star Gift Pack - 198 yuan - purchase limit 2 times - Beginner Gift Pack - Hanbok increase the number,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,승급 패키지 1호,3,,{card={id=9002};rmb=2680;gold=150000;13=20},111,,,,,activity/direct_gift/icon_gjbx4.png,,,
210,23109,Awakening gift pack-328 yuan-limited purchase 2 times-novice gift pack-Hanbok increase quantity,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,각성 패키지,3,,{rmb=3980;6059=2;501=5},112,,,,,activity/direct_gift/icon_gjbx11.png,,,
211,23109,Ascension Star Gift Pack - 648 yuan - purchase limit 2 times - Beginner Gift Pack - Hanbok increase the number,Server Opening Special Pack,開服特惠禮包,Server Opening Special Pack,승급 패키지 2호,4,,{card={id=9003};rmb=6480;gold=500000;13=50},113,,,,,activity/direct_gift/icon_gjbx13.png,,,
,,,,,,,,,,,,,,,,,,
220,22110,Daily Beast Gift Pack - 12 yuan - limited to one purchase - increase the number of Hanbok,Daily Shard Pack,每日神獸禮包,Daily Shard Pack,매일 포겟몬 패기지,1,,{rmb=120;521=1;520=1},103,,1,TRUE,,activity/direct_gift/icon_cjbx3.png,,,
221,22110,Daily gift bag - free collection,Free pack,免費禮包,Free pack,무료 패키지,1,,{rmb=10;516=1;gold=10000},,0,0,TRUE,,activity/direct_gift/icon_cjbx.png,,,
222,22110,Daily growth gift pack - 6 yuan - purchase limit once - increase the number of Hanbok,Daily Growth Pack,每日成長禮包,Daily Growth Pack,매일 성장 패키지,1,,{rmb=120;stamina=100;503=1},102,,0,TRUE,,activity/direct_gift/icon_cjbx13.png,,,
223,22110,Daily card draw package - 6 yuan - purchase limit once - increase the number of Hanbok,Daily Draw Pack,每日抽卡禮包,Daily Draw Pack,매일 뽑기 패키지,1,,{rmb=120;519=1;gold=50000},102,,0,TRUE,,activity/direct_gift/icon_cjbx2.png,,,
224,22110,Daily shard gift pack - 6 yuan - limited to one purchase - increase the number of Hanbok,Daily Shard Pack,每日碎片禮包,Daily Shard Pack,매일 조각 패키지,1,,{rmb=120;502=2;gold=50000},102,,0,TRUE,,activity/direct_gift/icon_cjbx3.png,,,
225,22110,Efforts to develop gift packs - 30 yuan - limited to one purchase - increase the number of Hanbok,Effort Value Training Pack,努力養成禮包,Effort Value Training Pack,노력 육성 패키지,1,,{rmb=300;452=50;451=100},106,,2,TRUE,,activity/direct_gift/icon_cjbx9.png,,,
226,22110,Carry a gift bag for cultivation-30 yuan-limited purchase once-increase the number of Hanbok,Held Training Pack,攜帶養成禮包,Held Training Pack,휴대 육성 패키지,1,,{rmb=300;2103=20;gold=200000},106,,2,TRUE,,activity/direct_gift/icon_zjbx2.png,,,
227,22110,Favorability gift pack - 30 yuan - limited to one purchase - increase the number of Hanbok,Friendship Gift Pack,好感度禮包,Friendship Gift Pack,호감도 패키지,1,,{rmb=300;602=10;902=20},106,,2,TRUE,,activity/direct_gift/icon_cjbx14.png,,,
228,22110,Gold coin gift pack - 30 yuan - limited to one purchase - increase the number of Hanbok,Coin Pack,金幣禮包,Coin Pack,코인 패키지,1,,{rmb=300;gold=1000000},106,,2,TRUE,,activity/direct_gift/icon_cjbx16.png,,,
229,22110,Cleansing gift bag - 30 yuan - purchase once - increase the number of Hanbok,Individual Value Pack,個體值禮包,Individual Value Pack,개체값 패키지,1,,{rmb=300;19=10},106,,2,TRUE,,activity/direct_gift/icon_cjbx15.png,,,
,22110,Runestone gift pack - 30 yuan - event limited to 1 purchase,Rune Pack,符石禮包,Rune Pack,룬스톤 패키지,1,,{rmb=300;529=1000},106,,2,TRUE,,activity/direct_gift/icon_zjbx.png,,,
,22110,Gym gift bag - 30 yuan - purchase once only,Gym package,道館禮包,,,1,68,{rmb=300;151=300;152=30},106,,2,TRUE,,activity/direct_gift/icon_zjbx.png,,,
,,,,,,,,,,,,,,,,,,
240,22111,Weekly Gift Pack - Free Collection - Hanbok Increased Quantity,Free pack,免費禮包,Free pack,무료 패키지,1,,{rmb=30;502=1;gold=30000},,0,0,,1,activity/direct_gift/icon_cjbx.png,,,
241,22111,Draw card gift pack - 98 yuan - purchase limit once a week - increase the number of Hanbok,Draw Card Pack,抽卡禮包,Draw Card Pack,뽑기 패키지,3,,{rmb=980;519=10},108,,0,,1,activity/direct_gift/icon_zjbx3.png,,,
242,22111,Explorer gift pack - 98 yuan - limited to 2 purchases per week - increased number of Hanbok,Explorer Device Pack,探險器禮包,Explorer Device Pack,탐지기 패키지,3,,{rmb=980;520=10;4000=100},108,,0,,1,activity/direct_gift/icon_zjbx7.png,,,
243,22111,Jewelry drawing gift pack - 98 yuan - purchase limit 2 times a week - increase the number of Hanbok,Trinket Card Draw Pack,飾品抽卡禮包,Trinket Card Draw Pack,액세서리 뽑기 패키지,3,,{rmb=980;503=20;501=1},108,,0,,1,activity/direct_gift/icon_zjbx8.png,,,
244,22111,Universal Fragment Gift Pack - 198 yuan - limited to 2 purchases per week - increased number of Hanbok,Star Up Pack,升星禮包,Star Up Pack,승급 패키지,3,,{rmb=1980;502=30},111,,0,,1,activity/direct_gift/icon_gjbx17.png,,,
245,22111,Draw card gift pack - 328 yuan - purchase limit 2 times a week - increase the number of Hanbok,Draw Card Pack,抽卡禮包,Draw Card Pack,뽑기 패키지,3,,{rmb=3280;519=20},112,,2,,1,activity/direct_gift/icon_gjbx1.png,,,
246,22111,Ascension Star Gift Pack - 328 yuan - limited to 2 purchases per week - increased number of Hanbok,Star Up Pack,升星禮包,Star Up Pack,승급 패키지,3,,{card={id=9002};rmb=3280;gold=300000},112,,2,,1,activity/direct_gift/icon_gjbx4.png,,,
247,22111,Purple gift bag - 328 yuan - purchase limit 2 times a week - increase the number of Hanbok,Held Item Pack,攜帶道具禮包,Held Item Pack,휴대 아이템 패키지,3,,{rmb=3280;942=1;2103=60},112,,2,,1,activity/direct_gift/icon_gjbx18.png,,,
