"﻿变量名",huodongID,costMap,items,exchangeTimes,limit,desc,desc_tw,desc_en
,10012,{rmb=280},{560=1},1,,Diamond* 280 Exchange  Reborn Stone (Adv)* 3,鑽石*280   兌換   進階重生石*1,Diamond* 280 Exchange  Reborn Stone (Adv)* 3
,10012,{rmb=280},{561=1},1,,Diamond* 280 Exchange  Skill  Reborn Stone* 1,鑽石*280   兌換   技能重生石*1,Diamond* 280 Exchange  Skill  Reborn Stone* 1
,10012,{rmb=280},{562=1},1,,Diamond* 280 Exchange  Soul Fight  Reborn Stone* 1,鑽石*280   兌換   鬥魂重生石*1,Diamond* 280 Exchange  Soul Fight  Reborn Stone* 1
,10012,{rmb=280},{563=1},1,,Diamond* 280 Exchange  Equip.  Reborn Stone* 1,鑽石*280   兌換   裝備重生石*1,Diamond* 280 Exchange  Equip.  Reborn Stone* 1
,,,,,,,,
,10013,{gold=50000},{611=10},5,,Gold* 50K Exchange Spar Box* 10,金幣*5W   兌換   晶石盒子*10,Gold* 50K Exchange Spar Box* 10
,10013,{gold=30000},{5000=10},10,,Energy Potion,金幣*3W   兌換   能量藥劑*10,Energy Potion
,10013,{gold=100000},{504=10},3,,Gold* 100K Exchange Soul Fight Essence,金幣*10W   兌換   鬥魂精華*10,Gold* 100K Exchange Soul Fight Essence
,10013,{rmb=600},{411=150},3,,Diamond* 600 Exchange Source of Divine Weapon* 150,鑽石*600   兌換   神器能量之魂*150,Diamond* 600 Exchange Source of Divine Weapon* 150
,10013,{rmb=600},{603=20},3,,Diamond* 600 Exchange Giftpack (Mix)*20,鑽石*600   兌換   紫色禮物盒子*20,Diamond* 600 Exchange Giftpack (Mix)*20
,10013,{rmb=280},{560=1},1,,Diamond* 280 Exchange  Reborn Stone (Adv)* 3,鑽石*280   兌換   進階重生石*1,Diamond* 280 Exchange  Reborn Stone (Adv)* 3
,10013,{rmb=280},{561=1},1,,Diamond* 280 Exchange  Skill  Reborn Stone* 1,鑽石*280   兌換   技能重生石*1,Diamond* 280 Exchange  Skill  Reborn Stone* 1
,10013,{rmb=280},{562=1},1,,Diamond* 280 Exchange  Soul Fight  Reborn Stone* 1,鑽石*280   兌換   鬥魂重生石*1,Diamond* 280 Exchange  Soul Fight  Reborn Stone* 1
,10013,{rmb=280},{563=1},1,,Diamond* 280 Exchange  Equip.  Reborn Stone* 1,鑽石*280   兌換   裝備重生石*1,Diamond* 280 Exchange  Equip.  Reborn Stone* 1
,,,,,,,,
,10014,{rmb=180},{21001=3},2,,Diamond* 180 Exchange Agumon Shard* 3,鑽石*180   兌換   亞古獸碎片*3,Diamond* 180 Exchange Agumon Shard* 3
,10014,{rmb=180},{21002=3},2,,Diamond* 180 Exchange  Garurumon* 3,鑽石*180   兌換   加魯魯獸碎片*3,Diamond* 180 Exchange  Garurumon* 3
,10014,{rmb=180},{21004=3},2,,Diamond* 180 Exchange  Birdramon* 3,鑽石*180   兌換   巴朵拉獸碎片*3,Diamond* 180 Exchange  Birdramon* 3
,10014,{rmb=180},{21011=3},2,,Diamond* 180 Exchange  Ankylomon* 3,鑽石*180   兌換   戰甲獸碎片*3,Diamond* 180 Exchange  Ankylomon* 3
,10014,{rmb=180},{21015=3},2,,Diamond* 180 Exchange  Kyubimon* 3,鑽石*180   兌換   九尾狐獸碎片*3,Diamond* 180 Exchange  Kyubimon* 3
,10014,{rmb=180},{21022=3},2,,Diamond* 180 Exchange  Wizardmon* 3,鑽石*180   兌換   巫師獸碎片*3,Diamond* 180 Exchange  Wizardmon* 3
,10014,{rmb=180},{21033=3},2,,Diamond* 180 Exchange  Loweemon* 3,鑽石*180   兌換   黑獅獸碎片*3,Diamond* 180 Exchange  Loweemon* 3
,10014,{rmb=180},{21028=3},2,,Diamond* 180 Exchange  Reppamon* 3,鑽石*180   兌換   裂波獸碎片*3,Diamond* 180 Exchange  Reppamon* 3
,10014,{rmb=240},{21031=3},1,,Diamond* 180 Exchange  Beetlemon* 3,鑽石*240   兌換   電光獸碎片*3,Diamond* 180 Exchange  Beetlemon* 3
,10014,{rmb=240},{21026=3},1,,Diamond* 180 Exchange  Gaogamon Shard* 3,鑽石*240   兌換   伽奧伽獸碎片*3,Diamond* 180 Exchange  Gaogamon Shard* 3
,10014,{rmb=240},{21023=3},1,,Diamond* 180 Exchange  Agnimon Shard* 3,鑽石*240   兌換   火神獸碎片*3,Diamond* 180 Exchange  Agnimon Shard* 3
,,,,,,,,
,10015,{rmb=180},{21001=3},2,,Diamond* 180 Exchange Agumon Shard* 3,鑽石*180   兌換   亞古獸碎片*3,Diamond* 180 Exchange Agumon Shard* 3
,10015,{rmb=180},{21002=3},2,,Diamond* 180 Exchange  Garurumon* 3,鑽石*180   兌換   加魯魯獸碎片*3,Diamond* 180 Exchange  Garurumon* 3
,10015,{rmb=180},{21004=3},2,,Diamond* 180 Exchange  Birdramon* 3,鑽石*180   兌換   巴朵拉獸碎片*3,Diamond* 180 Exchange  Birdramon* 3
,10015,{rmb=180},{21011=3},2,,Diamond* 180 Exchange  Ankylomon* 3,鑽石*180   兌換   戰甲獸碎片*3,Diamond* 180 Exchange  Ankylomon* 3
,10015,{rmb=180},{21015=3},2,,Diamond* 180 Exchange  Kyubimon* 3,鑽石*180   兌換   九尾狐獸碎片*3,Diamond* 180 Exchange  Kyubimon* 3
,10015,{rmb=180},{21022=3},2,,Diamond* 180 Exchange  Wizardmon* 3,鑽石*180   兌換   巫師獸碎片*3,Diamond* 180 Exchange  Wizardmon* 3
,10015,{rmb=180},{21033=3},2,,Diamond* 180 Exchange  Loweemon* 3,鑽石*180   兌換   黑獅獸碎片*3,Diamond* 180 Exchange  Loweemon* 3
,10015,{rmb=180},{21028=3},2,,Diamond* 180 Exchange  Reppamon* 3,鑽石*180   兌換   裂波獸碎片*3,Diamond* 180 Exchange  Reppamon* 3
,10015,{rmb=240},{21031=3},1,,Diamond* 180 Exchange  Beetlemon* 3,鑽石*240   兌換   電光獸碎片*3,Diamond* 180 Exchange  Beetlemon* 3
,10015,{rmb=240},{21026=3},1,,Diamond* 180 Exchange  Gaogamon Shard* 3,鑽石*240   兌換   伽奧伽獸碎片*3,Diamond* 180 Exchange  Gaogamon Shard* 3
,10015,{rmb=240},{21023=3},1,,Diamond* 180 Exchange  Agnimon Shard* 3,鑽石*240   兌換   火神獸碎片*3,Diamond* 180 Exchange  Agnimon Shard* 3
,,,,,,,,
,10050,{rmb=8},{gold=100000},3,,Diamond* 8 Exchange Gold* 100K,鑽石*8   兌換   金幣*100000,Diamond* 8 Exchange Gold* 100K
,10050,{rmb=18},{520=1},2,,Diamond* 18 Exchange DigiChest Key*1,鑽石*18   兌換   數碼寶箱鑰匙*1,Diamond* 18 Exchange DigiChest Key*1
,10050,{rmb=38},{502=1},2,,Diamond*3 8 Exchange General Shard*1,鑽石*38   兌換   萬能碎片*1,Diamond*3 8 Exchange General Shard*1
,10050,{rmb=88},{501=1},1,,Diamond* 88 Exchange Awaken Digizoid*1,鑽石*88   兌換   覺醒合金*1,Diamond* 88 Exchange Awaken Digizoid*1
,10050,{rmb=188},{603=20},1,,Diamond* 188 Exchange Giftpack (Purple)*20,鑽石*188   兌換   紫色禮物盒子*20,Diamond* 188 Exchange Giftpack (Purple)*20
,10050,{gold=8800},{611=10},2,,Gold* 8800 Exchange Spar Chest* 10,金幣*8800   兌換   晶石盒子*10,Gold* 8800 Exchange Spar Chest* 10
,10050,{gold=18800},{5000=30},2,,Gold* 18800 Exchange Energy Potion*30,金幣*18800   兌換   能量藥劑*30,Gold* 18800 Exchange Energy Potion*30
,10050,{gold=28800},{504=10},2,,Gold* 28800 Exchange Soul Fight Essence*10,金幣*28800   兌換   鬥魂精華*10,Gold* 28800 Exchange Soul Fight Essence*10
,10050,{gold=38800},{411=30},2,,Gold* 38800 Exchange Source of Divine Weapon*30,金幣*38800   兌換   神器能量之魂*30,Gold* 38800 Exchange Source of Divine Weapon*30
,10050,{gold=58800},{604=10},2,,Gold* 58800 Exchange Giftpack (Mix)*10,金幣*58800   兌換   經典禮物盒子*10,Gold* 58800 Exchange Giftpack (Mix)*10
,,,,,,,,
,10051,{rmb=8},{gold=100000},9,,Diamond* 8 Exchange Gold* 100K,鑽石*8   兌換   金幣*100000,Diamond* 8 Exchange Gold* 100K
,10051,{rmb=18},{520=1},6,,Diamond* 18 Exchange DigiChest Key*1,鑽石*18   兌換   數碼寶箱鑰匙*1,Diamond* 18 Exchange DigiChest Key*1
,10051,{rmb=38},{502=1},6,,Diamond*3 8 Exchange General Shard*1,鑽石*38   兌換   萬能碎片*1,Diamond*3 8 Exchange General Shard*1
,10051,{rmb=88},{501=1},3,,Diamond* 88 Exchange Awaken Digizoid*1,鑽石*88   兌換   覺醒合金*1,Diamond* 88 Exchange Awaken Digizoid*1
,10051,{rmb=188},{603=20},3,,Diamond* 188 Exchange Giftpack (Purple)*20,鑽石*188   兌換   紫色禮物盒子*20,Diamond* 188 Exchange Giftpack (Purple)*20
,10051,{gold=8800},{611=10},6,,Gold* 8800 Exchange Spar Chest* 10,金幣*8800   兌換   晶石盒子*10,Gold* 8800 Exchange Spar Chest* 10
,10051,{gold=18800},{5000=30},6,,Gold* 18800 Exchange Energy Potion*30,金幣*18800   兌換   能量藥劑*30,Gold* 18800 Exchange Energy Potion*30
,10051,{gold=28800},{504=10},6,,Gold* 28800 Exchange Soul Fight Essence*10,金幣*28800   兌換   鬥魂精華*10,Gold* 28800 Exchange Soul Fight Essence*10
,10051,{gold=38800},{411=30},6,,Gold* 38800 Exchange Source of Divine Weapon*30,金幣*38800   兌換   神器能量之魂*30,Gold* 38800 Exchange Source of Divine Weapon*30
,10051,{gold=58800},{604=10},6,,Gold* 58800 Exchange Giftpack (Mix)*10,金幣*58800   兌換   經典禮物盒子*10,Gold* 58800 Exchange Giftpack (Mix)*10
,,,,,,,,
,10052,{gold=80000},{807=1},1,,Gold* 80K Exchange AncientBeatmon Skin (3 Days)* 1,金幣*8W   兌換   古代甲蟲獸皮膚（3天）*1,Gold* 80K Exchange AncientBeatmon Skin (3 Days)* 1
,10052,{rmb=280},{808=1},1,,Diamond* 280 Exchange AncientBeatmon Skin (7 Days)* 1,鑽石*280   兌換   古代甲蟲獸皮膚（7天）*1,Diamond* 280 Exchange AncientBeatmon Skin (7 Days)* 1
,10052,{rmb=2280},{809=1},1,,Diamond* 2280 Exchange AncientBeatmon Skin (permanent)* 1,鑽石*2280   兌換   古代甲蟲獸皮膚（永久）*1,Diamond* 2280 Exchange AncientBeatmon Skin (permanent)* 1
,10052,{gold=100000},{801=1},1,,Gold* 100K Exchange SkullGreymon Skin (3 Days),金幣*10W   兌換   喪屍暴龍獸皮膚（3天）*1,Gold* 100K Exchange SkullGreymon Skin (3 Days)
,10052,{rmb=380},{802=1},1,,Diamond* 280 Exchange SkullGreymon Skin (7 Days)* 1,鑽石*380   兌換   喪屍暴龍獸皮膚（7天）*1,Diamond* 280 Exchange SkullGreymon Skin (7 Days)* 1
,10052,{rmb=2880},{803=1},1,,Diamond* 2880 Exchange SkullGreymon Skin (Foever)* 1,鑽石*2880   兌換   喪屍暴龍獸皮膚（永久）*1,Diamond* 2880 Exchange SkullGreymon Skin (Foever)* 1
,10052,{rmb=280},{560=1},1,,Diamond* 280 Exchange  Reborn Stone (Adv)* 3,鑽石*280   兌換   進階重生石*1,Diamond* 280 Exchange  Reborn Stone (Adv)* 3
,10052,{rmb=280},{561=1},1,,Diamond* 280 Exchange  Skill  Reborn Stone* 1,鑽石*280   兌換   技能重生石*1,Diamond* 280 Exchange  Skill  Reborn Stone* 1
,10052,{rmb=280},{562=1},1,,Diamond* 280 Exchange  Soul Fight  Reborn Stone* 1,鑽石*280   兌換   鬥魂重生石*1,Diamond* 280 Exchange  Soul Fight  Reborn Stone* 1
,10052,{rmb=280},{563=1},1,,Diamond* 280 Exchange  Equip.  Reborn Stone* 1,鑽石*280   兌換   裝備重生石*1,Diamond* 280 Exchange  Equip.  Reborn Stone* 1
,10052,{rmb=18},{gold=200000},5,,Diamond* 8 Exchange Gold* 100K,鑽石*18   兌換   金幣*200000,Diamond* 8 Exchange Gold* 100K
,10052,{rmb=28},{520=1},3,,Diamond* 18 Exchange DigiChest Key*1,鑽石*28   兌換   數碼寶箱鑰匙*1,Diamond* 18 Exchange DigiChest Key*1
,10052,{rmb=58},{502=1},3,,Diamond*3 8 Exchange General Shard*1,鑽石*58   兌換   萬能碎片*1,Diamond*3 8 Exchange General Shard*1
,10052,{rmb=108},{501=1},2,,Diamond* 88 Exchange Awaken Digizoid*1,鑽石*108   兌換   覺醒合金*1,Diamond* 88 Exchange Awaken Digizoid*1
,10052,{rmb=208},{603=20},2,,Diamond* 188 Exchange Giftpack (Purple)*20,鑽石*208   兌換   紫色禮物盒子*20,Diamond* 188 Exchange Giftpack (Purple)*20
,10052,{gold=8800},{611=10},5,,Gold* 8800 Exchange Spar Chest* 10,金幣*8800   兌換   晶石盒子*10,Gold* 8800 Exchange Spar Chest* 10
,10052,{gold=18800},{5000=30},5,,Gold* 18800 Exchange Energy Potion*30,金幣*18800   兌換   能量藥劑*30,Gold* 18800 Exchange Energy Potion*30
,10052,{gold=28800},{504=10},5,,Gold* 28800 Exchange Soul Fight Essence*10,金幣*28800   兌換   鬥魂精華*10,Gold* 28800 Exchange Soul Fight Essence*10
,10052,{gold=38800},{411=30},5,,Gold* 38800 Exchange Source of Divine Weapon*30,金幣*38800   兌換   神器能量之魂*30,Gold* 38800 Exchange Source of Divine Weapon*30
,10052,{gold=58800},{604=10},5,,Gold* 58800 Exchange Giftpack (Mix)*10,金幣*58800   兌換   經典禮物盒子*10,Gold* 58800 Exchange Giftpack (Mix)*10
,,,,,,,,
,10053,{gold=200000},{810=1},1,,Gold* 200K Exchange MetalGarurumon X Skin (3 Days)* 1,金幣*20W   兌換   鋼鐵加魯魯X皮膚（3天）*1,Gold* 200K Exchange MetalGarurumon X Skin (3 Days)* 1
,10053,{rmb=480},{811=1},1,,Diamond* 480 Exchange MetalGarurumon XSkin (7 Days)* 1,鑽石*480   兌換   鋼鐵加魯魯X皮膚（7天）*1,Diamond* 480 Exchange MetalGarurumon XSkin (7 Days)* 1
,10053,{rmb=4880},{812=1},1,,Diamond* 4880 Exchange MetalGarurumon X (permanent)* 1,鑽石*4880   兌換   鋼鐵加魯魯X皮膚（永久）*1,Diamond* 4880 Exchange MetalGarurumon X (permanent)* 1
,10053,{gold=50000},{611=10},5,,Gold* 50K Exchange Spar Box* 10,金幣*5W   兌換   晶石盒子*10,Gold* 50K Exchange Spar Box* 10
,10053,{gold=30000},{5000=10},10,,Energy Potion,金幣*3W   兌換   能量藥劑*10,Energy Potion
,10053,{gold=100000},{504=10},3,,Gold* 100K Exchange Soul Fight Essence,金幣*10W   兌換   鬥魂精華*10,Gold* 100K Exchange Soul Fight Essence
,10053,{rmb=600},{411=150},3,,Diamond* 600 Exchange Source of Divine Weapon* 150,鑽石*600   兌換   神器能量之魂*150,Diamond* 600 Exchange Source of Divine Weapon* 150
,10053,{rmb=600},{603=20},3,,Diamond* 600 Exchange Giftpack (Mix)*20,鑽石*600   兌換   紫色禮物盒子*20,Diamond* 600 Exchange Giftpack (Mix)*20
,10053,{coin2=1500},{560=1},1,,Trial Coin*1500 Diamond* 280 Exchange Reborn Stone (Adv)* 1,試煉幣*1500   兌換   進階重生石*1,Trial Coin*1500 Diamond* 280 Exchange Reborn Stone (Adv)* 1
,10053,{coin2=1500},{561=1},1,,Trial Coin*1500 Exchange Skill Reborn Stone* 1,試煉幣*1500   兌換   技能重生石*1,Trial Coin*1500 Exchange Skill Reborn Stone* 1
,10053,{coin2=1500},{562=1},1,,Trial Coin*1500 Exchange Soul Fight  Reborn Stone* 1,試煉幣*1500   兌換   鬥魂重生石*1,Trial Coin*1500 Exchange Soul Fight  Reborn Stone* 1
,10053,{coin2=1500},{563=1},1,,Trial Coin*1500 Exchange Equip.  Reborn Stone* 1,試煉幣*1500   兌換   裝備重生石*1,Trial Coin*1500 Exchange Equip.  Reborn Stone* 1
,,,,,,,,
,10054,{rmb=180},{21001=3},2,,Diamond* 180 Exchange Agumon Shard* 3,鑽石*180   兌換   亞古獸碎片*3,Diamond* 180 Exchange Agumon Shard* 3
,10054,{rmb=180},{21002=3},2,,Diamond* 180 Exchange  Garurumon* 3,鑽石*180   兌換   加魯魯獸碎片*3,Diamond* 180 Exchange  Garurumon* 3
,10054,{rmb=180},{21004=3},2,,Diamond* 180 Exchange  Birdramon* 3,鑽石*180   兌換   巴朵拉獸碎片*3,Diamond* 180 Exchange  Birdramon* 3
,10054,{rmb=180},{21011=3},2,,Diamond* 180 Exchange  Ankylomon* 3,鑽石*180   兌換   戰甲獸碎片*3,Diamond* 180 Exchange  Ankylomon* 3
,10054,{rmb=180},{21015=3},2,,Diamond* 180 Exchange  Kyubimon* 3,鑽石*180   兌換   九尾狐獸碎片*3,Diamond* 180 Exchange  Kyubimon* 3
,10054,{rmb=180},{21022=3},2,,Diamond* 180 Exchange  Wizardmon* 3,鑽石*180   兌換   巫師獸碎片*3,Diamond* 180 Exchange  Wizardmon* 3
,10054,{rmb=180},{21033=3},2,,Diamond* 180 Exchange  Loweemon* 3,鑽石*180   兌換   黑獅獸碎片*3,Diamond* 180 Exchange  Loweemon* 3
,10054,{rmb=180},{21028=3},2,,Diamond* 180 Exchange  Reppamon* 3,鑽石*180   兌換   裂波獸碎片*3,Diamond* 180 Exchange  Reppamon* 3
,10054,{rmb=240},{21031=3},1,,Diamond* 180 Exchange  Beetlemon* 3,鑽石*240   兌換   電光獸碎片*3,Diamond* 180 Exchange  Beetlemon* 3
,10054,{rmb=240},{21026=3},1,,Diamond* 180 Exchange  Gaogamon Shard* 3,鑽石*240   兌換   伽奧伽獸碎片*3,Diamond* 180 Exchange  Gaogamon Shard* 3
,10054,{rmb=240},{21023=3},1,,Diamond* 180 Exchange  Agnimon Shard* 3,鑽石*240   兌換   火神獸碎片*3,Diamond* 180 Exchange  Agnimon Shard* 3
,,,,,,,,
,10055,{rmb=180},{21001=3},2,,Diamond* 180 Exchange Agumon Shard* 3,鑽石*180   兌換   亞古獸碎片*3,Diamond* 180 Exchange Agumon Shard* 3
,10055,{rmb=180},{21002=3},2,,Diamond* 180 Exchange  Garurumon* 3,鑽石*180   兌換   加魯魯獸碎片*3,Diamond* 180 Exchange  Garurumon* 3
,10055,{rmb=180},{21004=3},2,,Diamond* 180 Exchange  Birdramon* 3,鑽石*180   兌換   巴朵拉獸碎片*3,Diamond* 180 Exchange  Birdramon* 3
,10055,{rmb=180},{21011=3},2,,Diamond* 180 Exchange  Ankylomon* 3,鑽石*180   兌換   戰甲獸碎片*3,Diamond* 180 Exchange  Ankylomon* 3
,10055,{rmb=180},{21015=3},2,,Diamond* 180 Exchange  Kyubimon* 3,鑽石*180   兌換   九尾狐獸碎片*3,Diamond* 180 Exchange  Kyubimon* 3
,10055,{rmb=180},{21022=3},2,,Diamond* 180 Exchange  Wizardmon* 3,鑽石*180   兌換   巫師獸碎片*3,Diamond* 180 Exchange  Wizardmon* 3
,10055,{rmb=180},{21033=3},2,,Diamond* 180 Exchange  Loweemon* 3,鑽石*180   兌換   黑獅獸碎片*3,Diamond* 180 Exchange  Loweemon* 3
,10055,{rmb=180},{21028=3},2,,Diamond* 180 Exchange  Reppamon* 3,鑽石*180   兌換   裂波獸碎片*3,Diamond* 180 Exchange  Reppamon* 3
,10055,{rmb=240},{21031=3},1,,Diamond* 180 Exchange  Beetlemon* 3,鑽石*240   兌換   電光獸碎片*3,Diamond* 180 Exchange  Beetlemon* 3
,10055,{rmb=240},{21026=3},1,,Diamond* 180 Exchange  Gaogamon Shard* 3,鑽石*240   兌換   伽奧伽獸碎片*3,Diamond* 180 Exchange  Gaogamon Shard* 3
,10055,{rmb=240},{21023=3},1,,Diamond* 180 Exchange  Agnimon Shard* 3,鑽石*240   兌換   火神獸碎片*3,Diamond* 180 Exchange  Agnimon Shard* 3
,,,,,,,,
,10056,{150=1},{531=100},1,,Brawler Ring's Soul* 1 Exchange Ring Essence* 100,格鬥家指環之魂*1   兌換   指環能量精華*100,Brawler Ring's Soul* 1 Exchange Ring Essence* 100
,10056,{151=1},{531=100},1,,Dark Lord Ring's Soul* 1 Exchange Ring Essence* 100,暗領主指環之魂*1   兌換   指環能量精華*100,Dark Lord Ring's Soul* 1 Exchange Ring Essence* 100
,10056,{152=1},{531=100},1,,Analyst Ring's Soul* 1 Exchange Ring Essence* 100,分析師指環之魂*1   兌換   指環能量精華*100,Analyst Ring's Soul* 1 Exchange Ring Essence* 100
,10056,{153=1},{531=100},1,,Magician Ring's Soul* 1 Exchange Ring Essence* 100,魔術師指環之魂*1   兌換   指環能量精華*100,Magician Ring's Soul* 1 Exchange Ring Essence* 100
,10056,{154=1},{531=100},1,,Blasting Expert Ring's Soul* 1 Exchange Ring Essence* 100,爆破師指環之魂*1   兌換   指環能量精華*100,Blasting Expert Ring's Soul* 1 Exchange Ring Essence* 100
,10056,{155=1},{531=100},1,,Archangel Ring's Soul* 1 Exchange Ring Essence* 100,大天使指環之魂*1   兌換   指環能量精華*100,Archangel Ring's Soul* 1 Exchange Ring Essence* 100
,10056,{156=1},{531=100},1,,Tank Ring's Soul* 1 Exchange Ring Essence* 100,坦克車指環之魂*1   兌換   指環能量精華*100,Tank Ring's Soul* 1 Exchange Ring Essence* 100
,10056,{158=1},{531=100},1,,Ultra-Capable Ring's Soul* 1 Exchange Ring Essence* 100,異能者指環之魂*1   兌換   指環能量精華*100,Ultra-Capable Ring's Soul* 1 Exchange Ring Essence* 100
