变量名,serverOpenDays,fightPointLimit,vipLimit
148,148,226000,5
149,149,228000,5
150,150,230000,5
151,151,232000,5
152,152,234000,5
153,153,236000,5
154,154,238000,5
155,155,240000,5
156,156,242000,5
157,157,244000,5
158,158,246000,5
159,159,248000,5
160,160,250000,5
161,161,252000,5
162,162,254000,5
163,163,256000,5
164,164,258000,5
165,165,260000,5
166,166,262000,5
167,167,264000,5
168,168,266000,5
169,169,268000,5
170,170,270000,5
171,171,272000,5
172,172,274000,5
173,173,276000,5
174,174,278000,5
175,175,280000,5
176,176,282000,5
177,177,284000,5
178,178,286000,5
179,179,288000,5
180,180,290000,5
181,181,292000,5
182,182,294000,5
183,183,296000,5
184,184,298000,5
185,185,300000,5
186,186,302000,5
187,187,304000,5
188,188,306000,5
189,189,308000,5
190,190,310000,5
191,191,312000,5
192,192,314000,5
193,193,316000,5
194,194,318000,5
195,195,320000,5
196,196,322000,5
197,197,324000,5
198,198,326000,5
199,199,328000,5
200,200,330000,5
201,201,332000,5
202,202,334000,5
203,203,336000,5
204,204,338000,5
205,205,340000,5
206,206,342000,5
207,207,344000,5
208,208,346000,5
209,209,348000,5
210,210,350000,5
211,211,352000,5
212,212,354000,5
213,213,356000,5
214,214,358000,5
215,215,360000,5
216,216,362000,5
217,217,364000,5
218,218,366000,5
219,219,368000,5
220,220,370000,5
221,221,372000,5
222,222,374000,5
223,223,376000,5
224,224,378000,5
225,225,380000,5
226,226,382000,5
227,227,384000,5
228,228,386000,5
229,229,388000,5
230,230,390000,5
231,231,392000,5
232,232,394000,5
233,233,396000,5
234,234,398000,5
235,235,400000,5
236,236,402000,5
237,237,404000,5
238,238,406000,5
239,239,408000,5
240,240,410000,5
241,241,412000,5
242,242,414000,5
243,243,416000,5
244,244,418000,5
245,245,420000,5
246,246,422000,5
247,247,424000,5
248,248,426000,5
249,249,428000,5
250,250,430000,5
251,251,432000,5
252,252,434000,5
253,253,436000,5
254,254,438000,5
255,255,440000,5
256,256,442000,5
257,257,444000,5
258,258,446000,5
259,259,448000,5
260,260,450000,5
261,261,452000,5
262,262,454000,5
263,263,456000,5
264,264,458000,5
265,265,460000,5
266,266,462000,5
267,267,464000,5
268,268,466000,5
269,269,468000,5
270,270,470000,5
271,271,472000,5
272,272,474000,5
273,273,476000,5
274,274,478000,5
275,275,480000,5
276,276,482000,5
277,277,484000,5
278,278,486000,5
279,279,488000,5
280,280,490000,5
281,281,492000,5
282,282,494000,5
283,283,496000,5
284,284,498000,5
285,285,500000,5
286,286,502000,5
287,287,504000,5
288,288,506000,5
289,289,508000,5
290,290,510000,5
291,291,512000,5
292,292,514000,5
293,293,516000,5
294,294,518000,5
295,295,520000,5
296,296,522000,5
297,297,524000,5
298,298,526000,5
299,299,528000,5
300,300,530000,5
301,301,532000,5
302,302,534000,5
303,303,536000,5
304,304,538000,5
305,305,540000,5
306,306,542000,5
307,307,544000,5
308,308,546000,5
309,309,548000,5
310,310,550000,5
311,311,552000,5
312,312,554000,5
313,313,556000,5
314,314,558000,5
315,315,560000,5
316,316,562000,5
317,317,564000,5
318,318,566000,5
319,319,568000,5
320,320,570000,5
321,321,572000,5
322,322,574000,5
323,323,576000,5
324,324,578000,5
325,325,580000,5
326,326,582000,5
327,327,584000,5
328,328,586000,5
329,329,588000,5
330,330,590000,5
331,331,592000,5
332,332,594000,5
333,333,596000,5
334,334,598000,5
335,335,600000,5
336,336,602000,5
337,337,604000,5
338,338,606000,5
339,339,608000,5
340,340,610000,5
341,341,612000,5
342,342,614000,5
343,343,616000,5
344,344,618000,5
345,345,620000,5
346,346,622000,5
347,347,624000,5
348,348,626000,5
349,349,628000,5
350,350,630000,5
351,351,632000,5
352,352,634000,5
353,353,636000,5
354,354,638000,5
355,355,640000,5
356,356,642000,5
357,357,644000,5
358,358,646000,5
359,359,648000,5
360,360,650000,5
361,361,652000,5
362,362,654000,5
363,363,656000,5
364,364,658000,5
365,365,660000,5
366,366,662000,5
367,367,664000,5
368,368,666000,5
369,369,668000,5
370,370,670000,5
371,371,672000,5
372,372,674000,5
373,373,676000,5
374,374,678000,5
375,375,680000,5
376,376,682000,5
377,377,684000,5
378,378,686000,5
379,379,688000,5
380,380,690000,5
381,381,692000,5
382,382,694000,5
383,383,696000,5
384,384,698000,5
385,385,700000,5
386,386,703000,5
387,387,706000,5
388,388,709000,5
389,389,712000,5
390,390,715000,5
391,391,718000,5
392,392,721000,5
393,393,724000,5
394,394,727000,5
395,395,730000,5
396,396,733000,5
397,397,736000,5
398,398,739000,5
399,399,742000,5
400,400,745000,5
401,401,748000,5
402,402,751000,5
403,403,754000,5
404,404,757000,5
405,405,760000,5
406,406,763000,5
407,407,766000,5
408,408,769000,5
409,409,772000,5
410,410,775000,5
411,411,778000,5
412,412,781000,5
413,413,784000,5
414,414,787000,5
415,415,790000,5
416,416,793000,5
417,417,796000,5
418,418,799000,5
419,419,802000,5
420,420,805000,5
421,421,808000,5
422,422,811000,5
423,423,814000,5
424,424,817000,5
425,425,820000,5
426,426,823000,5
427,427,826000,5
428,428,829000,5
429,429,832000,5
430,430,835000,5
431,431,838000,5
432,432,841000,5
433,433,844000,5
434,434,847000,5
435,435,850000,5
436,436,853000,5
437,437,856000,5
438,438,859000,5
439,439,862000,5
440,440,865000,5
441,441,868000,5
442,442,871000,5
443,443,874000,5
444,444,877000,5
445,445,880000,5
446,446,883000,5
447,447,886000,5
448,448,889000,5
449,449,892000,5
450,450,895000,5
451,451,898000,5
452,452,901000,5
453,453,904000,5
454,454,907000,5
455,455,910000,5
456,456,913000,5
457,457,916000,5
458,458,919000,5
459,459,922000,5
460,460,925000,5
461,461,928000,5
462,462,931000,5
463,463,934000,5
464,464,937000,5
465,465,940000,5
466,466,943000,5
467,467,946000,5
468,468,949000,5
469,469,952000,5
470,470,955000,5
471,471,958000,5
472,472,961000,5
473,473,964000,5
474,474,967000,5
475,475,970000,5
476,476,973000,5
477,477,976000,5
478,478,979000,5
479,479,982000,5
480,480,985000,5
481,481,988000,5
482,482,991000,5
483,483,994000,5
484,484,997000,5
485,485,1000000,5
486,486,1003000,5
487,487,1006000,5
488,488,1009000,5
489,489,1012000,5
490,490,1015000,5
491,491,1018000,5
492,492,1021000,5
493,493,1024000,5
494,494,1027000,5
495,495,1030000,5
496,496,1033000,5
497,497,1036000,5
498,498,1039000,5
499,499,1042000,5
500,500,1045000,5
501,501,1048000,5
502,502,1051000,5
503,503,1054000,5
504,504,1057000,5
505,505,1060000,5
506,506,1063000,5
507,507,1066000,5
508,508,1069000,5
509,509,1072000,5
510,510,1075000,5
511,511,1078000,5
512,512,1081000,5
513,513,1084000,5
514,514,1087000,5
515,515,1090000,5
516,516,1093000,5
517,517,1096000,5
518,518,1099000,5
519,519,1102000,5
520,520,1105000,5
521,521,1108000,5
522,522,1111000,5
523,523,1114000,5
524,524,1117000,5
525,525,1120000,5
526,526,1123000,5
527,527,1126000,5
528,528,1129000,5
529,529,1132000,5
530,530,1135000,5
531,531,1138000,5
532,532,1141000,5
533,533,1144000,5
534,534,1147000,5
535,535,1150000,5
536,536,1153000,5
537,537,1156000,5
538,538,1159000,5
539,539,1162000,5
540,540,1165000,5
541,541,1168000,5
542,542,1171000,5
543,543,1174000,5
544,544,1177000,5
545,545,1180000,5
546,546,1183000,5
547,547,1186000,5
548,548,1189000,5
549,549,1192000,5
550,550,1195000,5
551,551,1198000,5
552,552,1201000,5
553,553,1204000,5
554,554,1207000,5
555,555,1210000,5
556,556,1213000,5
557,557,1216000,5
558,558,1219000,5
559,559,1222000,5
560,560,1225000,5
561,561,1228000,5
562,562,1231000,5
563,563,1234000,5
564,564,1237000,5
565,565,1240000,5
566,566,1243000,5
567,567,1246000,5
568,568,1249000,5
569,569,1252000,5
570,570,1255000,5
571,571,1258000,5
572,572,1261000,5
573,573,1264000,5
574,574,1267000,5
575,575,1270000,5
576,576,1273000,5
577,577,1276000,5
578,578,1279000,5
579,579,1282000,5
580,580,1285000,5
581,581,1288000,5
582,582,1291000,5
583,583,1294000,5
584,584,1297000,5
585,585,1300000,5
586,586,1303000,5
587,587,1306000,5
588,588,1309000,5
589,589,1312000,5
590,590,1315000,5
591,591,1318000,5
592,592,1321000,5
593,593,1324000,5
594,594,1327000,5
595,595,1330000,5
596,596,1333000,5
597,597,1336000,5
598,598,1339000,5
599,599,1342000,5
600,600,1345000,5
601,601,1348000,5
602,602,1351000,5
603,603,1354000,5
604,604,1357000,5
605,605,1360000,5
606,606,1363000,5
607,607,1366000,5
608,608,1369000,5
609,609,1372000,5
610,610,1375000,5
611,611,1378000,5
612,612,1381000,5
613,613,1384000,5
614,614,1387000,5
615,615,1390000,5
616,616,1393000,5
617,617,1396000,5
618,618,1399000,5
619,619,1402000,5
620,620,1405000,5
621,621,1408000,5
622,622,1411000,5
623,623,1414000,5
624,624,1417000,5
625,625,1420000,5
626,626,1423000,5
627,627,1426000,5
628,628,1429000,5
629,629,1432000,5
630,630,1435000,5
631,631,1438000,5
632,632,1441000,5
633,633,1444000,5
634,634,1447000,5
635,635,1450000,5
636,636,1453000,5
637,637,1456000,5
638,638,1459000,5
639,639,1462000,5
640,640,1465000,5
641,641,1468000,5
642,642,1471000,5
643,643,1474000,5
644,644,1477000,5
645,645,1480000,5
646,646,1483000,5
647,647,1486000,5
648,648,1489000,5
649,649,1492000,5
650,650,1495000,5
651,651,1498000,5
652,652,1501000,5
653,653,1504000,5
654,654,1507000,5
655,655,1510000,5
656,656,1513000,5
657,657,1516000,5
658,658,1519000,5
659,659,1522000,5
660,660,1525000,5
661,661,1528000,5
662,662,1531000,5
663,663,1534000,5
664,664,1537000,5
665,665,1540000,5
666,666,1543000,5
667,667,1546000,5
668,668,1549000,5
669,669,1552000,5
670,670,1555000,5
671,671,1558000,5
672,672,1561000,5
673,673,1564000,5
674,674,1567000,5
675,675,1570000,5
676,676,1573000,5
677,677,1576000,5
678,678,1579000,5
679,679,1582000,5
680,680,1585000,5
681,681,1588000,5
682,682,1591000,5
683,683,1594000,5
684,684,1597000,5
685,685,1600000,5
686,686,1603000,5
687,687,1606000,5
688,688,1609000,5
689,689,1612000,5
690,690,1615000,5
691,691,1618000,5
692,692,1621000,5
693,693,1624000,5
694,694,1627000,5
695,695,1630000,5
696,696,1633000,5
697,697,1636000,5
698,698,1639000,5
699,699,1642000,5
700,700,1645000,5
701,701,1648000,5
702,702,1651000,5
703,703,1654000,5
704,704,1657000,5
705,705,1660000,5
706,706,1663000,5
707,707,1666000,5
708,708,1669000,5
709,709,1672000,5
710,710,1675000,5
711,711,1678000,5
712,712,1681000,5
713,713,1684000,5
714,714,1687000,5
715,715,1690000,5
716,716,1693000,5
717,717,1696000,5
718,718,1699000,5
719,719,1702000,5
720,720,1705000,5
721,721,1708000,5
722,722,1711000,5
723,723,1714000,5
724,724,1717000,5
725,725,1720000,5
726,726,1723000,5
727,727,1726000,5
728,728,1729000,5
729,729,1732000,5
730,730,1735000,5
731,731,1738000,5
732,732,1741000,5
733,733,1744000,5
734,734,1747000,5
735,735,1750000,5
736,736,1753000,5
737,737,1756000,5
738,738,1759000,5
739,739,1762000,5
740,740,1765000,5
741,741,1768000,5
742,742,1771000,5
743,743,1774000,5
744,744,1777000,5
745,745,1780000,5
746,746,1783000,5
747,747,1786000,5
748,748,1789000,5
749,749,1792000,5
750,750,1795000,5
751,751,1798000,5
752,752,1801000,5
753,753,1804000,5
754,754,1807000,5
755,755,1810000,5
756,756,1813000,5
757,757,1816000,5
758,758,1819000,5
759,759,1822000,5
760,760,1825000,5
761,761,1828000,5
762,762,1831000,5
763,763,1834000,5
764,764,1837000,5
765,765,1840000,5
766,766,1843000,5
767,767,1846000,5
768,768,1849000,5
769,769,1852000,5
770,770,1855000,5
771,771,1858000,5
772,772,1861000,5
773,773,1864000,5
774,774,1867000,5
775,775,1870000,5
776,776,1873000,5
777,777,1876000,5
778,778,1879000,5
779,779,1882000,5
780,780,1885000,5
781,781,1888000,5
782,782,1891000,5
783,783,1894000,5
784,784,1897000,5
785,785,1900000,5
786,786,1903000,5
787,787,1906000,5
788,788,1909000,5
789,789,1912000,5
790,790,1915000,5
791,791,1918000,5
792,792,1921000,5
793,793,1924000,5
794,794,1927000,5
795,795,1930000,5
796,796,1933000,5
797,797,1936000,5
798,798,1939000,5
799,799,1942000,5
800,800,1945000,5
801,801,1948000,5
802,802,1951000,5
803,803,1954000,5
804,804,1957000,5
805,805,1960000,5
806,806,1963000,5
807,807,1966000,5
808,808,1969000,5
809,809,1972000,5
810,810,1975000,5
811,811,1978000,5
812,812,1981000,5
813,813,1984000,5
814,814,1987000,5
815,815,1990000,5
816,816,1993000,5
817,817,1996000,5
818,818,1999000,5
819,819,2002000,5
820,820,2002000,5
821,821,2002000,5
822,822,2002000,5
823,823,2002000,5
824,824,2002000,5
825,825,2002000,5
826,826,2002000,5
827,827,2002000,5
828,828,2002000,5
829,829,2002000,5
830,830,2002000,5
831,831,2002000,5
832,832,2002000,5
833,833,2002000,5
834,834,2002000,5
835,835,2002000,5
836,836,2002000,5
837,837,2002000,5
838,838,2002000,5
839,839,2002000,5
840,840,2002000,5
841,841,2002000,5
842,842,2002000,5
843,843,2002000,5
844,844,2002000,5
845,845,2002000,5
846,846,2002000,5
847,847,2002000,5
848,848,2002000,5
849,849,2002000,5
850,850,2002000,5
851,851,2002000,5
852,852,2002000,5
853,853,2002000,5
854,854,2002000,5
855,855,2002000,5
856,856,2002000,5
857,857,2002000,5
858,858,2002000,5
859,859,2002000,5
860,860,2002000,5
861,861,2002000,5
862,862,2002000,5
863,863,2002000,5
864,864,2002000,5
865,865,2002000,5
866,866,2002000,5
867,867,2002000,5
868,868,2002000,5
869,869,2002000,5
870,870,2002000,5
871,871,2002000,5
872,872,2002000,5
873,873,2002000,5
874,874,2002000,5
875,875,2002000,5
876,876,2002000,5
877,877,2002000,5
878,878,2002000,5
879,879,2002000,5
880,880,2002000,5
881,881,2002000,5
882,882,2002000,5
883,883,2002000,5
884,884,2002000,5
885,885,2002000,5
886,886,2002000,5
887,887,2002000,5
888,888,2002000,5
889,889,2002000,5
890,890,2002000,5
891,891,2002000,5
892,892,2002000,5
893,893,2002000,5
894,894,2002000,5
895,895,2002000,5
896,896,2002000,5
897,897,2002000,5
898,898,2002000,5
899,899,2002000,5
900,900,2002000,5
901,901,2002000,5
902,902,2002000,5
903,903,2002000,5
904,904,2002000,5
905,905,2002000,5
906,906,2002000,5
907,907,2002000,5
908,908,2002000,5
909,909,2002000,5
910,910,2002000,5
911,911,2002000,5
912,912,2002000,5
913,913,2002000,5
914,914,2002000,5
915,915,2002000,5
916,916,2002000,5
917,917,2002000,5
918,918,2002000,5
919,919,2002000,5
920,920,2002000,5
921,921,2002000,5
922,922,2002000,5
923,923,2002000,5
924,924,2002000,5
925,925,2002000,5
926,926,2002000,5
927,927,2002000,5
928,928,2002000,5
929,929,2002000,5
930,930,2002000,5
931,931,2002000,5
932,932,2002000,5
933,933,2002000,5
934,934,2002000,5
935,935,2002000,5
936,936,2002000,5
937,937,2002000,5
938,938,2002000,5
939,939,2002000,5
940,940,2002000,5
941,941,2002000,5
942,942,2002000,5
943,943,2002000,5
944,944,2002000,5
945,945,2002000,5
946,946,2002000,5
947,947,2002000,5
948,948,2002000,5
949,949,2002000,5
950,950,2002000,5
951,951,2002000,5
952,952,2002000,5
953,953,2002000,5
954,954,2002000,5
955,955,2002000,5
956,956,2002000,5
957,957,2002000,5
958,958,2002000,5
959,959,2002000,5
960,960,2002000,5
961,961,2002000,5
962,962,2002000,5
963,963,2002000,5
964,964,2002000,5
965,965,2002000,5
966,966,2002000,5
967,967,2002000,5
968,968,2002000,5
969,969,2002000,5
970,970,2002000,5
971,971,2002000,5
972,972,2002000,5
973,973,2002000,5
974,974,2002000,5
975,975,2002000,5
976,976,2002000,5
977,977,2002000,5
978,978,2002000,5
979,979,2002000,5
980,980,2002000,5
981,981,2002000,5
982,982,2002000,5
983,983,2002000,5
984,984,2002000,5
985,985,2002000,5
986,986,2002000,5
987,987,2002000,5
988,988,2002000,5
989,989,2002000,5
990,990,2002000,5
991,991,2002000,5
992,992,2002000,5
993,993,2002000,5
994,994,2002000,5
995,995,2002000,5
996,996,2002000,5
997,997,2002000,5
998,998,2002000,5
999,999,2002000,5
1000,1000,2002000,5
1001,1001,2002000,5
1002,1002,2002000,5
1003,1003,2002000,5
1004,1004,2002000,5
1005,1005,2002000,5
1006,1006,2002000,5
1007,1007,2002000,5
1008,1008,2002000,5
1009,1009,2002000,5
1010,1010,2002000,5
1011,1011,2002000,5
1012,1012,2002000,5
1013,1013,2002000,5
1014,1014,2002000,5
1015,1015,2002000,5
1016,1016,2002000,5
1017,1017,2002000,5
1018,1018,2002000,5
1019,1019,2002000,5
1020,1020,2002000,5
1021,1021,2002000,5
1022,1022,2002000,5
1023,1023,2002000,5
1024,1024,2002000,5
1025,1025,2002000,5
1026,1026,2002000,5
1027,1027,2002000,5
1028,1028,2002000,5
1029,1029,2002000,5
1030,1030,2002000,5
1031,1031,2002000,5
1032,1032,2002000,5
1033,1033,2002000,5
1034,1034,2002000,5
1035,1035,2002000,5
1036,1036,2002000,5
1037,1037,2002000,5
1038,1038,2002000,5
1039,1039,2002000,5
1040,1040,2002000,5
1041,1041,2002000,5
1042,1042,2002000,5
1043,1043,2002000,5
1044,1044,2002000,5
1045,1045,2002000,5
1046,1046,2002000,5
1047,1047,2002000,5
1048,1048,2002000,5
1049,1049,2002000,5
1050,1050,2002000,5
1051,1051,2002000,5
1052,1052,2002000,5
1053,1053,2002000,5
1054,1054,2002000,5
1055,1055,2002000,5
1056,1056,2002000,5
1057,1057,2002000,5
1058,1058,2002000,5
1059,1059,2002000,5
1060,1060,2002000,5
1061,1061,2002000,5
1062,1062,2002000,5
1063,1063,2002000,5
1064,1064,2002000,5
1065,1065,2002000,5
1066,1066,2002000,5
1067,1067,2002000,5
1068,1068,2002000,5
1069,1069,2002000,5
1070,1070,2002000,5
1071,1071,2002000,5
1072,1072,2002000,5
1073,1073,2002000,5
1074,1074,2002000,5
1075,1075,2002000,5
1076,1076,2002000,5
1077,1077,2002000,5
1078,1078,2002000,5
1079,1079,2002000,5
1080,1080,2002000,5
1081,1081,2002000,5
1082,1082,2002000,5
1083,1083,2002000,5
1084,1084,2002000,5
1085,1085,2002000,5
1086,1086,2002000,5
1087,1087,2002000,5
1088,1088,2002000,5
1089,1089,2002000,5
1090,1090,2002000,5
1091,1091,2002000,5
1092,1092,2002000,5
1093,1093,2002000,5
1094,1094,2002000,5
1095,1095,2002000,5
1096,1096,2002000,5
1097,1097,2002000,5
1098,1098,2002000,5
1099,1099,2002000,5
1100,1100,2002000,5
1101,1101,2002000,5
1102,1102,2002000,5
1103,1103,2002000,5
1104,1104,2002000,5
1105,1105,2002000,5
1106,1106,2002000,5
1107,1107,2002000,5
1108,1108,2002000,5
1109,1109,2002000,5
1110,1110,2002000,5
1111,1111,2002000,5
1112,1112,2002000,5
1113,1113,2002000,5
1114,1114,2002000,5
1115,1115,2002000,5
1116,1116,2002000,5
1117,1117,2002000,5
1118,1118,2002000,5
1119,1119,2002000,5
1120,1120,2002000,5
1121,1121,2002000,5
1122,1122,2002000,5
1123,1123,2002000,5
1124,1124,2002000,5
1125,1125,2002000,5
1126,1126,2002000,5
1127,1127,2002000,5
1128,1128,2002000,5
1129,1129,2002000,5
1130,1130,2002000,5
1131,1131,2002000,5
1132,1132,2002000,5
1133,1133,2002000,5
1134,1134,2002000,5
1135,1135,2002000,5
1136,1136,2002000,5
1137,1137,2002000,5
1138,1138,2002000,5
1139,1139,2002000,5
1140,1140,2002000,5
1141,1141,2002000,5
1142,1142,2002000,5
1143,1143,2002000,5
1144,1144,2002000,5
1145,1145,2002000,5
1146,1146,2002000,5
1147,1147,2002000,5
1148,1148,2002000,5
1149,1149,2002000,5
1150,1150,2002000,5
1151,1151,2002000,5
1152,1152,2002000,5
1153,1153,2002000,5
1154,1154,2002000,5
1155,1155,2002000,5
1156,1156,2002000,5
1157,1157,2002000,5
1158,1158,2002000,5
1159,1159,2002000,5
1160,1160,2002000,5
1161,1161,2002000,5
1162,1162,2002000,5
1163,1163,2002000,5
1164,1164,2002000,5
1165,1165,2002000,5
1166,1166,2002000,5
1167,1167,2002000,5
1168,1168,2002000,5
1169,1169,2002000,5
1170,1170,2002000,5
1171,1171,2002000,5
1172,1172,2002000,5
1173,1173,2002000,5
1174,1174,2002000,5
1175,1175,2002000,5
1176,1176,2002000,5
1177,1177,2002000,5
1178,1178,2002000,5
1179,1179,2002000,5
1180,1180,2002000,5
1181,1181,2002000,5
1182,1182,2002000,5
1183,1183,2002000,5
1184,1184,2002000,5
1185,1185,2002000,5
1186,1186,2002000,5
1187,1187,2002000,5
1188,1188,2002000,5
1189,1189,2002000,5
1190,1190,2002000,5
1191,1191,2002000,5
1192,1192,2002000,5
1193,1193,2002000,5
1194,1194,2002000,5
1195,1195,2002000,5
1196,1196,2002000,5
1197,1197,2002000,5
1198,1198,2002000,5
1199,1199,2002000,5
1200,1200,2002000,5
1201,1201,2002000,5
1202,1202,2002000,5
1203,1203,2002000,5
1204,1204,2002000,5
1205,1205,2002000,5
1206,1206,2002000,5
1207,1207,2002000,5
1208,1208,2002000,5
1209,1209,2002000,5
1210,1210,2002000,5
1211,1211,2002000,5
1212,1212,2002000,5
1213,1213,2002000,5
1214,1214,2002000,5
1215,1215,2002000,5
1216,1216,2002000,5
1217,1217,2002000,5
1218,1218,2002000,5
1219,1219,2002000,5
1220,1220,2002000,5
1221,1221,2002000,5
1222,1222,2002000,5
1223,1223,2002000,5
1224,1224,2002000,5
1225,1225,2002000,5
1226,1226,2002000,5
1227,1227,2002000,5
1228,1228,2002000,5
1229,1229,2002000,5
1230,1230,2002000,5
1231,1231,2002000,5
1232,1232,2002000,5
1233,1233,2002000,5
1234,1234,2002000,5
1235,1235,2002000,5
1236,1236,2002000,5
1237,1237,2002000,5
1238,1238,2002000,5
1239,1239,2002000,5
1240,1240,2002000,5
1241,1241,2002000,5
1242,1242,2002000,5
1243,1243,2002000,5
1244,1244,2002000,5
1245,1245,2002000,5
1246,1246,2002000,5
1247,1247,2002000,5
1248,1248,2002000,5
1249,1249,2002000,5
1250,1250,2002000,5
1251,1251,2002000,5
1252,1252,2002000,5
1253,1253,2002000,5
1254,1254,2002000,5
1255,1255,2002000,5
1256,1256,2002000,5
1257,1257,2002000,5
1258,1258,2002000,5
1259,1259,2002000,5
1260,1260,2002000,5
1261,1261,2002000,5
1262,1262,2002000,5
1263,1263,2002000,5
1264,1264,2002000,5
1265,1265,2002000,5
1266,1266,2002000,5
1267,1267,2002000,5
1268,1268,2002000,5
1269,1269,2002000,5
1270,1270,2002000,5
1271,1271,2002000,5
1272,1272,2002000,5
1273,1273,2002000,5
1274,1274,2002000,5
1275,1275,2002000,5
1276,1276,2002000,5
1277,1277,2002000,5
1278,1278,2002000,5
1279,1279,2002000,5
1280,1280,2002000,5
1281,1281,2002000,5
1282,1282,2002000,5
1283,1283,2002000,5
1284,1284,2002000,5
1285,1285,2002000,5
1286,1286,2002000,5
1287,1287,2002000,5
1288,1288,2002000,5
1289,1289,2002000,5
1290,1290,2002000,5
1291,1291,2002000,5
1292,1292,2002000,5
1293,1293,2002000,5
1294,1294,2002000,5
1295,1295,2002000,5
1296,1296,2002000,5
1297,1297,2002000,5
1298,1298,2002000,5
1299,1299,2002000,5
1300,1300,2002000,5
1301,1301,2002000,5
1302,1302,2002000,5
1303,1303,2002000,5
1304,1304,2002000,5
1305,1305,2002000,5
1306,1306,2002000,5
1307,1307,2002000,5
1308,1308,2002000,5
1309,1309,2002000,5
1310,1310,2002000,5
1311,1311,2002000,5
1312,1312,2002000,5
1313,1313,2002000,5
1314,1314,2002000,5
1315,1315,2002000,5
1316,1316,2002000,5
1317,1317,2002000,5
1318,1318,2002000,5
1319,1319,2002000,5
1320,1320,2002000,5
1321,1321,2002000,5
1322,1322,2002000,5
1323,1323,2002000,5
1324,1324,2002000,5
1325,1325,2002000,5
1326,1326,2002000,5
1327,1327,2002000,5
1328,1328,2002000,5
1329,1329,2002000,5
1330,1330,2002000,5
1331,1331,2002000,5
1332,1332,2002000,5
1333,1333,2002000,5
1334,1334,2002000,5
1335,1335,2002000,5
1336,1336,2002000,5
1337,1337,2002000,5
1338,1338,2002000,5
1339,1339,2002000,5
1340,1340,2002000,5
1341,1341,2002000,5
1342,1342,2002000,5
1343,1343,2002000,5
1344,1344,2002000,5
1345,1345,2002000,5
1346,1346,2002000,5
1347,1347,2002000,5
1348,1348,2002000,5
1349,1349,2002000,5
1350,1350,2002000,5
1351,1351,2002000,5
1352,1352,2002000,5
1353,1353,2002000,5
1354,1354,2002000,5
1355,1355,2002000,5
1356,1356,2002000,5
1357,1357,2002000,5
1358,1358,2002000,5
1359,1359,2002000,5
1360,1360,2002000,5
1361,1361,2002000,5
1362,1362,2002000,5
1363,1363,2002000,5
1364,1364,2002000,5
1365,1365,2002000,5
1366,1366,2002000,5
1367,1367,2002000,5
1368,1368,2002000,5
1369,1369,2002000,5
1370,1370,2002000,5
1371,1371,2002000,5
