变量名,huodongID,level,needExp,normalAward,eliteAward,specialAward,texiao
,,,,,,,
4001001,4001,1,2,{gold=1000000},{rmb=200},,
4001002,4001,2,4,{coin4=30},{520=2},,
4001003,4001,3,6,{14=50},{15=20;16=30},,
4001004,4001,4,8,{19=2},{19=10;801=1},,
4001005,4001,5,10,{gold=1000000},{gold=3000000},,
4001006,4001,6,12,{coin4=500},{coin4=2000;520=1},,
4001007,4001,7,14,{532=20},{533=10},,
4001008,4001,8,16,{940=5},{941=5;942=5},,
4001009,4001,9,18,{gold=1000001},{rmb=201},,
4001010,4001,10,20,{coin4=31},{520=3},1,<1;2;3>
4001011,4001,11,22,{14=51},{15=20;16=31},,
4001012,4001,12,24,{19=3},{19=10;801=2},,
4001013,4001,13,26,{gold=1000000},{gold=3000000},,
4001014,4001,14,28,{coin4=501},{coin4=2000;520=2},,
4001015,4001,15,30,{532=21},{533=11},,
4001016,4001,16,32,{940=6},{941=5;942=6},,
4001017,4001,17,34,{gold=1000002},{rmb=202},,
4001018,4001,18,36,{coin4=32},{520=4},,
4001019,4001,19,38,{14=52},{15=20;16=32},,
4001020,4001,20,40,{19=4},{19=10;801=3},1,<1;2;3>
4001021,4001,21,42,{gold=1000000},{gold=3000000},,
4001022,4001,22,44,{coin4=502},{coin4=2000;520=3},,
4001023,4001,23,46,{532=22},{533=12},,
4001024,4001,24,48,{940=7},{941=5;942=7},,
4001025,4001,25,50,{gold=1000003},{rmb=203},,
4001026,4001,26,52,{coin4=33},{520=5},,
4001027,4001,27,54,{14=53},{15=20;16=33},,
4001028,4001,28,56,{19=5},{19=10;801=4},,
4001029,4001,29,58,{gold=1000000},{gold=3000000},,
4001030,4001,30,60,{coin4=503},{coin4=2000;520=4},1,<1;2;3>
4001031,4001,31,62,{532=23},{533=13},,
4001032,4001,32,64,{940=8},{941=5;942=8},,
4001033,4001,33,66,{gold=1000004},{rmb=204},,
4001034,4001,34,68,{coin4=34},{520=6},,
4001035,4001,35,70,{14=54},{15=20;16=34},,
4001036,4001,36,72,{19=6},{19=10;801=5},,
4001037,4001,37,74,{gold=1000000},{gold=3000000},,
4001038,4001,38,76,{coin4=504},{coin4=2000;520=5},,
4001039,4001,39,78,{532=24},{533=14},,
4001040,4001,40,80,{940=9},{941=5;942=9},1,<1;2;3>
,,,,,,,
4010001,4010,1,1,{151=30},{151=70;gold=200000},,
4010002,4010,2,1,{151=30},{151=70;gold=200000},,
4010003,4010,3,1,{151=30},{151=70;gold=200000},,
4010004,4010,4,1,{151=30},{151=70;gold=200000},,
4010005,4010,5,1,{151=50},{151=200;gold=500000},,<1;2;3>
4010006,4010,6,2,{151=30},{151=70;gold=200000},,
4010007,4010,7,2,{151=30},{151=70;gold=200000},,
4010008,4010,8,2,{151=30},{151=70;gold=200000},,
4010009,4010,9,2,{151=30},{151=70;gold=200000},,
4010010,4010,10,2,{152=30},{152=90;rmb=150},1,<1;2;3>
4010011,4010,11,2,{151=30},{151=70;gold=200000},,
4010012,4010,12,2,{151=30},{151=70;gold=200000},,
4010013,4010,13,2,{151=30},{151=70;gold=200000},,
4010014,4010,14,2,{151=30},{151=70;gold=200000},,
4010015,4010,15,2,{151=50},{151=200;gold=500000},,<1;2;3>
4010016,4010,16,2,{151=30},{151=70;gold=200000},,
4010017,4010,17,2,{151=30},{151=70;gold=200000},,
4010018,4010,18,2,{151=30},{151=70;gold=200000},,
4010019,4010,19,2,{151=30},{151=70;gold=200000},,
4010020,4010,20,2,{152=30},{152=90;rmb=150},1,<1;2;3>
4010021,4010,21,2,{151=30},{151=70;gold=200000},,
4010022,4010,22,2,{151=30},{151=70;gold=200000},,
4010023,4010,23,2,{151=30},{151=70;gold=200000},,
4010024,4010,24,2,{151=30},{151=70;gold=200000},,
4010025,4010,25,2,{151=50},{151=200;gold=500000},,<1;2;3>
4010026,4010,26,2,{151=30},{151=70;gold=200000},,
4010027,4010,27,2,{151=30},{151=70;gold=200000},,
4010028,4010,28,2,{151=30},{151=70;gold=200000},,
4010029,4010,29,2,{151=30},{151=70;gold=200000},,
4010030,4010,30,2,{152=30},{152=90;rmb=150},1,<1;2;3>
4010031,4010,31,2,{151=30},{151=70;gold=200000},,
4010032,4010,32,2,{151=30},{151=70;gold=200000},,
4010033,4010,33,2,{151=30},{151=70;gold=200000},,
4010034,4010,34,2,{151=30},{151=70;gold=200000},,
4010035,4010,35,2,{151=50},{151=200;gold=500000},,<1;2;3>
4010036,4010,36,2,{151=30},{151=70;gold=200000},,
4010037,4010,37,2,{151=30},{151=70;gold=200000},,
4010038,4010,38,2,{151=30},{151=70;gold=200000},,
4010039,4010,39,2,{151=30},{151=70;gold=200000},,
4010040,4010,40,2,{152=30},{152=90;rmb=150},1,<1;2;3>
4010041,4010,41,2,{151=30},{151=70;gold=200000},,
4010042,4010,42,2,{151=30},{151=70;gold=200000},,
4010043,4010,43,2,{151=30},{151=70;gold=200000},,
4010044,4010,44,2,{151=30},{151=70;gold=200000},,
4010045,4010,45,3,{151=50},{151=200;gold=500000},,<1;2;3>
4010046,4010,46,3,{151=30},{151=70;gold=200000},,
4010047,4010,47,3,{151=30},{151=70;gold=200000},,
4010048,4010,48,3,{151=30},{151=70;gold=200000},,
4010049,4010,49,3,{151=30},{151=70;gold=200000},,
4010050,4010,50,3,{152=30},{152=90;rmb=150},1,<1;2;3>
