"﻿变量名",name,name_tw,name_en,name_vn,name_kr,desc,desc_tw,desc_en,desc_vn,desc_kr,type,stackMax,expAdd,series,icon,res,startResScale,attr,size,touchSize,relSize,startPos,position,quality,currentNum,languages
72001,sunny window sill,,,,,Pikachu said that he likes to stand here and bask in the sun,,,,,203,,,107,config/item/furniture/icon_chuanghu1.png,city/town/furniture/img_chuanghu1.png,2,{flip = true;right=true},{width=3; height=5},<<0;50>;<108;7>;<114;178>;<2;232>>,,{x= -240;y = 12},,,,
72002,iron gate,,,,,A very thick iron gate decorated with elf stickers,,,,,203,,,,config/item/furniture/icon_damen.png,city/town/furniture/img_damen.png,2,{flip = true;right=true},{width=3; height=5},<<4;43>;<86;3>;<87;180>;<24;216>;<0;200>>,,{x= -222;y = 17},,,,
72003,wooden windows,,,,,"A small window, designed without curtains to allow sunlight to penetrate into the cabin better",,,,,203,,,104,config/item/furniture/icon_chuanghu.png,city/town/furniture/img_chuanghu.png,2,{flip = true;left=true},{width=2; height=3},<<5;4>;<2;100>;<30;131>;<55;120>;<57;30>>,,{x= 20;y = 18},,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Art ID: 72501-73000,,,,,,,,,,,,,,,,,,,,,,,,,
72501,Hand-painted Xiaozhi Hanging Statue,,,,,This may be Xiaozhi's smiling face after realizing his dream,,,,,204,,,101,config/item/furniture/icon_xiangkuang.png,city/town/furniture/img_xiangkuang.png,2,{flip = true;left=true},{width=1; height=2},<<25;8>;<1;6>;<1;52>;<23;50>>,,{x= -13;y =40},,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table ID: 74001-74500,,,,,,,,,,,,,,,,,,,,,,,,,
74001,long dinner table,,,,,It is a very long dining table that can accommodate all your friends,,,,,301,,,102,config/item/furniture/icon_zhuozi.png,city/town/furniture/img_zhuozi.png,2,{flip = true;left=true},{width=4; height=2},<<168;9>;<187;81>;<121;130>;<34;139>;<2;67>;<112;10>>,,{x=-280;y = 25},,,,
74002,solid wood coffee table,,,,,"The style is very atmospheric, suitable for the use of small houses in large areas",,,,,301,,,107,config/item/furniture/icon_chugui.png,city/town/furniture/img_chugui.png,2,{flip = true},{width=5; height=2},<<64;159>;<194;103>;<242;49>;<171;3>;<5;118>>,,{x= -363;y = 20},,,,
74003,solid wood round table,,,,,Eating hot pot around a round table is probably the happiest thing,,,,,301,,,,config/item/furniture/icon_chaji.png,city/town/furniture/img_chaji.png,2,{flip = true},{width=2; height=2},<<8;18>;<1;62>;<45;101>;<88;59>;<81;10>>,,{x= -88;y = 28},,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chair ID: 74501-75000,,,,,,,,,,,,,,,,,,,,,,,,,
74501,cute fabric sofa,,,,,A soft and comfortable sofa will be given as a bonus when you buy a fat boy,,,,,302,,,103,config/item/furniture/icon_shafa1.png,city/town/furniture/img_shafa1.png,2,{flip = true},{width=1; height=3},<<45;2>;<4;21>;<4;123>;<122;127>;<147;84>;<141;51>>,,{x= -81;y = 13},,,,
74502,soft cute stool,,,,,"Small in size and light in weight, it is a beautiful decoration in any corner",,,,,302,,,101,config/item/furniture/icon_xiaodengzi.png,city/town/furniture/img_xiaodengzi.png,2,{flip = true},{width=1; height=1},<<1;3>;<34;4>;<35;37>;<2;39>>,,{x= -40;y = 20},,,,
74503,Fashion soft chair,,,,,It's comfortable enough to take a nap on it,,,,,302,,,,config/item/furniture/icon_xiaodengzi2.png,city/town/furniture/img_xiaodengzi2.png,2,{flip = true},{width=1; height=1},<<7;15>;<48;15>;<47;49>;<20;88>;<1;76>>,,{x= -60;y = 15},,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Home ID: 75001-75500,,,,,,,,,,,,,,,,,,,,,,,,,
75001,European style screen,,,,,"Strict and thick design, can cover all your little secrets",,,,,303,,,109,config/item/furniture/icon_pinfeng.png,city/town/furniture/img_pinfeng.png,2,{flip = true},{width=3; height=1},<<3;43>;<94;6>;<96;152>;<6;196>>,,{x= -190;y = 26},,,,
75002,ultra thin tv,,,,,"Ultra-thin design, looks full of technology",,,,,303,,,109,config/item/furniture/icon_dianshi.png,city/town/furniture/img_dianshi.png,2,{flip = true},{width=3; height=1},<<4;48>;<14;94>;<32;134>;<105;94>;<120;27>;<93;5>>,,{x= -200;y = 18},,,,
75003,solid wood cot,,,,,"There are large and thick curtains to block the glare of the light, so that you can sleep comfortably",,,,,303,,,109,config/item/furniture/icon_chuang.png,city/town/furniture/img_chuang.png,2,{flip = true},{width=4; height=3},<<4;60>;<2;192>;<93;234>;<117;130>;<215;85>;<212;41>;<135;2>>,,{x= -293;y = 48},,,,
75004,warm yellow upholstery,,,,,"Pad on the hard ground, it will feel soft and comfortable to sit on",,,,,303,,,,config/item/furniture/icon_dianzi.png,city/town/furniture/img_dianzi.png,2,{flip = true},{width=2; height=2},<<7;15>;<12;44>;<61;48>;<78;16>;<41;3>>,,{x= -83;y = 34},,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Storage ID: 75501-76000,,,,,,,,,,,,,,,,,,,,,,,,,
75501,corner cabinet,,,,,"The design of space storage masters, even the corners do not miss the part that can be stored",,,,,304,,,105,config/item/furniture/icon_guizi.png,city/town/furniture/img_guizi.png,2,{flip = true},{width=2; height=2},<<1;31>;<16;92>;<65;92>;<66;7>>,,{x= -120;y = 18},,,,
75502,simple flower stand,,,,,Place plants at will to embellish the indoor layout,,,,,304,,,103,config/item/furniture/icon_huajia.png,city/town/furniture/img_huajia.png,2,{flip = true},{width=2; height=1},<<23;129>;<66;100>;<59;8>;<2;18>>,,{x= -110;y = 21},,,,
75503,Entrance locker,,,,,"Friendly height, suitable for catching all your tiredness when you come home",,,,,304,,,106,config/item/furniture/icon_shugui.png,city/town/furniture/img_shugui.png,2,{flip = true},{width=1; height=2},<<1;87>;<26;124>;<69;127>;<86;89>;<70;28>;<4;16>>,,{x= -45;y = 15},,,,
75504,solid wood bedside table,,,,,"Simple and warm color scheme, and a huge drawer, it looks very practical",,,,,304,,,107,config/item/furniture/icon_chuangtougui.png,city/town/furniture/img_chuangtougui.png,2,{flip = true},{width=1; height=2},<<1;51>;<56;92>;<73;58>;<64;20>;<17;13>>,,{x= -40;y = 20},,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kitchen ID: 76001-76500,,,,,,,,,,,,,,,,,,,,,,,,,
76001,Pishen Custom Refrigerator,,,,,"Simple small-size refrigerator, jumping color matching with Pishen",,,,,305,,,108,config/item/furniture/icon_bingxiang.png,city/town/furniture/img_bingxiang.png,2,{flip = true},{width=1; height=1},<<3;17>;<13;146>;<33;179>;<68;137>;<61;12>>,,{x= -72;y = 7},,,,
76002,Integrated cooktop,,,,,The kitchen cabinet design with complete functions is the most popular style nowadays,,,,,305,,,108,config/item/furniture/icon_chugui1.png,city/town/furniture/img_chugui1.png,2,{flip = true},{width=6; height=4},<<1;112>;<149;182>;<380;68>;<353;2>;<147;73>;<37;52>;<7;59>>,,{x= -453;y = 133},,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Display ID: 76501-77000,,,,,,,,,,,,,,,,,,,,,,,,,
76501,bird of paradise potted plant,,,,,Is a large plant that can keep the interior fresh,,,,,306,,,105,config/item/furniture/icon_zhiwu.png,city/town/furniture/img_zhiwu.png,2,{flip = true},{width=1; height=1},<<11;14>;<2;99>;<63;94>;<42;9>>,,{x= -60;y = 21},,,,
76502,Super big soft cute Pikachu,,,,,"Very huge Pikachu doll, soft to the touch and comfortable to hold",,,,,306,,,109,config/item/furniture/icon_wanou2.png,city/town/furniture/img_wanou2.png,2,{flip = true},{width=1; height=1},<<4;56>;<29;123>;<89;67>;<83;14>;<33;11>>,,{x= -108;y = 8},,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other IDs: 77001-77500,,,,,,,,,,,,,,,,,,,,,,,,,
77001,Unlock area 1,,,,,unlock area,,,,,0,,,,config/item/furniture/img_kzqy1.png,city/town/furniture/img_kzqy1.png,,,{width=12; height=6},<<6;457>;<4;254>;<509;8>;<754;132>;<275;375>;<272;578>>,,{x= -1020;y =-20},,,,
77002,Unlock area 2,,,,,unlock area,,,,,0,,,,config/item/furniture/img_kzqy2.png,city/town/furniture/img_kzqy2.png,,,{width=6; height=18},<<720;698>;<719;507>;<3;134>;<246;8>;<997;377>;<994;588>>,,{x= -480;y =-35},,,,
77003,renovation icon,,,,,unlock area,,,,,0,,,,config/item/furniture/icon_sgz.png,city/town/furniture/icon_sgz.png,,,{width=1; height=2},<<49;140>;<30;83>;<61;19>;<190;84>;<161;157>;<132;160>>,,{x= -140;y = -70},,,,
77004,interior wall,,,,,Interior walls when unlocked,,,,,0,,,,config/item/furniture/img_neiqiang.png,city/town/furniture/img_neiqiang.png,,,{width=12; height=1},<<1;241>;<476;2>;<475;5>;<476;55>;<10;292>>,,{x= -900;y = 20},,,,
77005,exterior wall,,,,,exterior wall,,,,,0,,,,config/item/furniture/img_waiqiang.png,city/town/furniture/img_waiqiang.png,,,{width=6; height=1},<<0;177>;<0;130>;<247;2>;<258;8>;<257;55>;<9;179>>,,{x= -420;y =20},,,,
